# _root_ Τα κράτη δεν μπορούν να διαθέτουν δύο ποινικούς κώδικες , έναν που θα εφαρμόζεται στη διακίνηση ναρκωτικών αποκλειστικά μέσα στα σύνορά τους , και έναν άλλο που θα εφαρμόζεται στη διακίνηση ναρκωτικών όταν αυτή έχει διασυνοριακή διάσταση .
#goldHeads=2,4,4,0,6,4,9,9,10,6,24,14,14,11,14,15,16,19,16,19,20,21,10,10,24,25,29,29,25,29,30,31,29,35,33,37,35,0,
#predictedHeads=2,4,4,0,6,4,9,9,6,14,10,14,14,9,14,15,16,19,14,19,20,21,24,21,26,27,29,29,24,29,30,31,29,35,33,37,35,0,
(0,2),-0.38885 # DEPENDENCYPART_ARC
(0,4),0.289899 # DEPENDENCYPART_ARC
(0,6),-0.160432 # DEPENDENCYPART_ARC
(0,8),-1.10449 # DEPENDENCYPART_ARC
(0,9),-0.929151 # DEPENDENCYPART_ARC
(0,10),0.0103284 # DEPENDENCYPART_ARC
(0,14),-0.387999 # DEPENDENCYPART_ARC
(0,23),-0.22076 # DEPENDENCYPART_ARC
(0,24),-0.431816 # DEPENDENCYPART_ARC
(0,26),-1.16128 # DEPENDENCYPART_ARC
(0,29),-0.984663 # DEPENDENCYPART_ARC
(0,32),-1.31759 # DEPENDENCYPART_ARC
(0,33),-1.28867 # DEPENDENCYPART_ARC
(0,34),-1.32718 # DEPENDENCYPART_ARC
(0,37),-1.00352 # DEPENDENCYPART_ARC
(0,38),3.80637 # DEPENDENCYPART_ARC
(2,1),2.7036 # DEPENDENCYPART_ARC
(2,4),-0.708807 # DEPENDENCYPART_ARC
(2,5),-1.04124 # DEPENDENCYPART_ARC
(2,6),-1.35689 # DEPENDENCYPART_ARC
(2,7),-1.3133 # DEPENDENCYPART_ARC
(2,8),-1.30489 # DEPENDENCYPART_ARC
(2,9),-2.06374 # DEPENDENCYPART_ARC
(2,14),-1.76271 # DEPENDENCYPART_ARC
(3,1),-0.636846 # DEPENDENCYPART_ARC
(4,1),-0.106983 # DEPENDENCYPART_ARC
(4,2),0.465089 # DEPENDENCYPART_ARC
(4,3),1.72041 # DEPENDENCYPART_ARC
(4,5),0.254681 # DEPENDENCYPART_ARC
(4,6),0.261939 # DEPENDENCYPART_ARC
(4,7),-0.0626198 # DEPENDENCYPART_ARC
(4,8),-1.13299 # DEPENDENCYPART_ARC
(4,9),0.245169 # DEPENDENCYPART_ARC
(4,10),-0.192719 # DEPENDENCYPART_ARC
(4,14),-1.49655 # DEPENDENCYPART_ARC
(4,15),-0.732594 # DEPENDENCYPART_ARC
(4,16),-1.19411 # DEPENDENCYPART_ARC
(4,17),-2.60787 # DEPENDENCYPART_ARC
(4,18),-0.849146 # DEPENDENCYPART_ARC
(4,19),-0.778916 # DEPENDENCYPART_ARC
(4,20),-1.07692 # DEPENDENCYPART_ARC
(4,23),-0.294467 # DEPENDENCYPART_ARC
(4,24),-0.380335 # DEPENDENCYPART_ARC
(4,29),-2.02164 # DEPENDENCYPART_ARC
(4,30),-1.39274 # DEPENDENCYPART_ARC
(4,37),-2.256 # DEPENDENCYPART_ARC
