# _root_ Η περιοχή ( ανάμεσα στη Σαγιάδα , το Ράγιο και την Ηγουμενίτσα ) φιλοξενεί έναν από τους σημαντικότερους υγροβιότοπους της Ελλάδας , στον οποίο βρίσκουν προστασία σπάνια είδη πουλιών και λουλουδιών .
#goldHeads=2,14,4,2,4,10,10,9,10,5,12,10,4,0,14,15,19,19,16,21,19,25,25,23,15,25,28,25,30,28,30,0,
#predictedHeads=2,10,4,2,4,5,10,9,10,14,12,10,14,0,14,15,19,19,16,21,19,25,25,23,19,25,28,26,30,28,30,0,
(0,2),-0.229354 # DEPENDENCYPART_ARC
(0,3),0.0455971 # DEPENDENCYPART_ARC
(0,4),-0.916857 # DEPENDENCYPART_ARC
(0,5),-0.729163 # DEPENDENCYPART_ARC
(0,6),-0.618968 # DEPENDENCYPART_ARC
(0,7),-0.110405 # DEPENDENCYPART_ARC
(0,10),-0.719294 # DEPENDENCYPART_ARC
(0,12),-0.612733 # DEPENDENCYPART_ARC
(0,13),-0.536221 # DEPENDENCYPART_ARC
(0,14),0.745216 # DEPENDENCYPART_ARC
(0,19),-1.15869 # DEPENDENCYPART_ARC
(0,23),-0.646553 # DEPENDENCYPART_ARC
(0,25),-0.352509 # DEPENDENCYPART_ARC
(0,27),-0.971732 # DEPENDENCYPART_ARC
(0,30),-0.974913 # DEPENDENCYPART_ARC
(0,31),-1.48057 # DEPENDENCYPART_ARC
(0,32),3.22082 # DEPENDENCYPART_ARC
(2,1),2.47696 # DEPENDENCYPART_ARC
(2,3),-0.10185 # DEPENDENCYPART_ARC
(2,4),-0.47831 # DEPENDENCYPART_ARC
(2,5),-0.517916 # DEPENDENCYPART_ARC
(2,6),-1.04502 # DEPENDENCYPART_ARC
(3,2),-0.402074 # DEPENDENCYPART_ARC
(3,4),-0.380888 # DEPENDENCYPART_ARC
(3,5),-0.602417 # DEPENDENCYPART_ARC
(3,6),-0.81168 # DEPENDENCYPART_ARC
(3,7),-0.238909 # DEPENDENCYPART_ARC
(3,9),-1.22701 # DEPENDENCYPART_ARC
(3,10),-0.325624 # DEPENDENCYPART_ARC
(3,12),-1.27095 # DEPENDENCYPART_ARC
(3,13),-0.00119282 # DEPENDENCYPART_ARC
(3,14),-0.887174 # DEPENDENCYPART_ARC
(3,21),-1.52318 # DEPENDENCYPART_ARC
(4,1),-0.927215 # DEPENDENCYPART_ARC
(4,2),-0.805388 # DEPENDENCYPART_ARC
(4,3),0.394835 # DEPENDENCYPART_ARC
(4,5),0.615199 # DEPENDENCYPART_ARC
(4,6),-0.282193 # DEPENDENCYPART_ARC
(4,7),-0.131387 # DEPENDENCYPART_ARC
(4,9),-0.634961 # DEPENDENCYPART_ARC
(4,10),-0.292473 # DEPENDENCYPART_ARC
(4,13),-0.40506 # DEPENDENCYPART_ARC
(4,14),-0.826766 # DEPENDENCYPART_ARC
(5,3),-0.323259 # DEPENDENCYPART_ARC
(5,4),-0.0527363 # DEPENDENCYPART_ARC
(5,6),2.78527 # DEPENDENCYPART_ARC
(5,7),-0.165886 # DEPENDENCYPART_ARC
(5,9),-0.828474 # DEPENDENCYPART_ARC
(5,10),-0.258884 # DEPENDENCYPART_ARC
(6,1),-0.312151 # DEPENDENCYPART_ARC
