# _root_ _ Elleşme , tamam , dedi .
#goldHeads=2,3,4,5,6,7,0,
#predictedHeads=2,3,6,5,6,7,0,
(0,1),-0.795037 # DEPENDENCYPART_ARC
(0,2),-1.16226 # DEPENDENCYPART_ARC
(0,3),0.742493 # DEPENDENCYPART_ARC
(0,4),-1.04186 # DEPENDENCYPART_ARC
(0,5),0.774383 # DEPENDENCYPART_ARC
(0,6),-1.81004 # DEPENDENCYPART_ARC
(0,7),2.00565 # DEPENDENCYPART_ARC
(1,2),0.14111 # DEPENDENCYPART_ARC
(1,3),0.739799 # DEPENDENCYPART_ARC
(1,4),-0.187931 # DEPENDENCYPART_ARC
(1,5),-0.0959117 # DEPENDENCYPART_ARC
(1,6),-1.49535 # DEPENDENCYPART_ARC
(1,7),-0.589121 # DEPENDENCYPART_ARC
(2,1),3.67229 # DEPENDENCYPART_ARC
(2,3),-0.519452 # DEPENDENCYPART_ARC
(2,4),-0.231477 # DEPENDENCYPART_ARC
(2,5),-0.830531 # DEPENDENCYPART_ARC
(2,6),-2.012 # DEPENDENCYPART_ARC
(2,7),-1.59991 # DEPENDENCYPART_ARC
(3,1),0.364694 # DEPENDENCYPART_ARC
(3,2),2.05248 # DEPENDENCYPART_ARC
(3,4),0.219451 # DEPENDENCYPART_ARC
(3,5),-0.304609 # DEPENDENCYPART_ARC
(3,6),-0.345608 # DEPENDENCYPART_ARC
(3,7),-0.632235 # DEPENDENCYPART_ARC
(4,1),-1.37256 # DEPENDENCYPART_ARC
(4,2),0.624454 # DEPENDENCYPART_ARC
(4,3),0.565991 # DEPENDENCYPART_ARC
(4,5),0.803591 # DEPENDENCYPART_ARC
(4,6),-0.979977 # DEPENDENCYPART_ARC
(4,7),-0.158222 # DEPENDENCYPART_ARC
(5,1),-0.992794 # DEPENDENCYPART_ARC
(5,2),1.45851 # DEPENDENCYPART_ARC
(5,3),0.0550543 # DEPENDENCYPART_ARC
(5,4),1.58561 # DEPENDENCYPART_ARC
(5,6),0.37205 # DEPENDENCYPART_ARC
(5,7),0.0425143 # DEPENDENCYPART_ARC
(6,1),-0.844267 # DEPENDENCYPART_ARC
(6,2),0.397019 # DEPENDENCYPART_ARC
(6,3),0.779573 # DEPENDENCYPART_ARC
(6,4),0.997813 # DEPENDENCYPART_ARC
(6,5),2.1939 # DEPENDENCYPART_ARC
(6,7),0.498251 # DEPENDENCYPART_ARC
(7,1),-1.85687 # DEPENDENCYPART_ARC
(7,2),-0.201721 # DEPENDENCYPART_ARC
(7,3),-0.30352 # DEPENDENCYPART_ARC
(7,4),-0.0762353 # DEPENDENCYPART_ARC
(7,5),-0.176536 # DEPENDENCYPART_ARC
(7,6),2.36615 # DEPENDENCYPART_ARC
