# _root_ İnsan toplumları , _ soyutlama yetisine , meta ekonomisinin _ ortaya_çıkmasıyla ulaşmıştır .
#goldHeads=2,12,0,5,6,12,0,9,10,11,12,13,0,
#predictedHeads=2,12,0,5,6,12,0,9,11,11,12,13,0,
(0,1),-0.576481 # DEPENDENCYPART_ARC
(0,2),-1.14854 # DEPENDENCYPART_ARC
(0,3),1.61398 # DEPENDENCYPART_ARC
(0,4),-1.24767 # DEPENDENCYPART_ARC
(0,6),-0.887312 # DEPENDENCYPART_ARC
(0,7),1.51271 # DEPENDENCYPART_ARC
(0,8),-0.655827 # DEPENDENCYPART_ARC
(0,9),-0.548298 # DEPENDENCYPART_ARC
(0,10),-1.88348 # DEPENDENCYPART_ARC
(0,12),-1.90511 # DEPENDENCYPART_ARC
(0,13),2.82314 # DEPENDENCYPART_ARC
(1,2),0.0716456 # DEPENDENCYPART_ARC
(1,3),-0.077652 # DEPENDENCYPART_ARC
(1,4),-1.20934 # DEPENDENCYPART_ARC
(1,5),-0.720096 # DEPENDENCYPART_ARC
(1,6),-1.03657 # DEPENDENCYPART_ARC
(1,7),-0.485369 # DEPENDENCYPART_ARC
(1,8),-1.21495 # DEPENDENCYPART_ARC
(1,9),-1.71918 # DEPENDENCYPART_ARC
(1,10),-1.55292 # DEPENDENCYPART_ARC
(1,11),-1.84284 # DEPENDENCYPART_ARC
(1,12),-2.25604 # DEPENDENCYPART_ARC
(1,13),-1.15473 # DEPENDENCYPART_ARC
(2,1),3.13903 # DEPENDENCYPART_ARC
(2,3),0.0622805 # DEPENDENCYPART_ARC
(2,4),-0.916312 # DEPENDENCYPART_ARC
(2,5),-0.00255552 # DEPENDENCYPART_ARC
(2,6),-0.130509 # DEPENDENCYPART_ARC
(2,7),-0.67329 # DEPENDENCYPART_ARC
(2,8),-0.375016 # DEPENDENCYPART_ARC
(2,9),-0.100378 # DEPENDENCYPART_ARC
(2,10),-1.69947 # DEPENDENCYPART_ARC
(2,11),-0.790415 # DEPENDENCYPART_ARC
(2,12),-1.96737 # DEPENDENCYPART_ARC
(2,13),-1.29164 # DEPENDENCYPART_ARC
(3,1),0.400073 # DEPENDENCYPART_ARC
(3,2),0.925585 # DEPENDENCYPART_ARC
(3,4),-0.138917 # DEPENDENCYPART_ARC
(3,5),-0.100754 # DEPENDENCYPART_ARC
(3,6),-0.201773 # DEPENDENCYPART_ARC
(3,7),-0.612379 # DEPENDENCYPART_ARC
(3,8),-0.500786 # DEPENDENCYPART_ARC
(3,9),-0.350271 # DEPENDENCYPART_ARC
(3,10),-0.538407 # DEPENDENCYPART_ARC
(3,11),-0.563302 # DEPENDENCYPART_ARC
(3,12),-0.0591622 # DEPENDENCYPART_ARC
(3,13),-2.16068 # DEPENDENCYPART_ARC
(4,1),-0.396594 # DEPENDENCYPART_ARC
(4,2),-0.0843214 # DEPENDENCYPART_ARC
(4,3),0.42844 # DEPENDENCYPART_ARC
(4,5),0.695508 # DEPENDENCYPART_ARC
(4,6),1.14155 # DEPENDENCYPART_ARC
(4,7),0.337958 # DEPENDENCYPART_ARC
(4,8),-1.13535 # DEPENDENCYPART_ARC
(4,9),-1.70219 # DEPENDENCYPART_ARC
(4,10),-1.02688 # DEPENDENCYPART_ARC
(4,11),-1.15204 # DEPENDENCYPART_ARC
(4,12),-0.764548 # DEPENDENCYPART_ARC
(4,13),-0.714153 # DEPENDENCYPART_ARC
(5,1),-0.348417 # DEPENDENCYPART_ARC
(5,2),-0.526237 # DEPENDENCYPART_ARC
(5,3),0.677104 # DEPENDENCYPART_ARC
(5,4),2.83961 # DEPENDENCYPART_ARC
(5,6),-0.0386003 # DEPENDENCYPART_ARC
(5,7),-0.179951 # DEPENDENCYPART_ARC
(5,8),-0.950383 # DEPENDENCYPART_ARC
(5,9),-1.46014 # DEPENDENCYPART_ARC
(5,10),-1.74183 # DEPENDENCYPART_ARC
(5,11),-1.89423 # DEPENDENCYPART_ARC
(5,12),-2.39141 # DEPENDENCYPART_ARC
(5,13),-1.34381 # DEPENDENCYPART_ARC
(6,1),0.128252 # DEPENDENCYPART_ARC
(6,2),-0.487711 # DEPENDENCYPART_ARC
(6,3),1.16271 # DEPENDENCYPART_ARC
(6,4),0.850836 # DEPENDENCYPART_ARC
(6,5),3.17627 # DEPENDENCYPART_ARC
(6,7),0.105348 # DEPENDENCYPART_ARC
(6,8),-0.47472 # DEPENDENCYPART_ARC
(6,9),-0.184773 # DEPENDENCYPART_ARC
(6,10),-1.32243 # DEPENDENCYPART_ARC
(6,11),-0.897633 # DEPENDENCYPART_ARC
(6,12),-2.0474 # DEPENDENCYPART_ARC
(6,13),-1.16049 # DEPENDENCYPART_ARC
(7,1),-0.203188 # DEPENDENCYPART_ARC
(7,2),-0.462956 # DEPENDENCYPART_ARC
(7,3),-0.0492634 # DEPENDENCYPART_ARC
(7,4),-0.844972 # DEPENDENCYPART_ARC
(7,5),0.288308 # DEPENDENCYPART_ARC
(7,6),0.911975 # DEPENDENCYPART_ARC
(7,8),0.230539 # DEPENDENCYPART_ARC
(7,9),0.00689259 # DEPENDENCYPART_ARC
(7,10),-0.243694 # DEPENDENCYPART_ARC
(7,11),0.0216719 # DEPENDENCYPART_ARC
(7,12),-0.189198 # DEPENDENCYPART_ARC
(7,13),-1.15567 # DEPENDENCYPART_ARC
(8,1),-0.930062 # DEPENDENCYPART_ARC
(8,2),-1.40815 # DEPENDENCYPART_ARC
(8,3),-0.615517 # DEPENDENCYPART_ARC
(8,4),-0.670687 # DEPENDENCYPART_ARC
(8,5),-0.786143 # DEPENDENCYPART_ARC
(8,6),-0.924747 # DEPENDENCYPART_ARC
(8,7),0.649396 # DEPENDENCYPART_ARC
(8,9),-0.220705 # DEPENDENCYPART_ARC
(8,10),-0.694494 # DEPENDENCYPART_ARC
