# _root_ İş Güvencesi , İş Kanunu ile birlikte _ ele_alınsın , SSK primleri _ _ düşürülsün .
#goldHeads=2,9,0,5,6,7,9,9,10,15,12,15,14,15,16,0,
#predictedHeads=2,9,0,5,6,9,9,9,10,15,12,15,14,15,16,0,
(0,1),-0.701456 # DEPENDENCYPART_ARC
(0,2),-1.12786 # DEPENDENCYPART_ARC
(0,3),1.80175 # DEPENDENCYPART_ARC
(0,4),-0.875438 # DEPENDENCYPART_ARC
(0,5),-1.32316 # DEPENDENCYPART_ARC
(0,8),-1.40719 # DEPENDENCYPART_ARC
(0,9),-1.46857 # DEPENDENCYPART_ARC
(0,10),0.574003 # DEPENDENCYPART_ARC
(0,11),-1.00879 # DEPENDENCYPART_ARC
(0,12),-1.28252 # DEPENDENCYPART_ARC
(0,13),-1.81129 # DEPENDENCYPART_ARC
(0,14),-1.96575 # DEPENDENCYPART_ARC
(0,15),-1.87803 # DEPENDENCYPART_ARC
(0,16),2.87458 # DEPENDENCYPART_ARC
(1,2),0.140026 # DEPENDENCYPART_ARC
(1,3),0.122362 # DEPENDENCYPART_ARC
(1,4),-0.820319 # DEPENDENCYPART_ARC
(1,5),-1.00731 # DEPENDENCYPART_ARC
(1,6),-1.01637 # DEPENDENCYPART_ARC
(1,7),-0.813873 # DEPENDENCYPART_ARC
(1,8),-1.13918 # DEPENDENCYPART_ARC
(1,9),-1.73812 # DEPENDENCYPART_ARC
(1,10),-0.335897 # DEPENDENCYPART_ARC
(1,11),-1.19561 # DEPENDENCYPART_ARC
(1,12),-1.70251 # DEPENDENCYPART_ARC
(1,13),-1.38266 # DEPENDENCYPART_ARC
(1,14),-1.78048 # DEPENDENCYPART_ARC
(1,15),-1.8833 # DEPENDENCYPART_ARC
(1,16),-1.28888 # DEPENDENCYPART_ARC
(2,1),3.26761 # DEPENDENCYPART_ARC
(2,3),0.119052 # DEPENDENCYPART_ARC
(2,4),0.0237002 # DEPENDENCYPART_ARC
(2,5),-0.769459 # DEPENDENCYPART_ARC
(2,6),-0.957794 # DEPENDENCYPART_ARC
(2,7),-0.93135 # DEPENDENCYPART_ARC
(2,8),-1.19705 # DEPENDENCYPART_ARC
(2,9),-1.71209 # DEPENDENCYPART_ARC
(2,10),-0.822518 # DEPENDENCYPART_ARC
(2,11),-0.60412 # DEPENDENCYPART_ARC
(2,12),-1.59821 # DEPENDENCYPART_ARC
(2,13),-1.45924 # DEPENDENCYPART_ARC
(2,14),-1.74089 # DEPENDENCYPART_ARC
(2,15),-2.1052 # DEPENDENCYPART_ARC
(2,16),-1.45863 # DEPENDENCYPART_ARC
(3,1),0.349742 # DEPENDENCYPART_ARC
(3,2),0.99106 # DEPENDENCYPART_ARC
(3,4),0.0284408 # DEPENDENCYPART_ARC
(3,5),-0.311769 # DEPENDENCYPART_ARC
(3,6),-0.179043 # DEPENDENCYPART_ARC
(3,7),-0.23468 # DEPENDENCYPART_ARC
(3,8),-0.773734 # DEPENDENCYPART_ARC
(3,9),-0.481787 # DEPENDENCYPART_ARC
(3,10),-1.08549 # DEPENDENCYPART_ARC
(3,11),-0.521726 # DEPENDENCYPART_ARC
(3,12),-0.213017 # DEPENDENCYPART_ARC
(3,13),-0.744319 # DEPENDENCYPART_ARC
(3,14),-1.24368 # DEPENDENCYPART_ARC
(3,15),-0.84683 # DEPENDENCYPART_ARC
(3,16),-2.83789 # DEPENDENCYPART_ARC
(4,1),-0.634817 # DEPENDENCYPART_ARC
(4,2),-0.288784 # DEPENDENCYPART_ARC
(4,3),0.674121 # DEPENDENCYPART_ARC
(4,5),0.0503303 # DEPENDENCYPART_ARC
(4,6),-0.322305 # DEPENDENCYPART_ARC
(4,7),-0.394312 # DEPENDENCYPART_ARC
(4,8),-0.554291 # DEPENDENCYPART_ARC
(4,9),-1.29471 # DEPENDENCYPART_ARC
(4,10),-0.176957 # DEPENDENCYPART_ARC
(4,11),-0.884739 # DEPENDENCYPART_ARC
(4,12),-1.34399 # DEPENDENCYPART_ARC
(4,13),-1.11545 # DEPENDENCYPART_ARC
(4,14),-1.41549 # DEPENDENCYPART_ARC
(4,15),-1.87896 # DEPENDENCYPART_ARC
(4,16),-1.22752 # DEPENDENCYPART_ARC
(5,1),0.355437 # DEPENDENCYPART_ARC
(5,2),0.286854 # DEPENDENCYPART_ARC
(5,3),1.09623 # DEPENDENCYPART_ARC
(5,4),3.36458 # DEPENDENCYPART_ARC
(5,6),-0.45854 # DEPENDENCYPART_ARC
(5,7),-0.627083 # DEPENDENCYPART_ARC
(5,8),-0.899162 # DEPENDENCYPART_ARC
(5,9),-1.47926 # DEPENDENCYPART_ARC
(5,10),-0.670937 # DEPENDENCYPART_ARC
(5,11),-0.959709 # DEPENDENCYPART_ARC
(5,12),-1.77287 # DEPENDENCYPART_ARC
(5,13),-1.63093 # DEPENDENCYPART_ARC
(5,14),-1.72272 # DEPENDENCYPART_ARC
(5,15),-2.09227 # DEPENDENCYPART_ARC
(5,16),-1.66092 # DEPENDENCYPART_ARC
(6,1),-0.527725 # DEPENDENCYPART_ARC
(6,2),0.609545 # DEPENDENCYPART_ARC
(6,3),0.413669 # DEPENDENCYPART_ARC
(6,4),1.38621 # DEPENDENCYPART_ARC
(6,5),3.86827 # DEPENDENCYPART_ARC
(6,7),0.423193 # DEPENDENCYPART_ARC
(6,8),-0.305523 # DEPENDENCYPART_ARC
(6,9),-0.468402 # DEPENDENCYPART_ARC
(6,10),-0.33247 # DEPENDENCYPART_ARC
(6,11),-0.465129 # DEPENDENCYPART_ARC
(6,12),-0.662915 # DEPENDENCYPART_ARC
(6,13),-0.68761 # DEPENDENCYPART_ARC
(6,14),-0.883939 # DEPENDENCYPART_ARC
(6,15),-0.790964 # DEPENDENCYPART_ARC
(6,16),-0.852369 # DEPENDENCYPART_ARC
(7,1),-1.55765 # DEPENDENCYPART_ARC
(7,2),-1.02779 # DEPENDENCYPART_ARC
(7,3),-0.0659492 # DEPENDENCYPART_ARC
(7,4),-0.281611 # DEPENDENCYPART_ARC
(7,5),1.04621 # DEPENDENCYPART_ARC
(7,6),1.01917 # DEPENDENCYPART_ARC
(7,8),0.253709 # DEPENDENCYPART_ARC
(7,9),-0.00820309 # DEPENDENCYPART_ARC
(7,10),-0.0571898 # DEPENDENCYPART_ARC
(7,11),-0.192328 # DEPENDENCYPART_ARC
(7,12),-0.438232 # DEPENDENCYPART_ARC
(7,13),-0.433609 # DEPENDENCYPART_ARC
(7,14),-0.524041 # DEPENDENCYPART_ARC
(7,15),-0.581377 # DEPENDENCYPART_ARC
(7,16),-0.554275 # DEPENDENCYPART_ARC
(8,1),-0.165776 # DEPENDENCYPART_ARC
(8,2),-0.347412 # DEPENDENCYPART_ARC
(8,3),0.229797 # DEPENDENCYPART_ARC
(8,4),0.597227 # DEPENDENCYPART_ARC
(8,5),0.528337 # DEPENDENCYPART_ARC
(8,6),0.849737 # DEPENDENCYPART_ARC
(8,7),1.17232 # DEPENDENCYPART_ARC
(8,9),0.914191 # DEPENDENCYPART_ARC
(8,10),0.456769 # DEPENDENCYPART_ARC
(8,11),-0.0120481 # DEPENDENCYPART_ARC
(8,12),-0.20931 # DEPENDENCYPART_ARC
(8,13),-0.370305 # DEPENDENCYPART_ARC
(8,14),-0.468858 # DEPENDENCYPART_ARC
(8,15),0.0245569 # DEPENDENCYPART_ARC
(8,16),-0.980765 # DEPENDENCYPART_ARC
(9,1),1.21135 # DEPENDENCYPART_ARC
(9,2),1.35258 # DEPENDENCYPART_ARC
(9,3),0.474496 # DEPENDENCYPART_ARC
(9,4),1.74739 # DEPENDENCYPART_ARC
(9,5),1.77864 # DEPENDENCYPART_ARC
(9,6),1.8568 # DEPENDENCYPART_ARC
(9,7),1.82009 # DEPENDENCYPART_ARC
(9,8),2.67405 # DEPENDENCYPART_ARC
(9,10),-0.17617 # DEPENDENCYPART_ARC
(9,11),-0.737401 # DEPENDENCYPART_ARC
(9,12),-0.178511 # DEPENDENCYPART_ARC
(9,13),-0.693831 # DEPENDENCYPART_ARC
(9,14),-1.12167 # DEPENDENCYPART_ARC
(9,15),-0.137488 # DEPENDENCYPART_ARC
(9,16),-1.49799 # DEPENDENCYPART_ARC
(10,1),0.152202 # DEPENDENCYPART_ARC
(10,2),-0.0498721 # DEPENDENCYPART_ARC
(10,3),0.0148119 # DEPENDENCYPART_ARC
(10,4),0.649075 # DEPENDENCYPART_ARC
(10,5),0.466175 # DEPENDENCYPART_ARC
(10,6),-0.354448 # DEPENDENCYPART_ARC
(10,7),0.00825811 # DEPENDENCYPART_ARC
(10,8),-0.419115 # DEPENDENCYPART_ARC
(10,9),2.06108 # DEPENDENCYPART_ARC
(10,11),0.227065 # DEPENDENCYPART_ARC
(10,12),0.0218042 # DEPENDENCYPART_ARC
(10,13),-0.256976 # DEPENDENCYPART_ARC
(10,14),-0.195384 # DEPENDENCYPART_ARC
