# _root_ Ancak , o bahçeye _ girmek büyük cesaret istiyormuş , çünkü orası _ güçlü bir cadıya _ aitmiş .
#goldHeads=5,0,4,5,6,9,8,9,10,18,18,18,14,16,16,17,18,19,0,
#predictedHeads=19,0,4,5,6,9,8,9,10,18,19,13,14,16,16,17,18,19,0,
(0,1),-0.0989288 # DEPENDENCYPART_ARC
(0,2),2.84645 # DEPENDENCYPART_ARC
(0,4),-0.872724 # DEPENDENCYPART_ARC
(0,5),-1.26293 # DEPENDENCYPART_ARC
(0,8),-1.00726 # DEPENDENCYPART_ARC
(0,9),-1.52616 # DEPENDENCYPART_ARC
(0,10),1.41866 # DEPENDENCYPART_ARC
(0,11),-1.00658 # DEPENDENCYPART_ARC
(0,12),-1.59295 # DEPENDENCYPART_ARC
(0,13),-1.70367 # DEPENDENCYPART_ARC
(0,16),-1.09315 # DEPENDENCYPART_ARC
(0,19),2.92981 # DEPENDENCYPART_ARC
(1,2),-0.226732 # DEPENDENCYPART_ARC
(1,3),-0.789039 # DEPENDENCYPART_ARC
(1,4),-1.22546 # DEPENDENCYPART_ARC
(1,5),-1.20273 # DEPENDENCYPART_ARC
(1,6),-1.41169 # DEPENDENCYPART_ARC
(1,7),-1.28034 # DEPENDENCYPART_ARC
(1,8),-1.43813 # DEPENDENCYPART_ARC
(1,9),-1.41566 # DEPENDENCYPART_ARC
(1,10),-1.20414 # DEPENDENCYPART_ARC
(1,11),-1.0111 # DEPENDENCYPART_ARC
(1,12),-1.90404 # DEPENDENCYPART_ARC
(1,13),-1.87999 # DEPENDENCYPART_ARC
(1,14),-1.78116 # DEPENDENCYPART_ARC
(1,15),-1.37324 # DEPENDENCYPART_ARC
(1,16),-1.94306 # DEPENDENCYPART_ARC
(1,17),-1.40886 # DEPENDENCYPART_ARC
(1,18),-1.74172 # DEPENDENCYPART_ARC
(1,19),-2.14576 # DEPENDENCYPART_ARC
(2,1),0.229145 # DEPENDENCYPART_ARC
(2,3),-0.24793 # DEPENDENCYPART_ARC
(2,4),-0.386429 # DEPENDENCYPART_ARC
(2,5),-0.471376 # DEPENDENCYPART_ARC
(2,6),-0.248954 # DEPENDENCYPART_ARC
(2,7),-1.02443 # DEPENDENCYPART_ARC
(2,8),-0.562109 # DEPENDENCYPART_ARC
(2,9),-0.597896 # DEPENDENCYPART_ARC
(2,10),-1.19961 # DEPENDENCYPART_ARC
(2,11),-0.838415 # DEPENDENCYPART_ARC
(2,12),-0.951987 # DEPENDENCYPART_ARC
(2,13),-1.57398 # DEPENDENCYPART_ARC
(2,14),-1.66752 # DEPENDENCYPART_ARC
(2,15),-1.29717 # DEPENDENCYPART_ARC
(2,16),-1.60591 # DEPENDENCYPART_ARC
(2,17),-1.35832 # DEPENDENCYPART_ARC
(2,18),-1.16153 # DEPENDENCYPART_ARC
(2,19),-2.57118 # DEPENDENCYPART_ARC
