# _root_ Aman padişahım , bana üç gün izin_ver , diye yalvarmış .
#goldHeads=8,8,0,7,6,7,8,9,10,11,0,
#predictedHeads=2,10,0,7,6,7,8,9,10,11,0,
(0,2),-0.898066 # DEPENDENCYPART_ARC
(0,3),1.79723 # DEPENDENCYPART_ARC
(0,4),-0.604701 # DEPENDENCYPART_ARC
(0,5),-0.344772 # DEPENDENCYPART_ARC
(0,6),-0.714093 # DEPENDENCYPART_ARC
(0,7),-1.45112 # DEPENDENCYPART_ARC
(0,8),0.819016 # DEPENDENCYPART_ARC
(0,10),-1.48405 # DEPENDENCYPART_ARC
(0,11),2.55833 # DEPENDENCYPART_ARC
(1,2),0.492716 # DEPENDENCYPART_ARC
(1,3),0.129329 # DEPENDENCYPART_ARC
(1,4),-0.259639 # DEPENDENCYPART_ARC
(1,6),-0.458839 # DEPENDENCYPART_ARC
(1,7),-0.534471 # DEPENDENCYPART_ARC
(1,8),-0.376279 # DEPENDENCYPART_ARC
(1,10),-0.443914 # DEPENDENCYPART_ARC
(1,11),-0.324866 # DEPENDENCYPART_ARC
(2,1),0.573107 # DEPENDENCYPART_ARC
(2,3),0.288723 # DEPENDENCYPART_ARC
(2,4),-0.536186 # DEPENDENCYPART_ARC
(2,5),-0.537391 # DEPENDENCYPART_ARC
(2,6),-1.01951 # DEPENDENCYPART_ARC
(2,7),-1.78274 # DEPENDENCYPART_ARC
(2,8),-0.719383 # DEPENDENCYPART_ARC
(2,9),-0.771239 # DEPENDENCYPART_ARC
(2,10),-1.88274 # DEPENDENCYPART_ARC
(2,11),-1.02062 # DEPENDENCYPART_ARC
(3,1),0.0239755 # DEPENDENCYPART_ARC
(3,2),0.810641 # DEPENDENCYPART_ARC
(3,4),0.258804 # DEPENDENCYPART_ARC
(3,5),-0.308902 # DEPENDENCYPART_ARC
(3,6),-0.114146 # DEPENDENCYPART_ARC
(3,7),-0.0615493 # DEPENDENCYPART_ARC
(3,8),-0.742465 # DEPENDENCYPART_ARC
(3,9),-0.322889 # DEPENDENCYPART_ARC
(3,10),-0.268752 # DEPENDENCYPART_ARC
(3,11),-1.36503 # DEPENDENCYPART_ARC
(4,1),-0.303275 # DEPENDENCYPART_ARC
(4,2),-0.692288 # DEPENDENCYPART_ARC
(4,3),0.640121 # DEPENDENCYPART_ARC
(4,5),0.114141 # DEPENDENCYPART_ARC
(4,6),-0.628879 # DEPENDENCYPART_ARC
(4,7),-1.25536 # DEPENDENCYPART_ARC
(4,8),-0.161472 # DEPENDENCYPART_ARC
(4,9),-0.739818 # DEPENDENCYPART_ARC
(4,10),-1.63686 # DEPENDENCYPART_ARC
(4,11),-0.965083 # DEPENDENCYPART_ARC
(5,2),-0.715587 # DEPENDENCYPART_ARC
(5,3),0.265669 # DEPENDENCYPART_ARC
(5,4),0.839066 # DEPENDENCYPART_ARC
(5,6),0.127765 # DEPENDENCYPART_ARC
(5,7),0.186449 # DEPENDENCYPART_ARC
(5,8),-0.0425402 # DEPENDENCYPART_ARC
(5,9),-0.207426 # DEPENDENCYPART_ARC
(5,10),-0.433506 # DEPENDENCYPART_ARC
(5,11),-0.428487 # DEPENDENCYPART_ARC
(6,1),0.1617 # DEPENDENCYPART_ARC
(6,2),-0.508632 # DEPENDENCYPART_ARC
(6,3),0.540392 # DEPENDENCYPART_ARC
(6,4),0.890279 # DEPENDENCYPART_ARC
(6,5),2.47612 # DEPENDENCYPART_ARC
(6,7),-0.22965 # DEPENDENCYPART_ARC
(6,8),0.44371 # DEPENDENCYPART_ARC
(6,9),-0.149566 # DEPENDENCYPART_ARC
(6,10),-1.09283 # DEPENDENCYPART_ARC
(6,11),-0.576807 # DEPENDENCYPART_ARC
(7,1),-0.00892386 # DEPENDENCYPART_ARC
(7,2),0.681471 # DEPENDENCYPART_ARC
(7,3),-0.138299 # DEPENDENCYPART_ARC
(7,4),1.76428 # DEPENDENCYPART_ARC
(7,5),0.66159 # DEPENDENCYPART_ARC
(7,6),2.67876 # DEPENDENCYPART_ARC
(7,8),-0.103886 # DEPENDENCYPART_ARC
(7,9),0.350641 # DEPENDENCYPART_ARC
(7,10),-0.691191 # DEPENDENCYPART_ARC
(7,11),-1.14869 # DEPENDENCYPART_ARC
(8,1),0.0647028 # DEPENDENCYPART_ARC
(8,2),0.147706 # DEPENDENCYPART_ARC
(8,3),0.311439 # DEPENDENCYPART_ARC
(8,4),0.670454 # DEPENDENCYPART_ARC
(8,5),0.586252 # DEPENDENCYPART_ARC
(8,6),0.845868 # DEPENDENCYPART_ARC
(8,7),1.55773 # DEPENDENCYPART_ARC
(8,9),-0.0608307 # DEPENDENCYPART_ARC
(8,10),-0.285976 # DEPENDENCYPART_ARC
(8,11),-0.458389 # DEPENDENCYPART_ARC
(9,1),-0.385195 # DEPENDENCYPART_ARC
(9,2),-0.177978 # DEPENDENCYPART_ARC
(9,3),0.183852 # DEPENDENCYPART_ARC
(9,4),-0.347754 # DEPENDENCYPART_ARC
(9,5),-0.0428806 # DEPENDENCYPART_ARC
(9,6),0.464668 # DEPENDENCYPART_ARC
(9,7),1.11411 # DEPENDENCYPART_ARC
