# _root_ Bilimsel_Devrim boyunca alanını din aleyhine gittikçe _ _ genişleterek , dinin _ eskisine göre çok daha dar bir alana _ _ hapsedilmesine _ yol_açan bilimin kendisi de , bugün kendi alanına _ hapsedilmiştir .
#goldHeads=2,8,8,5,8,8,8,9,21,0,21,13,14,21,16,17,19,19,21,21,22,23,24,25,26,33,26,0,32,31,33,33,34,0,
#predictedHeads=2,8,9,5,8,8,8,9,10,0,13,13,14,19,16,17,19,19,21,21,22,23,24,25,26,30,26,0,33,31,33,33,34,0,
(0,1),-0.585528 # DEPENDENCYPART_ARC
(0,3),-1.25417 # DEPENDENCYPART_ARC
(0,4),-0.761084 # DEPENDENCYPART_ARC
(0,5),-1.1417 # DEPENDENCYPART_ARC
(0,7),-0.993317 # DEPENDENCYPART_ARC
(0,8),-1.38008 # DEPENDENCYPART_ARC
(0,10),2.10823 # DEPENDENCYPART_ARC
(0,11),-0.943933 # DEPENDENCYPART_ARC
(0,19),-0.927266 # DEPENDENCYPART_ARC
(0,20),-1.59464 # DEPENDENCYPART_ARC
(0,21),-2.20903 # DEPENDENCYPART_ARC
(0,23),-2.3996 # DEPENDENCYPART_ARC
(0,25),-1.60493 # DEPENDENCYPART_ARC
(0,27),-2.23356 # DEPENDENCYPART_ARC
(0,28),1.82359 # DEPENDENCYPART_ARC
(0,29),-1.8252 # DEPENDENCYPART_ARC
(0,31),-2.03687 # DEPENDENCYPART_ARC
(0,32),-2.82482 # DEPENDENCYPART_ARC
(0,33),-2.45393 # DEPENDENCYPART_ARC
(0,34),3.19802 # DEPENDENCYPART_ARC
(1,2),-0.0712178 # DEPENDENCYPART_ARC
(1,3),-1.1024 # DEPENDENCYPART_ARC
(1,4),-0.895289 # DEPENDENCYPART_ARC
(1,5),-1.04555 # DEPENDENCYPART_ARC
(1,6),-0.915227 # DEPENDENCYPART_ARC
(1,7),-1.05505 # DEPENDENCYPART_ARC
(1,8),-1.46821 # DEPENDENCYPART_ARC
(1,9),-1.03428 # DEPENDENCYPART_ARC
(1,10),-0.490859 # DEPENDENCYPART_ARC
(1,11),-1.57929 # DEPENDENCYPART_ARC
(1,12),-1.45331 # DEPENDENCYPART_ARC
(1,13),-1.88958 # DEPENDENCYPART_ARC
(1,14),-1.44773 # DEPENDENCYPART_ARC
(1,15),-1.34731 # DEPENDENCYPART_ARC
(1,16),-1.27469 # DEPENDENCYPART_ARC
(1,17),-1.48692 # DEPENDENCYPART_ARC
(1,18),-0.796375 # DEPENDENCYPART_ARC
(1,19),-2.12688 # DEPENDENCYPART_ARC
(1,20),-1.69861 # DEPENDENCYPART_ARC
(1,21),-2.23638 # DEPENDENCYPART_ARC
(1,22),-2.40581 # DEPENDENCYPART_ARC
(1,23),-2.42402 # DEPENDENCYPART_ARC
(1,24),-1.7181 # DEPENDENCYPART_ARC
(1,25),-2.97136 # DEPENDENCYPART_ARC
(1,26),-2.29775 # DEPENDENCYPART_ARC
(1,27),-2.26237 # DEPENDENCYPART_ARC
(1,28),-1.64789 # DEPENDENCYPART_ARC
(1,29),-3.26833 # DEPENDENCYPART_ARC
(1,30),-2.56689 # DEPENDENCYPART_ARC
(1,31),-3.39066 # DEPENDENCYPART_ARC
(1,32),-2.58322 # DEPENDENCYPART_ARC
(1,33),-3.03901 # DEPENDENCYPART_ARC
(1,34),-2.30519 # DEPENDENCYPART_ARC
(2,1),3.47487 # DEPENDENCYPART_ARC
(2,3),0.376521 # DEPENDENCYPART_ARC
(2,4),0.0588628 # DEPENDENCYPART_ARC
(2,5),-0.0131002 # DEPENDENCYPART_ARC
(2,6),-0.241577 # DEPENDENCYPART_ARC
(2,7),-0.351858 # DEPENDENCYPART_ARC
(2,8),-0.330855 # DEPENDENCYPART_ARC
(2,9),-0.328949 # DEPENDENCYPART_ARC
(2,10),-0.346864 # DEPENDENCYPART_ARC
(2,11),-0.226972 # DEPENDENCYPART_ARC
(2,12),-0.607581 # DEPENDENCYPART_ARC
(2,13),-0.540744 # DEPENDENCYPART_ARC
(2,14),0.705844 # DEPENDENCYPART_ARC
