# _root_ Recep , pantolonunu giymiş , gömlek cebinden _ _ çıkardığı sigarayı ağzına koymuştu .
#goldHeads=13,0,4,5,13,7,9,9,10,11,13,13,14,0,
#predictedHeads=4,0,4,5,13,7,9,9,10,11,13,13,14,0,
(0,1),-0.311081 # DEPENDENCYPART_ARC
(0,2),2.54954 # DEPENDENCYPART_ARC
(0,3),-0.559557 # DEPENDENCYPART_ARC
(0,4),-1.10473 # DEPENDENCYPART_ARC
(0,5),0.925461 # DEPENDENCYPART_ARC
(0,6),-0.221055 # DEPENDENCYPART_ARC
(0,7),-0.283045 # DEPENDENCYPART_ARC
(0,8),-1.0466 # DEPENDENCYPART_ARC
(0,9),-1.15212 # DEPENDENCYPART_ARC
(0,10),-1.05531 # DEPENDENCYPART_ARC
(0,11),-0.676761 # DEPENDENCYPART_ARC
(0,12),-0.439525 # DEPENDENCYPART_ARC
(0,13),-1.46314 # DEPENDENCYPART_ARC
(0,14),3.59709 # DEPENDENCYPART_ARC
(1,2),0.313462 # DEPENDENCYPART_ARC
(1,3),-1.00067 # DEPENDENCYPART_ARC
(1,4),-1.22143 # DEPENDENCYPART_ARC
(1,5),-0.261784 # DEPENDENCYPART_ARC
(1,6),-0.859066 # DEPENDENCYPART_ARC
(1,7),-2.28373 # DEPENDENCYPART_ARC
(1,8),-0.982224 # DEPENDENCYPART_ARC
(1,9),-1.36361 # DEPENDENCYPART_ARC
(1,10),-0.69394 # DEPENDENCYPART_ARC
(1,11),-1.86999 # DEPENDENCYPART_ARC
(1,12),-1.788 # DEPENDENCYPART_ARC
(1,13),-2.06676 # DEPENDENCYPART_ARC
(1,14),-1.37939 # DEPENDENCYPART_ARC
(2,1),0.42982 # DEPENDENCYPART_ARC
(2,3),0.527908 # DEPENDENCYPART_ARC
(2,4),-0.0425422 # DEPENDENCYPART_ARC
(2,5),-0.560062 # DEPENDENCYPART_ARC
(2,6),-0.170019 # DEPENDENCYPART_ARC
(2,7),-0.194487 # DEPENDENCYPART_ARC
(2,8),-0.465576 # DEPENDENCYPART_ARC
(2,9),-0.530557 # DEPENDENCYPART_ARC
(2,10),-0.952607 # DEPENDENCYPART_ARC
(2,11),-0.673392 # DEPENDENCYPART_ARC
(2,12),-0.464767 # DEPENDENCYPART_ARC
(2,13),-0.635006 # DEPENDENCYPART_ARC
(2,14),-2.20233 # DEPENDENCYPART_ARC
(3,1),0.400606 # DEPENDENCYPART_ARC
(3,2),0.733163 # DEPENDENCYPART_ARC
(3,4),-0.112819 # DEPENDENCYPART_ARC
(3,5),0.426764 # DEPENDENCYPART_ARC
(3,6),-0.226585 # DEPENDENCYPART_ARC
(3,7),-0.826335 # DEPENDENCYPART_ARC
(3,8),-0.639931 # DEPENDENCYPART_ARC
(3,9),-0.900535 # DEPENDENCYPART_ARC
(3,10),-0.347655 # DEPENDENCYPART_ARC
(3,11),-0.739124 # DEPENDENCYPART_ARC
(3,12),-0.719044 # DEPENDENCYPART_ARC
(3,13),-1.52604 # DEPENDENCYPART_ARC
(3,14),-1.02705 # DEPENDENCYPART_ARC
(4,1),2.21053 # DEPENDENCYPART_ARC
(4,2),0.671586 # DEPENDENCYPART_ARC
(4,3),3.56271 # DEPENDENCYPART_ARC
(4,5),-0.0402551 # DEPENDENCYPART_ARC
(4,6),0.208288 # DEPENDENCYPART_ARC
(4,7),-0.463381 # DEPENDENCYPART_ARC
(4,8),-0.35033 # DEPENDENCYPART_ARC
(4,9),-1.47262 # DEPENDENCYPART_ARC
(4,10),-0.939063 # DEPENDENCYPART_ARC
(4,11),-0.472528 # DEPENDENCYPART_ARC
(4,12),-0.738521 # DEPENDENCYPART_ARC
(4,13),-0.557155 # DEPENDENCYPART_ARC
(4,14),-1.32578 # DEPENDENCYPART_ARC
(5,1),0.149657 # DEPENDENCYPART_ARC
(5,2),8.74477e-05 # DEPENDENCYPART_ARC
(5,3),0.837114 # DEPENDENCYPART_ARC
(5,4),1.61775 # DEPENDENCYPART_ARC
(5,6),0.245584 # DEPENDENCYPART_ARC
(5,7),0.0452366 # DEPENDENCYPART_ARC
(5,8),-0.135307 # DEPENDENCYPART_ARC
(5,9),-0.144697 # DEPENDENCYPART_ARC
(5,10),-0.473729 # DEPENDENCYPART_ARC
(5,11),-0.296123 # DEPENDENCYPART_ARC
(5,12),-0.170197 # DEPENDENCYPART_ARC
(5,13),-0.249369 # DEPENDENCYPART_ARC
(5,14),-1.25218 # DEPENDENCYPART_ARC
(6,1),-0.901425 # DEPENDENCYPART_ARC
(6,2),-0.757076 # DEPENDENCYPART_ARC
(6,3),-1.08421 # DEPENDENCYPART_ARC
(6,4),0.0169329 # DEPENDENCYPART_ARC
(6,5),0.186171 # DEPENDENCYPART_ARC
(6,7),-0.823971 # DEPENDENCYPART_ARC
(6,8),-0.112319 # DEPENDENCYPART_ARC
(6,9),-0.606304 # DEPENDENCYPART_ARC
(6,10),0.0787535 # DEPENDENCYPART_ARC
(6,11),-1.01946 # DEPENDENCYPART_ARC
(6,12),-0.765272 # DEPENDENCYPART_ARC
(6,13),-1.50277 # DEPENDENCYPART_ARC
(6,14),-0.743848 # DEPENDENCYPART_ARC
(7,1),-0.274902 # DEPENDENCYPART_ARC
(7,2),-0.14925 # DEPENDENCYPART_ARC
(7,3),-1.92102 # DEPENDENCYPART_ARC
(7,4),-0.539616 # DEPENDENCYPART_ARC
(7,5),0.410556 # DEPENDENCYPART_ARC
(7,6),3.18196 # DEPENDENCYPART_ARC
(7,8),0.207875 # DEPENDENCYPART_ARC
(7,9),-0.358142 # DEPENDENCYPART_ARC
(7,10),0.071731 # DEPENDENCYPART_ARC
(7,11),-0.524171 # DEPENDENCYPART_ARC
(7,12),-0.708819 # DEPENDENCYPART_ARC
(7,13),-1.33909 # DEPENDENCYPART_ARC
(7,14),-0.821319 # DEPENDENCYPART_ARC
(8,1),0.0809254 # DEPENDENCYPART_ARC
(8,2),-1.21291 # DEPENDENCYPART_ARC
(8,3),-0.928013 # DEPENDENCYPART_ARC
(8,4),-0.465062 # DEPENDENCYPART_ARC
(8,5),0.663946 # DEPENDENCYPART_ARC
(8,6),1.0317 # DEPENDENCYPART_ARC
(8,7),1.54984 # DEPENDENCYPART_ARC
(8,9),0.327625 # DEPENDENCYPART_ARC
(8,10),0.108112 # DEPENDENCYPART_ARC
(8,11),0.238896 # DEPENDENCYPART_ARC
(8,12),-0.252966 # DEPENDENCYPART_ARC
(8,13),-0.0554115 # DEPENDENCYPART_ARC
(8,14),-0.936686 # DEPENDENCYPART_ARC
(9,1),-0.0809283 # DEPENDENCYPART_ARC
(9,2),-0.910374 # DEPENDENCYPART_ARC
(9,3),0.318417 # DEPENDENCYPART_ARC
(9,4),-0.354724 # DEPENDENCYPART_ARC
(9,5),0.575155 # DEPENDENCYPART_ARC
(9,6),1.24588 # DEPENDENCYPART_ARC
(9,7),1.82421 # DEPENDENCYPART_ARC
(9,8),3.22141 # DEPENDENCYPART_ARC
(9,10),0.26548 # DEPENDENCYPART_ARC
(9,11),-0.477484 # DEPENDENCYPART_ARC
(9,12),-0.765439 # DEPENDENCYPART_ARC
(9,13),-0.448416 # DEPENDENCYPART_ARC
(9,14),-0.975478 # DEPENDENCYPART_ARC
(10,1),-0.410952 # DEPENDENCYPART_ARC
(10,2),-0.275135 # DEPENDENCYPART_ARC
(10,3),0.43984 # DEPENDENCYPART_ARC
(10,4),0.212645 # DEPENDENCYPART_ARC
(10,5),0.243482 # DEPENDENCYPART_ARC
(10,6),1.07685 # DEPENDENCYPART_ARC
(10,7),1.63724 # DEPENDENCYPART_ARC
(10,8),1.01265 # DEPENDENCYPART_ARC
(10,9),2.94608 # DEPENDENCYPART_ARC
(10,11),-0.521729 # DEPENDENCYPART_ARC
(10,12),-0.794531 # DEPENDENCYPART_ARC
(10,13),-1.02389 # DEPENDENCYPART_ARC
(10,14),-0.944525 # DEPENDENCYPART_ARC
(11,1),-1.1951 # DEPENDENCYPART_ARC
(11,2),-0.442313 # DEPENDENCYPART_ARC
(11,3),-1.03823 # DEPENDENCYPART_ARC
(11,4),-0.982866 # DEPENDENCYPART_ARC
(11,5),-0.380467 # DEPENDENCYPART_ARC
(11,6),0.564172 # DEPENDENCYPART_ARC
(11,7),0.220748 # DEPENDENCYPART_ARC
(11,8),-0.690298 # DEPENDENCYPART_ARC
(11,9),-0.0885096 # DEPENDENCYPART_ARC
(11,10),2.72011 # DEPENDENCYPART_ARC
(11,12),0.152642 # DEPENDENCYPART_ARC
(11,13),-0.936232 # DEPENDENCYPART_ARC
(11,14),-0.30276 # DEPENDENCYPART_ARC
(12,1),-0.700411 # DEPENDENCYPART_ARC
(12,2),-0.291643 # DEPENDENCYPART_ARC
(12,3),-2.60155 # DEPENDENCYPART_ARC
(12,4),-0.974628 # DEPENDENCYPART_ARC
(12,5),-0.0103777 # DEPENDENCYPART_ARC
(12,6),0.943304 # DEPENDENCYPART_ARC
