# _root_ Ana'nın _ orada_olmadığını _ söyledikten sonra ben , buna ne inanırmış , ne de inanmazmış gibi bir tavır takındım .
#goldHeads=2,3,4,5,6,19,15,0,15,11,18,0,15,13,16,18,18,19,20,0,
#predictedHeads=3,3,4,5,6,11,11,0,11,11,12,19,15,13,16,18,18,19,20,0,
(0,1),-0.373901 # DEPENDENCYPART_ARC
(0,2),-0.498117 # DEPENDENCYPART_ARC
(0,4),-0.966971 # DEPENDENCYPART_ARC
(0,8),1.68019 # DEPENDENCYPART_ARC
(0,11),-1.56412 # DEPENDENCYPART_ARC
(0,12),0.803813 # DEPENDENCYPART_ARC
(0,14),-0.991609 # DEPENDENCYPART_ARC
(0,15),-1.6612 # DEPENDENCYPART_ARC
(0,18),-1.46933 # DEPENDENCYPART_ARC
(0,19),-1.68813 # DEPENDENCYPART_ARC
(0,20),2.38124 # DEPENDENCYPART_ARC
(1,2),0.332742 # DEPENDENCYPART_ARC
(1,3),-0.694933 # DEPENDENCYPART_ARC
(1,4),-0.686001 # DEPENDENCYPART_ARC
(1,5),-1.38746 # DEPENDENCYPART_ARC
(1,6),-0.661003 # DEPENDENCYPART_ARC
(1,7),-0.537672 # DEPENDENCYPART_ARC
(1,8),-0.406656 # DEPENDENCYPART_ARC
(1,10),-0.796267 # DEPENDENCYPART_ARC
(1,11),-1.53042 # DEPENDENCYPART_ARC
(1,12),-0.823388 # DEPENDENCYPART_ARC
(1,13),-1.1541 # DEPENDENCYPART_ARC
(1,14),-0.836267 # DEPENDENCYPART_ARC
(1,15),-1.69631 # DEPENDENCYPART_ARC
(1,16),-1.12264 # DEPENDENCYPART_ARC
(1,17),-0.813768 # DEPENDENCYPART_ARC
(1,18),-2.18603 # DEPENDENCYPART_ARC
(1,19),-2.22773 # DEPENDENCYPART_ARC
(1,20),-1.6917 # DEPENDENCYPART_ARC
(2,1),2.59592 # DEPENDENCYPART_ARC
(2,3),0.628667 # DEPENDENCYPART_ARC
(2,4),-0.362762 # DEPENDENCYPART_ARC
(2,5),-0.117128 # DEPENDENCYPART_ARC
(2,6),0.295019 # DEPENDENCYPART_ARC
(2,7),0.319226 # DEPENDENCYPART_ARC
(2,8),-0.315588 # DEPENDENCYPART_ARC
(2,9),-0.401771 # DEPENDENCYPART_ARC
(2,10),-0.631871 # DEPENDENCYPART_ARC
(2,11),-0.78216 # DEPENDENCYPART_ARC
(2,12),-0.761308 # DEPENDENCYPART_ARC
(2,13),-0.797579 # DEPENDENCYPART_ARC
(2,14),-0.640578 # DEPENDENCYPART_ARC
(2,15),-1.35128 # DEPENDENCYPART_ARC
(2,16),-0.542907 # DEPENDENCYPART_ARC
(2,17),-1.07698 # DEPENDENCYPART_ARC
(2,18),-2.49197 # DEPENDENCYPART_ARC
(2,19),-1.64445 # DEPENDENCYPART_ARC
(2,20),-1.82697 # DEPENDENCYPART_ARC
(3,1),2.82007 # DEPENDENCYPART_ARC
(3,2),2.95316 # DEPENDENCYPART_ARC
(3,4),-0.571929 # DEPENDENCYPART_ARC
(3,5),-0.643525 # DEPENDENCYPART_ARC
(3,6),-0.948923 # DEPENDENCYPART_ARC
(3,7),-0.95672 # DEPENDENCYPART_ARC
(3,8),-0.825178 # DEPENDENCYPART_ARC
(3,10),-1.26771 # DEPENDENCYPART_ARC
(3,11),-2.26648 # DEPENDENCYPART_ARC
(3,12),-1.19831 # DEPENDENCYPART_ARC
(3,13),-1.33804 # DEPENDENCYPART_ARC
(3,14),-0.966589 # DEPENDENCYPART_ARC
(3,15),-2.27275 # DEPENDENCYPART_ARC
(3,16),-1.72424 # DEPENDENCYPART_ARC
(3,17),-1.27607 # DEPENDENCYPART_ARC
(3,18),-2.23922 # DEPENDENCYPART_ARC
(3,19),-2.78145 # DEPENDENCYPART_ARC
(3,20),-2.10384 # DEPENDENCYPART_ARC
(4,1),1.51906 # DEPENDENCYPART_ARC
(4,2),0.46043 # DEPENDENCYPART_ARC
(4,3),2.66962 # DEPENDENCYPART_ARC
(4,5),0.254603 # DEPENDENCYPART_ARC
(4,6),0.358839 # DEPENDENCYPART_ARC
(4,7),0.360546 # DEPENDENCYPART_ARC
(4,8),-0.357419 # DEPENDENCYPART_ARC
(4,9),-0.462404 # DEPENDENCYPART_ARC
(4,10),-0.729428 # DEPENDENCYPART_ARC
(4,11),-0.974022 # DEPENDENCYPART_ARC
(4,12),-0.991201 # DEPENDENCYPART_ARC
(4,13),-0.836597 # DEPENDENCYPART_ARC
(4,14),-0.504778 # DEPENDENCYPART_ARC
(4,15),-1.55689 # DEPENDENCYPART_ARC
(4,16),-0.601774 # DEPENDENCYPART_ARC
(4,17),-1.29568 # DEPENDENCYPART_ARC
(4,18),-2.33059 # DEPENDENCYPART_ARC
(4,19),-2.00677 # DEPENDENCYPART_ARC
(4,20),-1.96842 # DEPENDENCYPART_ARC
(5,1),0.280431 # DEPENDENCYPART_ARC
(5,2),0.377038 # DEPENDENCYPART_ARC
(5,3),-0.082549 # DEPENDENCYPART_ARC
(5,4),2.73797 # DEPENDENCYPART_ARC
(5,6),-0.857615 # DEPENDENCYPART_ARC
(5,7),-0.659965 # DEPENDENCYPART_ARC
(5,8),-1.21692 # DEPENDENCYPART_ARC
(5,10),-1.60191 # DEPENDENCYPART_ARC
(5,11),-2.63416 # DEPENDENCYPART_ARC
(5,12),-1.61188 # DEPENDENCYPART_ARC
(5,13),-1.7844 # DEPENDENCYPART_ARC
(5,14),-1.06411 # DEPENDENCYPART_ARC
(5,15),-2.56386 # DEPENDENCYPART_ARC
(5,16),-1.82225 # DEPENDENCYPART_ARC
(5,17),-1.6861 # DEPENDENCYPART_ARC
(5,18),-3.00191 # DEPENDENCYPART_ARC
(5,19),-3.15844 # DEPENDENCYPART_ARC
(5,20),-2.45055 # DEPENDENCYPART_ARC
(6,1),-0.559892 # DEPENDENCYPART_ARC
