# _root_ Annem , telefonda dedeme bir doğum günü partisi _ düzenlediklerini söyledi , yarın dönsem iyi olurmuş ...
#goldHeads=11,0,11,9,8,7,8,9,10,11,12,16,14,16,16,17,0,
#predictedHeads=11,0,11,11,6,7,8,9,10,11,12,16,14,16,16,17,0,
(0,1),-0.85621 # DEPENDENCYPART_ARC
(0,2),2.21527 # DEPENDENCYPART_ARC
(0,3),-0.815413 # DEPENDENCYPART_ARC
(0,4),-0.631932 # DEPENDENCYPART_ARC
(0,6),-0.850571 # DEPENDENCYPART_ARC
(0,7),-1.09675 # DEPENDENCYPART_ARC
(0,8),-0.95502 # DEPENDENCYPART_ARC
(0,9),-1.77341 # DEPENDENCYPART_ARC
(0,11),-1.68129 # DEPENDENCYPART_ARC
(0,12),0.843713 # DEPENDENCYPART_ARC
(0,13),-0.788759 # DEPENDENCYPART_ARC
(0,14),-1.63737 # DEPENDENCYPART_ARC
(0,16),-2.04742 # DEPENDENCYPART_ARC
(0,17),4.35703 # DEPENDENCYPART_ARC
(1,2),0.307072 # DEPENDENCYPART_ARC
(1,3),-1.26972 # DEPENDENCYPART_ARC
(1,4),-0.892133 # DEPENDENCYPART_ARC
(1,5),-0.472261 # DEPENDENCYPART_ARC
(1,6),-1.31018 # DEPENDENCYPART_ARC
(1,7),-1.51287 # DEPENDENCYPART_ARC
(1,8),-1.70085 # DEPENDENCYPART_ARC
(1,9),-1.73314 # DEPENDENCYPART_ARC
(1,10),-1.61975 # DEPENDENCYPART_ARC
(1,11),-2.10633 # DEPENDENCYPART_ARC
(1,12),-0.643471 # DEPENDENCYPART_ARC
(1,13),-1.89582 # DEPENDENCYPART_ARC
(1,14),-0.903232 # DEPENDENCYPART_ARC
(1,15),-1.20661 # DEPENDENCYPART_ARC
(1,16),-2.37029 # DEPENDENCYPART_ARC
(1,17),-1.17247 # DEPENDENCYPART_ARC
(2,1),0.850023 # DEPENDENCYPART_ARC
(2,3),0.144605 # DEPENDENCYPART_ARC
(2,4),-0.20354 # DEPENDENCYPART_ARC
(2,5),-0.45264 # DEPENDENCYPART_ARC
(2,6),-0.557185 # DEPENDENCYPART_ARC
(2,7),-0.621857 # DEPENDENCYPART_ARC
(2,8),-0.451326 # DEPENDENCYPART_ARC
(2,9),-0.805749 # DEPENDENCYPART_ARC
(2,10),-0.581793 # DEPENDENCYPART_ARC
(2,11),-0.421812 # DEPENDENCYPART_ARC
(2,12),-1.3688 # DEPENDENCYPART_ARC
(2,13),-0.889275 # DEPENDENCYPART_ARC
(2,14),-0.762455 # DEPENDENCYPART_ARC
(2,15),-1.6843 # DEPENDENCYPART_ARC
(2,16),-0.818315 # DEPENDENCYPART_ARC
(2,17),-2.01766 # DEPENDENCYPART_ARC
(3,1),-0.720543 # DEPENDENCYPART_ARC
(3,2),0.756629 # DEPENDENCYPART_ARC
(3,4),0.885061 # DEPENDENCYPART_ARC
(3,5),-0.0350323 # DEPENDENCYPART_ARC
(3,6),-0.423084 # DEPENDENCYPART_ARC
(3,7),-0.526176 # DEPENDENCYPART_ARC
(3,8),-0.820711 # DEPENDENCYPART_ARC
(3,9),-1.08309 # DEPENDENCYPART_ARC
(3,10),-0.706265 # DEPENDENCYPART_ARC
(3,11),-1.30377 # DEPENDENCYPART_ARC
(3,12),-0.134849 # DEPENDENCYPART_ARC
(3,13),-1.07761 # DEPENDENCYPART_ARC
(3,14),-0.072255 # DEPENDENCYPART_ARC
(3,15),-1.06751 # DEPENDENCYPART_ARC
(3,16),-1.76115 # DEPENDENCYPART_ARC
(3,17),-0.926676 # DEPENDENCYPART_ARC
(4,1),-1.61609 # DEPENDENCYPART_ARC
(4,2),0.245181 # DEPENDENCYPART_ARC
(4,3),1.12502 # DEPENDENCYPART_ARC
(4,5),0.551701 # DEPENDENCYPART_ARC
(4,6),-0.720363 # DEPENDENCYPART_ARC
(4,7),-1.08238 # DEPENDENCYPART_ARC
(4,8),-1.25251 # DEPENDENCYPART_ARC
(4,9),-1.13311 # DEPENDENCYPART_ARC
(4,10),-1.04527 # DEPENDENCYPART_ARC
(4,11),-1.60134 # DEPENDENCYPART_ARC
(4,12),-0.331248 # DEPENDENCYPART_ARC
(4,13),-1.58924 # DEPENDENCYPART_ARC
(4,14),-0.487591 # DEPENDENCYPART_ARC
(4,15),-0.942814 # DEPENDENCYPART_ARC
(4,16),-2.09496 # DEPENDENCYPART_ARC
(4,17),-1.07084 # DEPENDENCYPART_ARC
(5,1),-0.936159 # DEPENDENCYPART_ARC
(5,2),-0.416438 # DEPENDENCYPART_ARC
(5,3),-0.313567 # DEPENDENCYPART_ARC
(5,4),0.362752 # DEPENDENCYPART_ARC
(5,6),0.0498869 # DEPENDENCYPART_ARC
(5,7),-0.276167 # DEPENDENCYPART_ARC
(5,8),-0.452094 # DEPENDENCYPART_ARC
(5,12),-0.506489 # DEPENDENCYPART_ARC
(5,13),-0.806293 # DEPENDENCYPART_ARC
(5,15),-0.78269 # DEPENDENCYPART_ARC
(5,17),-0.852897 # DEPENDENCYPART_ARC
(6,1),-1.64883 # DEPENDENCYPART_ARC
(6,2),-0.433559 # DEPENDENCYPART_ARC
(6,3),-0.386473 # DEPENDENCYPART_ARC
(6,4),0.213827 # DEPENDENCYPART_ARC
(6,5),1.79862 # DEPENDENCYPART_ARC
(6,7),0.112754 # DEPENDENCYPART_ARC
(6,8),-0.314653 # DEPENDENCYPART_ARC
(6,9),-0.795842 # DEPENDENCYPART_ARC
(6,10),-0.900001 # DEPENDENCYPART_ARC
(6,11),-1.49669 # DEPENDENCYPART_ARC
(6,12),-0.170573 # DEPENDENCYPART_ARC
(6,13),-0.821696 # DEPENDENCYPART_ARC
(6,14),-0.328397 # DEPENDENCYPART_ARC
(6,15),-0.658978 # DEPENDENCYPART_ARC
(6,16),-1.8566 # DEPENDENCYPART_ARC
(6,17),-0.892222 # DEPENDENCYPART_ARC
(7,1),-1.02215 # DEPENDENCYPART_ARC
(7,2),0.218543 # DEPENDENCYPART_ARC
(7,3),0.160582 # DEPENDENCYPART_ARC
(7,4),0.49672 # DEPENDENCYPART_ARC
(7,5),1.43149 # DEPENDENCYPART_ARC
(7,6),2.934 # DEPENDENCYPART_ARC
(7,8),0.14583 # DEPENDENCYPART_ARC
(7,9),-0.515925 # DEPENDENCYPART_ARC
(7,10),-0.215177 # DEPENDENCYPART_ARC
(7,11),-1.30594 # DEPENDENCYPART_ARC
(7,12),0.00366219 # DEPENDENCYPART_ARC
(7,13),-0.494457 # DEPENDENCYPART_ARC
(7,14),-0.240033 # DEPENDENCYPART_ARC
(7,15),-0.770999 # DEPENDENCYPART_ARC
(7,16),-1.72106 # DEPENDENCYPART_ARC
(7,17),-0.702433 # DEPENDENCYPART_ARC
(8,1),-0.501348 # DEPENDENCYPART_ARC
(8,2),0.606621 # DEPENDENCYPART_ARC
(8,3),0.554428 # DEPENDENCYPART_ARC
(8,4),0.61881 # DEPENDENCYPART_ARC
(8,5),1.76603 # DEPENDENCYPART_ARC
(8,6),2.35754 # DEPENDENCYPART_ARC
(8,7),3.49648 # DEPENDENCYPART_ARC
(8,9),-0.204272 # DEPENDENCYPART_ARC
(8,10),0.0514202 # DEPENDENCYPART_ARC
(8,11),-1.27547 # DEPENDENCYPART_ARC
(8,12),-0.0379826 # DEPENDENCYPART_ARC
(8,13),-0.57373 # DEPENDENCYPART_ARC
(8,14),-0.225358 # DEPENDENCYPART_ARC
(8,15),-0.634345 # DEPENDENCYPART_ARC
(8,16),-1.9069 # DEPENDENCYPART_ARC
(8,17),-0.822037 # DEPENDENCYPART_ARC
(9,1),0.204029 # DEPENDENCYPART_ARC
(9,2),-0.429104 # DEPENDENCYPART_ARC
(9,3),0.911875 # DEPENDENCYPART_ARC
(9,4),1.44896 # DEPENDENCYPART_ARC
(9,5),0.0574254 # DEPENDENCYPART_ARC
(9,6),0.988243 # DEPENDENCYPART_ARC
(9,7),1.70172 # DEPENDENCYPART_ARC
(9,8),2.59181 # DEPENDENCYPART_ARC
(9,10),0.474464 # DEPENDENCYPART_ARC
(9,11),-0.667432 # DEPENDENCYPART_ARC
(9,12),-0.215225 # DEPENDENCYPART_ARC
(9,13),-1.1583 # DEPENDENCYPART_ARC
(9,14),-0.944491 # DEPENDENCYPART_ARC
(9,15),-1.1397 # DEPENDENCYPART_ARC
(9,16),-0.773015 # DEPENDENCYPART_ARC
(9,17),-1.19468 # DEPENDENCYPART_ARC
(10,1),-1.4328 # DEPENDENCYPART_ARC
(10,2),0.171591 # DEPENDENCYPART_ARC
(10,3),0.778806 # DEPENDENCYPART_ARC
(10,4),-0.144445 # DEPENDENCYPART_ARC
(10,5),0.989941 # DEPENDENCYPART_ARC
(10,6),1.46079 # DEPENDENCYPART_ARC
(10,7),1.814 # DEPENDENCYPART_ARC
(10,8),2.4102 # DEPENDENCYPART_ARC
(10,9),2.85633 # DEPENDENCYPART_ARC
(10,11),-0.74632 # DEPENDENCYPART_ARC
(10,12),-0.078101 # DEPENDENCYPART_ARC
(10,13),-1.34894 # DEPENDENCYPART_ARC
(10,14),-0.283755 # DEPENDENCYPART_ARC
(10,15),-0.795033 # DEPENDENCYPART_ARC
(10,16),-1.86202 # DEPENDENCYPART_ARC
(10,17),-1.27489 # DEPENDENCYPART_ARC
(11,1),2.54341 # DEPENDENCYPART_ARC
(11,2),-0.541794 # DEPENDENCYPART_ARC
(11,3),1.8321 # DEPENDENCYPART_ARC
(11,4),1.52784 # DEPENDENCYPART_ARC
(11,5),0.118624 # DEPENDENCYPART_ARC
(11,6),1.50574 # DEPENDENCYPART_ARC
(11,7),1.6319 # DEPENDENCYPART_ARC
(11,8),1.5625 # DEPENDENCYPART_ARC
(11,9),-0.157735 # DEPENDENCYPART_ARC
(11,10),3.19175 # DEPENDENCYPART_ARC
(11,12),-0.26753 # DEPENDENCYPART_ARC
(11,13),-0.00789856 # DEPENDENCYPART_ARC
(11,14),-0.291692 # DEPENDENCYPART_ARC
(11,15),-0.857209 # DEPENDENCYPART_ARC
(11,16),-0.111767 # DEPENDENCYPART_ARC
(11,17),-1.1985 # DEPENDENCYPART_ARC
(12,1),-0.267651 # DEPENDENCYPART_ARC
(12,2),-0.202796 # DEPENDENCYPART_ARC
(12,3),0.314633 # DEPENDENCYPART_ARC
(12,4),0.205094 # DEPENDENCYPART_ARC
(12,5),-0.325373 # DEPENDENCYPART_ARC
(12,6),0.268509 # DEPENDENCYPART_ARC
