# _root_ Prens Rapunzel'e _ evlenme teklif_etmiş , Rapunzel de kabul_etmiş , yüzü _ hafifçe _ kızararak .
#goldHeads=5,5,4,5,6,9,9,7,16,0,14,13,14,15,9,0,
#predictedHeads=5,3,4,5,6,9,9,7,10,0,14,13,14,15,9,0,
(0,1),-0.624201 # DEPENDENCYPART_ARC
(0,2),-0.198865 # DEPENDENCYPART_ARC
(0,3),-1.12196 # DEPENDENCYPART_ARC
(0,4),-0.753301 # DEPENDENCYPART_ARC
(0,5),-1.39119 # DEPENDENCYPART_ARC
(0,6),0.985502 # DEPENDENCYPART_ARC
(0,7),-0.82167 # DEPENDENCYPART_ARC
(0,8),-1.17632 # DEPENDENCYPART_ARC
(0,9),-1.66653 # DEPENDENCYPART_ARC
(0,10),1.02067 # DEPENDENCYPART_ARC
(0,11),-1.54032 # DEPENDENCYPART_ARC
(0,12),-2.29843 # DEPENDENCYPART_ARC
(0,13),-1.90405 # DEPENDENCYPART_ARC
(0,14),-1.94306 # DEPENDENCYPART_ARC
(0,15),-1.97258 # DEPENDENCYPART_ARC
(0,16),3.85434 # DEPENDENCYPART_ARC
(1,2),0.287741 # DEPENDENCYPART_ARC
(1,3),-0.19491 # DEPENDENCYPART_ARC
(1,4),-0.182019 # DEPENDENCYPART_ARC
(1,5),-0.715899 # DEPENDENCYPART_ARC
(1,6),0.25166 # DEPENDENCYPART_ARC
(1,7),-0.691043 # DEPENDENCYPART_ARC
(1,8),-0.232469 # DEPENDENCYPART_ARC
(1,9),-1.52892 # DEPENDENCYPART_ARC
(1,10),-0.379756 # DEPENDENCYPART_ARC
(1,11),-1.368 # DEPENDENCYPART_ARC
(1,12),-1.15285 # DEPENDENCYPART_ARC
(1,13),-1.19947 # DEPENDENCYPART_ARC
(1,14),-1.54884 # DEPENDENCYPART_ARC
(1,15),-1.0721 # DEPENDENCYPART_ARC
(1,16),-1.37164 # DEPENDENCYPART_ARC
(2,1),1.65162 # DEPENDENCYPART_ARC
(2,3),-0.182297 # DEPENDENCYPART_ARC
(2,4),-0.532764 # DEPENDENCYPART_ARC
(2,5),-0.929666 # DEPENDENCYPART_ARC
(2,6),-0.0658968 # DEPENDENCYPART_ARC
(2,7),-1.2498 # DEPENDENCYPART_ARC
(2,8),-0.365125 # DEPENDENCYPART_ARC
(2,9),-1.6673 # DEPENDENCYPART_ARC
(2,10),-0.984201 # DEPENDENCYPART_ARC
(2,11),-1.62065 # DEPENDENCYPART_ARC
(2,12),-1.15582 # DEPENDENCYPART_ARC
(2,13),-1.32314 # DEPENDENCYPART_ARC
(2,14),-1.68545 # DEPENDENCYPART_ARC
(2,15),-1.42301 # DEPENDENCYPART_ARC
(2,16),-1.62187 # DEPENDENCYPART_ARC
(3,1),1.52029 # DEPENDENCYPART_ARC
(3,2),2.6536 # DEPENDENCYPART_ARC
(3,4),0.111471 # DEPENDENCYPART_ARC
(3,5),-0.328275 # DEPENDENCYPART_ARC
(3,6),-0.267887 # DEPENDENCYPART_ARC
(3,7),-1.05213 # DEPENDENCYPART_ARC
(3,8),-0.363695 # DEPENDENCYPART_ARC
(3,9),-1.08586 # DEPENDENCYPART_ARC
(3,10),-0.983515 # DEPENDENCYPART_ARC
(3,11),-2.25802 # DEPENDENCYPART_ARC
(3,12),-2.10819 # DEPENDENCYPART_ARC
(3,13),-1.03333 # DEPENDENCYPART_ARC
(3,14),-1.92366 # DEPENDENCYPART_ARC
(3,15),-0.936826 # DEPENDENCYPART_ARC
(3,16),-1.76832 # DEPENDENCYPART_ARC
(4,1),1.00083 # DEPENDENCYPART_ARC
(4,2),1.43891 # DEPENDENCYPART_ARC
(4,3),3.1431 # DEPENDENCYPART_ARC
(4,5),-0.433635 # DEPENDENCYPART_ARC
(4,6),0.126444 # DEPENDENCYPART_ARC
(4,7),-0.756778 # DEPENDENCYPART_ARC
(4,8),-0.154292 # DEPENDENCYPART_ARC
(4,9),-1.72809 # DEPENDENCYPART_ARC
(4,10),-0.965844 # DEPENDENCYPART_ARC
(4,11),-1.34729 # DEPENDENCYPART_ARC
(4,12),-1.20243 # DEPENDENCYPART_ARC
(4,13),-1.20764 # DEPENDENCYPART_ARC
(4,14),-1.50758 # DEPENDENCYPART_ARC
(4,15),-1.49301 # DEPENDENCYPART_ARC
(4,16),-1.76463 # DEPENDENCYPART_ARC
(5,1),2.10824 # DEPENDENCYPART_ARC
(5,2),1.75324 # DEPENDENCYPART_ARC
(5,3),0.384958 # DEPENDENCYPART_ARC
(5,4),3.59421 # DEPENDENCYPART_ARC
(5,6),-0.172914 # DEPENDENCYPART_ARC
(5,7),0.057024 # DEPENDENCYPART_ARC
(5,8),-0.433879 # DEPENDENCYPART_ARC
(5,9),-1.29859 # DEPENDENCYPART_ARC
(5,10),-1.21235 # DEPENDENCYPART_ARC
(5,11),-0.846423 # DEPENDENCYPART_ARC
(5,12),-1.70344 # DEPENDENCYPART_ARC
(5,13),-0.699077 # DEPENDENCYPART_ARC
(5,14),-1.71786 # DEPENDENCYPART_ARC
(5,15),0.335322 # DEPENDENCYPART_ARC
(5,16),-1.46674 # DEPENDENCYPART_ARC
(6,1),0.791258 # DEPENDENCYPART_ARC
(6,2),0.640307 # DEPENDENCYPART_ARC
(6,3),-1.00635 # DEPENDENCYPART_ARC
(6,4),0.684643 # DEPENDENCYPART_ARC
(6,5),1.91563 # DEPENDENCYPART_ARC
(6,7),0.431977 # DEPENDENCYPART_ARC
(6,8),0.114826 # DEPENDENCYPART_ARC
(6,9),0.43314 # DEPENDENCYPART_ARC
(6,10),-0.181842 # DEPENDENCYPART_ARC
(6,11),-0.119676 # DEPENDENCYPART_ARC
(6,12),-0.761649 # DEPENDENCYPART_ARC
(6,13),-0.346034 # DEPENDENCYPART_ARC
(6,14),-0.218015 # DEPENDENCYPART_ARC
(6,15),-0.25727 # DEPENDENCYPART_ARC
(6,16),-0.598112 # DEPENDENCYPART_ARC
(7,1),-1.31589 # DEPENDENCYPART_ARC
(7,2),-1.74005 # DEPENDENCYPART_ARC
(7,3),-0.663491 # DEPENDENCYPART_ARC
(7,4),-0.975911 # DEPENDENCYPART_ARC
(7,5),-0.0597117 # DEPENDENCYPART_ARC
(7,6),0.297438 # DEPENDENCYPART_ARC
(7,8),2.62319 # DEPENDENCYPART_ARC
(7,9),-0.10262 # DEPENDENCYPART_ARC
(7,10),0.547216 # DEPENDENCYPART_ARC
(7,11),-0.117689 # DEPENDENCYPART_ARC
(7,12),-0.102989 # DEPENDENCYPART_ARC
(7,13),-0.20547 # DEPENDENCYPART_ARC
(7,14),-0.527122 # DEPENDENCYPART_ARC
(7,15),-0.314509 # DEPENDENCYPART_ARC
(7,16),-0.371452 # DEPENDENCYPART_ARC
(8,1),-2.13799 # DEPENDENCYPART_ARC
(8,2),-1.77283 # DEPENDENCYPART_ARC
(8,3),-1.62365 # DEPENDENCYPART_ARC
(8,4),-1.67838 # DEPENDENCYPART_ARC
(8,5),-0.822189 # DEPENDENCYPART_ARC
(8,6),-1.09809 # DEPENDENCYPART_ARC
(8,7),0.774415 # DEPENDENCYPART_ARC
(8,9),-0.0417456 # DEPENDENCYPART_ARC
(8,10),-0.142847 # DEPENDENCYPART_ARC
(8,11),-0.817386 # DEPENDENCYPART_ARC
(8,12),-0.730133 # DEPENDENCYPART_ARC
(8,13),-0.756897 # DEPENDENCYPART_ARC
(8,14),-0.81976 # DEPENDENCYPART_ARC
(8,15),-0.738423 # DEPENDENCYPART_ARC
(8,16),-0.995684 # DEPENDENCYPART_ARC
(9,1),1.13217 # DEPENDENCYPART_ARC
(9,2),0.562067 # DEPENDENCYPART_ARC
(9,3),-2.34945 # DEPENDENCYPART_ARC
(9,4),0.945346 # DEPENDENCYPART_ARC
(9,5),0.334476 # DEPENDENCYPART_ARC
(9,6),2.20411 # DEPENDENCYPART_ARC
(9,7),2.5017 # DEPENDENCYPART_ARC
(9,8),0.737376 # DEPENDENCYPART_ARC
(9,10),0.222046 # DEPENDENCYPART_ARC
(9,11),0.557661 # DEPENDENCYPART_ARC
(9,12),-0.56079 # DEPENDENCYPART_ARC
(9,13),0.438439 # DEPENDENCYPART_ARC
(9,14),-0.748116 # DEPENDENCYPART_ARC
(9,15),1.33757 # DEPENDENCYPART_ARC
(9,16),-0.788728 # DEPENDENCYPART_ARC
(10,1),0.249922 # DEPENDENCYPART_ARC
(10,2),-0.00867794 # DEPENDENCYPART_ARC
(10,3),-2.5977 # DEPENDENCYPART_ARC
(10,4),0.0141719 # DEPENDENCYPART_ARC
(10,5),-0.375459 # DEPENDENCYPART_ARC
(10,6),0.387856 # DEPENDENCYPART_ARC
(10,7),0.736508 # DEPENDENCYPART_ARC
(10,8),-0.563151 # DEPENDENCYPART_ARC
(10,9),1.92776 # DEPENDENCYPART_ARC
(10,11),0.143072 # DEPENDENCYPART_ARC
(10,12),-0.573136 # DEPENDENCYPART_ARC
(10,13),-0.105771 # DEPENDENCYPART_ARC
(10,14),-0.237806 # DEPENDENCYPART_ARC
(10,15),-0.197195 # DEPENDENCYPART_ARC
(10,16),-0.437503 # DEPENDENCYPART_ARC
(11,1),-0.110948 # DEPENDENCYPART_ARC
(11,2),-0.646296 # DEPENDENCYPART_ARC
(11,3),-1.4544 # DEPENDENCYPART_ARC
(11,4),0.17564 # DEPENDENCYPART_ARC
(11,5),-0.0464686 # DEPENDENCYPART_ARC
(11,6),-0.605096 # DEPENDENCYPART_ARC
(11,7),0.213355 # DEPENDENCYPART_ARC
(11,8),-0.33753 # DEPENDENCYPART_ARC
(11,9),0.573325 # DEPENDENCYPART_ARC
(11,10),0.703154 # DEPENDENCYPART_ARC
(11,12),0.384258 # DEPENDENCYPART_ARC
(11,13),0.033172 # DEPENDENCYPART_ARC
(11,14),-0.542734 # DEPENDENCYPART_ARC
(11,15),-0.276714 # DEPENDENCYPART_ARC
(11,16),-0.471656 # DEPENDENCYPART_ARC
(12,1),-1.51481 # DEPENDENCYPART_ARC
(12,2),-1.23397 # DEPENDENCYPART_ARC
(12,3),-3.63654 # DEPENDENCYPART_ARC
(12,4),-1.08661 # DEPENDENCYPART_ARC
(12,5),-0.940346 # DEPENDENCYPART_ARC
(12,6),-1.10788 # DEPENDENCYPART_ARC
(12,7),-0.861031 # DEPENDENCYPART_ARC
(12,8),-1.51878 # DEPENDENCYPART_ARC
(12,9),-0.676681 # DEPENDENCYPART_ARC
(12,10),0.0457756 # DEPENDENCYPART_ARC
(12,11),1.08111 # DEPENDENCYPART_ARC
(12,13),0.915999 # DEPENDENCYPART_ARC
(12,14),0.0259455 # DEPENDENCYPART_ARC
(12,15),0.328755 # DEPENDENCYPART_ARC
(12,16),-0.206821 # DEPENDENCYPART_ARC
(13,1),-0.618865 # DEPENDENCYPART_ARC
(13,2),-0.511266 # DEPENDENCYPART_ARC
(13,3),-0.787032 # DEPENDENCYPART_ARC
(13,4),-0.143697 # DEPENDENCYPART_ARC
(13,5),-0.853994 # DEPENDENCYPART_ARC
(13,6),0.00741135 # DEPENDENCYPART_ARC
(13,7),-0.210439 # DEPENDENCYPART_ARC
(13,8),-0.00955253 # DEPENDENCYPART_ARC
(13,9),-0.265818 # DEPENDENCYPART_ARC
(13,10),0.7707 # DEPENDENCYPART_ARC
(13,11),0.921528 # DEPENDENCYPART_ARC
(13,12),2.36155 # DEPENDENCYPART_ARC
(13,14),-0.469509 # DEPENDENCYPART_ARC
(13,15),-0.615566 # DEPENDENCYPART_ARC
(13,16),-0.93271 # DEPENDENCYPART_ARC
(14,1),-0.0744185 # DEPENDENCYPART_ARC
(14,2),0.400732 # DEPENDENCYPART_ARC
(14,3),-6.15817 # DEPENDENCYPART_ARC
(14,4),0.18118 # DEPENDENCYPART_ARC
(14,5),-0.0963711 # DEPENDENCYPART_ARC
(14,6),0.353699 # DEPENDENCYPART_ARC
(14,7),0.469656 # DEPENDENCYPART_ARC
(14,8),-0.620554 # DEPENDENCYPART_ARC
(14,9),0.0451029 # DEPENDENCYPART_ARC
(14,10),1.15986 # DEPENDENCYPART_ARC
(14,11),1.70716 # DEPENDENCYPART_ARC
(14,12),1.37951 # DEPENDENCYPART_ARC
(14,13),2.23598 # DEPENDENCYPART_ARC
(14,15),1.07476 # DEPENDENCYPART_ARC
(14,16),-0.476619 # DEPENDENCYPART_ARC
(15,1),-0.00971772 # DEPENDENCYPART_ARC
(15,2),0.0287956 # DEPENDENCYPART_ARC
(15,3),-0.979943 # DEPENDENCYPART_ARC
(15,4),0.347421 # DEPENDENCYPART_ARC
(15,5),-0.421149 # DEPENDENCYPART_ARC
(15,6),-0.19775 # DEPENDENCYPART_ARC
(15,7),0.384603 # DEPENDENCYPART_ARC
(15,8),-0.0894975 # DEPENDENCYPART_ARC
(15,9),-0.204357 # DEPENDENCYPART_ARC
(15,10),0.363647 # DEPENDENCYPART_ARC
(15,11),1.18715 # DEPENDENCYPART_ARC
(15,12),0.868637 # DEPENDENCYPART_ARC
(15,13),0.857292 # DEPENDENCYPART_ARC
(15,14),2.81504 # DEPENDENCYPART_ARC
(15,16),-0.368272 # DEPENDENCYPART_ARC
(16,1),-0.334009 # DEPENDENCYPART_ARC
(16,2),-0.30029 # DEPENDENCYPART_ARC
(16,3),-3.50594 # DEPENDENCYPART_ARC
(16,4),-0.379855 # DEPENDENCYPART_ARC
(16,5),0.711535 # DEPENDENCYPART_ARC
(16,6),-0.658343 # DEPENDENCYPART_ARC
(16,7),0.164764 # DEPENDENCYPART_ARC
(16,8),-1.03657 # DEPENDENCYPART_ARC
(16,9),0.708146 # DEPENDENCYPART_ARC
(16,10),-0.046339 # DEPENDENCYPART_ARC
(16,11),0.482474 # DEPENDENCYPART_ARC
(16,12),-0.281688 # DEPENDENCYPART_ARC
(16,13),0.0169946 # DEPENDENCYPART_ARC
(16,14),0.192193 # DEPENDENCYPART_ARC
(16,15),0.368306 # DEPENDENCYPART_ARC
