# _root_ İki gözü iki çeşme , _ öksürüp _ aksırarak , derdini _ anlatamadan bir köşeye _ çekilirmiş kara _ yazgılı hayvan .
#goldHeads=2,4,4,17,0,7,8,9,17,0,12,13,17,15,17,17,22,19,20,21,17,0,
#predictedHeads=2,3,4,5,0,7,8,9,17,0,12,13,17,15,17,17,22,21,20,21,17,0,
(0,1),0.133163 # DEPENDENCYPART_ARC
(0,2),-1.27731 # DEPENDENCYPART_ARC
(0,3),-0.451835 # DEPENDENCYPART_ARC
(0,4),-1.23509 # DEPENDENCYPART_ARC
(0,5),1.35671 # DEPENDENCYPART_ARC
(0,6),-1.58144 # DEPENDENCYPART_ARC
(0,7),-1.41656 # DEPENDENCYPART_ARC
(0,8),-1.60833 # DEPENDENCYPART_ARC
(0,9),-1.47409 # DEPENDENCYPART_ARC
(0,10),1.26688 # DEPENDENCYPART_ARC
(0,11),-1.2965 # DEPENDENCYPART_ARC
(0,12),-1.68467 # DEPENDENCYPART_ARC
(0,13),-1.72066 # DEPENDENCYPART_ARC
(0,14),-1.11651 # DEPENDENCYPART_ARC
(0,15),-1.10588 # DEPENDENCYPART_ARC
(0,16),-1.60939 # DEPENDENCYPART_ARC
(0,17),-1.77749 # DEPENDENCYPART_ARC
(0,18),-2.02565 # DEPENDENCYPART_ARC
(0,19),-1.7895 # DEPENDENCYPART_ARC
(0,20),-2.13388 # DEPENDENCYPART_ARC
(0,21),-1.70514 # DEPENDENCYPART_ARC
(0,22),2.68629 # DEPENDENCYPART_ARC
(1,2),-0.160463 # DEPENDENCYPART_ARC
(1,3),-0.285842 # DEPENDENCYPART_ARC
(1,4),-0.784897 # DEPENDENCYPART_ARC
(1,5),-0.379254 # DEPENDENCYPART_ARC
(1,6),-0.749351 # DEPENDENCYPART_ARC
(1,7),-0.780164 # DEPENDENCYPART_ARC
(1,8),-0.738763 # DEPENDENCYPART_ARC
(1,9),-0.866932 # DEPENDENCYPART_ARC
(1,10),-0.629114 # DEPENDENCYPART_ARC
(1,11),-0.963925 # DEPENDENCYPART_ARC
(1,12),-0.797051 # DEPENDENCYPART_ARC
(1,13),-0.992498 # DEPENDENCYPART_ARC
(1,14),-0.978538 # DEPENDENCYPART_ARC
(1,15),-1.27439 # DEPENDENCYPART_ARC
(1,16),-0.943863 # DEPENDENCYPART_ARC
(1,17),-0.911392 # DEPENDENCYPART_ARC
(1,18),-1.30351 # DEPENDENCYPART_ARC
(1,19),-1.51811 # DEPENDENCYPART_ARC
(1,20),-1.30393 # DEPENDENCYPART_ARC
(1,21),-1.55043 # DEPENDENCYPART_ARC
(1,22),-1.2463 # DEPENDENCYPART_ARC
(2,1),2.16053 # DEPENDENCYPART_ARC
(2,3),0.31356 # DEPENDENCYPART_ARC
(2,4),0.410435 # DEPENDENCYPART_ARC
(2,5),-0.196594 # DEPENDENCYPART_ARC
(2,6),-0.787123 # DEPENDENCYPART_ARC
(2,7),-0.504218 # DEPENDENCYPART_ARC
(2,8),-0.981272 # DEPENDENCYPART_ARC
(2,9),-0.583436 # DEPENDENCYPART_ARC
(2,10),-0.56685 # DEPENDENCYPART_ARC
(2,11),-0.630403 # DEPENDENCYPART_ARC
(2,12),-0.938652 # DEPENDENCYPART_ARC
(2,13),-0.787214 # DEPENDENCYPART_ARC
(2,14),-0.406386 # DEPENDENCYPART_ARC
(2,15),-0.877353 # DEPENDENCYPART_ARC
(2,16),-0.947337 # DEPENDENCYPART_ARC
(2,17),-1.50187 # DEPENDENCYPART_ARC
(2,18),-0.681964 # DEPENDENCYPART_ARC
