# _root_ Böyle _ önemli bir görevin başına _ _ getirilen kişi , eski _ sakallı fotoğrafından da _ anlaşılıyor ki , bir bütün bürokrasiye _ _ yayılan zihniyetin bir örneği _ olabilir .
#goldHeads=3,3,5,5,6,8,8,9,10,31,0,15,14,15,18,15,18,31,18,0,22,23,25,25,26,27,29,29,31,31,32,0,
#predictedHeads=3,3,5,5,6,8,8,9,10,11,0,13,14,15,18,15,18,20,18,0,22,23,25,25,26,27,29,29,31,31,32,0,
(0,1),-0.727486 # DEPENDENCYPART_ARC
(0,2),-0.927973 # DEPENDENCYPART_ARC
(0,3),-1.04975 # DEPENDENCYPART_ARC
(0,4),-0.685852 # DEPENDENCYPART_ARC
(0,5),-1.335 # DEPENDENCYPART_ARC
(0,6),-1.09804 # DEPENDENCYPART_ARC
(0,7),-1.05833 # DEPENDENCYPART_ARC
(0,8),-1.32868 # DEPENDENCYPART_ARC
(0,9),-1.26121 # DEPENDENCYPART_ARC
(0,10),-1.22079 # DEPENDENCYPART_ARC
(0,11),1.74525 # DEPENDENCYPART_ARC
(0,12),-1.66684 # DEPENDENCYPART_ARC
(0,13),-1.8694 # DEPENDENCYPART_ARC
(0,14),-1.77085 # DEPENDENCYPART_ARC
(0,15),-1.90459 # DEPENDENCYPART_ARC
(0,16),-1.35934 # DEPENDENCYPART_ARC
(0,17),-1.71302 # DEPENDENCYPART_ARC
(0,18),-1.73331 # DEPENDENCYPART_ARC
(0,19),-1.51356 # DEPENDENCYPART_ARC
(0,20),2.46974 # DEPENDENCYPART_ARC
(0,21),-2.46286 # DEPENDENCYPART_ARC
(0,22),-2.35568 # DEPENDENCYPART_ARC
(0,23),-1.64073 # DEPENDENCYPART_ARC
(0,24),-1.785 # DEPENDENCYPART_ARC
(0,25),-2.11541 # DEPENDENCYPART_ARC
(0,26),-2.57929 # DEPENDENCYPART_ARC
(0,27),-1.93452 # DEPENDENCYPART_ARC
(0,28),-1.98655 # DEPENDENCYPART_ARC
(0,29),-2.22144 # DEPENDENCYPART_ARC
(0,30),-2.24812 # DEPENDENCYPART_ARC
(0,31),-1.66265 # DEPENDENCYPART_ARC
(0,32),3.31569 # DEPENDENCYPART_ARC
(1,2),-0.566842 # DEPENDENCYPART_ARC
(1,3),-0.694314 # DEPENDENCYPART_ARC
(1,4),-0.665785 # DEPENDENCYPART_ARC
(1,5),-1.13776 # DEPENDENCYPART_ARC
(1,6),-1.39494 # DEPENDENCYPART_ARC
(1,7),-1.01034 # DEPENDENCYPART_ARC
(1,8),-1.01045 # DEPENDENCYPART_ARC
(1,9),-1.23203 # DEPENDENCYPART_ARC
(1,10),-1.3102 # DEPENDENCYPART_ARC
(1,11),-0.969511 # DEPENDENCYPART_ARC
(1,12),-1.50955 # DEPENDENCYPART_ARC
(1,13),-1.78535 # DEPENDENCYPART_ARC
(1,14),-1.66736 # DEPENDENCYPART_ARC
(1,15),-1.81942 # DEPENDENCYPART_ARC
(1,16),-1.75182 # DEPENDENCYPART_ARC
(1,17),-1.76576 # DEPENDENCYPART_ARC
(1,18),-1.83659 # DEPENDENCYPART_ARC
(1,19),-2.50335 # DEPENDENCYPART_ARC
(1,20),-1.55302 # DEPENDENCYPART_ARC
(1,21),-1.54796 # DEPENDENCYPART_ARC
(1,22),-2.19023 # DEPENDENCYPART_ARC
(1,23),-2.23703 # DEPENDENCYPART_ARC
(1,24),-1.92072 # DEPENDENCYPART_ARC
(1,25),-2.01869 # DEPENDENCYPART_ARC
(1,26),-2.0344 # DEPENDENCYPART_ARC
(1,27),-2.35977 # DEPENDENCYPART_ARC
(1,28),-1.47327 # DEPENDENCYPART_ARC
(1,29),-2.49122 # DEPENDENCYPART_ARC
(1,30),-2.03919 # DEPENDENCYPART_ARC
(1,31),-2.04032 # DEPENDENCYPART_ARC
(1,32),-2.63932 # DEPENDENCYPART_ARC
(2,1),0.587888 # DEPENDENCYPART_ARC
(2,3),0.529194 # DEPENDENCYPART_ARC
(2,4),0.194699 # DEPENDENCYPART_ARC
(2,5),-0.571109 # DEPENDENCYPART_ARC
(2,6),-0.780561 # DEPENDENCYPART_ARC
(2,7),-0.618296 # DEPENDENCYPART_ARC
(2,8),-0.959478 # DEPENDENCYPART_ARC
(2,9),-0.040188 # DEPENDENCYPART_ARC
(2,10),-0.724113 # DEPENDENCYPART_ARC
(2,11),-0.335583 # DEPENDENCYPART_ARC
(2,12),-0.391963 # DEPENDENCYPART_ARC
(2,13),-1.9183 # DEPENDENCYPART_ARC
(2,14),-0.684719 # DEPENDENCYPART_ARC
(2,15),-3.26112 # DEPENDENCYPART_ARC
(2,16),-0.0188872 # DEPENDENCYPART_ARC
(2,17),-1.83556 # DEPENDENCYPART_ARC
(2,18),-2.29748 # DEPENDENCYPART_ARC
(2,19),-1.46388 # DEPENDENCYPART_ARC
(2,20),-1.3448 # DEPENDENCYPART_ARC
(2,21),-1.21977 # DEPENDENCYPART_ARC
(2,22),-0.885383 # DEPENDENCYPART_ARC
(2,23),-2.73766 # DEPENDENCYPART_ARC
(2,24),-2.01278 # DEPENDENCYPART_ARC
(2,25),-2.5044 # DEPENDENCYPART_ARC
(2,26),-0.935825 # DEPENDENCYPART_ARC
(2,27),-3.0706 # DEPENDENCYPART_ARC
(2,28),-0.901541 # DEPENDENCYPART_ARC
(2,29),-2.98195 # DEPENDENCYPART_ARC
(2,30),-2.6975 # DEPENDENCYPART_ARC
(2,31),-2.51478 # DEPENDENCYPART_ARC
(2,32),-2.55175 # DEPENDENCYPART_ARC
(3,1),1.32252 # DEPENDENCYPART_ARC
(3,2),3.20923 # DEPENDENCYPART_ARC
(3,4),-0.245872 # DEPENDENCYPART_ARC
(3,5),-0.56621 # DEPENDENCYPART_ARC
(3,6),-0.842341 # DEPENDENCYPART_ARC
(3,7),-1.02971 # DEPENDENCYPART_ARC
(3,8),-1.12853 # DEPENDENCYPART_ARC
(3,9),-1.30144 # DEPENDENCYPART_ARC
(3,10),-0.804211 # DEPENDENCYPART_ARC
(3,11),-1.16794 # DEPENDENCYPART_ARC
(3,12),-1.49671 # DEPENDENCYPART_ARC
(3,13),-1.31837 # DEPENDENCYPART_ARC
(3,14),-1.72563 # DEPENDENCYPART_ARC
(3,15),-1.49593 # DEPENDENCYPART_ARC
(3,16),-1.35064 # DEPENDENCYPART_ARC
(3,17),-1.79382 # DEPENDENCYPART_ARC
(3,18),-1.87195 # DEPENDENCYPART_ARC
(3,19),-1.69259 # DEPENDENCYPART_ARC
(3,20),-1.61951 # DEPENDENCYPART_ARC
(3,21),-1.5894 # DEPENDENCYPART_ARC
(3,22),-1.90387 # DEPENDENCYPART_ARC
(3,23),-1.90413 # DEPENDENCYPART_ARC
(3,24),-1.89904 # DEPENDENCYPART_ARC
(3,25),-2.03589 # DEPENDENCYPART_ARC
(3,26),-2.23019 # DEPENDENCYPART_ARC
(3,27),-2.03375 # DEPENDENCYPART_ARC
(3,28),-1.58573 # DEPENDENCYPART_ARC
(3,29),-2.22614 # DEPENDENCYPART_ARC
(3,30),-2.10595 # DEPENDENCYPART_ARC
(3,31),-2.04508 # DEPENDENCYPART_ARC
(3,32),-1.97261 # DEPENDENCYPART_ARC
(4,1),-0.245341 # DEPENDENCYPART_ARC
(4,2),-0.123946 # DEPENDENCYPART_ARC
(4,3),0.781944 # DEPENDENCYPART_ARC
(4,5),-0.0177935 # DEPENDENCYPART_ARC
(4,6),-0.355788 # DEPENDENCYPART_ARC
(4,7),-0.366237 # DEPENDENCYPART_ARC
(4,8),-0.347296 # DEPENDENCYPART_ARC
(4,9),-0.586201 # DEPENDENCYPART_ARC
(4,10),-0.608326 # DEPENDENCYPART_ARC
(4,11),-0.466869 # DEPENDENCYPART_ARC
(4,12),-0.86869 # DEPENDENCYPART_ARC
(4,13),-0.758184 # DEPENDENCYPART_ARC
(4,14),-0.802682 # DEPENDENCYPART_ARC
(4,15),-1.04183 # DEPENDENCYPART_ARC
(4,16),-0.577418 # DEPENDENCYPART_ARC
(4,17),-1.26603 # DEPENDENCYPART_ARC
(4,18),-1.21419 # DEPENDENCYPART_ARC
(4,19),-0.931012 # DEPENDENCYPART_ARC
(4,20),-1.02366 # DEPENDENCYPART_ARC
(4,21),-0.924635 # DEPENDENCYPART_ARC
(4,22),-1.20095 # DEPENDENCYPART_ARC
(4,23),-1.23464 # DEPENDENCYPART_ARC
(4,24),-1.18336 # DEPENDENCYPART_ARC
(4,25),-1.36111 # DEPENDENCYPART_ARC
(4,26),-1.35548 # DEPENDENCYPART_ARC
(4,27),-1.53101 # DEPENDENCYPART_ARC
(4,28),-1.06104 # DEPENDENCYPART_ARC
(4,29),-1.49369 # DEPENDENCYPART_ARC
(4,30),-1.40367 # DEPENDENCYPART_ARC
(4,31),-1.42606 # DEPENDENCYPART_ARC
