# _root_ Şöyle_ya_da_böyle , duvardan _ söz_etmeksizin mekandan , mekandan _ söz_etmeksizin evden _ söz_edemezsiniz .
#goldHeads=14,0,4,5,12,12,0,9,10,13,13,13,14,0,
#predictedHeads=14,0,4,5,6,7,0,9,10,13,13,13,14,0,
(0,1),-0.769012 # DEPENDENCYPART_ARC
(0,2),2.40181 # DEPENDENCYPART_ARC
(0,3),-0.837038 # DEPENDENCYPART_ARC
(0,4),-1.33139 # DEPENDENCYPART_ARC
(0,5),-1.44576 # DEPENDENCYPART_ARC
(0,6),-0.985418 # DEPENDENCYPART_ARC
(0,7),1.15568 # DEPENDENCYPART_ARC
(0,8),-0.752625 # DEPENDENCYPART_ARC
(0,9),-1.50276 # DEPENDENCYPART_ARC
(0,10),-1.43015 # DEPENDENCYPART_ARC
(0,11),-0.937203 # DEPENDENCYPART_ARC
(0,12),-1.4487 # DEPENDENCYPART_ARC
(0,13),-1.80401 # DEPENDENCYPART_ARC
(0,14),2.75934 # DEPENDENCYPART_ARC
(1,2),-0.141095 # DEPENDENCYPART_ARC
(1,3),-1.01437 # DEPENDENCYPART_ARC
(1,4),-1.00283 # DEPENDENCYPART_ARC
(1,5),-0.943855 # DEPENDENCYPART_ARC
(1,6),-1.43045 # DEPENDENCYPART_ARC
(1,7),-1.11793 # DEPENDENCYPART_ARC
(1,8),-1.4293 # DEPENDENCYPART_ARC
(1,9),-1.27075 # DEPENDENCYPART_ARC
(1,10),-1.04476 # DEPENDENCYPART_ARC
(1,11),-1.46233 # DEPENDENCYPART_ARC
(1,12),-1.34059 # DEPENDENCYPART_ARC
(1,13),-1.4387 # DEPENDENCYPART_ARC
(1,14),-1.66461 # DEPENDENCYPART_ARC
(2,1),-0.0215987 # DEPENDENCYPART_ARC
(2,3),0.169396 # DEPENDENCYPART_ARC
(2,4),-0.238344 # DEPENDENCYPART_ARC
(2,5),-0.125631 # DEPENDENCYPART_ARC
(2,6),-0.272875 # DEPENDENCYPART_ARC
(2,7),-0.754415 # DEPENDENCYPART_ARC
(2,8),-0.293517 # DEPENDENCYPART_ARC
(2,9),-0.555833 # DEPENDENCYPART_ARC
(2,10),-0.707708 # DEPENDENCYPART_ARC
(2,11),-0.376722 # DEPENDENCYPART_ARC
(2,12),-0.615973 # DEPENDENCYPART_ARC
(2,13),-0.752178 # DEPENDENCYPART_ARC
(2,14),-2.11608 # DEPENDENCYPART_ARC
(3,1),-0.461276 # DEPENDENCYPART_ARC
(3,2),0.308872 # DEPENDENCYPART_ARC
(3,4),-0.0449812 # DEPENDENCYPART_ARC
(3,5),0.00382369 # DEPENDENCYPART_ARC
(3,6),-1.44694 # DEPENDENCYPART_ARC
(3,7),0.0779531 # DEPENDENCYPART_ARC
(3,8),-2.12686 # DEPENDENCYPART_ARC
(3,9),-1.05666 # DEPENDENCYPART_ARC
