# _root_ Sanırım _ gezmediği ülke , danışmanı _ olmadığı kimse , _ bilmediği ilke kalmadı .
#goldHeads=15,3,4,5,10,7,8,9,10,13,12,13,14,15,0,
#predictedHeads=2,3,4,14,0,7,8,9,14,0,12,13,14,15,0,
(0,1),-0.793531 # DEPENDENCYPART_ARC
(0,2),-0.615153 # DEPENDENCYPART_ARC
(0,3),-0.835816 # DEPENDENCYPART_ARC
(0,4),-1.04109 # DEPENDENCYPART_ARC
(0,5),1.34743 # DEPENDENCYPART_ARC
(0,6),-1.08038 # DEPENDENCYPART_ARC
(0,7),-1.24328 # DEPENDENCYPART_ARC
(0,8),-1.47304 # DEPENDENCYPART_ARC
(0,9),-1.10087 # DEPENDENCYPART_ARC
(0,10),1.4715 # DEPENDENCYPART_ARC
(0,11),-1.48098 # DEPENDENCYPART_ARC
(0,12),-1.54152 # DEPENDENCYPART_ARC
(0,13),-1.10604 # DEPENDENCYPART_ARC
(0,14),-1.39304 # DEPENDENCYPART_ARC
(0,15),3.01783 # DEPENDENCYPART_ARC
(1,2),0.25368 # DEPENDENCYPART_ARC
(1,3),0.23235 # DEPENDENCYPART_ARC
(1,4),1.1578 # DEPENDENCYPART_ARC
(1,5),-0.158354 # DEPENDENCYPART_ARC
(1,6),-0.713532 # DEPENDENCYPART_ARC
(1,7),-0.560946 # DEPENDENCYPART_ARC
(1,8),-0.738551 # DEPENDENCYPART_ARC
(1,9),-0.306134 # DEPENDENCYPART_ARC
(1,10),-0.452344 # DEPENDENCYPART_ARC
(1,11),-0.671165 # DEPENDENCYPART_ARC
(1,12),-1.1046 # DEPENDENCYPART_ARC
(1,13),-1.39976 # DEPENDENCYPART_ARC
(1,14),-1.15137 # DEPENDENCYPART_ARC
(1,15),-1.19047 # DEPENDENCYPART_ARC
(2,1),1.83035 # DEPENDENCYPART_ARC
(2,3),0.798821 # DEPENDENCYPART_ARC
(2,4),0.624149 # DEPENDENCYPART_ARC
(2,5),0.313289 # DEPENDENCYPART_ARC
(2,6),-1.05839 # DEPENDENCYPART_ARC
(2,7),-0.348626 # DEPENDENCYPART_ARC
(2,8),-0.486982 # DEPENDENCYPART_ARC
(2,9),-0.855546 # DEPENDENCYPART_ARC
(2,10),-0.175447 # DEPENDENCYPART_ARC
(2,11),-0.639695 # DEPENDENCYPART_ARC
(2,12),-0.656827 # DEPENDENCYPART_ARC
(2,13),-2.27606 # DEPENDENCYPART_ARC
(2,14),-0.594638 # DEPENDENCYPART_ARC
(2,15),-1.08799 # DEPENDENCYPART_ARC
(3,1),0.833562 # DEPENDENCYPART_ARC
(3,2),2.75401 # DEPENDENCYPART_ARC
(3,4),-0.500419 # DEPENDENCYPART_ARC
(3,5),-0.607901 # DEPENDENCYPART_ARC
(3,6),-1.22726 # DEPENDENCYPART_ARC
(3,7),-1.1523 # DEPENDENCYPART_ARC
(3,8),-1.44961 # DEPENDENCYPART_ARC
(3,9),-1.48821 # DEPENDENCYPART_ARC
(3,10),-1.1983 # DEPENDENCYPART_ARC
(3,11),-1.35683 # DEPENDENCYPART_ARC
(3,12),-1.42589 # DEPENDENCYPART_ARC
(3,13),-1.56077 # DEPENDENCYPART_ARC
(3,14),-1.43123 # DEPENDENCYPART_ARC
(3,15),-1.36421 # DEPENDENCYPART_ARC
(4,1),0.129065 # DEPENDENCYPART_ARC
(4,2),0.665181 # DEPENDENCYPART_ARC
(4,3),2.32012 # DEPENDENCYPART_ARC
(4,5),0.24061 # DEPENDENCYPART_ARC
(4,6),-0.162752 # DEPENDENCYPART_ARC
(4,7),-0.655762 # DEPENDENCYPART_ARC
(4,8),-0.450343 # DEPENDENCYPART_ARC
(4,9),-0.651072 # DEPENDENCYPART_ARC
(4,10),-0.773515 # DEPENDENCYPART_ARC
(4,11),-0.937701 # DEPENDENCYPART_ARC
(4,12),-0.686508 # DEPENDENCYPART_ARC
(4,13),-1.08164 # DEPENDENCYPART_ARC
(4,14),-1.40608 # DEPENDENCYPART_ARC
(4,15),-1.29882 # DEPENDENCYPART_ARC
(5,1),0.771111 # DEPENDENCYPART_ARC
(5,2),-0.357364 # DEPENDENCYPART_ARC
(5,3),0.367945 # DEPENDENCYPART_ARC
(5,4),0.860204 # DEPENDENCYPART_ARC
(5,6),0.618743 # DEPENDENCYPART_ARC
(5,7),-0.142305 # DEPENDENCYPART_ARC
(5,8),-0.433924 # DEPENDENCYPART_ARC
(5,9),-0.26604 # DEPENDENCYPART_ARC
(5,10),-0.608494 # DEPENDENCYPART_ARC
(5,11),-0.534653 # DEPENDENCYPART_ARC
(5,12),-0.720783 # DEPENDENCYPART_ARC
(5,13),-0.456015 # DEPENDENCYPART_ARC
(5,14),-0.0434 # DEPENDENCYPART_ARC
(5,15),-1.42559 # DEPENDENCYPART_ARC
(6,1),-0.435848 # DEPENDENCYPART_ARC
(6,2),-0.683347 # DEPENDENCYPART_ARC
(6,3),0.0497612 # DEPENDENCYPART_ARC
(6,4),1.03106 # DEPENDENCYPART_ARC
(6,5),0.9076 # DEPENDENCYPART_ARC
(6,7),0.0885595 # DEPENDENCYPART_ARC
(6,8),0.218087 # DEPENDENCYPART_ARC
(6,9),-0.317266 # DEPENDENCYPART_ARC
(6,10),-0.188303 # DEPENDENCYPART_ARC
(6,11),-0.868912 # DEPENDENCYPART_ARC
(6,12),-0.475529 # DEPENDENCYPART_ARC
(6,13),-1.03558 # DEPENDENCYPART_ARC
(6,14),-1.4972 # DEPENDENCYPART_ARC
(6,15),-1.15316 # DEPENDENCYPART_ARC
(7,1),0.580117 # DEPENDENCYPART_ARC
(7,2),-2.20382 # DEPENDENCYPART_ARC
(7,3),0.196365 # DEPENDENCYPART_ARC
(7,4),0.570663 # DEPENDENCYPART_ARC
(7,5),0.487553 # DEPENDENCYPART_ARC
(7,6),2.8444 # DEPENDENCYPART_ARC
(7,8),0.233036 # DEPENDENCYPART_ARC
(7,9),0.200254 # DEPENDENCYPART_ARC
(7,10),-0.250781 # DEPENDENCYPART_ARC
(7,11),-0.617627 # DEPENDENCYPART_ARC
(7,12),-0.904332 # DEPENDENCYPART_ARC
(7,13),-1.86447 # DEPENDENCYPART_ARC
(7,14),-0.8462 # DEPENDENCYPART_ARC
(7,15),-1.32043 # DEPENDENCYPART_ARC
(8,1),-0.0820302 # DEPENDENCYPART_ARC
(8,2),-0.686355 # DEPENDENCYPART_ARC
(8,3),-0.239929 # DEPENDENCYPART_ARC
(8,4),0.126643 # DEPENDENCYPART_ARC
(8,5),0.114726 # DEPENDENCYPART_ARC
(8,6),1.91226 # DEPENDENCYPART_ARC
(8,7),2.78122 # DEPENDENCYPART_ARC
(8,9),-0.474139 # DEPENDENCYPART_ARC
(8,10),-0.586974 # DEPENDENCYPART_ARC
(8,11),-1.07358 # DEPENDENCYPART_ARC
(8,12),-1.2539 # DEPENDENCYPART_ARC
(8,13),-1.43386 # DEPENDENCYPART_ARC
(8,14),-1.2172 # DEPENDENCYPART_ARC
(8,15),-1.1508 # DEPENDENCYPART_ARC
(9,1),-1.04915 # DEPENDENCYPART_ARC
(9,2),-3.13432 # DEPENDENCYPART_ARC
(9,3),-0.448688 # DEPENDENCYPART_ARC
(9,4),-0.714152 # DEPENDENCYPART_ARC
(9,5),0.627334 # DEPENDENCYPART_ARC
(9,6),0.468609 # DEPENDENCYPART_ARC
(9,7),0.237653 # DEPENDENCYPART_ARC
(9,8),1.87299 # DEPENDENCYPART_ARC
(9,10),-0.0108102 # DEPENDENCYPART_ARC
(9,11),-0.553123 # DEPENDENCYPART_ARC
(9,12),-0.509158 # DEPENDENCYPART_ARC
(9,13),-0.839277 # DEPENDENCYPART_ARC
(9,14),-1.48945 # DEPENDENCYPART_ARC
(9,15),-1.13085 # DEPENDENCYPART_ARC
(10,1),0.484428 # DEPENDENCYPART_ARC
(10,2),-2.14615 # DEPENDENCYPART_ARC
(10,3),-0.668939 # DEPENDENCYPART_ARC
(10,4),-0.547846 # DEPENDENCYPART_ARC
(10,5),-0.0889319 # DEPENDENCYPART_ARC
(10,6),0.326224 # DEPENDENCYPART_ARC
(10,7),-0.189869 # DEPENDENCYPART_ARC
(10,8),0.471218 # DEPENDENCYPART_ARC
(10,9),0.626721 # DEPENDENCYPART_ARC
(10,11),-0.0541483 # DEPENDENCYPART_ARC
(10,12),-0.570242 # DEPENDENCYPART_ARC
(10,13),-0.151496 # DEPENDENCYPART_ARC
(10,14),0.0595271 # DEPENDENCYPART_ARC
(10,15),-1.04973 # DEPENDENCYPART_ARC
(11,1),0.260384 # DEPENDENCYPART_ARC
(11,2),-5.73747 # DEPENDENCYPART_ARC
(11,3),-0.743812 # DEPENDENCYPART_ARC
(11,4),-0.687564 # DEPENDENCYPART_ARC
(11,5),-1.28716 # DEPENDENCYPART_ARC
(11,6),-0.403035 # DEPENDENCYPART_ARC
(11,7),-1.76111 # DEPENDENCYPART_ARC
(11,8),-0.0303037 # DEPENDENCYPART_ARC
(11,9),0.0493461 # DEPENDENCYPART_ARC
(11,10),0.773411 # DEPENDENCYPART_ARC
(11,12),0.432258 # DEPENDENCYPART_ARC
(11,13),-0.218085 # DEPENDENCYPART_ARC
(11,14),-0.0655255 # DEPENDENCYPART_ARC
(11,15),-0.514306 # DEPENDENCYPART_ARC
(12,1),-0.545487 # DEPENDENCYPART_ARC
(12,2),-2.01766 # DEPENDENCYPART_ARC
(12,3),-0.563436 # DEPENDENCYPART_ARC
(12,4),-0.620031 # DEPENDENCYPART_ARC
(12,5),-0.699898 # DEPENDENCYPART_ARC
(12,6),0.0768187 # DEPENDENCYPART_ARC
(12,7),-0.334997 # DEPENDENCYPART_ARC
