# _root_ Kızaklarda _ _ _ kullanılan tahta , deri ve boynuzların dışında tek_tük halatlar , sicimler de dış dünyadan geliyor bu dağlara .
#goldHeads=4,3,4,5,6,7,8,9,10,11,19,13,14,15,19,15,18,19,22,21,19,0,
#predictedHeads=5,3,4,5,6,7,0,9,10,11,19,13,14,0,19,15,18,19,22,21,19,0,
(0,1),-0.609062 # DEPENDENCYPART_ARC
(0,2),-0.255411 # DEPENDENCYPART_ARC
(0,3),-0.593853 # DEPENDENCYPART_ARC
(0,4),-0.733537 # DEPENDENCYPART_ARC
(0,6),-0.644485 # DEPENDENCYPART_ARC
(0,7),2.19348 # DEPENDENCYPART_ARC
(0,8),-0.62979 # DEPENDENCYPART_ARC
(0,9),-0.929022 # DEPENDENCYPART_ARC
(0,10),-0.992606 # DEPENDENCYPART_ARC
(0,11),-1.37045 # DEPENDENCYPART_ARC
(0,13),-1.36797 # DEPENDENCYPART_ARC
(0,14),2.38314 # DEPENDENCYPART_ARC
(0,15),-1.08176 # DEPENDENCYPART_ARC
(0,16),-1.73473 # DEPENDENCYPART_ARC
(0,18),-0.814902 # DEPENDENCYPART_ARC
(0,19),-1.43843 # DEPENDENCYPART_ARC
(0,21),-1.35076 # DEPENDENCYPART_ARC
(0,22),4.08543 # DEPENDENCYPART_ARC
(1,2),0.185794 # DEPENDENCYPART_ARC
(1,3),-0.136085 # DEPENDENCYPART_ARC
(1,4),-0.502003 # DEPENDENCYPART_ARC
(1,5),-0.171049 # DEPENDENCYPART_ARC
(1,6),-0.372356 # DEPENDENCYPART_ARC
(1,7),-0.136181 # DEPENDENCYPART_ARC
(1,8),-0.813238 # DEPENDENCYPART_ARC
(1,9),-1.14854 # DEPENDENCYPART_ARC
(1,10),-1.23223 # DEPENDENCYPART_ARC
(1,11),-1.88824 # DEPENDENCYPART_ARC
(1,12),-1.31306 # DEPENDENCYPART_ARC
(1,13),-1.96971 # DEPENDENCYPART_ARC
(1,14),-0.966331 # DEPENDENCYPART_ARC
(1,15),-2.19039 # DEPENDENCYPART_ARC
(1,16),-1.66146 # DEPENDENCYPART_ARC
(1,17),-1.40281 # DEPENDENCYPART_ARC
(1,18),-2.42638 # DEPENDENCYPART_ARC
(1,19),-1.21545 # DEPENDENCYPART_ARC
(1,20),-0.386931 # DEPENDENCYPART_ARC
(1,21),-2.01056 # DEPENDENCYPART_ARC
(1,22),-1.59723 # DEPENDENCYPART_ARC
(2,1),0.54908 # DEPENDENCYPART_ARC
(2,3),0.118954 # DEPENDENCYPART_ARC
(2,4),-0.521718 # DEPENDENCYPART_ARC
(2,5),0.108715 # DEPENDENCYPART_ARC
(2,6),-0.198569 # DEPENDENCYPART_ARC
(2,7),-0.398528 # DEPENDENCYPART_ARC
(2,8),-0.739639 # DEPENDENCYPART_ARC
(2,9),-1.1486 # DEPENDENCYPART_ARC
(2,10),-1.51536 # DEPENDENCYPART_ARC
(2,11),-2.41139 # DEPENDENCYPART_ARC
(2,12),-1.12179 # DEPENDENCYPART_ARC
(2,13),-1.877 # DEPENDENCYPART_ARC
(2,14),-1.15683 # DEPENDENCYPART_ARC
(2,15),-2.24884 # DEPENDENCYPART_ARC
(2,16),-1.36952 # DEPENDENCYPART_ARC
(2,17),-1.4023 # DEPENDENCYPART_ARC
(2,18),-3.44491 # DEPENDENCYPART_ARC
(2,19),-2.55032 # DEPENDENCYPART_ARC
(2,20),-0.461431 # DEPENDENCYPART_ARC
(2,21),-2.37244 # DEPENDENCYPART_ARC
(2,22),-1.73854 # DEPENDENCYPART_ARC
(3,1),1.10182 # DEPENDENCYPART_ARC
(3,2),2.86218 # DEPENDENCYPART_ARC
(3,4),-0.388778 # DEPENDENCYPART_ARC
(3,5),-0.473281 # DEPENDENCYPART_ARC
(3,6),0.509592 # DEPENDENCYPART_ARC
(3,7),-0.628517 # DEPENDENCYPART_ARC
(3,8),-1.33194 # DEPENDENCYPART_ARC
(3,9),-1.66448 # DEPENDENCYPART_ARC
(3,10),-2.06117 # DEPENDENCYPART_ARC
(3,11),-1.84985 # DEPENDENCYPART_ARC
(3,12),-1.91709 # DEPENDENCYPART_ARC
(3,13),-1.62692 # DEPENDENCYPART_ARC
(3,14),-1.33175 # DEPENDENCYPART_ARC
(3,15),-2.95707 # DEPENDENCYPART_ARC
(3,16),-1.5256 # DEPENDENCYPART_ARC
