# _root_ Hannes_Alfven : Big_bang bir _ söylencedir , _ _ haksızlık etmeyelim , belki de iyi bir söylence .
#goldHeads=5,0,6,5,6,7,17,9,10,11,17,0,17,13,17,17,2,0,
#predictedHeads=6,0,6,5,6,7,11,9,10,11,12,0,17,13,17,17,18,0,
(0,1),-0.604005 # DEPENDENCYPART_ARC
(0,2),3.0657 # DEPENDENCYPART_ARC
(0,3),-0.689161 # DEPENDENCYPART_ARC
(0,4),-0.682587 # DEPENDENCYPART_ARC
(0,5),-1.0691 # DEPENDENCYPART_ARC
(0,6),-1.29118 # DEPENDENCYPART_ARC
(0,7),0.822114 # DEPENDENCYPART_ARC
(0,8),-1.03062 # DEPENDENCYPART_ARC
(0,9),-1.63039 # DEPENDENCYPART_ARC
(0,10),-1.02433 # DEPENDENCYPART_ARC
(0,11),-1.31127 # DEPENDENCYPART_ARC
(0,12),1.02056 # DEPENDENCYPART_ARC
(0,13),-1.5529 # DEPENDENCYPART_ARC
(0,14),-0.998905 # DEPENDENCYPART_ARC
(0,15),-1.82778 # DEPENDENCYPART_ARC
(0,16),-1.34297 # DEPENDENCYPART_ARC
(0,17),-1.31524 # DEPENDENCYPART_ARC
(0,18),3.02541 # DEPENDENCYPART_ARC
(1,2),0.435384 # DEPENDENCYPART_ARC
(1,3),-0.159829 # DEPENDENCYPART_ARC
(1,4),-0.241988 # DEPENDENCYPART_ARC
(1,5),-0.625915 # DEPENDENCYPART_ARC
(1,6),-1.3417 # DEPENDENCYPART_ARC
(1,7),-0.428334 # DEPENDENCYPART_ARC
(1,8),-1.03929 # DEPENDENCYPART_ARC
(1,9),-1.14148 # DEPENDENCYPART_ARC
(1,10),-1.08135 # DEPENDENCYPART_ARC
(1,11),-1.22937 # DEPENDENCYPART_ARC
(1,12),-0.515222 # DEPENDENCYPART_ARC
(1,13),-0.933871 # DEPENDENCYPART_ARC
(1,14),-0.836454 # DEPENDENCYPART_ARC
(1,15),-1.16576 # DEPENDENCYPART_ARC
(1,16),-0.618455 # DEPENDENCYPART_ARC
