# _root_ O kolay , dedi Katana , ben taşırım .
#goldHeads=2,6,4,9,4,4,8,6,0,
#predictedHeads=2,3,4,9,4,4,8,9,0,
(0,3),1.00121 # DEPENDENCYPART_ARC
(0,4),-1.36991 # DEPENDENCYPART_ARC
(0,5),-1.14508 # DEPENDENCYPART_ARC
(0,6),0.988917 # DEPENDENCYPART_ARC
(0,8),-1.50263 # DEPENDENCYPART_ARC
(0,9),2.24458 # DEPENDENCYPART_ARC
(1,2),-0.200108 # DEPENDENCYPART_ARC
(1,3),-0.355889 # DEPENDENCYPART_ARC
(1,6),-0.770642 # DEPENDENCYPART_ARC
(1,7),-0.855194 # DEPENDENCYPART_ARC
(1,9),-0.976763 # DEPENDENCYPART_ARC
(2,1),1.45236 # DEPENDENCYPART_ARC
(2,3),0.0493616 # DEPENDENCYPART_ARC
(2,4),-0.548933 # DEPENDENCYPART_ARC
(2,5),-0.289314 # DEPENDENCYPART_ARC
(2,6),-0.719615 # DEPENDENCYPART_ARC
(2,7),-0.393379 # DEPENDENCYPART_ARC
(2,8),-0.858056 # DEPENDENCYPART_ARC
(2,9),-0.990236 # DEPENDENCYPART_ARC
(3,1),0.0885789 # DEPENDENCYPART_ARC
(3,2),1.47503 # DEPENDENCYPART_ARC
(3,4),0.446362 # DEPENDENCYPART_ARC
(3,5),0.607445 # DEPENDENCYPART_ARC
(3,6),0.217957 # DEPENDENCYPART_ARC
(3,7),-0.0075218 # DEPENDENCYPART_ARC
(3,8),0.606866 # DEPENDENCYPART_ARC
(3,9),-0.495837 # DEPENDENCYPART_ARC
(4,1),0.353522 # DEPENDENCYPART_ARC
(4,2),0.780212 # DEPENDENCYPART_ARC
(4,3),2.01177 # DEPENDENCYPART_ARC
(4,5),3.66575 # DEPENDENCYPART_ARC
(4,6),1.65656 # DEPENDENCYPART_ARC
(4,7),0.327451 # DEPENDENCYPART_ARC
(4,8),0.542402 # DEPENDENCYPART_ARC
(4,9),0.316693 # DEPENDENCYPART_ARC
(5,2),-0.586757 # DEPENDENCYPART_ARC
(5,3),-0.231478 # DEPENDENCYPART_ARC
(5,4),0.938228 # DEPENDENCYPART_ARC
(5,6),0.591393 # DEPENDENCYPART_ARC
(5,7),0.585553 # DEPENDENCYPART_ARC
(5,8),-0.933083 # DEPENDENCYPART_ARC
(5,9),-0.379842 # DEPENDENCYPART_ARC
(6,1),-0.982777 # DEPENDENCYPART_ARC
(6,2),-0.677575 # DEPENDENCYPART_ARC
(6,3),-0.178601 # DEPENDENCYPART_ARC
(6,4),0.984407 # DEPENDENCYPART_ARC
(6,5),0.732567 # DEPENDENCYPART_ARC
(6,7),-0.0370339 # DEPENDENCYPART_ARC
(6,8),0.260657 # DEPENDENCYPART_ARC
(6,9),-0.159632 # DEPENDENCYPART_ARC
(7,2),-0.660056 # DEPENDENCYPART_ARC
(7,3),-0.626408 # DEPENDENCYPART_ARC
(7,6),0.538077 # DEPENDENCYPART_ARC
(7,9),-0.00915086 # DEPENDENCYPART_ARC
(8,1),0.457614 # DEPENDENCYPART_ARC
(8,2),-0.00435298 # DEPENDENCYPART_ARC
(8,3),0.0065154 # DEPENDENCYPART_ARC
(8,4),0.203163 # DEPENDENCYPART_ARC
(8,5),0.828573 # DEPENDENCYPART_ARC
(8,6),0.783382 # DEPENDENCYPART_ARC
(8,7),3.33489 # DEPENDENCYPART_ARC
(8,9),-0.406523 # DEPENDENCYPART_ARC
(9,1),-0.943218 # DEPENDENCYPART_ARC
(9,2),-0.591652 # DEPENDENCYPART_ARC
(9,3),-0.208874 # DEPENDENCYPART_ARC
(9,4),1.97948 # DEPENDENCYPART_ARC
(9,5),-0.275097 # DEPENDENCYPART_ARC
(9,6),0.50866 # DEPENDENCYPART_ARC
(9,7),0.135256 # DEPENDENCYPART_ARC
(9,8),1.67269 # DEPENDENCYPART_ARC
