# _root_ ATO Başkanı Sinan_Aygün , Maliye Bakanı Kemal_Yazıcıoğlu ziyaretinden sonra da Bakan'ın " Vergi_Barışı_Projesi " konusunda , ocak ayının ilk haftasında _ mükelleflere müjde _ _ verebileceklerini _ söylediğini _ bildirdi .
#goldHeads=2,3,30,0,6,7,8,9,27,9,13,0,15,0,24,0,18,20,20,24,22,24,24,25,26,27,28,30,30,31,0,
#predictedHeads=2,3,30,0,6,7,8,9,30,9,13,0,15,0,16,0,18,20,20,21,22,24,25,25,26,27,28,30,30,31,0,
(0,1),-0.619338 # DEPENDENCYPART_ARC
(0,2),-0.905716 # DEPENDENCYPART_ARC
(0,3),-0.758501 # DEPENDENCYPART_ARC
(0,4),1.87686 # DEPENDENCYPART_ARC
(0,5),-1.02319 # DEPENDENCYPART_ARC
(0,6),-1.06872 # DEPENDENCYPART_ARC
(0,7),-0.760353 # DEPENDENCYPART_ARC
(0,8),-1.22295 # DEPENDENCYPART_ARC
(0,9),-1.47966 # DEPENDENCYPART_ARC
(0,10),-1.28958 # DEPENDENCYPART_ARC
(0,11),-1.56023 # DEPENDENCYPART_ARC
(0,12),4.15124 # DEPENDENCYPART_ARC
(0,13),-1.79132 # DEPENDENCYPART_ARC
(0,14),4.56479 # DEPENDENCYPART_ARC
(0,15),-1.77837 # DEPENDENCYPART_ARC
(0,16),1.29345 # DEPENDENCYPART_ARC
(0,17),-1.23171 # DEPENDENCYPART_ARC
(0,18),-1.44862 # DEPENDENCYPART_ARC
(0,19),-2.41548 # DEPENDENCYPART_ARC
(0,20),-1.91795 # DEPENDENCYPART_ARC
(0,21),-3.68846 # DEPENDENCYPART_ARC
(0,22),-1.68714 # DEPENDENCYPART_ARC
(0,23),-1.20197 # DEPENDENCYPART_ARC
(0,24),-3.28794 # DEPENDENCYPART_ARC
(0,25),-3.06075 # DEPENDENCYPART_ARC
(0,26),-1.5244 # DEPENDENCYPART_ARC
(0,27),-3.31288 # DEPENDENCYPART_ARC
(0,28),-1.88612 # DEPENDENCYPART_ARC
(0,29),-3.22663 # DEPENDENCYPART_ARC
(0,30),-2.36138 # DEPENDENCYPART_ARC
(0,31),3.85792 # DEPENDENCYPART_ARC
(1,2),0.0610109 # DEPENDENCYPART_ARC
(1,3),-0.0875865 # DEPENDENCYPART_ARC
(1,4),-0.0541134 # DEPENDENCYPART_ARC
(1,5),-0.821199 # DEPENDENCYPART_ARC
(1,6),-1.1888 # DEPENDENCYPART_ARC
(1,7),-1.25786 # DEPENDENCYPART_ARC
(1,8),-2.40065 # DEPENDENCYPART_ARC
(1,9),-0.778069 # DEPENDENCYPART_ARC
(1,10),-0.37661 # DEPENDENCYPART_ARC
(1,11),-1.66912 # DEPENDENCYPART_ARC
(1,12),-1.08859 # DEPENDENCYPART_ARC
(1,13),-1.95588 # DEPENDENCYPART_ARC
(1,14),-1.19904 # DEPENDENCYPART_ARC
(1,15),-2.96699 # DEPENDENCYPART_ARC
(1,16),-1.04216 # DEPENDENCYPART_ARC
(1,17),-2.35014 # DEPENDENCYPART_ARC
(1,18),-2.81396 # DEPENDENCYPART_ARC
(1,19),-1.64229 # DEPENDENCYPART_ARC
