# _root_ Siz olmasanız , ben olmasam , yani nasıl ...
#goldHeads=2,3,5,5,6,8,9,9,0,
#predictedHeads=2,3,5,5,6,0,9,9,0,
(0,1),-0.632711 # DEPENDENCYPART_ARC
(0,2),-0.869218 # DEPENDENCYPART_ARC
(0,3),0.787759 # DEPENDENCYPART_ARC
(0,4),-1.33862 # DEPENDENCYPART_ARC
(0,5),-1.41499 # DEPENDENCYPART_ARC
(0,6),0.545052 # DEPENDENCYPART_ARC
(0,7),-0.807435 # DEPENDENCYPART_ARC
(0,8),-1.59842 # DEPENDENCYPART_ARC
(0,9),2.00984 # DEPENDENCYPART_ARC
(1,2),0.00148347 # DEPENDENCYPART_ARC
(1,3),0.126414 # DEPENDENCYPART_ARC
(1,4),-0.759936 # DEPENDENCYPART_ARC
(1,5),-0.56877 # DEPENDENCYPART_ARC
(1,6),-0.44704 # DEPENDENCYPART_ARC
(1,7),0.0360776 # DEPENDENCYPART_ARC
(1,8),-0.590468 # DEPENDENCYPART_ARC
(1,9),-0.748051 # DEPENDENCYPART_ARC
(2,1),3.39423 # DEPENDENCYPART_ARC
(2,3),-0.164796 # DEPENDENCYPART_ARC
(2,4),-0.0658645 # DEPENDENCYPART_ARC
(2,5),-0.876695 # DEPENDENCYPART_ARC
(2,6),-0.801361 # DEPENDENCYPART_ARC
(2,7),-0.727953 # DEPENDENCYPART_ARC
(2,8),-0.911237 # DEPENDENCYPART_ARC
(2,9),-1.30121 # DEPENDENCYPART_ARC
(3,1),0.145551 # DEPENDENCYPART_ARC
(3,2),1.71913 # DEPENDENCYPART_ARC
(3,4),0.183392 # DEPENDENCYPART_ARC
(3,5),0.291837 # DEPENDENCYPART_ARC
(3,6),-0.124398 # DEPENDENCYPART_ARC
(3,7),-0.398207 # DEPENDENCYPART_ARC
(3,8),0.100422 # DEPENDENCYPART_ARC
(3,9),-0.372798 # DEPENDENCYPART_ARC
(4,1),-0.551739 # DEPENDENCYPART_ARC
(4,2),-1.33831 # DEPENDENCYPART_ARC
(4,3),0.480274 # DEPENDENCYPART_ARC
(4,5),-0.0850792 # DEPENDENCYPART_ARC
(4,6),-0.0198899 # DEPENDENCYPART_ARC
(4,7),-0.00400099 # DEPENDENCYPART_ARC
(4,8),-0.68924 # DEPENDENCYPART_ARC
(4,9),-0.80951 # DEPENDENCYPART_ARC
(5,1),1.28724 # DEPENDENCYPART_ARC
(5,2),0.649968 # DEPENDENCYPART_ARC
(5,3),1.945 # DEPENDENCYPART_ARC
(5,4),3.69655 # DEPENDENCYPART_ARC
(5,6),-0.401851 # DEPENDENCYPART_ARC
(5,7),-0.274915 # DEPENDENCYPART_ARC
(5,8),-0.714834 # DEPENDENCYPART_ARC
(5,9),-1.44983 # DEPENDENCYPART_ARC
(6,1),-0.524728 # DEPENDENCYPART_ARC
(6,2),-0.212989 # DEPENDENCYPART_ARC
(6,3),0.644269 # DEPENDENCYPART_ARC
(6,4),0.120296 # DEPENDENCYPART_ARC
(6,5),1.40243 # DEPENDENCYPART_ARC
(6,7),-0.148222 # DEPENDENCYPART_ARC
(6,8),-0.175872 # DEPENDENCYPART_ARC
(6,9),-0.241194 # DEPENDENCYPART_ARC
(7,1),-0.826577 # DEPENDENCYPART_ARC
(7,2),-0.341224 # DEPENDENCYPART_ARC
(7,3),-1.11909 # DEPENDENCYPART_ARC
(7,4),-0.494073 # DEPENDENCYPART_ARC
(7,5),0.397363 # DEPENDENCYPART_ARC
(7,6),0.181467 # DEPENDENCYPART_ARC
(7,8),0.289332 # DEPENDENCYPART_ARC
(7,9),-0.0632139 # DEPENDENCYPART_ARC
(8,1),-1.10637 # DEPENDENCYPART_ARC
(8,2),-1.6089 # DEPENDENCYPART_ARC
(8,3),-0.854012 # DEPENDENCYPART_ARC
(8,4),-0.890499 # DEPENDENCYPART_ARC
(8,5),-1.03747 # DEPENDENCYPART_ARC
(8,6),-0.185016 # DEPENDENCYPART_ARC
(8,7),0.243831 # DEPENDENCYPART_ARC
(8,9),0.148063 # DEPENDENCYPART_ARC
(9,1),-0.0764516 # DEPENDENCYPART_ARC
(9,2),0.205373 # DEPENDENCYPART_ARC
(9,3),-0.396595 # DEPENDENCYPART_ARC
(9,4),-0.330339 # DEPENDENCYPART_ARC
(9,5),1.07233 # DEPENDENCYPART_ARC
(9,6),-0.120444 # DEPENDENCYPART_ARC
(9,7),0.738683 # DEPENDENCYPART_ARC
(9,8),0.861999 # DEPENDENCYPART_ARC
