# _root_ İçim _ kıskançlık , acı , kin ve nefretle _ doluydu .
#goldHeads=11,3,4,5,6,7,8,9,11,11,12,0,
#predictedHeads=2,3,4,5,6,0,8,9,10,11,12,0,
(0,1),-0.89646 # DEPENDENCYPART_ARC
(0,2),-0.801365 # DEPENDENCYPART_ARC
(0,3),-1.24317 # DEPENDENCYPART_ARC
(0,4),1.75488 # DEPENDENCYPART_ARC
(0,5),-1.1712 # DEPENDENCYPART_ARC
(0,6),1.39512 # DEPENDENCYPART_ARC
(0,7),-0.895837 # DEPENDENCYPART_ARC
(0,8),-1.53677 # DEPENDENCYPART_ARC
(0,9),-1.20799 # DEPENDENCYPART_ARC
(0,10),-2.37598 # DEPENDENCYPART_ARC
(0,11),-1.56386 # DEPENDENCYPART_ARC
(0,12),2.64451 # DEPENDENCYPART_ARC
(1,2),-0.473632 # DEPENDENCYPART_ARC
(1,3),-0.244825 # DEPENDENCYPART_ARC
(1,4),-0.0675314 # DEPENDENCYPART_ARC
(1,5),-1.19165 # DEPENDENCYPART_ARC
(1,6),-0.480838 # DEPENDENCYPART_ARC
(1,7),-1.66361 # DEPENDENCYPART_ARC
(1,8),-0.957596 # DEPENDENCYPART_ARC
(1,9),-2.45121 # DEPENDENCYPART_ARC
(1,10),-1.28611 # DEPENDENCYPART_ARC
(1,11),-1.2975 # DEPENDENCYPART_ARC
(1,12),-1.36099 # DEPENDENCYPART_ARC
(2,1),1.77105 # DEPENDENCYPART_ARC
(2,3),0.193589 # DEPENDENCYPART_ARC
(2,4),0.241225 # DEPENDENCYPART_ARC
(2,5),-0.449302 # DEPENDENCYPART_ARC
(2,6),-0.280097 # DEPENDENCYPART_ARC
(2,7),-1.04392 # DEPENDENCYPART_ARC
(2,8),-1.00097 # DEPENDENCYPART_ARC
(2,9),-2.40441 # DEPENDENCYPART_ARC
(2,10),-1.41145 # DEPENDENCYPART_ARC
(2,11),-1.53376 # DEPENDENCYPART_ARC
(2,12),-1.26309 # DEPENDENCYPART_ARC
(3,1),1.22534 # DEPENDENCYPART_ARC
(3,2),2.85823 # DEPENDENCYPART_ARC
(3,4),-0.41514 # DEPENDENCYPART_ARC
(3,5),-0.362886 # DEPENDENCYPART_ARC
(3,6),-1.22938 # DEPENDENCYPART_ARC
(3,7),-1.12753 # DEPENDENCYPART_ARC
(3,8),-1.35266 # DEPENDENCYPART_ARC
(3,9),-2.01125 # DEPENDENCYPART_ARC
(3,10),-1.94427 # DEPENDENCYPART_ARC
(3,11),-1.91196 # DEPENDENCYPART_ARC
(3,12),-2.04284 # DEPENDENCYPART_ARC
(4,1),0.618783 # DEPENDENCYPART_ARC
(4,2),-0.465698 # DEPENDENCYPART_ARC
(4,3),1.35128 # DEPENDENCYPART_ARC
(4,5),0.19379 # DEPENDENCYPART_ARC
(4,6),-0.443622 # DEPENDENCYPART_ARC
(4,7),-0.259356 # DEPENDENCYPART_ARC
(4,8),-0.743074 # DEPENDENCYPART_ARC
(4,9),-0.928924 # DEPENDENCYPART_ARC
(4,10),-1.31073 # DEPENDENCYPART_ARC
(4,11),-0.340322 # DEPENDENCYPART_ARC
(4,12),-1.22863 # DEPENDENCYPART_ARC
(5,1),-0.523215 # DEPENDENCYPART_ARC
(5,2),-1.03006 # DEPENDENCYPART_ARC
(5,3),0.265735 # DEPENDENCYPART_ARC
(5,4),1.99052 # DEPENDENCYPART_ARC
(5,6),0.537409 # DEPENDENCYPART_ARC
(5,7),-0.270485 # DEPENDENCYPART_ARC
(5,8),-0.565772 # DEPENDENCYPART_ARC
(5,9),-1.65647 # DEPENDENCYPART_ARC
(5,10),-1.15901 # DEPENDENCYPART_ARC
(5,11),-1.44288 # DEPENDENCYPART_ARC
(5,12),-1.46942 # DEPENDENCYPART_ARC
(6,1),0.0428249 # DEPENDENCYPART_ARC
(6,2),-1.35245 # DEPENDENCYPART_ARC
(6,3),0.176171 # DEPENDENCYPART_ARC
(6,4),0.278366 # DEPENDENCYPART_ARC
(6,5),1.95692 # DEPENDENCYPART_ARC
(6,7),0.244793 # DEPENDENCYPART_ARC
(6,8),-0.342991 # DEPENDENCYPART_ARC
(6,9),-0.535955 # DEPENDENCYPART_ARC
(6,10),-0.918019 # DEPENDENCYPART_ARC
(6,11),-0.259856 # DEPENDENCYPART_ARC
(6,12),-0.764301 # DEPENDENCYPART_ARC
(7,1),-0.770688 # DEPENDENCYPART_ARC
(7,2),-1.65434 # DEPENDENCYPART_ARC
(7,3),-0.14097 # DEPENDENCYPART_ARC
(7,4),0.0705924 # DEPENDENCYPART_ARC
(7,5),-0.163794 # DEPENDENCYPART_ARC
(7,6),1.38311 # DEPENDENCYPART_ARC
(7,8),0.500133 # DEPENDENCYPART_ARC
(7,9),-1.68162 # DEPENDENCYPART_ARC
(7,10),-1.2097 # DEPENDENCYPART_ARC
(7,11),-1.46785 # DEPENDENCYPART_ARC
(7,12),-1.59508 # DEPENDENCYPART_ARC
(8,1),-1.1104 # DEPENDENCYPART_ARC
(8,2),-1.38303 # DEPENDENCYPART_ARC
(8,3),-0.399336 # DEPENDENCYPART_ARC
(8,4),-0.859217 # DEPENDENCYPART_ARC
(8,5),0.0973309 # DEPENDENCYPART_ARC
(8,6),-0.0697837 # DEPENDENCYPART_ARC
(8,7),3.28426 # DEPENDENCYPART_ARC
(8,9),-0.452711 # DEPENDENCYPART_ARC
(8,10),-0.522857 # DEPENDENCYPART_ARC
(8,11),-0.77738 # DEPENDENCYPART_ARC
(8,12),-0.868622 # DEPENDENCYPART_ARC
(9,1),-1.07486 # DEPENDENCYPART_ARC
