# _root_ Ama , doların _ hızlı _ düşüşü enflasyonu _ _ artırırken , yumuşak inişi _ _ _ sertleştirebilecektir .
#goldHeads=19,0,6,5,7,7,10,10,10,11,18,0,14,18,16,17,18,19,0,
#predictedHeads=19,0,7,5,7,7,8,10,10,11,18,0,14,18,16,17,18,19,0,
(0,1),-0.544658 # DEPENDENCYPART_ARC
(0,2),2.04644 # DEPENDENCYPART_ARC
(0,3),-1.41335 # DEPENDENCYPART_ARC
(0,4),-1.62163 # DEPENDENCYPART_ARC
(0,6),-1.83664 # DEPENDENCYPART_ARC
(0,8),-1.27078 # DEPENDENCYPART_ARC
(0,9),-1.62476 # DEPENDENCYPART_ARC
(0,10),-2.26487 # DEPENDENCYPART_ARC
(0,12),1.57832 # DEPENDENCYPART_ARC
(0,14),-2.09709 # DEPENDENCYPART_ARC
(0,16),-2.3058 # DEPENDENCYPART_ARC
(0,17),-2.47839 # DEPENDENCYPART_ARC
(0,18),-2.3981 # DEPENDENCYPART_ARC
(0,19),3.02037 # DEPENDENCYPART_ARC
(1,2),-0.260541 # DEPENDENCYPART_ARC
(1,3),-1.03901 # DEPENDENCYPART_ARC
(1,4),-1.22956 # DEPENDENCYPART_ARC
(1,5),-1.25028 # DEPENDENCYPART_ARC
(1,6),-1.43756 # DEPENDENCYPART_ARC
(1,7),-1.41402 # DEPENDENCYPART_ARC
(1,8),-1.40313 # DEPENDENCYPART_ARC
(1,9),-1.50232 # DEPENDENCYPART_ARC
(1,10),-1.30555 # DEPENDENCYPART_ARC
(1,11),-1.19751 # DEPENDENCYPART_ARC
(1,12),-1.48223 # DEPENDENCYPART_ARC
(1,13),-1.51405 # DEPENDENCYPART_ARC
(1,14),-1.89326 # DEPENDENCYPART_ARC
(1,15),-1.48544 # DEPENDENCYPART_ARC
(1,16),-1.66763 # DEPENDENCYPART_ARC
(1,17),-1.63995 # DEPENDENCYPART_ARC
(1,18),-1.74414 # DEPENDENCYPART_ARC
(1,19),-2.06137 # DEPENDENCYPART_ARC
(2,1),0.275757 # DEPENDENCYPART_ARC
(2,3),-0.201416 # DEPENDENCYPART_ARC
(2,4),-0.568485 # DEPENDENCYPART_ARC
(2,5),-1.09694 # DEPENDENCYPART_ARC
