# _root_ Eee , sen tarlaya yemek götürdün , biz ne yapacağız .
#goldHeads=6,0,6,6,6,7,10,10,10,11,0,
#predictedHeads=6,0,6,6,6,7,10,10,10,11,0,
(0,2),2.23474 # DEPENDENCYPART_ARC
(0,4),-0.55716 # DEPENDENCYPART_ARC
(0,5),-0.642219 # DEPENDENCYPART_ARC
(0,6),-1.21014 # DEPENDENCYPART_ARC
(0,7),0.748382 # DEPENDENCYPART_ARC
(0,10),-1.21663 # DEPENDENCYPART_ARC
(0,11),2.4287 # DEPENDENCYPART_ARC
(1,2),0.252854 # DEPENDENCYPART_ARC
(1,4),-0.489714 # DEPENDENCYPART_ARC
(1,5),-0.52372 # DEPENDENCYPART_ARC
(1,6),-0.787381 # DEPENDENCYPART_ARC
(1,7),-0.563857 # DEPENDENCYPART_ARC
(1,10),-0.6462 # DEPENDENCYPART_ARC
(1,11),-0.536227 # DEPENDENCYPART_ARC
(2,1),-0.138171 # DEPENDENCYPART_ARC
(2,3),-0.147224 # DEPENDENCYPART_ARC
(2,4),-0.137165 # DEPENDENCYPART_ARC
(2,5),-0.0969049 # DEPENDENCYPART_ARC
(2,6),-0.0691884 # DEPENDENCYPART_ARC
(2,7),-0.700645 # DEPENDENCYPART_ARC
(2,8),-0.759957 # DEPENDENCYPART_ARC
(2,9),-0.754371 # DEPENDENCYPART_ARC
(2,10),-0.0725719 # DEPENDENCYPART_ARC
(2,11),-1.10977 # DEPENDENCYPART_ARC
(3,1),-0.761244 # DEPENDENCYPART_ARC
(3,2),0.221317 # DEPENDENCYPART_ARC
(3,4),-0.254198 # DEPENDENCYPART_ARC
(3,5),-0.444999 # DEPENDENCYPART_ARC
(3,7),-0.089749 # DEPENDENCYPART_ARC
(3,8),-1.44185 # DEPENDENCYPART_ARC
(3,11),-0.837446 # DEPENDENCYPART_ARC
(4,1),-0.426301 # DEPENDENCYPART_ARC
(4,2),0.0292675 # DEPENDENCYPART_ARC
(4,3),1.00705 # DEPENDENCYPART_ARC
(4,5),-0.411952 # DEPENDENCYPART_ARC
(4,6),-1.29351 # DEPENDENCYPART_ARC
(4,7),0.0861903 # DEPENDENCYPART_ARC
(4,8),-1.30792 # DEPENDENCYPART_ARC
(4,9),-1.26865 # DEPENDENCYPART_ARC
(4,10),-1.41702 # DEPENDENCYPART_ARC
(4,11),-0.841434 # DEPENDENCYPART_ARC
(5,1),-0.574803 # DEPENDENCYPART_ARC
(5,2),0.0112085 # DEPENDENCYPART_ARC
(5,3),0.438293 # DEPENDENCYPART_ARC
(5,4),1.5386 # DEPENDENCYPART_ARC
(5,6),-0.897369 # DEPENDENCYPART_ARC
(5,7),0.398157 # DEPENDENCYPART_ARC
(5,8),-0.545273 # DEPENDENCYPART_ARC
(5,9),-0.268898 # DEPENDENCYPART_ARC
(5,10),-1.27894 # DEPENDENCYPART_ARC
(5,11),-0.778988 # DEPENDENCYPART_ARC
(6,1),0.695793 # DEPENDENCYPART_ARC
(6,2),1.02491 # DEPENDENCYPART_ARC
(6,3),2.51867 # DEPENDENCYPART_ARC
(6,4),2.35524 # DEPENDENCYPART_ARC
(6,5),3.02938 # DEPENDENCYPART_ARC
(6,7),0.00967486 # DEPENDENCYPART_ARC
(6,8),-0.224889 # DEPENDENCYPART_ARC
(6,9),-0.330912 # DEPENDENCYPART_ARC
(6,10),-0.343423 # DEPENDENCYPART_ARC
(6,11),-1.20416 # DEPENDENCYPART_ARC
(7,1),-0.27745 # DEPENDENCYPART_ARC
(7,2),0.0127266 # DEPENDENCYPART_ARC
(7,3),-0.103864 # DEPENDENCYPART_ARC
(7,4),0.582079 # DEPENDENCYPART_ARC
(7,5),0.4204 # DEPENDENCYPART_ARC
(7,6),1.56451 # DEPENDENCYPART_ARC
(7,8),0.113002 # DEPENDENCYPART_ARC
(7,9),-0.182951 # DEPENDENCYPART_ARC
(7,10),0.46496 # DEPENDENCYPART_ARC
(7,11),0.0307108 # DEPENDENCYPART_ARC
(8,1),-1.19741 # DEPENDENCYPART_ARC
(8,2),-1.41267 # DEPENDENCYPART_ARC
(8,3),-2.01588 # DEPENDENCYPART_ARC
(8,4),-1.59691 # DEPENDENCYPART_ARC
(8,5),-1.35734 # DEPENDENCYPART_ARC
(8,7),-0.0250582 # DEPENDENCYPART_ARC
(8,11),-0.17424 # DEPENDENCYPART_ARC
(9,2),-0.29238 # DEPENDENCYPART_ARC
(9,3),-0.750082 # DEPENDENCYPART_ARC
(9,4),-0.713725 # DEPENDENCYPART_ARC
(9,5),-0.532437 # DEPENDENCYPART_ARC
(9,7),0.426704 # DEPENDENCYPART_ARC
(9,8),1.16938 # DEPENDENCYPART_ARC
(9,11),0.130518 # DEPENDENCYPART_ARC
(10,1),0.402936 # DEPENDENCYPART_ARC
(10,2),0.0824793 # DEPENDENCYPART_ARC
(10,3),0.747932 # DEPENDENCYPART_ARC
(10,4),0.574896 # DEPENDENCYPART_ARC
(10,5),0.140506 # DEPENDENCYPART_ARC
