# _root_ Sen donunu taşı , dedi Recep oğlana , kayığın üstünde _ unuttuğu donu _ gösterip .
#goldHeads=3,3,4,5,16,5,5,0,10,11,12,13,14,15,5,0,
#predictedHeads=3,3,4,5,16,5,5,5,10,11,12,13,14,15,5,0,
(0,1),-0.48935 # DEPENDENCYPART_ARC
(0,2),-0.799052 # DEPENDENCYPART_ARC
(0,3),-1.04918 # DEPENDENCYPART_ARC
(0,4),1.09851 # DEPENDENCYPART_ARC
(0,5),-1.4704 # DEPENDENCYPART_ARC
(0,6),-0.863248 # DEPENDENCYPART_ARC
(0,7),-0.647731 # DEPENDENCYPART_ARC
(0,8),1.36627 # DEPENDENCYPART_ARC
(0,9),-0.637893 # DEPENDENCYPART_ARC
(0,10),-0.976788 # DEPENDENCYPART_ARC
(0,11),-1.6724 # DEPENDENCYPART_ARC
(0,12),-1.58766 # DEPENDENCYPART_ARC
(0,13),-1.06122 # DEPENDENCYPART_ARC
(0,14),-1.80459 # DEPENDENCYPART_ARC
(0,15),-1.71018 # DEPENDENCYPART_ARC
(0,16),3.70253 # DEPENDENCYPART_ARC
(1,2),-0.899293 # DEPENDENCYPART_ARC
(1,3),-0.909605 # DEPENDENCYPART_ARC
(1,4),-0.27707 # DEPENDENCYPART_ARC
(1,5),-1.20277 # DEPENDENCYPART_ARC
(1,6),-1.13281 # DEPENDENCYPART_ARC
(1,7),-1.27041 # DEPENDENCYPART_ARC
(1,8),-0.485158 # DEPENDENCYPART_ARC
(1,9),-1.50055 # DEPENDENCYPART_ARC
(1,10),-1.74717 # DEPENDENCYPART_ARC
(1,11),-0.946823 # DEPENDENCYPART_ARC
(1,12),-0.694537 # DEPENDENCYPART_ARC
(1,13),-1.93623 # DEPENDENCYPART_ARC
(1,14),-1.29997 # DEPENDENCYPART_ARC
(1,15),-0.981682 # DEPENDENCYPART_ARC
(1,16),-0.906701 # DEPENDENCYPART_ARC
(2,1),1.39439 # DEPENDENCYPART_ARC
(2,3),-0.135134 # DEPENDENCYPART_ARC
(2,4),0.322809 # DEPENDENCYPART_ARC
(2,5),-1.00024 # DEPENDENCYPART_ARC
(2,6),-0.642103 # DEPENDENCYPART_ARC
(2,7),-0.834165 # DEPENDENCYPART_ARC
(2,8),-0.436825 # DEPENDENCYPART_ARC
(2,9),-0.845978 # DEPENDENCYPART_ARC
(2,10),-1.86615 # DEPENDENCYPART_ARC
(2,11),-0.858731 # DEPENDENCYPART_ARC
(2,12),-0.455908 # DEPENDENCYPART_ARC
(2,13),-1.86809 # DEPENDENCYPART_ARC
(2,14),-1.15978 # DEPENDENCYPART_ARC
(2,15),-0.915013 # DEPENDENCYPART_ARC
(2,16),-1.17142 # DEPENDENCYPART_ARC
(3,1),2.70918 # DEPENDENCYPART_ARC
(3,2),3.69098 # DEPENDENCYPART_ARC
(3,4),0.142281 # DEPENDENCYPART_ARC
(3,5),-1.21591 # DEPENDENCYPART_ARC
(3,6),-0.175224 # DEPENDENCYPART_ARC
(3,7),0.949483 # DEPENDENCYPART_ARC
(3,8),-0.714793 # DEPENDENCYPART_ARC
(3,9),-1.86492 # DEPENDENCYPART_ARC
(3,10),-0.310983 # DEPENDENCYPART_ARC
(3,11),-1.22571 # DEPENDENCYPART_ARC
(3,12),-1.17204 # DEPENDENCYPART_ARC
(3,13),-0.869276 # DEPENDENCYPART_ARC
(3,14),-1.34594 # DEPENDENCYPART_ARC
(3,15),-1.08716 # DEPENDENCYPART_ARC
(3,16),-1.4086 # DEPENDENCYPART_ARC
(4,1),0.488115 # DEPENDENCYPART_ARC
(4,2),0.913117 # DEPENDENCYPART_ARC
(4,3),2.55921 # DEPENDENCYPART_ARC
(4,5),0.643948 # DEPENDENCYPART_ARC
(4,6),0.705405 # DEPENDENCYPART_ARC
(4,7),0.632853 # DEPENDENCYPART_ARC
(4,8),0.161941 # DEPENDENCYPART_ARC
(4,9),0.298136 # DEPENDENCYPART_ARC
(4,10),0.338244 # DEPENDENCYPART_ARC
(4,11),0.142265 # DEPENDENCYPART_ARC
(4,12),-0.110161 # DEPENDENCYPART_ARC
(4,13),0.0727497 # DEPENDENCYPART_ARC
(4,14),0.209377 # DEPENDENCYPART_ARC
(4,15),-0.153499 # DEPENDENCYPART_ARC
(4,16),-1.21155 # DEPENDENCYPART_ARC
(5,1),-0.0214831 # DEPENDENCYPART_ARC
(5,2),0.0365821 # DEPENDENCYPART_ARC
(5,3),0.91889 # DEPENDENCYPART_ARC
(5,4),2.52816 # DEPENDENCYPART_ARC
(5,6),2.95289 # DEPENDENCYPART_ARC
(5,7),3.34813 # DEPENDENCYPART_ARC
(5,8),1.408 # DEPENDENCYPART_ARC
(5,9),-0.653451 # DEPENDENCYPART_ARC
(5,10),0.72142 # DEPENDENCYPART_ARC
(5,11),0.462686 # DEPENDENCYPART_ARC
(5,12),-0.25842 # DEPENDENCYPART_ARC
(5,13),0.689844 # DEPENDENCYPART_ARC
(5,14),0.442011 # DEPENDENCYPART_ARC
(5,15),1.14518 # DEPENDENCYPART_ARC
(5,16),0.360805 # DEPENDENCYPART_ARC
(6,1),-1.79089 # DEPENDENCYPART_ARC
(6,2),-1.76253 # DEPENDENCYPART_ARC
(6,3),-1.33208 # DEPENDENCYPART_ARC
(6,4),-1.06728 # DEPENDENCYPART_ARC
(6,5),0.148355 # DEPENDENCYPART_ARC
(6,7),0.776006 # DEPENDENCYPART_ARC
(6,8),0.480891 # DEPENDENCYPART_ARC
(6,9),-0.471939 # DEPENDENCYPART_ARC
(6,10),-1.49551 # DEPENDENCYPART_ARC
(6,11),-0.782037 # DEPENDENCYPART_ARC
(6,12),-0.27824 # DEPENDENCYPART_ARC
(6,13),-1.37389 # DEPENDENCYPART_ARC
(6,14),-0.942521 # DEPENDENCYPART_ARC
(6,15),-0.580846 # DEPENDENCYPART_ARC
(6,16),-0.691538 # DEPENDENCYPART_ARC
(7,1),-0.523974 # DEPENDENCYPART_ARC
(7,2),-2.52087 # DEPENDENCYPART_ARC
(7,3),-1.44477 # DEPENDENCYPART_ARC
(7,4),0.402174 # DEPENDENCYPART_ARC
(7,5),-0.447736 # DEPENDENCYPART_ARC
(7,6),1.99871 # DEPENDENCYPART_ARC
(7,8),0.124468 # DEPENDENCYPART_ARC
(7,9),-0.588571 # DEPENDENCYPART_ARC
(7,10),-1.89481 # DEPENDENCYPART_ARC
(7,11),-1.14887 # DEPENDENCYPART_ARC
(7,12),-0.770159 # DEPENDENCYPART_ARC
(7,13),-2.06668 # DEPENDENCYPART_ARC
(7,14),-1.38884 # DEPENDENCYPART_ARC
(7,15),-1.16363 # DEPENDENCYPART_ARC
(7,16),-1.18584 # DEPENDENCYPART_ARC
(8,1),-0.977161 # DEPENDENCYPART_ARC
(8,2),-0.0152388 # DEPENDENCYPART_ARC
(8,3),0.260606 # DEPENDENCYPART_ARC
(8,4),-0.431594 # DEPENDENCYPART_ARC
(8,5),0.719515 # DEPENDENCYPART_ARC
(8,6),0.0208891 # DEPENDENCYPART_ARC
(8,7),0.755186 # DEPENDENCYPART_ARC
(8,9),0.134384 # DEPENDENCYPART_ARC
(8,10),-0.109741 # DEPENDENCYPART_ARC
(8,11),-0.241472 # DEPENDENCYPART_ARC
(8,12),-0.586288 # DEPENDENCYPART_ARC
(8,13),-0.455286 # DEPENDENCYPART_ARC
(8,14),-0.584293 # DEPENDENCYPART_ARC
(8,15),-0.485075 # DEPENDENCYPART_ARC
(8,16),-1.20186 # DEPENDENCYPART_ARC
(9,1),-0.754622 # DEPENDENCYPART_ARC
(9,2),-1.8741 # DEPENDENCYPART_ARC
(9,3),-1.40236 # DEPENDENCYPART_ARC
(9,4),-1.1517 # DEPENDENCYPART_ARC
(9,5),-1.39246 # DEPENDENCYPART_ARC
(9,6),-0.861237 # DEPENDENCYPART_ARC
(9,7),-0.937911 # DEPENDENCYPART_ARC
(9,8),0.456484 # DEPENDENCYPART_ARC
(9,10),-0.866166 # DEPENDENCYPART_ARC
(9,11),-0.409883 # DEPENDENCYPART_ARC
(9,12),-0.194371 # DEPENDENCYPART_ARC
