# _root_ Gazetecilere uçak havada _ yanarak geldi yere _ çakıldı _ diyen tanıklar , anket heyetinin _ hazırladığı raporlara göre , _ _ farklı konuşmuşlardı .
#goldHeads=10,6,6,5,6,10,9,9,10,11,12,24,0,15,16,17,18,19,24,0,22,23,24,25,0,
#predictedHeads=6,3,6,5,6,9,6,9,10,11,12,24,0,15,16,17,18,19,24,0,22,23,24,25,0,
(0,1),-0.555612 # DEPENDENCYPART_ARC
(0,2),-0.509287 # DEPENDENCYPART_ARC
(0,3),-0.510167 # DEPENDENCYPART_ARC
(0,4),-1.09294 # DEPENDENCYPART_ARC
(0,6),-1.1585 # DEPENDENCYPART_ARC
(0,7),-0.658727 # DEPENDENCYPART_ARC
(0,8),-1.00428 # DEPENDENCYPART_ARC
(0,10),-1.48905 # DEPENDENCYPART_ARC
(0,12),-1.3806 # DEPENDENCYPART_ARC
(0,13),2.07545 # DEPENDENCYPART_ARC
(0,14),-1.04719 # DEPENDENCYPART_ARC
(0,15),-1.16797 # DEPENDENCYPART_ARC
(0,16),-2.35119 # DEPENDENCYPART_ARC
(0,18),-1.17724 # DEPENDENCYPART_ARC
(0,20),2.47478 # DEPENDENCYPART_ARC
(0,21),-2.23557 # DEPENDENCYPART_ARC
(0,24),-2.25862 # DEPENDENCYPART_ARC
(0,25),3.47588 # DEPENDENCYPART_ARC
(1,2),-0.0385546 # DEPENDENCYPART_ARC
(1,3),-1.0144 # DEPENDENCYPART_ARC
(1,4),-0.714489 # DEPENDENCYPART_ARC
(1,5),-0.296075 # DEPENDENCYPART_ARC
(1,6),-1.22514 # DEPENDENCYPART_ARC
(1,7),-0.463997 # DEPENDENCYPART_ARC
(1,8),-1.21026 # DEPENDENCYPART_ARC
(1,9),-0.823905 # DEPENDENCYPART_ARC
(1,10),-1.12028 # DEPENDENCYPART_ARC
(1,11),-0.467561 # DEPENDENCYPART_ARC
(1,12),-1.91357 # DEPENDENCYPART_ARC
(1,13),-0.19121 # DEPENDENCYPART_ARC
(1,14),-1.94592 # DEPENDENCYPART_ARC
(1,15),-1.5957 # DEPENDENCYPART_ARC
(1,16),-1.84416 # DEPENDENCYPART_ARC
(1,17),-1.04724 # DEPENDENCYPART_ARC
(1,18),-2.30617 # DEPENDENCYPART_ARC
(1,19),-1.00272 # DEPENDENCYPART_ARC
(1,20),-0.438409 # DEPENDENCYPART_ARC
(1,21),-2.65192 # DEPENDENCYPART_ARC
(1,22),-1.7899 # DEPENDENCYPART_ARC
(1,23),-2.5541 # DEPENDENCYPART_ARC
(1,24),-2.29301 # DEPENDENCYPART_ARC
(1,25),-1.44793 # DEPENDENCYPART_ARC
(2,1),0.512728 # DEPENDENCYPART_ARC
(2,3),-0.990016 # DEPENDENCYPART_ARC
(2,4),-0.696517 # DEPENDENCYPART_ARC
(2,5),-0.421707 # DEPENDENCYPART_ARC
(2,6),-1.5166 # DEPENDENCYPART_ARC
(2,7),-0.422504 # DEPENDENCYPART_ARC
(2,8),-1.00916 # DEPENDENCYPART_ARC
(2,9),-1.01935 # DEPENDENCYPART_ARC
(2,10),-1.45171 # DEPENDENCYPART_ARC
(2,11),-0.468788 # DEPENDENCYPART_ARC
(2,12),-0.944337 # DEPENDENCYPART_ARC
(2,13),-0.384109 # DEPENDENCYPART_ARC
(2,14),-1.44327 # DEPENDENCYPART_ARC
(2,15),-2.1979 # DEPENDENCYPART_ARC
(2,16),-1.99757 # DEPENDENCYPART_ARC
(2,17),-1.04803 # DEPENDENCYPART_ARC
(2,18),-1.90289 # DEPENDENCYPART_ARC
(2,19),-1.11704 # DEPENDENCYPART_ARC
(2,20),-0.70793 # DEPENDENCYPART_ARC
(2,21),-2.24274 # DEPENDENCYPART_ARC
(2,22),-1.77812 # DEPENDENCYPART_ARC
(2,23),-2.29878 # DEPENDENCYPART_ARC
(2,24),-2.72494 # DEPENDENCYPART_ARC
(2,25),-1.65932 # DEPENDENCYPART_ARC
(3,1),-0.380753 # DEPENDENCYPART_ARC
(3,2),2.18626 # DEPENDENCYPART_ARC
(3,4),-0.0596498 # DEPENDENCYPART_ARC
(3,5),-0.0858015 # DEPENDENCYPART_ARC
(3,6),-0.821729 # DEPENDENCYPART_ARC
(3,7),-0.141888 # DEPENDENCYPART_ARC
