# _root_ Ben bir hizmet _ insanıyım , söylerim , _ söylediğimin arkasından giderim ve bana neye mal olursa_olsun ben bununla iftihar ederim .
#goldHeads=4,3,4,5,6,22,8,22,10,11,12,13,21,15,17,17,21,19,20,21,22,0,
#predictedHeads=5,3,4,5,6,7,8,21,10,11,12,13,21,17,17,17,21,21,20,21,22,0,
(0,3),-1.14271 # DEPENDENCYPART_ARC
(0,4),-1.52325 # DEPENDENCYPART_ARC
(0,6),0.890429 # DEPENDENCYPART_ARC
(0,7),-1.63439 # DEPENDENCYPART_ARC
(0,8),0.434303 # DEPENDENCYPART_ARC
(0,9),-1.49834 # DEPENDENCYPART_ARC
(0,11),-1.44182 # DEPENDENCYPART_ARC
(0,12),-1.7317 # DEPENDENCYPART_ARC
(0,13),-1.52441 # DEPENDENCYPART_ARC
(0,16),-1.63991 # DEPENDENCYPART_ARC
(0,17),-2.06802 # DEPENDENCYPART_ARC
(0,20),-1.69615 # DEPENDENCYPART_ARC
(0,21),-2.20902 # DEPENDENCYPART_ARC
(0,22),2.22728 # DEPENDENCYPART_ARC
(1,2),-0.0226157 # DEPENDENCYPART_ARC
(1,3),-0.720556 # DEPENDENCYPART_ARC
(1,4),-0.958044 # DEPENDENCYPART_ARC
(1,6),-0.480094 # DEPENDENCYPART_ARC
(1,8),-0.617006 # DEPENDENCYPART_ARC
(1,11),-1.92665 # DEPENDENCYPART_ARC
(1,13),-1.26231 # DEPENDENCYPART_ARC
(1,14),-2.18401 # DEPENDENCYPART_ARC
(1,16),-2.36764 # DEPENDENCYPART_ARC
(1,18),-1.70723 # DEPENDENCYPART_ARC
(1,20),-2.41257 # DEPENDENCYPART_ARC
(1,22),-1.88964 # DEPENDENCYPART_ARC
(2,3),-0.00578926 # DEPENDENCYPART_ARC
(2,4),-0.331186 # DEPENDENCYPART_ARC
(2,5),-0.323149 # DEPENDENCYPART_ARC
(2,6),-0.427977 # DEPENDENCYPART_ARC
(2,8),-0.705837 # DEPENDENCYPART_ARC
(2,11),-0.689968 # DEPENDENCYPART_ARC
(2,13),-0.607968 # DEPENDENCYPART_ARC
(2,16),-1.26526 # DEPENDENCYPART_ARC
(2,20),-1.35575 # DEPENDENCYPART_ARC
(2,22),-1.56979 # DEPENDENCYPART_ARC
(3,1),0.357921 # DEPENDENCYPART_ARC
(3,2),2.07237 # DEPENDENCYPART_ARC
(3,4),-0.100633 # DEPENDENCYPART_ARC
(3,5),-0.425306 # DEPENDENCYPART_ARC
(3,6),-0.259897 # DEPENDENCYPART_ARC
(3,7),-1.24977 # DEPENDENCYPART_ARC
(3,8),-0.530149 # DEPENDENCYPART_ARC
(3,9),-1.39461 # DEPENDENCYPART_ARC
(3,10),-0.548925 # DEPENDENCYPART_ARC
(3,11),-2.18736 # DEPENDENCYPART_ARC
(3,12),-1.44515 # DEPENDENCYPART_ARC
(3,13),-1.25442 # DEPENDENCYPART_ARC
(3,14),-2.13066 # DEPENDENCYPART_ARC
(3,15),-2.37145 # DEPENDENCYPART_ARC
(3,16),-1.94477 # DEPENDENCYPART_ARC
(3,17),-1.98745 # DEPENDENCYPART_ARC
(3,18),-1.04728 # DEPENDENCYPART_ARC
(3,19),-2.29017 # DEPENDENCYPART_ARC
(3,20),-1.95834 # DEPENDENCYPART_ARC
(3,21),-2.14349 # DEPENDENCYPART_ARC
(3,22),-1.71982 # DEPENDENCYPART_ARC
(4,1),0.698282 # DEPENDENCYPART_ARC
(4,2),1.05176 # DEPENDENCYPART_ARC
(4,3),3.19279 # DEPENDENCYPART_ARC
(4,5),0.423646 # DEPENDENCYPART_ARC
(4,6),0.584898 # DEPENDENCYPART_ARC
(4,7),-0.52873 # DEPENDENCYPART_ARC
(4,8),0.0998332 # DEPENDENCYPART_ARC
(4,9),-0.690413 # DEPENDENCYPART_ARC
(4,10),1.45915 # DEPENDENCYPART_ARC
(4,11),-0.550359 # DEPENDENCYPART_ARC
(4,12),-1.04529 # DEPENDENCYPART_ARC
(4,13),-0.920263 # DEPENDENCYPART_ARC
(4,14),-1.25832 # DEPENDENCYPART_ARC
(4,15),-1.30733 # DEPENDENCYPART_ARC
(4,16),-0.668029 # DEPENDENCYPART_ARC
(4,17),-1.72495 # DEPENDENCYPART_ARC
(4,18),-0.542804 # DEPENDENCYPART_ARC
(4,19),-1.17398 # DEPENDENCYPART_ARC
(4,20),-0.679211 # DEPENDENCYPART_ARC
(4,21),-1.81409 # DEPENDENCYPART_ARC
(4,22),-1.55179 # DEPENDENCYPART_ARC
(5,1),2.06066 # DEPENDENCYPART_ARC
(5,2),0.963578 # DEPENDENCYPART_ARC
(5,3),2.37281 # DEPENDENCYPART_ARC
(5,4),2.86219 # DEPENDENCYPART_ARC
(5,6),-0.350826 # DEPENDENCYPART_ARC
(5,7),-1.15317 # DEPENDENCYPART_ARC
(5,8),-1.07317 # DEPENDENCYPART_ARC
(5,9),-1.54138 # DEPENDENCYPART_ARC
(5,10),-1.69388 # DEPENDENCYPART_ARC
(5,11),-1.2879 # DEPENDENCYPART_ARC
(5,12),-1.50538 # DEPENDENCYPART_ARC
(5,13),-1.81402 # DEPENDENCYPART_ARC
(5,14),-1.51202 # DEPENDENCYPART_ARC
(5,15),-1.56129 # DEPENDENCYPART_ARC
(5,16),-2.56619 # DEPENDENCYPART_ARC
(5,17),-2.07521 # DEPENDENCYPART_ARC
(5,18),-1.74142 # DEPENDENCYPART_ARC
(5,19),-1.96327 # DEPENDENCYPART_ARC
(5,20),-3.08568 # DEPENDENCYPART_ARC
(5,21),-2.07265 # DEPENDENCYPART_ARC
(5,22),-2.5513 # DEPENDENCYPART_ARC
(6,1),-0.0527863 # DEPENDENCYPART_ARC
(6,2),-0.0416864 # DEPENDENCYPART_ARC
(6,3),0.537622 # DEPENDENCYPART_ARC
(6,4),-0.217691 # DEPENDENCYPART_ARC
(6,5),2.20624 # DEPENDENCYPART_ARC
(6,7),0.245823 # DEPENDENCYPART_ARC
(6,8),-0.419926 # DEPENDENCYPART_ARC
(6,9),-0.236417 # DEPENDENCYPART_ARC
(6,10),0.0673608 # DEPENDENCYPART_ARC
(6,11),-0.197978 # DEPENDENCYPART_ARC
(6,12),-0.0997313 # DEPENDENCYPART_ARC
(6,13),-0.796961 # DEPENDENCYPART_ARC
(6,14),-1.06613 # DEPENDENCYPART_ARC
(6,15),-0.942297 # DEPENDENCYPART_ARC
(6,16),-0.259872 # DEPENDENCYPART_ARC
(6,17),-0.220099 # DEPENDENCYPART_ARC
(6,18),-1.18152 # DEPENDENCYPART_ARC
(6,19),-1.28387 # DEPENDENCYPART_ARC
(6,20),-0.348736 # DEPENDENCYPART_ARC
(6,21),-0.314243 # DEPENDENCYPART_ARC
(6,22),-2.54321 # DEPENDENCYPART_ARC
(7,1),0.833885 # DEPENDENCYPART_ARC
(7,2),-0.554699 # DEPENDENCYPART_ARC
(7,3),0.167123 # DEPENDENCYPART_ARC
(7,4),-0.919926 # DEPENDENCYPART_ARC
(7,5),0.121685 # DEPENDENCYPART_ARC
(7,6),1.98378 # DEPENDENCYPART_ARC
(7,8),0.728049 # DEPENDENCYPART_ARC
(7,9),-0.31751 # DEPENDENCYPART_ARC
(7,10),-1.41367 # DEPENDENCYPART_ARC
(7,11),0.0771481 # DEPENDENCYPART_ARC
(7,12),-0.5697 # DEPENDENCYPART_ARC
(7,13),-0.839087 # DEPENDENCYPART_ARC
(7,14),0.174391 # DEPENDENCYPART_ARC
(7,15),0.103183 # DEPENDENCYPART_ARC
(7,16),-1.30586 # DEPENDENCYPART_ARC
(7,17),-0.661376 # DEPENDENCYPART_ARC
(7,18),-0.460603 # DEPENDENCYPART_ARC
(7,19),-0.748471 # DEPENDENCYPART_ARC
(7,20),-2.22758 # DEPENDENCYPART_ARC
(7,21),-0.947598 # DEPENDENCYPART_ARC
(7,22),-1.71001 # DEPENDENCYPART_ARC
(8,1),-0.694154 # DEPENDENCYPART_ARC
(8,2),-0.635386 # DEPENDENCYPART_ARC
(8,3),-0.167344 # DEPENDENCYPART_ARC
(8,4),-0.887334 # DEPENDENCYPART_ARC
(8,5),0.265111 # DEPENDENCYPART_ARC
(8,6),0.338893 # DEPENDENCYPART_ARC
(8,7),1.70586 # DEPENDENCYPART_ARC
(8,9),0.0870513 # DEPENDENCYPART_ARC
(8,10),0.169024 # DEPENDENCYPART_ARC
(8,11),0.126284 # DEPENDENCYPART_ARC
(8,12),0.0166115 # DEPENDENCYPART_ARC
(8,13),-0.416313 # DEPENDENCYPART_ARC
(8,14),-0.560205 # DEPENDENCYPART_ARC
(8,15),-0.605745 # DEPENDENCYPART_ARC
(8,16),-0.146971 # DEPENDENCYPART_ARC
(8,17),0.331665 # DEPENDENCYPART_ARC
(8,18),-0.698804 # DEPENDENCYPART_ARC
(8,19),-0.854214 # DEPENDENCYPART_ARC
(8,20),-0.293771 # DEPENDENCYPART_ARC
(8,21),-0.292718 # DEPENDENCYPART_ARC
(8,22),-1.80452 # DEPENDENCYPART_ARC
(9,1),-0.423689 # DEPENDENCYPART_ARC
(9,2),-1.33429 # DEPENDENCYPART_ARC
(9,3),-0.426483 # DEPENDENCYPART_ARC
(9,4),-2.1042 # DEPENDENCYPART_ARC
(9,5),-0.698199 # DEPENDENCYPART_ARC
(9,6),-0.561829 # DEPENDENCYPART_ARC
(9,7),-0.449505 # DEPENDENCYPART_ARC
(9,8),1.22073 # DEPENDENCYPART_ARC
(9,10),0.027356 # DEPENDENCYPART_ARC
(9,11),0.108932 # DEPENDENCYPART_ARC
(9,12),-0.540135 # DEPENDENCYPART_ARC
(9,13),-0.157684 # DEPENDENCYPART_ARC
(9,14),0.169603 # DEPENDENCYPART_ARC
(9,15),-0.00107881 # DEPENDENCYPART_ARC
(9,16),-1.10198 # DEPENDENCYPART_ARC
(9,17),-1.23997 # DEPENDENCYPART_ARC
(9,18),-0.15541 # DEPENDENCYPART_ARC
(9,19),-0.3769 # DEPENDENCYPART_ARC
(9,20),-1.81996 # DEPENDENCYPART_ARC
(9,21),-1.35652 # DEPENDENCYPART_ARC
(9,22),-1.48519 # DEPENDENCYPART_ARC
(10,1),0.0873415 # DEPENDENCYPART_ARC
(10,2),0.133877 # DEPENDENCYPART_ARC
(10,3),-0.174737 # DEPENDENCYPART_ARC
(10,4),-1.95753 # DEPENDENCYPART_ARC
(10,5),-0.913923 # DEPENDENCYPART_ARC
(10,6),-0.284684 # DEPENDENCYPART_ARC
(10,7),-0.663524 # DEPENDENCYPART_ARC
(10,8),0.272008 # DEPENDENCYPART_ARC
(10,9),2.30552 # DEPENDENCYPART_ARC
(10,11),-1.21005 # DEPENDENCYPART_ARC
(10,12),-0.805775 # DEPENDENCYPART_ARC
(10,13),-0.966315 # DEPENDENCYPART_ARC
(10,14),-1.96225 # DEPENDENCYPART_ARC
(10,15),-2.53702 # DEPENDENCYPART_ARC
(10,16),-1.95358 # DEPENDENCYPART_ARC
(10,17),-1.60737 # DEPENDENCYPART_ARC
(10,18),-1.52426 # DEPENDENCYPART_ARC
(10,20),-1.98677 # DEPENDENCYPART_ARC
(10,21),-1.79905 # DEPENDENCYPART_ARC
(10,22),-1.58987 # DEPENDENCYPART_ARC
(11,1),-0.527475 # DEPENDENCYPART_ARC
(11,2),0.56352 # DEPENDENCYPART_ARC
(11,3),0.357654 # DEPENDENCYPART_ARC
(11,4),-2.20036 # DEPENDENCYPART_ARC
(11,5),-1.40263 # DEPENDENCYPART_ARC
(11,6),-0.0125286 # DEPENDENCYPART_ARC
(11,7),-0.388882 # DEPENDENCYPART_ARC
(11,8),0.544338 # DEPENDENCYPART_ARC
(11,9),0.652131 # DEPENDENCYPART_ARC
(11,10),3.48898 # DEPENDENCYPART_ARC
(11,12),-0.327659 # DEPENDENCYPART_ARC
(11,13),-0.0919138 # DEPENDENCYPART_ARC
(11,14),-1.54885 # DEPENDENCYPART_ARC
(11,15),-1.57972 # DEPENDENCYPART_ARC
(11,16),-1.42966 # DEPENDENCYPART_ARC
(11,17),-1.42929 # DEPENDENCYPART_ARC
(11,18),-1.17137 # DEPENDENCYPART_ARC
(11,19),-1.6289 # DEPENDENCYPART_ARC
(11,20),-1.41265 # DEPENDENCYPART_ARC
(11,21),-1.48345 # DEPENDENCYPART_ARC
(11,22),-1.30837 # DEPENDENCYPART_ARC
(12,1),1.49066 # DEPENDENCYPART_ARC
(12,2),-0.319574 # DEPENDENCYPART_ARC
(12,3),0.163993 # DEPENDENCYPART_ARC
(12,4),-3.27474 # DEPENDENCYPART_ARC
(12,5),-0.045387 # DEPENDENCYPART_ARC
(12,6),0.677627 # DEPENDENCYPART_ARC
(12,7),0.384945 # DEPENDENCYPART_ARC
(12,8),1.45353 # DEPENDENCYPART_ARC
(12,9),-0.589125 # DEPENDENCYPART_ARC
(12,10),0.856441 # DEPENDENCYPART_ARC
(12,11),3.1089 # DEPENDENCYPART_ARC
(12,13),0.127056 # DEPENDENCYPART_ARC
(12,14),0.457543 # DEPENDENCYPART_ARC
(12,15),0.0415377 # DEPENDENCYPART_ARC
(12,16),-1.2879 # DEPENDENCYPART_ARC
(12,17),-1.66322 # DEPENDENCYPART_ARC
(12,18),-0.482284 # DEPENDENCYPART_ARC
(12,19),-0.904439 # DEPENDENCYPART_ARC
(12,20),-1.91381 # DEPENDENCYPART_ARC
(12,21),-1.79109 # DEPENDENCYPART_ARC
(12,22),-2.12434 # DEPENDENCYPART_ARC
(13,1),-0.0113736 # DEPENDENCYPART_ARC
(13,2),-0.18009 # DEPENDENCYPART_ARC
(13,3),-0.751588 # DEPENDENCYPART_ARC
(13,4),-0.973784 # DEPENDENCYPART_ARC
(13,5),0.0682393 # DEPENDENCYPART_ARC
(13,6),-0.295325 # DEPENDENCYPART_ARC
(13,7),0.123094 # DEPENDENCYPART_ARC
(13,8),-0.0144315 # DEPENDENCYPART_ARC
(13,9),0.0662761 # DEPENDENCYPART_ARC
(13,10),0.728752 # DEPENDENCYPART_ARC
(13,11),1.63921 # DEPENDENCYPART_ARC
(13,12),2.91782 # DEPENDENCYPART_ARC
(13,14),0.185058 # DEPENDENCYPART_ARC
(13,15),-0.114934 # DEPENDENCYPART_ARC
(13,16),-0.37938 # DEPENDENCYPART_ARC
(13,17),-0.455423 # DEPENDENCYPART_ARC
(13,18),-0.546336 # DEPENDENCYPART_ARC
(13,20),-0.520511 # DEPENDENCYPART_ARC
(13,21),-0.685848 # DEPENDENCYPART_ARC
(13,22),-0.673477 # DEPENDENCYPART_ARC
(14,1),-2.13452 # DEPENDENCYPART_ARC
(14,2),-0.700936 # DEPENDENCYPART_ARC
(14,3),-2.31856 # DEPENDENCYPART_ARC
(14,4),-1.88575 # DEPENDENCYPART_ARC
(14,6),-0.424769 # DEPENDENCYPART_ARC
