# _root_ İzini bulursanız , bu numaraya haber verirsiniz , dedi .
#goldHeads=2,7,0,5,7,7,8,9,10,0,
#predictedHeads=2,7,7,5,7,7,8,9,10,0,
(0,1),-1.02218 # DEPENDENCYPART_ARC
(0,2),-1.25761 # DEPENDENCYPART_ARC
(0,3),1.11469 # DEPENDENCYPART_ARC
(0,5),-1.08424 # DEPENDENCYPART_ARC
(0,6),-0.643336 # DEPENDENCYPART_ARC
(0,7),-1.61723 # DEPENDENCYPART_ARC
(0,8),-0.0647007 # DEPENDENCYPART_ARC
(0,9),-1.75343 # DEPENDENCYPART_ARC
(0,10),2.1738 # DEPENDENCYPART_ARC
(1,2),-0.256336 # DEPENDENCYPART_ARC
(1,3),0.329595 # DEPENDENCYPART_ARC
(1,4),0.0119943 # DEPENDENCYPART_ARC
(1,5),-0.196033 # DEPENDENCYPART_ARC
(1,6),-0.774811 # DEPENDENCYPART_ARC
(1,7),-1.41738 # DEPENDENCYPART_ARC
(1,8),-0.485762 # DEPENDENCYPART_ARC
(1,9),-1.65925 # DEPENDENCYPART_ARC
(1,10),-0.80842 # DEPENDENCYPART_ARC
(2,1),3.96938 # DEPENDENCYPART_ARC
(2,3),-0.132063 # DEPENDENCYPART_ARC
(2,4),-0.421041 # DEPENDENCYPART_ARC
(2,5),-0.223117 # DEPENDENCYPART_ARC
(2,6),-0.93207 # DEPENDENCYPART_ARC
(2,7),-1.39262 # DEPENDENCYPART_ARC
(2,8),-0.773934 # DEPENDENCYPART_ARC
(2,9),-1.93182 # DEPENDENCYPART_ARC
(2,10),-1.33648 # DEPENDENCYPART_ARC
(3,1),0.449788 # DEPENDENCYPART_ARC
(3,2),1.32089 # DEPENDENCYPART_ARC
(3,4),0.0703517 # DEPENDENCYPART_ARC
(3,5),-0.0737581 # DEPENDENCYPART_ARC
(3,6),0.00023948 # DEPENDENCYPART_ARC
(3,7),-0.0367808 # DEPENDENCYPART_ARC
(3,8),-0.53269 # DEPENDENCYPART_ARC
(3,9),-0.355012 # DEPENDENCYPART_ARC
(3,10),-1.02472 # DEPENDENCYPART_ARC
(4,1),-1.14139 # DEPENDENCYPART_ARC
(4,3),0.145567 # DEPENDENCYPART_ARC
(4,5),0.0280186 # DEPENDENCYPART_ARC
(4,6),-0.323283 # DEPENDENCYPART_ARC
(4,8),-0.258927 # DEPENDENCYPART_ARC
(4,10),-0.564449 # DEPENDENCYPART_ARC
(5,1),-2.45085 # DEPENDENCYPART_ARC
(5,2),-0.140396 # DEPENDENCYPART_ARC
(5,3),0.0235293 # DEPENDENCYPART_ARC
(5,4),2.30854 # DEPENDENCYPART_ARC
(5,6),-0.757935 # DEPENDENCYPART_ARC
(5,7),-1.13352 # DEPENDENCYPART_ARC
(5,8),-0.41887 # DEPENDENCYPART_ARC
(5,9),-1.8232 # DEPENDENCYPART_ARC
(5,10),-1.13805 # DEPENDENCYPART_ARC
(6,1),-1.7333 # DEPENDENCYPART_ARC
(6,2),0.225825 # DEPENDENCYPART_ARC
(6,3),0.364118 # DEPENDENCYPART_ARC
(6,4),1.28698 # DEPENDENCYPART_ARC
(6,5),1.81673 # DEPENDENCYPART_ARC
(6,7),-0.424889 # DEPENDENCYPART_ARC
(6,8),0.372604 # DEPENDENCYPART_ARC
(6,9),-1.44398 # DEPENDENCYPART_ARC
(6,10),-0.454818 # DEPENDENCYPART_ARC
(7,1),0.877435 # DEPENDENCYPART_ARC
(7,2),2.05715 # DEPENDENCYPART_ARC
(7,3),1.84532 # DEPENDENCYPART_ARC
(7,4),0.723535 # DEPENDENCYPART_ARC
(7,5),2.48448 # DEPENDENCYPART_ARC
(7,6),2.45031 # DEPENDENCYPART_ARC
(7,8),0.0714768 # DEPENDENCYPART_ARC
(7,9),-1.48948 # DEPENDENCYPART_ARC
(7,10),-1.14595 # DEPENDENCYPART_ARC
(8,1),0.281004 # DEPENDENCYPART_ARC
(8,2),0.127247 # DEPENDENCYPART_ARC
(8,3),0.448373 # DEPENDENCYPART_ARC
(8,4),-0.0589226 # DEPENDENCYPART_ARC
(8,5),0.681385 # DEPENDENCYPART_ARC
(8,6),0.671829 # DEPENDENCYPART_ARC
(8,7),2.26506 # DEPENDENCYPART_ARC
(8,9),0.612946 # DEPENDENCYPART_ARC
(8,10),0.207504 # DEPENDENCYPART_ARC
(9,1),0.337916 # DEPENDENCYPART_ARC
(9,2),1.95198 # DEPENDENCYPART_ARC
(9,3),0.40139 # DEPENDENCYPART_ARC
(9,4),-0.187862 # DEPENDENCYPART_ARC
(9,5),0.709925 # DEPENDENCYPART_ARC
(9,6),0.457966 # DEPENDENCYPART_ARC
(9,7),0.268711 # DEPENDENCYPART_ARC
(9,8),3.01842 # DEPENDENCYPART_ARC
(9,10),0.435538 # DEPENDENCYPART_ARC
(10,1),-0.418793 # DEPENDENCYPART_ARC
(10,2),-0.65786 # DEPENDENCYPART_ARC
(10,3),-0.50019 # DEPENDENCYPART_ARC
(10,4),-0.428952 # DEPENDENCYPART_ARC
(10,5),-0.197992 # DEPENDENCYPART_ARC
(10,6),-0.382026 # DEPENDENCYPART_ARC
(10,7),0.0398584 # DEPENDENCYPART_ARC
(10,8),0.114558 # DEPENDENCYPART_ARC
(10,9),2.36615 # DEPENDENCYPART_ARC
