# _root_ Naci_Bey , şu sayfadan şu sayfaya kadar okuyun , demiş .
#goldHeads=9,0,4,8,6,7,8,9,10,11,0,
#predictedHeads=8,0,4,8,6,7,8,9,10,11,0,
(0,1),-0.581551 # DEPENDENCYPART_ARC
(0,2),2.72859 # DEPENDENCYPART_ARC
(0,4),-0.76923 # DEPENDENCYPART_ARC
(0,6),-0.614566 # DEPENDENCYPART_ARC
(0,8),-1.32225 # DEPENDENCYPART_ARC
(0,9),0.455671 # DEPENDENCYPART_ARC
(0,10),-1.30292 # DEPENDENCYPART_ARC
(0,11),2.32109 # DEPENDENCYPART_ARC
(1,2),0.0691505 # DEPENDENCYPART_ARC
(1,3),-0.227026 # DEPENDENCYPART_ARC
(1,4),-1.73336 # DEPENDENCYPART_ARC
(1,5),-0.49381 # DEPENDENCYPART_ARC
(1,6),-0.981539 # DEPENDENCYPART_ARC
(1,7),-1.06827 # DEPENDENCYPART_ARC
(1,8),-1.95564 # DEPENDENCYPART_ARC
(1,9),-0.909738 # DEPENDENCYPART_ARC
(1,10),-1.77288 # DEPENDENCYPART_ARC
(1,11),-1.11369 # DEPENDENCYPART_ARC
(2,1),0.0343269 # DEPENDENCYPART_ARC
(2,3),-0.116905 # DEPENDENCYPART_ARC
(2,4),-0.323791 # DEPENDENCYPART_ARC
(2,5),-0.386001 # DEPENDENCYPART_ARC
(2,6),-0.430598 # DEPENDENCYPART_ARC
(2,7),-0.287796 # DEPENDENCYPART_ARC
(2,8),-0.440183 # DEPENDENCYPART_ARC
(2,9),-0.80794 # DEPENDENCYPART_ARC
(2,10),-0.716892 # DEPENDENCYPART_ARC
(2,11),-1.33967 # DEPENDENCYPART_ARC
(3,1),-0.801002 # DEPENDENCYPART_ARC
(3,2),0.205845 # DEPENDENCYPART_ARC
(3,4),0.15777 # DEPENDENCYPART_ARC
(3,6),-0.356155 # DEPENDENCYPART_ARC
(3,9),-0.312167 # DEPENDENCYPART_ARC
(3,11),-0.608274 # DEPENDENCYPART_ARC
(4,1),-0.807028 # DEPENDENCYPART_ARC
(4,2),0.641189 # DEPENDENCYPART_ARC
(4,3),2.40139 # DEPENDENCYPART_ARC
(4,5),0.386769 # DEPENDENCYPART_ARC
(4,6),-0.18033 # DEPENDENCYPART_ARC
(4,7),-0.402853 # DEPENDENCYPART_ARC
(4,8),-1.09305 # DEPENDENCYPART_ARC
(4,9),-0.297338 # DEPENDENCYPART_ARC
(4,10),-1.46404 # DEPENDENCYPART_ARC
(4,11),-0.892524 # DEPENDENCYPART_ARC
(5,1),-0.920473 # DEPENDENCYPART_ARC
(5,2),-0.321956 # DEPENDENCYPART_ARC
(5,4),0.336709 # DEPENDENCYPART_ARC
(5,6),0.0403878 # DEPENDENCYPART_ARC
(5,9),-0.277607 # DEPENDENCYPART_ARC
(5,11),-0.575755 # DEPENDENCYPART_ARC
(6,1),-1.14756 # DEPENDENCYPART_ARC
(6,2),0.418463 # DEPENDENCYPART_ARC
(6,3),0.940066 # DEPENDENCYPART_ARC
(6,4),0.0620255 # DEPENDENCYPART_ARC
(6,5),2.40908 # DEPENDENCYPART_ARC
(6,7),-0.286069 # DEPENDENCYPART_ARC
(6,8),-1.15242 # DEPENDENCYPART_ARC
(6,9),-0.511736 # DEPENDENCYPART_ARC
(6,10),-1.56963 # DEPENDENCYPART_ARC
(6,11),-1.20894 # DEPENDENCYPART_ARC
(7,1),-0.197761 # DEPENDENCYPART_ARC
(7,2),0.542065 # DEPENDENCYPART_ARC
(7,3),0.503989 # DEPENDENCYPART_ARC
(7,4),1.606 # DEPENDENCYPART_ARC
(7,5),1.16699 # DEPENDENCYPART_ARC
(7,6),4.19101 # DEPENDENCYPART_ARC
(7,8),0.29645 # DEPENDENCYPART_ARC
(7,9),0.139379 # DEPENDENCYPART_ARC
(7,10),-0.259547 # DEPENDENCYPART_ARC
(7,11),-0.213358 # DEPENDENCYPART_ARC
(8,1),0.901537 # DEPENDENCYPART_ARC
(8,2),0.899167 # DEPENDENCYPART_ARC
(8,3),0.665052 # DEPENDENCYPART_ARC
(8,4),1.80705 # DEPENDENCYPART_ARC
(8,5),0.932027 # DEPENDENCYPART_ARC
(8,6),2.54038 # DEPENDENCYPART_ARC
(8,7),2.79694 # DEPENDENCYPART_ARC
(8,9),0.36317 # DEPENDENCYPART_ARC
(8,10),-0.821964 # DEPENDENCYPART_ARC
(8,11),-0.847847 # DEPENDENCYPART_ARC
(9,1),-0.472775 # DEPENDENCYPART_ARC
(9,2),-0.338964 # DEPENDENCYPART_ARC
(9,3),-0.54346 # DEPENDENCYPART_ARC
(9,4),-0.154163 # DEPENDENCYPART_ARC
(9,5),-0.463325 # DEPENDENCYPART_ARC
(9,6),0.139278 # DEPENDENCYPART_ARC
(9,7),-0.381191 # DEPENDENCYPART_ARC
(9,8),1.54079 # DEPENDENCYPART_ARC
(9,10),0.733941 # DEPENDENCYPART_ARC
(9,11),0.140429 # DEPENDENCYPART_ARC
(10,1),0.268803 # DEPENDENCYPART_ARC
(10,2),-0.658164 # DEPENDENCYPART_ARC
(10,3),-0.581743 # DEPENDENCYPART_ARC
(10,4),0.138053 # DEPENDENCYPART_ARC
(10,5),-0.449909 # DEPENDENCYPART_ARC
(10,6),0.015388 # DEPENDENCYPART_ARC
(10,7),0.261977 # DEPENDENCYPART_ARC
(10,8),0.62511 # DEPENDENCYPART_ARC
(10,9),2.18659 # DEPENDENCYPART_ARC
(10,11),0.0050774 # DEPENDENCYPART_ARC
(11,1),-0.0424125 # DEPENDENCYPART_ARC
(11,2),-0.750072 # DEPENDENCYPART_ARC
(11,3),-0.603538 # DEPENDENCYPART_ARC
(11,4),0.068686 # DEPENDENCYPART_ARC
(11,5),-0.446245 # DEPENDENCYPART_ARC
(11,6),-0.0581605 # DEPENDENCYPART_ARC
