# _root_ Değişik yasalarda _ _ yapılacak _ değişiklikler ile askeri , ticari , _ _ bankacılık ve benzeri _ alanlardaki " sırların " kapsamı yeniden _ belirlenecek .
#goldHeads=2,5,4,5,7,7,8,23,21,0,21,0,14,15,16,17,19,19,21,0,23,0,26,26,26,27,0,
#predictedHeads=2,4,4,5,7,7,8,9,10,11,12,0,14,15,16,21,18,19,21,0,22,0,26,26,26,27,0,
(0,2),-0.987598 # DEPENDENCYPART_ARC
(0,3),-0.598936 # DEPENDENCYPART_ARC
(0,4),-0.946716 # DEPENDENCYPART_ARC
(0,7),-1.34139 # DEPENDENCYPART_ARC
(0,8),-1.12038 # DEPENDENCYPART_ARC
(0,10),1.34343 # DEPENDENCYPART_ARC
(0,12),1.46356 # DEPENDENCYPART_ARC
(0,13),-1.85209 # DEPENDENCYPART_ARC
(0,14),-2.0112 # DEPENDENCYPART_ARC
(0,15),-1.607 # DEPENDENCYPART_ARC
(0,16),-1.68005 # DEPENDENCYPART_ARC
(0,18),-2.35141 # DEPENDENCYPART_ARC
(0,20),3.70964 # DEPENDENCYPART_ARC
(0,21),-1.49944 # DEPENDENCYPART_ARC
(0,22),4.18979 # DEPENDENCYPART_ARC
(0,23),-1.31657 # DEPENDENCYPART_ARC
(0,25),-2.20527 # DEPENDENCYPART_ARC
(0,26),-2.04164 # DEPENDENCYPART_ARC
(0,27),3.63926 # DEPENDENCYPART_ARC
(1,2),0.347613 # DEPENDENCYPART_ARC
(1,3),-0.262598 # DEPENDENCYPART_ARC
(1,4),-0.39706 # DEPENDENCYPART_ARC
(1,5),-0.720976 # DEPENDENCYPART_ARC
(1,6),-0.937388 # DEPENDENCYPART_ARC
(1,7),-0.263656 # DEPENDENCYPART_ARC
(1,8),-0.332357 # DEPENDENCYPART_ARC
(1,9),-1.33593 # DEPENDENCYPART_ARC
(1,10),-0.851621 # DEPENDENCYPART_ARC
(1,11),-1.49405 # DEPENDENCYPART_ARC
(1,12),-1.19438 # DEPENDENCYPART_ARC
(1,13),-1.24363 # DEPENDENCYPART_ARC
(1,14),-1.48715 # DEPENDENCYPART_ARC
(1,15),-1.40072 # DEPENDENCYPART_ARC
(1,16),-1.34938 # DEPENDENCYPART_ARC
(1,17),-1.74651 # DEPENDENCYPART_ARC
(1,18),-1.43042 # DEPENDENCYPART_ARC
(1,19),-1.91239 # DEPENDENCYPART_ARC
(1,20),-1.2996 # DEPENDENCYPART_ARC
(1,21),-1.39783 # DEPENDENCYPART_ARC
(1,22),-1.51067 # DEPENDENCYPART_ARC
(1,23),-1.72407 # DEPENDENCYPART_ARC
(1,24),-1.32494 # DEPENDENCYPART_ARC
(1,25),-1.51259 # DEPENDENCYPART_ARC
(1,26),-1.5074 # DEPENDENCYPART_ARC
(1,27),-2.18057 # DEPENDENCYPART_ARC
(2,1),2.39451 # DEPENDENCYPART_ARC
(2,3),0.441921 # DEPENDENCYPART_ARC
(2,4),-0.0855515 # DEPENDENCYPART_ARC
(2,5),0.157884 # DEPENDENCYPART_ARC
(2,6),-0.115011 # DEPENDENCYPART_ARC
(2,7),-0.339208 # DEPENDENCYPART_ARC
(2,8),-0.776287 # DEPENDENCYPART_ARC
(2,9),-0.506577 # DEPENDENCYPART_ARC
(2,10),-0.724199 # DEPENDENCYPART_ARC
(2,11),-0.701848 # DEPENDENCYPART_ARC
(2,12),-0.86226 # DEPENDENCYPART_ARC
(2,13),-1.59595 # DEPENDENCYPART_ARC
(2,14),-1.68078 # DEPENDENCYPART_ARC
(2,15),-1.70319 # DEPENDENCYPART_ARC
(2,16),-1.76525 # DEPENDENCYPART_ARC
(2,17),-1.13911 # DEPENDENCYPART_ARC
(2,18),-2.95419 # DEPENDENCYPART_ARC
(2,19),-1.25884 # DEPENDENCYPART_ARC
(2,20),-1.07643 # DEPENDENCYPART_ARC
(2,21),-1.69237 # DEPENDENCYPART_ARC
(2,22),-1.14604 # DEPENDENCYPART_ARC
(2,23),-2.18833 # DEPENDENCYPART_ARC
(2,24),-1.39739 # DEPENDENCYPART_ARC
(2,25),-1.76301 # DEPENDENCYPART_ARC
(2,26),-1.49734 # DEPENDENCYPART_ARC
(2,27),-1.68476 # DEPENDENCYPART_ARC
(3,1),0.0608197 # DEPENDENCYPART_ARC
(3,2),1.43249 # DEPENDENCYPART_ARC
(3,4),0.261187 # DEPENDENCYPART_ARC
(3,5),0.110799 # DEPENDENCYPART_ARC
(3,6),-0.478831 # DEPENDENCYPART_ARC
(3,7),-0.0163371 # DEPENDENCYPART_ARC
(3,8),0.0801866 # DEPENDENCYPART_ARC
(3,9),-0.624308 # DEPENDENCYPART_ARC
(3,10),-0.716927 # DEPENDENCYPART_ARC
(3,11),-0.985746 # DEPENDENCYPART_ARC
(3,12),-0.772923 # DEPENDENCYPART_ARC
(3,13),-2.85711 # DEPENDENCYPART_ARC
(3,14),-3.08378 # DEPENDENCYPART_ARC
(3,15),-2.61544 # DEPENDENCYPART_ARC
(3,16),-2.01464 # DEPENDENCYPART_ARC
(3,17),-1.56272 # DEPENDENCYPART_ARC
(3,18),-3.81046 # DEPENDENCYPART_ARC
(3,19),-1.64117 # DEPENDENCYPART_ARC
(3,20),-0.789423 # DEPENDENCYPART_ARC
(3,21),-3.08316 # DEPENDENCYPART_ARC
(3,22),-0.689492 # DEPENDENCYPART_ARC
(3,23),-3.97 # DEPENDENCYPART_ARC
(3,24),-1.43792 # DEPENDENCYPART_ARC
(3,25),-2.92186 # DEPENDENCYPART_ARC
(3,26),-1.70265 # DEPENDENCYPART_ARC
(3,27),-1.93057 # DEPENDENCYPART_ARC
(4,1),0.405229 # DEPENDENCYPART_ARC
(4,2),1.99688 # DEPENDENCYPART_ARC
(4,3),3.01531 # DEPENDENCYPART_ARC
(4,5),-0.000284237 # DEPENDENCYPART_ARC
(4,6),-0.575641 # DEPENDENCYPART_ARC
(4,7),-1.06412 # DEPENDENCYPART_ARC
(4,8),-0.446701 # DEPENDENCYPART_ARC
(4,9),-1.03297 # DEPENDENCYPART_ARC
(4,10),-1.10604 # DEPENDENCYPART_ARC
