# _root_ Düz , sağlam , sade ...
#goldHeads=2,3,4,5,6,0,
#predictedHeads=2,3,4,5,6,0,
(0,1),-0.409739 # DEPENDENCYPART_ARC
(0,2),1.08726 # DEPENDENCYPART_ARC
(0,3),-1.16491 # DEPENDENCYPART_ARC
(0,4),0.603442 # DEPENDENCYPART_ARC
(0,5),-1.36358 # DEPENDENCYPART_ARC
(0,6),2.40804 # DEPENDENCYPART_ARC
(1,2),0.0665947 # DEPENDENCYPART_ARC
(1,3),-0.671928 # DEPENDENCYPART_ARC
(1,4),-0.661547 # DEPENDENCYPART_ARC
(1,5),-0.965994 # DEPENDENCYPART_ARC
(1,6),-0.826677 # DEPENDENCYPART_ARC
(2,1),1.42688 # DEPENDENCYPART_ARC
(2,3),-0.395008 # DEPENDENCYPART_ARC
(2,4),-0.170575 # DEPENDENCYPART_ARC
(2,5),-0.86729 # DEPENDENCYPART_ARC
(2,6),-0.186772 # DEPENDENCYPART_ARC
(3,1),-0.359706 # DEPENDENCYPART_ARC
(3,2),1.37273 # DEPENDENCYPART_ARC
(3,4),0.0735582 # DEPENDENCYPART_ARC
(3,5),-0.629268 # DEPENDENCYPART_ARC
(3,6),-0.663171 # DEPENDENCYPART_ARC
(4,1),-0.078394 # DEPENDENCYPART_ARC
(4,2),-0.339015 # DEPENDENCYPART_ARC
(4,3),1.17215 # DEPENDENCYPART_ARC
(4,5),-0.394805 # DEPENDENCYPART_ARC
(4,6),-0.0743026 # DEPENDENCYPART_ARC
(5,1),-0.745342 # DEPENDENCYPART_ARC
(5,2),0.214774 # DEPENDENCYPART_ARC
(5,3),-0.0489615 # DEPENDENCYPART_ARC
(5,4),1.48244 # DEPENDENCYPART_ARC
(5,6),0.280268 # DEPENDENCYPART_ARC
(6,1),-0.591716 # DEPENDENCYPART_ARC
(6,2),-0.890561 # DEPENDENCYPART_ARC
(6,3),-0.582469 # DEPENDENCYPART_ARC
(6,4),-0.492322 # DEPENDENCYPART_ARC
(6,5),0.743895 # DEPENDENCYPART_ARC
