# _root_ Bu rolünün uzun bir dönem _ devam_etmesi , döviz kurlarının nerede _ olmasını _ istemenize _ _ bağlı_olarak , enflasyon _ hedeflemesinin rafa _ _ kaldırılması mecburiyetini _ doğurur .
#goldHeads=2,6,5,5,6,7,29,0,10,12,12,13,14,15,17,17,18,25,0,22,22,25,25,25,26,27,29,29,30,0,
#predictedHeads=2,7,5,5,7,7,8,0,10,12,12,13,14,15,17,17,18,29,0,22,22,26,26,25,26,27,29,29,30,0,
(0,1),0.0752928 # DEPENDENCYPART_ARC
(0,2),-1.17884 # DEPENDENCYPART_ARC
(0,3),-0.888034 # DEPENDENCYPART_ARC
(0,4),-0.572144 # DEPENDENCYPART_ARC
(0,5),-1.16388 # DEPENDENCYPART_ARC
(0,6),-1.04091 # DEPENDENCYPART_ARC
(0,7),-1.46572 # DEPENDENCYPART_ARC
(0,8),1.84679 # DEPENDENCYPART_ARC
(0,9),-0.906708 # DEPENDENCYPART_ARC
(0,10),-1.34941 # DEPENDENCYPART_ARC
(0,11),-1.51874 # DEPENDENCYPART_ARC
(0,12),-1.60943 # DEPENDENCYPART_ARC
(0,13),-1.60801 # DEPENDENCYPART_ARC
(0,14),-1.66578 # DEPENDENCYPART_ARC
(0,15),-1.43587 # DEPENDENCYPART_ARC
(0,16),-1.70889 # DEPENDENCYPART_ARC
(0,17),-2.00838 # DEPENDENCYPART_ARC
(0,18),-1.99271 # DEPENDENCYPART_ARC
(0,19),1.98831 # DEPENDENCYPART_ARC
(0,20),-1.07013 # DEPENDENCYPART_ARC
(0,21),-2.25026 # DEPENDENCYPART_ARC
(0,22),-1.90153 # DEPENDENCYPART_ARC
(0,23),-1.21601 # DEPENDENCYPART_ARC
(0,24),-2.3583 # DEPENDENCYPART_ARC
(0,25),-2.5532 # DEPENDENCYPART_ARC
(0,26),-1.86936 # DEPENDENCYPART_ARC
(0,27),-1.59499 # DEPENDENCYPART_ARC
(0,28),-2.56052 # DEPENDENCYPART_ARC
(0,29),-2.08316 # DEPENDENCYPART_ARC
(0,30),3.14056 # DEPENDENCYPART_ARC
(1,2),-0.198876 # DEPENDENCYPART_ARC
(1,3),-0.408476 # DEPENDENCYPART_ARC
(1,4),-0.443002 # DEPENDENCYPART_ARC
(1,5),-0.803871 # DEPENDENCYPART_ARC
(1,6),-0.741783 # DEPENDENCYPART_ARC
(1,7),-0.898822 # DEPENDENCYPART_ARC
(1,8),-0.619641 # DEPENDENCYPART_ARC
(1,9),-1.19038 # DEPENDENCYPART_ARC
(1,10),-1.10457 # DEPENDENCYPART_ARC
(1,11),-0.843771 # DEPENDENCYPART_ARC
(1,12),-1.17561 # DEPENDENCYPART_ARC
(1,13),-1.37855 # DEPENDENCYPART_ARC
(1,14),-1.31272 # DEPENDENCYPART_ARC
(1,15),-1.45153 # DEPENDENCYPART_ARC
(1,16),-1.56234 # DEPENDENCYPART_ARC
(1,17),-1.43318 # DEPENDENCYPART_ARC
(1,18),-0.968407 # DEPENDENCYPART_ARC
(1,19),-1.06714 # DEPENDENCYPART_ARC
(1,20),-1.48528 # DEPENDENCYPART_ARC
(1,21),-1.43715 # DEPENDENCYPART_ARC
(1,22),-1.74802 # DEPENDENCYPART_ARC
(1,23),-1.81724 # DEPENDENCYPART_ARC
(1,24),-1.80118 # DEPENDENCYPART_ARC
(1,25),-1.71868 # DEPENDENCYPART_ARC
(1,26),-1.75288 # DEPENDENCYPART_ARC
(1,27),-1.8084 # DEPENDENCYPART_ARC
(1,28),-1.79928 # DEPENDENCYPART_ARC
(1,29),-1.90388 # DEPENDENCYPART_ARC
(1,30),-1.46786 # DEPENDENCYPART_ARC
(2,1),2.6395 # DEPENDENCYPART_ARC
(2,3),0.0473627 # DEPENDENCYPART_ARC
(2,4),-0.337553 # DEPENDENCYPART_ARC
(2,5),-0.620306 # DEPENDENCYPART_ARC
(2,6),-0.784223 # DEPENDENCYPART_ARC
(2,7),-0.665985 # DEPENDENCYPART_ARC
(2,8),-0.64614 # DEPENDENCYPART_ARC
(2,9),-1.29068 # DEPENDENCYPART_ARC
(2,10),-1.53424 # DEPENDENCYPART_ARC
(2,11),-2.37431 # DEPENDENCYPART_ARC
(2,12),-1.31637 # DEPENDENCYPART_ARC
(2,13),-1.44923 # DEPENDENCYPART_ARC
(2,14),-1.44662 # DEPENDENCYPART_ARC
(2,15),-1.07469 # DEPENDENCYPART_ARC
(2,16),-2.17489 # DEPENDENCYPART_ARC
(2,17),-1.59979 # DEPENDENCYPART_ARC
(2,18),-1.3018 # DEPENDENCYPART_ARC
(2,19),-1.002 # DEPENDENCYPART_ARC
(2,20),-2.0718 # DEPENDENCYPART_ARC
(2,21),-1.52736 # DEPENDENCYPART_ARC
(2,22),-1.537 # DEPENDENCYPART_ARC
(2,23),-2.37106 # DEPENDENCYPART_ARC
(2,24),-1.71413 # DEPENDENCYPART_ARC
(2,25),-1.89823 # DEPENDENCYPART_ARC
(2,26),-2.31313 # DEPENDENCYPART_ARC
(2,27),-2.50635 # DEPENDENCYPART_ARC
(2,28),-1.70864 # DEPENDENCYPART_ARC
(2,29),-1.908 # DEPENDENCYPART_ARC
(2,30),-2.35035 # DEPENDENCYPART_ARC
(3,1),0.478045 # DEPENDENCYPART_ARC
(3,2),1.2586 # DEPENDENCYPART_ARC
(3,4),0.219435 # DEPENDENCYPART_ARC
(3,5),0.0801765 # DEPENDENCYPART_ARC
(3,6),-0.52707 # DEPENDENCYPART_ARC
(3,7),0.0596231 # DEPENDENCYPART_ARC
(3,8),-0.599776 # DEPENDENCYPART_ARC
(3,9),-0.563423 # DEPENDENCYPART_ARC
(3,10),-0.753756 # DEPENDENCYPART_ARC
(3,11),-0.434132 # DEPENDENCYPART_ARC
(3,12),-0.88565 # DEPENDENCYPART_ARC
(3,13),-0.668237 # DEPENDENCYPART_ARC
(3,14),-1.1052 # DEPENDENCYPART_ARC
(3,15),-1.06404 # DEPENDENCYPART_ARC
(3,16),-1.37876 # DEPENDENCYPART_ARC
(3,17),-1.21563 # DEPENDENCYPART_ARC
(3,18),-0.835744 # DEPENDENCYPART_ARC
(3,19),-1.0425 # DEPENDENCYPART_ARC
(3,20),-1.22101 # DEPENDENCYPART_ARC
(3,21),-1.29723 # DEPENDENCYPART_ARC
(3,22),-1.29649 # DEPENDENCYPART_ARC
(3,23),-1.52155 # DEPENDENCYPART_ARC
(3,24),-1.52064 # DEPENDENCYPART_ARC
(3,25),-1.51725 # DEPENDENCYPART_ARC
(3,26),-1.49829 # DEPENDENCYPART_ARC
(3,27),-1.62442 # DEPENDENCYPART_ARC
(3,28),-1.54184 # DEPENDENCYPART_ARC
(3,29),-1.53352 # DEPENDENCYPART_ARC
(3,30),-1.3942 # DEPENDENCYPART_ARC
(4,1),-0.414947 # DEPENDENCYPART_ARC
(4,2),-0.35218 # DEPENDENCYPART_ARC
(4,3),0.825519 # DEPENDENCYPART_ARC
(4,5),0.147516 # DEPENDENCYPART_ARC
(4,6),-0.0512632 # DEPENDENCYPART_ARC
(4,7),-0.309321 # DEPENDENCYPART_ARC
(4,8),-0.135362 # DEPENDENCYPART_ARC
(4,9),-0.655607 # DEPENDENCYPART_ARC
(4,10),-0.640723 # DEPENDENCYPART_ARC
(4,11),-0.540264 # DEPENDENCYPART_ARC
(4,12),-0.66529 # DEPENDENCYPART_ARC
(4,13),-0.590305 # DEPENDENCYPART_ARC
(4,14),-0.573437 # DEPENDENCYPART_ARC
(4,15),-0.920402 # DEPENDENCYPART_ARC
(4,16),-0.968608 # DEPENDENCYPART_ARC
(4,17),-0.95795 # DEPENDENCYPART_ARC
(4,18),-0.553808 # DEPENDENCYPART_ARC
(4,19),-0.7559 # DEPENDENCYPART_ARC
(4,20),-0.952425 # DEPENDENCYPART_ARC
(4,21),-0.886635 # DEPENDENCYPART_ARC
(4,22),-1.10114 # DEPENDENCYPART_ARC
(4,23),-1.05919 # DEPENDENCYPART_ARC
(4,24),-1.0681 # DEPENDENCYPART_ARC
(4,25),-1.08918 # DEPENDENCYPART_ARC
(4,26),-1.1415 # DEPENDENCYPART_ARC
(4,27),-1.23855 # DEPENDENCYPART_ARC
(4,28),-1.19172 # DEPENDENCYPART_ARC
(4,29),-1.20685 # DEPENDENCYPART_ARC
(4,30),-1.39309 # DEPENDENCYPART_ARC
(5,1),1.14824 # DEPENDENCYPART_ARC
(5,2),0.478329 # DEPENDENCYPART_ARC
(5,3),2.29102 # DEPENDENCYPART_ARC
(5,4),2.72664 # DEPENDENCYPART_ARC
(5,6),0.208478 # DEPENDENCYPART_ARC
(5,7),0.379621 # DEPENDENCYPART_ARC
(5,8),0.0722598 # DEPENDENCYPART_ARC
(5,9),-0.486891 # DEPENDENCYPART_ARC
(5,10),-1.12726 # DEPENDENCYPART_ARC
(5,11),-1.64747 # DEPENDENCYPART_ARC
(5,12),-0.961105 # DEPENDENCYPART_ARC
(5,13),-1.37317 # DEPENDENCYPART_ARC
(5,14),-0.840712 # DEPENDENCYPART_ARC
(5,15),-0.167316 # DEPENDENCYPART_ARC
(5,16),-1.57198 # DEPENDENCYPART_ARC
(5,17),-1.1515 # DEPENDENCYPART_ARC
(5,18),-0.875707 # DEPENDENCYPART_ARC
(5,19),-0.43651 # DEPENDENCYPART_ARC
(5,20),-1.44417 # DEPENDENCYPART_ARC
(5,21),-1.17502 # DEPENDENCYPART_ARC
(5,22),-1.75304 # DEPENDENCYPART_ARC
(5,23),-1.86631 # DEPENDENCYPART_ARC
(5,24),-0.996888 # DEPENDENCYPART_ARC
(5,25),-1.41282 # DEPENDENCYPART_ARC
(5,26),-1.70848 # DEPENDENCYPART_ARC
(5,27),-2.64499 # DEPENDENCYPART_ARC
(5,28),-1.22539 # DEPENDENCYPART_ARC
(5,29),-1.78135 # DEPENDENCYPART_ARC
(5,30),-1.77979 # DEPENDENCYPART_ARC
(6,1),0.0845698 # DEPENDENCYPART_ARC
(6,2),1.62935 # DEPENDENCYPART_ARC
(6,3),0.0314247 # DEPENDENCYPART_ARC
(6,4),0.412502 # DEPENDENCYPART_ARC
(6,5),2.48606 # DEPENDENCYPART_ARC
(6,7),0.829812 # DEPENDENCYPART_ARC
(6,8),0.176649 # DEPENDENCYPART_ARC
(6,9),-1.15952 # DEPENDENCYPART_ARC
(6,10),-1.47822 # DEPENDENCYPART_ARC
(6,11),-0.570473 # DEPENDENCYPART_ARC
(6,12),-1.04463 # DEPENDENCYPART_ARC
(6,13),-1.42064 # DEPENDENCYPART_ARC
(6,14),-1.27616 # DEPENDENCYPART_ARC
(6,15),-1.64287 # DEPENDENCYPART_ARC
(6,16),-2.44739 # DEPENDENCYPART_ARC
(6,17),-1.52422 # DEPENDENCYPART_ARC
(6,18),-0.585664 # DEPENDENCYPART_ARC
(6,19),-0.838895 # DEPENDENCYPART_ARC
(6,20),-2.47254 # DEPENDENCYPART_ARC
(6,21),-1.94295 # DEPENDENCYPART_ARC
(6,22),-2.77137 # DEPENDENCYPART_ARC
(6,23),-2.10209 # DEPENDENCYPART_ARC
(6,24),-1.94037 # DEPENDENCYPART_ARC
(6,25),-2.33701 # DEPENDENCYPART_ARC
(6,26),-2.54776 # DEPENDENCYPART_ARC
(6,27),-2.51309 # DEPENDENCYPART_ARC
(6,28),-2.46945 # DEPENDENCYPART_ARC
(6,29),-1.5831 # DEPENDENCYPART_ARC
(6,30),-2.0985 # DEPENDENCYPART_ARC
(7,1),0.835703 # DEPENDENCYPART_ARC
(7,2),2.05288 # DEPENDENCYPART_ARC
(7,3),1.27829 # DEPENDENCYPART_ARC
(7,4),1.63838 # DEPENDENCYPART_ARC
(7,5),2.6241 # DEPENDENCYPART_ARC
(7,6),3.6211 # DEPENDENCYPART_ARC
(7,8),0.0741822 # DEPENDENCYPART_ARC
(7,9),-0.246482 # DEPENDENCYPART_ARC
(7,10),-0.682179 # DEPENDENCYPART_ARC
(7,11),-1.89108 # DEPENDENCYPART_ARC
(7,12),-1.50312 # DEPENDENCYPART_ARC
(7,13),-1.09498 # DEPENDENCYPART_ARC
(7,14),-1.55714 # DEPENDENCYPART_ARC
(7,15),-0.0673515 # DEPENDENCYPART_ARC
(7,16),-1.31543 # DEPENDENCYPART_ARC
(7,17),-1.55167 # DEPENDENCYPART_ARC
(7,18),-1.47054 # DEPENDENCYPART_ARC
(7,19),-1.08335 # DEPENDENCYPART_ARC
(7,20),-1.75456 # DEPENDENCYPART_ARC
(7,21),-1.78018 # DEPENDENCYPART_ARC
(7,22),-0.83421 # DEPENDENCYPART_ARC
(7,23),-1.6971 # DEPENDENCYPART_ARC
(7,24),-1.60215 # DEPENDENCYPART_ARC
(7,25),-2.06249 # DEPENDENCYPART_ARC
(7,26),-1.65748 # DEPENDENCYPART_ARC
(7,27),-2.28025 # DEPENDENCYPART_ARC
(7,28),-1.81292 # DEPENDENCYPART_ARC
(7,29),-2.28546 # DEPENDENCYPART_ARC
(7,30),-2.36158 # DEPENDENCYPART_ARC
(8,1),-0.305397 # DEPENDENCYPART_ARC
(8,2),0.237026 # DEPENDENCYPART_ARC
(8,3),-0.0132173 # DEPENDENCYPART_ARC
(8,4),-0.122378 # DEPENDENCYPART_ARC
(8,5),0.511477 # DEPENDENCYPART_ARC
(8,6),-0.236851 # DEPENDENCYPART_ARC
(8,7),1.23046 # DEPENDENCYPART_ARC
(8,9),0.251142 # DEPENDENCYPART_ARC
(8,10),-0.111363 # DEPENDENCYPART_ARC
(8,11),-0.288175 # DEPENDENCYPART_ARC
(8,12),-0.0355226 # DEPENDENCYPART_ARC
(8,13),-0.0396522 # DEPENDENCYPART_ARC
(8,14),-0.336933 # DEPENDENCYPART_ARC
(8,15),-0.271271 # DEPENDENCYPART_ARC
(8,16),-0.487513 # DEPENDENCYPART_ARC
(8,17),-0.390717 # DEPENDENCYPART_ARC
(8,18),-0.391013 # DEPENDENCYPART_ARC
(8,19),-1.47427 # DEPENDENCYPART_ARC
(8,20),-0.594149 # DEPENDENCYPART_ARC
(8,21),-1.18962 # DEPENDENCYPART_ARC
(8,22),-0.880892 # DEPENDENCYPART_ARC
(8,23),-0.790423 # DEPENDENCYPART_ARC
(8,24),-1.32433 # DEPENDENCYPART_ARC
(8,25),-1.60111 # DEPENDENCYPART_ARC
(8,26),-1.24435 # DEPENDENCYPART_ARC
