# _root_ İbo_Abim , Bu iş olmayacak , dedi .
#goldHeads=7,0,4,5,6,7,8,0,
#predictedHeads=5,0,4,5,6,7,8,0,
(0,1),-0.794467 # DEPENDENCYPART_ARC
(0,2),2.67809 # DEPENDENCYPART_ARC
(0,4),-0.652367 # DEPENDENCYPART_ARC
(0,5),-1.35432 # DEPENDENCYPART_ARC
(0,6),0.326115 # DEPENDENCYPART_ARC
(0,7),-1.41651 # DEPENDENCYPART_ARC
(0,8),2.12217 # DEPENDENCYPART_ARC
(1,2),0.0771332 # DEPENDENCYPART_ARC
(1,3),-0.225035 # DEPENDENCYPART_ARC
(1,4),-1.15534 # DEPENDENCYPART_ARC
(1,5),-0.706679 # DEPENDENCYPART_ARC
(1,6),-0.706925 # DEPENDENCYPART_ARC
(1,7),-2.05293 # DEPENDENCYPART_ARC
(1,8),-1.05757 # DEPENDENCYPART_ARC
(2,1),0.259397 # DEPENDENCYPART_ARC
(2,3),-0.0916102 # DEPENDENCYPART_ARC
(2,4),-0.191418 # DEPENDENCYPART_ARC
(2,5),-0.0140229 # DEPENDENCYPART_ARC
(2,6),-0.478127 # DEPENDENCYPART_ARC
(2,7),-0.535814 # DEPENDENCYPART_ARC
(2,8),-1.08854 # DEPENDENCYPART_ARC
(3,1),-0.912081 # DEPENDENCYPART_ARC
(3,2),0.131082 # DEPENDENCYPART_ARC
(3,4),-0.0254284 # DEPENDENCYPART_ARC
(3,6),-0.2569 # DEPENDENCYPART_ARC
(3,8),-0.623513 # DEPENDENCYPART_ARC
(4,1),-0.608266 # DEPENDENCYPART_ARC
(4,2),0.540428 # DEPENDENCYPART_ARC
(4,3),2.4975 # DEPENDENCYPART_ARC
(4,5),0.293758 # DEPENDENCYPART_ARC
(4,6),-0.189504 # DEPENDENCYPART_ARC
(4,7),-1.82686 # DEPENDENCYPART_ARC
(4,8),-0.99777 # DEPENDENCYPART_ARC
(5,1),2.09891 # DEPENDENCYPART_ARC
(5,2),0.825646 # DEPENDENCYPART_ARC
(5,3),1.36081 # DEPENDENCYPART_ARC
(5,4),3.35892 # DEPENDENCYPART_ARC
(5,6),0.0865388 # DEPENDENCYPART_ARC
(5,7),-1.48033 # DEPENDENCYPART_ARC
(5,8),-1.13089 # DEPENDENCYPART_ARC
(6,1),0.102193 # DEPENDENCYPART_ARC
(6,2),0.0459684 # DEPENDENCYPART_ARC
(6,3),0.0253576 # DEPENDENCYPART_ARC
(6,4),0.388729 # DEPENDENCYPART_ARC
(6,5),2.14586 # DEPENDENCYPART_ARC
(6,7),0.666356 # DEPENDENCYPART_ARC
(6,8),0.260914 # DEPENDENCYPART_ARC
(7,1),1.10416 # DEPENDENCYPART_ARC
(7,2),-0.356154 # DEPENDENCYPART_ARC
(7,3),-0.106567 # DEPENDENCYPART_ARC
(7,4),0.59502 # DEPENDENCYPART_ARC
(7,5),0.212318 # DEPENDENCYPART_ARC
(7,6),3.01842 # DEPENDENCYPART_ARC
(7,8),0.435538 # DEPENDENCYPART_ARC
(8,1),-0.116612 # DEPENDENCYPART_ARC
(8,2),-0.741303 # DEPENDENCYPART_ARC
(8,3),-0.389633 # DEPENDENCYPART_ARC
(8,4),-0.364068 # DEPENDENCYPART_ARC
(8,5),0.0441718 # DEPENDENCYPART_ARC
(8,6),0.114558 # DEPENDENCYPART_ARC
(8,7),2.36615 # DEPENDENCYPART_ARC
