# _root_ " O zaman , " demiş cadı sesini biraz daha _ _ alçaltarak , " _ alabilirsin , canı ne kadar çekiyorsa _ alabilirsin .
#goldHeads=0,3,4,6,0,14,6,12,10,12,12,13,6,17,0,17,18,24,22,21,22,24,24,25,0,
#predictedHeads=0,3,6,0,0,14,8,12,10,12,12,13,6,0,0,17,18,24,21,21,22,24,24,25,0,
(0,1),4.49593 # DEPENDENCYPART_ARC
(0,2),-0.179252 # DEPENDENCYPART_ARC
(0,3),-0.738993 # DEPENDENCYPART_ARC
(0,4),2.43773 # DEPENDENCYPART_ARC
(0,5),3.61506 # DEPENDENCYPART_ARC
(0,6),-1.34061 # DEPENDENCYPART_ARC
(0,7),-0.426362 # DEPENDENCYPART_ARC
(0,8),-0.613062 # DEPENDENCYPART_ARC
(0,9),-1.04162 # DEPENDENCYPART_ARC
(0,10),-1.11974 # DEPENDENCYPART_ARC
(0,11),-1.11906 # DEPENDENCYPART_ARC
(0,12),-1.36268 # DEPENDENCYPART_ARC
(0,13),-1.51072 # DEPENDENCYPART_ARC
(0,14),1.8039 # DEPENDENCYPART_ARC
(0,15),3.07378 # DEPENDENCYPART_ARC
(0,16),-1.68164 # DEPENDENCYPART_ARC
(0,17),-1.44428 # DEPENDENCYPART_ARC
(0,18),0.213121 # DEPENDENCYPART_ARC
(0,19),-0.663111 # DEPENDENCYPART_ARC
(0,20),-1.55479 # DEPENDENCYPART_ARC
(0,21),-1.58872 # DEPENDENCYPART_ARC
(0,22),-1.96121 # DEPENDENCYPART_ARC
(0,23),-2.06597 # DEPENDENCYPART_ARC
(0,24),-1.72168 # DEPENDENCYPART_ARC
(0,25),2.86314 # DEPENDENCYPART_ARC
(1,2),-0.208101 # DEPENDENCYPART_ARC
(1,3),-0.708265 # DEPENDENCYPART_ARC
(1,4),-0.408407 # DEPENDENCYPART_ARC
(1,5),-0.570684 # DEPENDENCYPART_ARC
(1,6),-0.711816 # DEPENDENCYPART_ARC
(1,7),-0.464087 # DEPENDENCYPART_ARC
(1,8),-0.534219 # DEPENDENCYPART_ARC
(1,9),-0.790146 # DEPENDENCYPART_ARC
(1,10),-0.600098 # DEPENDENCYPART_ARC
(1,11),-0.799071 # DEPENDENCYPART_ARC
(1,12),-0.962893 # DEPENDENCYPART_ARC
(1,13),-0.94776 # DEPENDENCYPART_ARC
(1,14),-1.5884 # DEPENDENCYPART_ARC
(1,15),-1.40468 # DEPENDENCYPART_ARC
