# _root_ Sigarama davrandım , _ _ saygılıyım , _ ikincisine .
#goldHeads=2,3,4,5,6,10,0,9,4,0,
#predictedHeads=2,3,6,5,6,7,9,9,10,0,
(0,1),-0.714899 # DEPENDENCYPART_ARC
(0,2),-1.27109 # DEPENDENCYPART_ARC
(0,3),0.765847 # DEPENDENCYPART_ARC
(0,4),-1.11943 # DEPENDENCYPART_ARC
(0,5),-1.75332 # DEPENDENCYPART_ARC
(0,6),-1.40515 # DEPENDENCYPART_ARC
(0,7),0.765252 # DEPENDENCYPART_ARC
(0,8),-0.657935 # DEPENDENCYPART_ARC
(0,9),-1.31951 # DEPENDENCYPART_ARC
(0,10),2.93533 # DEPENDENCYPART_ARC
(1,2),-0.0833834 # DEPENDENCYPART_ARC
(1,3),0.660369 # DEPENDENCYPART_ARC
(1,4),-1.60615 # DEPENDENCYPART_ARC
(1,5),-0.365091 # DEPENDENCYPART_ARC
(1,6),-0.901182 # DEPENDENCYPART_ARC
(1,7),-0.252986 # DEPENDENCYPART_ARC
(1,8),-0.293117 # DEPENDENCYPART_ARC
(1,9),-1.36488 # DEPENDENCYPART_ARC
(1,10),-0.677721 # DEPENDENCYPART_ARC
(2,1),3.96309 # DEPENDENCYPART_ARC
(2,3),0.0263646 # DEPENDENCYPART_ARC
(2,4),-0.267206 # DEPENDENCYPART_ARC
(2,5),-0.740616 # DEPENDENCYPART_ARC
(2,6),-0.13829 # DEPENDENCYPART_ARC
(2,7),-0.833829 # DEPENDENCYPART_ARC
(2,8),-0.755846 # DEPENDENCYPART_ARC
(2,9),0.854676 # DEPENDENCYPART_ARC
(2,10),-1.12894 # DEPENDENCYPART_ARC
(3,1),0.589786 # DEPENDENCYPART_ARC
(3,2),1.53623 # DEPENDENCYPART_ARC
(3,4),0.20082 # DEPENDENCYPART_ARC
(3,5),-0.452526 # DEPENDENCYPART_ARC
(3,6),0.110147 # DEPENDENCYPART_ARC
(3,7),-0.362109 # DEPENDENCYPART_ARC
(3,8),-0.656278 # DEPENDENCYPART_ARC
(3,9),-0.263697 # DEPENDENCYPART_ARC
(3,10),-0.661435 # DEPENDENCYPART_ARC
(4,1),-1.43384 # DEPENDENCYPART_ARC
(4,2),-0.129228 # DEPENDENCYPART_ARC
(4,3),0.634415 # DEPENDENCYPART_ARC
(4,5),0.649444 # DEPENDENCYPART_ARC
(4,6),-0.310147 # DEPENDENCYPART_ARC
(4,7),-0.00121801 # DEPENDENCYPART_ARC
(4,8),0.0645356 # DEPENDENCYPART_ARC
(4,9),-0.433493 # DEPENDENCYPART_ARC
(4,10),-0.637518 # DEPENDENCYPART_ARC
(5,1),0.274916 # DEPENDENCYPART_ARC
(5,2),0.22481 # DEPENDENCYPART_ARC
(5,3),0.952822 # DEPENDENCYPART_ARC
(5,4),4.09017 # DEPENDENCYPART_ARC
(5,6),-0.0689206 # DEPENDENCYPART_ARC
(5,7),-0.394619 # DEPENDENCYPART_ARC
(5,8),-0.546705 # DEPENDENCYPART_ARC
(5,9),-0.394048 # DEPENDENCYPART_ARC
(5,10),-0.955914 # DEPENDENCYPART_ARC
(6,1),0.693331 # DEPENDENCYPART_ARC
(6,2),-0.179974 # DEPENDENCYPART_ARC
(6,3),1.92257 # DEPENDENCYPART_ARC
(6,4),1.788 # DEPENDENCYPART_ARC
(6,5),2.96235 # DEPENDENCYPART_ARC
(6,7),-0.680299 # DEPENDENCYPART_ARC
(6,8),-0.901362 # DEPENDENCYPART_ARC
(6,9),-0.248566 # DEPENDENCYPART_ARC
(6,10),-1.54618 # DEPENDENCYPART_ARC
(7,1),0.441351 # DEPENDENCYPART_ARC
(7,2),0.111065 # DEPENDENCYPART_ARC
(7,3),0.482782 # DEPENDENCYPART_ARC
(7,4),-0.0800403 # DEPENDENCYPART_ARC
(7,5),-0.116285 # DEPENDENCYPART_ARC
(7,6),1.87616 # DEPENDENCYPART_ARC
(7,8),-0.0558895 # DEPENDENCYPART_ARC
(7,9),-0.200133 # DEPENDENCYPART_ARC
(7,10),-0.185496 # DEPENDENCYPART_ARC
(8,1),-0.56051 # DEPENDENCYPART_ARC
(8,2),-0.413144 # DEPENDENCYPART_ARC
(8,3),-0.733079 # DEPENDENCYPART_ARC
(8,4),-0.651507 # DEPENDENCYPART_ARC
(8,5),-0.425642 # DEPENDENCYPART_ARC
(8,6),-0.094684 # DEPENDENCYPART_ARC
(8,7),0.77991 # DEPENDENCYPART_ARC
(8,9),0.514562 # DEPENDENCYPART_ARC
(8,10),0.676022 # DEPENDENCYPART_ARC
(9,1),-0.186701 # DEPENDENCYPART_ARC
(9,2),-0.468843 # DEPENDENCYPART_ARC
(9,3),0.250607 # DEPENDENCYPART_ARC
(9,4),-0.72987 # DEPENDENCYPART_ARC
(9,5),0.417199 # DEPENDENCYPART_ARC
(9,6),0.0173591 # DEPENDENCYPART_ARC
(9,7),0.796605 # DEPENDENCYPART_ARC
(9,8),2.85113 # DEPENDENCYPART_ARC
(9,10),-0.500923 # DEPENDENCYPART_ARC
(10,1),-0.139949 # DEPENDENCYPART_ARC
(10,2),1.06686 # DEPENDENCYPART_ARC
(10,3),-0.29647 # DEPENDENCYPART_ARC
(10,4),-1.44177 # DEPENDENCYPART_ARC
(10,5),-1.63112 # DEPENDENCYPART_ARC
(10,6),1.34178 # DEPENDENCYPART_ARC
(10,7),0.341467 # DEPENDENCYPART_ARC
(10,8),-1.04313 # DEPENDENCYPART_ARC
(10,9),0.838052 # DEPENDENCYPART_ARC
