# _root_ Buyur , Ayşe abla , geç sofraya .
#goldHeads=5,0,4,1,0,8,6,0,
#predictedHeads=2,0,4,5,7,8,6,0,
(0,1),-1.00267 # DEPENDENCYPART_ARC
(0,2),1.06954 # DEPENDENCYPART_ARC
(0,3),-1.03593 # DEPENDENCYPART_ARC
(0,4),-1.0162 # DEPENDENCYPART_ARC
(0,5),0.648369 # DEPENDENCYPART_ARC
(0,6),-1.72562 # DEPENDENCYPART_ARC
(0,7),-1.00909 # DEPENDENCYPART_ARC
(0,8),2.4654 # DEPENDENCYPART_ARC
(1,2),-0.259017 # DEPENDENCYPART_ARC
(1,3),-0.114073 # DEPENDENCYPART_ARC
(1,4),0.097834 # DEPENDENCYPART_ARC
(1,5),-0.618429 # DEPENDENCYPART_ARC
(1,6),-0.688184 # DEPENDENCYPART_ARC
(1,7),0.38886 # DEPENDENCYPART_ARC
(1,8),-1.22661 # DEPENDENCYPART_ARC
(2,1),1.67957 # DEPENDENCYPART_ARC
(2,3),0.416073 # DEPENDENCYPART_ARC
(2,4),0.133173 # DEPENDENCYPART_ARC
(2,5),-0.022742 # DEPENDENCYPART_ARC
(2,6),0.0811627 # DEPENDENCYPART_ARC
(2,7),0.00923058 # DEPENDENCYPART_ARC
(2,8),-0.573414 # DEPENDENCYPART_ARC
(3,1),-0.430134 # DEPENDENCYPART_ARC
(3,2),-0.0144961 # DEPENDENCYPART_ARC
(3,4),0.460867 # DEPENDENCYPART_ARC
(3,5),0.157679 # DEPENDENCYPART_ARC
(3,6),-1.28793 # DEPENDENCYPART_ARC
(3,7),-0.265695 # DEPENDENCYPART_ARC
(3,8),-0.626613 # DEPENDENCYPART_ARC
(4,1),-0.249698 # DEPENDENCYPART_ARC
(4,2),0.533551 # DEPENDENCYPART_ARC
(4,3),2.08875 # DEPENDENCYPART_ARC
(4,5),0.0765987 # DEPENDENCYPART_ARC
(4,6),-1.20177 # DEPENDENCYPART_ARC
(4,7),-0.280188 # DEPENDENCYPART_ARC
(4,8),-0.800566 # DEPENDENCYPART_ARC
(5,1),0.707397 # DEPENDENCYPART_ARC
(5,2),-0.0153631 # DEPENDENCYPART_ARC
(5,3),0.593324 # DEPENDENCYPART_ARC
(5,4),1.00982 # DEPENDENCYPART_ARC
(5,6),0.21749 # DEPENDENCYPART_ARC
(5,7),-0.0492158 # DEPENDENCYPART_ARC
(5,8),-0.3046 # DEPENDENCYPART_ARC
(6,1),-0.136991 # DEPENDENCYPART_ARC
(6,2),-1.01176 # DEPENDENCYPART_ARC
(6,3),-0.473744 # DEPENDENCYPART_ARC
(6,4),-0.171303 # DEPENDENCYPART_ARC
(6,5),0.594703 # DEPENDENCYPART_ARC
(6,7),2.80146 # DEPENDENCYPART_ARC
(6,8),0.0109212 # DEPENDENCYPART_ARC
(7,1),-1.22826 # DEPENDENCYPART_ARC
(7,2),-0.673745 # DEPENDENCYPART_ARC
(7,3),-0.557872 # DEPENDENCYPART_ARC
(7,4),-0.813988 # DEPENDENCYPART_ARC
(7,5),0.693298 # DEPENDENCYPART_ARC
(7,6),0.514776 # DEPENDENCYPART_ARC
(7,8),0.396705 # DEPENDENCYPART_ARC
(8,1),0.88734 # DEPENDENCYPART_ARC
(8,2),-0.200141 # DEPENDENCYPART_ARC
(8,3),0.232431 # DEPENDENCYPART_ARC
(8,4),-0.0517016 # DEPENDENCYPART_ARC
(8,5),0.477352 # DEPENDENCYPART_ARC
(8,6),2.30687 # DEPENDENCYPART_ARC
(8,7),0.514777 # DEPENDENCYPART_ARC
