# _root_ En zıt fikirler _ ileri_sürülüyor , kimse kimseye hakaret_etmiyor , tarizde _ bulunmuyordu .
#goldHeads=2,3,4,5,6,9,9,9,10,13,13,13,14,0,
#predictedHeads=2,3,5,5,6,9,9,9,10,13,13,13,14,0,
(0,3),-1.19102 # DEPENDENCYPART_ARC
(0,4),-0.775375 # DEPENDENCYPART_ARC
(0,5),-1.4571 # DEPENDENCYPART_ARC
(0,6),1.12941 # DEPENDENCYPART_ARC
(0,7),-1.1493 # DEPENDENCYPART_ARC
(0,8),-0.874704 # DEPENDENCYPART_ARC
(0,9),-1.59024 # DEPENDENCYPART_ARC
(0,10),0.966696 # DEPENDENCYPART_ARC
(0,11),-1.27145 # DEPENDENCYPART_ARC
(0,12),-1.75197 # DEPENDENCYPART_ARC
(0,13),-2.29047 # DEPENDENCYPART_ARC
(0,14),2.66846 # DEPENDENCYPART_ARC
(1,2),-0.268314 # DEPENDENCYPART_ARC
(1,3),-0.786279 # DEPENDENCYPART_ARC
(1,4),-0.710724 # DEPENDENCYPART_ARC
(1,5),-0.696023 # DEPENDENCYPART_ARC
(1,6),-0.837814 # DEPENDENCYPART_ARC
(1,7),-1.32166 # DEPENDENCYPART_ARC
(1,8),-1.42058 # DEPENDENCYPART_ARC
(1,9),-1.10077 # DEPENDENCYPART_ARC
(1,10),-1.16132 # DEPENDENCYPART_ARC
(1,11),-1.5602 # DEPENDENCYPART_ARC
(1,12),-1.19227 # DEPENDENCYPART_ARC
(1,13),-1.20196 # DEPENDENCYPART_ARC
(1,14),-1.85608 # DEPENDENCYPART_ARC
(2,1),1.68208 # DEPENDENCYPART_ARC
(2,3),0.203718 # DEPENDENCYPART_ARC
(2,4),-0.336489 # DEPENDENCYPART_ARC
(2,5),-0.45607 # DEPENDENCYPART_ARC
(2,6),-0.507351 # DEPENDENCYPART_ARC
(2,7),-0.62078 # DEPENDENCYPART_ARC
(2,8),-0.7167 # DEPENDENCYPART_ARC
(2,9),-0.887588 # DEPENDENCYPART_ARC
(2,10),-1.14433 # DEPENDENCYPART_ARC
(2,11),-0.853039 # DEPENDENCYPART_ARC
(2,12),-0.999764 # DEPENDENCYPART_ARC
(2,13),-1.08343 # DEPENDENCYPART_ARC
(2,14),-1.54036 # DEPENDENCYPART_ARC
(3,1),0.575961 # DEPENDENCYPART_ARC
(3,2),2.67176 # DEPENDENCYPART_ARC
(3,4),0.484531 # DEPENDENCYPART_ARC
(3,5),-0.385999 # DEPENDENCYPART_ARC
(3,6),0.141059 # DEPENDENCYPART_ARC
(3,7),-0.0655565 # DEPENDENCYPART_ARC
(3,8),-0.320677 # DEPENDENCYPART_ARC
(3,9),-0.734118 # DEPENDENCYPART_ARC
(3,10),-0.420273 # DEPENDENCYPART_ARC
(3,11),-1.54364 # DEPENDENCYPART_ARC
(3,12),-0.857519 # DEPENDENCYPART_ARC
(3,13),-1.33592 # DEPENDENCYPART_ARC
(3,14),-1.10079 # DEPENDENCYPART_ARC
(4,1),0.0844149 # DEPENDENCYPART_ARC
(4,2),0.452548 # DEPENDENCYPART_ARC
(4,3),1.72549 # DEPENDENCYPART_ARC
(4,5),0.724546 # DEPENDENCYPART_ARC
(4,6),0.256588 # DEPENDENCYPART_ARC
(4,7),-0.300443 # DEPENDENCYPART_ARC
(4,8),-0.451554 # DEPENDENCYPART_ARC
(4,9),-0.0523993 # DEPENDENCYPART_ARC
(4,10),-0.381453 # DEPENDENCYPART_ARC
(4,11),-1.12928 # DEPENDENCYPART_ARC
(4,12),-0.891827 # DEPENDENCYPART_ARC
(4,13),-0.230273 # DEPENDENCYPART_ARC
(4,14),-1.06095 # DEPENDENCYPART_ARC
(5,1),0.430479 # DEPENDENCYPART_ARC
(5,2),0.927674 # DEPENDENCYPART_ARC
(5,3),2.55466 # DEPENDENCYPART_ARC
(5,4),2.67799 # DEPENDENCYPART_ARC
(5,6),-0.307553 # DEPENDENCYPART_ARC
(5,7),-0.717283 # DEPENDENCYPART_ARC
(5,8),-1.69954 # DEPENDENCYPART_ARC
(5,9),-0.697334 # DEPENDENCYPART_ARC
(5,10),-1.09336 # DEPENDENCYPART_ARC
(5,11),-1.40031 # DEPENDENCYPART_ARC
(5,12),-1.1874 # DEPENDENCYPART_ARC
(5,13),-1.02297 # DEPENDENCYPART_ARC
(5,14),-1.5431 # DEPENDENCYPART_ARC
(6,1),-0.243322 # DEPENDENCYPART_ARC
(6,2),-0.139256 # DEPENDENCYPART_ARC
(6,3),0.567394 # DEPENDENCYPART_ARC
(6,4),-0.827167 # DEPENDENCYPART_ARC
(6,5),1.94637 # DEPENDENCYPART_ARC
(6,7),0.235065 # DEPENDENCYPART_ARC
(6,8),0.0298051 # DEPENDENCYPART_ARC
(6,9),-0.0459444 # DEPENDENCYPART_ARC
(6,10),-0.459604 # DEPENDENCYPART_ARC
(6,11),-0.2119 # DEPENDENCYPART_ARC
(6,12),-0.482006 # DEPENDENCYPART_ARC
(6,13),0.0113612 # DEPENDENCYPART_ARC
(6,14),-1.56987 # DEPENDENCYPART_ARC
(7,1),-1.26867 # DEPENDENCYPART_ARC
(7,2),-0.83 # DEPENDENCYPART_ARC
(7,3),-1.54294 # DEPENDENCYPART_ARC
(7,4),-0.832903 # DEPENDENCYPART_ARC
(7,5),-1.30347 # DEPENDENCYPART_ARC
(7,6),-0.0880847 # DEPENDENCYPART_ARC
(7,8),0.0629834 # DEPENDENCYPART_ARC
(7,9),-0.41475 # DEPENDENCYPART_ARC
(7,10),0.168699 # DEPENDENCYPART_ARC
(7,11),-1.59884 # DEPENDENCYPART_ARC
(7,12),-0.971144 # DEPENDENCYPART_ARC
(7,13),-1.62399 # DEPENDENCYPART_ARC
(7,14),-0.885626 # DEPENDENCYPART_ARC
(8,1),-1.00775 # DEPENDENCYPART_ARC
(8,2),-0.655765 # DEPENDENCYPART_ARC
(8,3),-1.47212 # DEPENDENCYPART_ARC
(8,4),-1.43285 # DEPENDENCYPART_ARC
(8,5),-1.31553 # DEPENDENCYPART_ARC
