# _root_ Sayın Bila bana , bu _ konuşmayla ilgili izlenimlerini köşesinde _ yazacağını ifade_etti , _ dediği gibi de yaptı .
#goldHeads=2,19,13,0,7,7,8,9,12,12,12,13,14,19,16,17,19,17,20,0,
#predictedHeads=2,13,4,0,7,7,8,9,11,11,12,13,14,19,16,17,19,17,20,0,
(0,1),-0.43088 # DEPENDENCYPART_ARC
(0,2),-1.00318 # DEPENDENCYPART_ARC
(0,3),-1.20117 # DEPENDENCYPART_ARC
(0,4),2.02395 # DEPENDENCYPART_ARC
(0,5),-0.994865 # DEPENDENCYPART_ARC
(0,6),-1.41567 # DEPENDENCYPART_ARC
(0,7),-1.16257 # DEPENDENCYPART_ARC
(0,8),-1.05581 # DEPENDENCYPART_ARC
(0,9),-1.444 # DEPENDENCYPART_ARC
(0,10),-1.36678 # DEPENDENCYPART_ARC
(0,11),-1.78247 # DEPENDENCYPART_ARC
(0,12),-1.62613 # DEPENDENCYPART_ARC
(0,13),-1.81932 # DEPENDENCYPART_ARC
(0,14),1.249 # DEPENDENCYPART_ARC
(0,15),-2.07188 # DEPENDENCYPART_ARC
(0,16),-1.95769 # DEPENDENCYPART_ARC
(0,17),-2.61077 # DEPENDENCYPART_ARC
(0,18),-1.24535 # DEPENDENCYPART_ARC
(0,19),-1.8495 # DEPENDENCYPART_ARC
(0,20),2.93559 # DEPENDENCYPART_ARC
(1,2),0.677909 # DEPENDENCYPART_ARC
(1,3),0.456243 # DEPENDENCYPART_ARC
(1,4),-0.0379199 # DEPENDENCYPART_ARC
(1,5),-0.124734 # DEPENDENCYPART_ARC
(1,6),-0.483691 # DEPENDENCYPART_ARC
(1,7),-0.21902 # DEPENDENCYPART_ARC
(1,8),-0.387018 # DEPENDENCYPART_ARC
(1,9),-0.534615 # DEPENDENCYPART_ARC
(1,10),-0.480983 # DEPENDENCYPART_ARC
(1,11),-0.542938 # DEPENDENCYPART_ARC
(1,12),-0.692189 # DEPENDENCYPART_ARC
(1,13),-0.694947 # DEPENDENCYPART_ARC
(1,14),-0.72177 # DEPENDENCYPART_ARC
(1,15),-0.763902 # DEPENDENCYPART_ARC
(1,16),-0.963017 # DEPENDENCYPART_ARC
(1,17),-0.462638 # DEPENDENCYPART_ARC
(1,18),-0.572057 # DEPENDENCYPART_ARC
(1,19),-0.995336 # DEPENDENCYPART_ARC
(1,20),-0.891328 # DEPENDENCYPART_ARC
(2,1),2.32355 # DEPENDENCYPART_ARC
(2,3),0.232529 # DEPENDENCYPART_ARC
(2,4),0.0256306 # DEPENDENCYPART_ARC
(2,5),-0.154745 # DEPENDENCYPART_ARC
(2,6),-0.782296 # DEPENDENCYPART_ARC
(2,7),-1.13024 # DEPENDENCYPART_ARC
(2,8),-0.747082 # DEPENDENCYPART_ARC
(2,9),-1.49797 # DEPENDENCYPART_ARC
(2,10),-2.02826 # DEPENDENCYPART_ARC
(2,11),-0.990892 # DEPENDENCYPART_ARC
(2,12),-1.3055 # DEPENDENCYPART_ARC
(2,13),-1.70486 # DEPENDENCYPART_ARC
(2,14),-0.593491 # DEPENDENCYPART_ARC
(2,15),-1.37332 # DEPENDENCYPART_ARC
(2,16),-0.49998 # DEPENDENCYPART_ARC
(2,17),-0.271998 # DEPENDENCYPART_ARC
(2,18),-0.92343 # DEPENDENCYPART_ARC
(2,19),-2.09235 # DEPENDENCYPART_ARC
(2,20),-1.69408 # DEPENDENCYPART_ARC
(3,1),0.395238 # DEPENDENCYPART_ARC
(3,2),-0.577333 # DEPENDENCYPART_ARC
(3,4),-0.00357287 # DEPENDENCYPART_ARC
(3,5),-0.633629 # DEPENDENCYPART_ARC
(3,6),-0.98101 # DEPENDENCYPART_ARC
(3,7),-1.72221 # DEPENDENCYPART_ARC
(3,8),-1.74513 # DEPENDENCYPART_ARC
(3,9),-1.72567 # DEPENDENCYPART_ARC
(3,10),-1.91161 # DEPENDENCYPART_ARC
(3,11),-1.1513 # DEPENDENCYPART_ARC
(3,12),-1.79556 # DEPENDENCYPART_ARC
(3,13),-1.23788 # DEPENDENCYPART_ARC
(3,14),-0.691953 # DEPENDENCYPART_ARC
(3,15),-1.26152 # DEPENDENCYPART_ARC
(3,16),-0.821999 # DEPENDENCYPART_ARC
(3,17),-0.757711 # DEPENDENCYPART_ARC
(3,18),-0.888724 # DEPENDENCYPART_ARC
(3,19),-1.70139 # DEPENDENCYPART_ARC
(3,20),-1.46333 # DEPENDENCYPART_ARC
(4,1),0.120594 # DEPENDENCYPART_ARC
(4,2),0.400938 # DEPENDENCYPART_ARC
(4,3),1.14141 # DEPENDENCYPART_ARC
(4,5),-0.0758095 # DEPENDENCYPART_ARC
(4,6),-0.318354 # DEPENDENCYPART_ARC
(4,7),-0.0331915 # DEPENDENCYPART_ARC
(4,8),-0.144498 # DEPENDENCYPART_ARC
(4,9),-0.417383 # DEPENDENCYPART_ARC
(4,10),-0.379292 # DEPENDENCYPART_ARC
(4,11),-0.768907 # DEPENDENCYPART_ARC
(4,12),-0.622579 # DEPENDENCYPART_ARC
(4,13),-0.37443 # DEPENDENCYPART_ARC
(4,14),-1.37623 # DEPENDENCYPART_ARC
(4,15),-1.26831 # DEPENDENCYPART_ARC
(4,16),-1.01249 # DEPENDENCYPART_ARC
(4,17),-0.353905 # DEPENDENCYPART_ARC
