# _root_ Gazete ve dergilerde _ _ yayımlanan güncel , siyasal , toplumsal sorunları _ ele_alan _ yazılardır .
#goldHeads=2,3,5,5,6,12,8,9,10,11,12,13,14,15,16,17,0,
#predictedHeads=2,3,5,5,6,12,8,0,10,0,12,13,14,15,16,17,0,
(0,1),-0.514656 # DEPENDENCYPART_ARC
(0,2),-0.520621 # DEPENDENCYPART_ARC
(0,3),-1.24209 # DEPENDENCYPART_ARC
(0,4),-0.896392 # DEPENDENCYPART_ARC
(0,5),-1.22934 # DEPENDENCYPART_ARC
(0,6),-1.11137 # DEPENDENCYPART_ARC
(0,7),-1.18065 # DEPENDENCYPART_ARC
(0,8),1.48063 # DEPENDENCYPART_ARC
(0,9),-1.3285 # DEPENDENCYPART_ARC
(0,10),1.39445 # DEPENDENCYPART_ARC
(0,11),-1.45576 # DEPENDENCYPART_ARC
(0,12),-1.24791 # DEPENDENCYPART_ARC
(0,13),-1.52888 # DEPENDENCYPART_ARC
(0,14),-1.66166 # DEPENDENCYPART_ARC
(0,15),-1.77728 # DEPENDENCYPART_ARC
(0,16),-1.38836 # DEPENDENCYPART_ARC
(0,17),3.49514 # DEPENDENCYPART_ARC
(1,2),0.564232 # DEPENDENCYPART_ARC
(1,3),-1.95809 # DEPENDENCYPART_ARC
(1,4),-1.18057 # DEPENDENCYPART_ARC
(1,5),-1.52161 # DEPENDENCYPART_ARC
(1,6),-1.14849 # DEPENDENCYPART_ARC
(1,7),-1.23928 # DEPENDENCYPART_ARC
(1,8),-1.29816 # DEPENDENCYPART_ARC
(1,9),-1.61309 # DEPENDENCYPART_ARC
(1,10),-1.5228 # DEPENDENCYPART_ARC
(1,11),-1.52218 # DEPENDENCYPART_ARC
(1,12),-3.12827 # DEPENDENCYPART_ARC
(1,13),-2.00698 # DEPENDENCYPART_ARC
(1,14),-1.83226 # DEPENDENCYPART_ARC
(1,15),-3.03559 # DEPENDENCYPART_ARC
(1,16),-2.48292 # DEPENDENCYPART_ARC
(1,17),-2.18208 # DEPENDENCYPART_ARC
(2,1),3.76841 # DEPENDENCYPART_ARC
(2,3),-0.436945 # DEPENDENCYPART_ARC
(2,4),-0.584939 # DEPENDENCYPART_ARC
(2,5),-0.671525 # DEPENDENCYPART_ARC
(2,6),-0.674 # DEPENDENCYPART_ARC
(2,7),-0.834414 # DEPENDENCYPART_ARC
(2,8),-0.793864 # DEPENDENCYPART_ARC
(2,9),-1.01825 # DEPENDENCYPART_ARC
(2,10),-1.10998 # DEPENDENCYPART_ARC
(2,11),-0.94476 # DEPENDENCYPART_ARC
(2,12),-1.20203 # DEPENDENCYPART_ARC
(2,13),-1.17427 # DEPENDENCYPART_ARC
(2,14),-1.20272 # DEPENDENCYPART_ARC
(2,15),-1.61203 # DEPENDENCYPART_ARC
(2,16),-1.25927 # DEPENDENCYPART_ARC
(2,17),-1.85663 # DEPENDENCYPART_ARC
(3,1),0.689081 # DEPENDENCYPART_ARC
(3,2),2.0102 # DEPENDENCYPART_ARC
(3,4),0.157953 # DEPENDENCYPART_ARC
(3,5),-0.237234 # DEPENDENCYPART_ARC
(3,6),-0.0295074 # DEPENDENCYPART_ARC
(3,7),-0.0328141 # DEPENDENCYPART_ARC
(3,8),-0.48794 # DEPENDENCYPART_ARC
(3,9),-0.500975 # DEPENDENCYPART_ARC
(3,10),-0.845043 # DEPENDENCYPART_ARC
(3,11),-0.719696 # DEPENDENCYPART_ARC
(3,12),-1.90848 # DEPENDENCYPART_ARC
(3,13),-0.857856 # DEPENDENCYPART_ARC
(3,14),-0.773042 # DEPENDENCYPART_ARC
(3,15),-2.55288 # DEPENDENCYPART_ARC
(3,16),-1.26301 # DEPENDENCYPART_ARC
(3,17),-1.38191 # DEPENDENCYPART_ARC
(4,1),0.920821 # DEPENDENCYPART_ARC
(4,2),0.130501 # DEPENDENCYPART_ARC
(4,3),1.38672 # DEPENDENCYPART_ARC
(4,5),0.338576 # DEPENDENCYPART_ARC
(4,6),0.125917 # DEPENDENCYPART_ARC
(4,7),-0.013572 # DEPENDENCYPART_ARC
(4,8),-0.351963 # DEPENDENCYPART_ARC
(4,9),-0.435919 # DEPENDENCYPART_ARC
(4,10),-0.716244 # DEPENDENCYPART_ARC
(4,11),-0.746186 # DEPENDENCYPART_ARC
(4,12),-1.79341 # DEPENDENCYPART_ARC
(4,13),-1.03484 # DEPENDENCYPART_ARC
(4,14),-0.921227 # DEPENDENCYPART_ARC
(4,15),-2.98761 # DEPENDENCYPART_ARC
(4,16),-0.682739 # DEPENDENCYPART_ARC
(4,17),-1.52526 # DEPENDENCYPART_ARC
(5,1),0.824778 # DEPENDENCYPART_ARC
(5,2),0.21967 # DEPENDENCYPART_ARC
(5,3),1.92304 # DEPENDENCYPART_ARC
(5,4),3.23261 # DEPENDENCYPART_ARC
(5,6),0.113551 # DEPENDENCYPART_ARC
(5,7),-0.0231053 # DEPENDENCYPART_ARC
(5,8),-0.672164 # DEPENDENCYPART_ARC
(5,9),-0.609734 # DEPENDENCYPART_ARC
(5,10),-1.04107 # DEPENDENCYPART_ARC
(5,11),-1.11615 # DEPENDENCYPART_ARC
(5,12),-2.47112 # DEPENDENCYPART_ARC
(5,13),-1.64739 # DEPENDENCYPART_ARC
(5,14),-1.2257 # DEPENDENCYPART_ARC
(5,15),-3.14488 # DEPENDENCYPART_ARC
(5,16),-1.31293 # DEPENDENCYPART_ARC
(5,17),-1.68039 # DEPENDENCYPART_ARC
(6,1),1.27834 # DEPENDENCYPART_ARC
(6,2),0.7298 # DEPENDENCYPART_ARC
(6,3),1.69137 # DEPENDENCYPART_ARC
(6,4),1.05641 # DEPENDENCYPART_ARC
(6,5),2.7253 # DEPENDENCYPART_ARC
(6,7),-0.565155 # DEPENDENCYPART_ARC
(6,8),-0.64552 # DEPENDENCYPART_ARC
(6,9),-1.35905 # DEPENDENCYPART_ARC
(6,10),-1.07204 # DEPENDENCYPART_ARC
(6,11),-1.50074 # DEPENDENCYPART_ARC
(6,12),-1.10302 # DEPENDENCYPART_ARC
(6,13),-1.31979 # DEPENDENCYPART_ARC
(6,14),-1.58219 # DEPENDENCYPART_ARC
(6,15),-1.0915 # DEPENDENCYPART_ARC
(6,16),-1.26801 # DEPENDENCYPART_ARC
(6,17),-1.33764 # DEPENDENCYPART_ARC
(7,1),0.624903 # DEPENDENCYPART_ARC
(7,2),-0.0694273 # DEPENDENCYPART_ARC
(7,3),0.658017 # DEPENDENCYPART_ARC
(7,4),-0.110584 # DEPENDENCYPART_ARC
(7,5),0.85394 # DEPENDENCYPART_ARC
(7,6),0.987703 # DEPENDENCYPART_ARC
(7,8),-0.0852292 # DEPENDENCYPART_ARC
(7,9),-0.816359 # DEPENDENCYPART_ARC
(7,10),-0.813371 # DEPENDENCYPART_ARC
(7,11),-1.09096 # DEPENDENCYPART_ARC
(7,12),-0.858785 # DEPENDENCYPART_ARC
(7,13),-1.04581 # DEPENDENCYPART_ARC
(7,14),-1.24869 # DEPENDENCYPART_ARC
(7,15),-0.973112 # DEPENDENCYPART_ARC
(7,16),-0.979619 # DEPENDENCYPART_ARC
(7,17),-0.998393 # DEPENDENCYPART_ARC
(8,1),0.0552209 # DEPENDENCYPART_ARC
(8,2),-0.486341 # DEPENDENCYPART_ARC
(8,3),0.361507 # DEPENDENCYPART_ARC
(8,4),-1.01249 # DEPENDENCYPART_ARC
(8,5),-0.422367 # DEPENDENCYPART_ARC
(8,6),0.290705 # DEPENDENCYPART_ARC
(8,7),1.43924 # DEPENDENCYPART_ARC
(8,9),-0.408203 # DEPENDENCYPART_ARC
(8,10),-0.18377 # DEPENDENCYPART_ARC
(8,11),-0.820756 # DEPENDENCYPART_ARC
(8,12),-0.494274 # DEPENDENCYPART_ARC
(8,13),-0.55559 # DEPENDENCYPART_ARC
(8,14),-0.833775 # DEPENDENCYPART_ARC
(8,15),-0.835393 # DEPENDENCYPART_ARC
(8,16),-0.55984 # DEPENDENCYPART_ARC
(8,17),-0.853627 # DEPENDENCYPART_ARC
(9,1),-0.422626 # DEPENDENCYPART_ARC
(9,2),-0.706576 # DEPENDENCYPART_ARC
(9,3),-0.429067 # DEPENDENCYPART_ARC
(9,4),-1.11181 # DEPENDENCYPART_ARC
(9,5),-0.350456 # DEPENDENCYPART_ARC
(9,6),-0.753713 # DEPENDENCYPART_ARC
(9,7),-0.350504 # DEPENDENCYPART_ARC
(9,8),1.24281 # DEPENDENCYPART_ARC
(9,10),0.0735582 # DEPENDENCYPART_ARC
(9,11),-0.610421 # DEPENDENCYPART_ARC
(9,12),-0.492542 # DEPENDENCYPART_ARC
(9,13),-0.743808 # DEPENDENCYPART_ARC
(9,14),-1.05334 # DEPENDENCYPART_ARC
(9,15),-0.682249 # DEPENDENCYPART_ARC
(9,16),-0.88264 # DEPENDENCYPART_ARC
(9,17),-0.951204 # DEPENDENCYPART_ARC
(10,1),-0.240019 # DEPENDENCYPART_ARC
(10,2),-0.915371 # DEPENDENCYPART_ARC
(10,3),0.0897432 # DEPENDENCYPART_ARC
(10,4),-1.7587 # DEPENDENCYPART_ARC
(10,5),-1.24194 # DEPENDENCYPART_ARC
(10,6),-0.485584 # DEPENDENCYPART_ARC
(10,7),-0.0585662 # DEPENDENCYPART_ARC
(10,8),-0.293201 # DEPENDENCYPART_ARC
(10,9),1.29438 # DEPENDENCYPART_ARC
(10,11),-0.30761 # DEPENDENCYPART_ARC
(10,12),-0.400212 # DEPENDENCYPART_ARC
(10,13),-0.253946 # DEPENDENCYPART_ARC
(10,14),-0.551747 # DEPENDENCYPART_ARC
(10,15),-0.729189 # DEPENDENCYPART_ARC
(10,16),-0.375021 # DEPENDENCYPART_ARC
(10,17),-0.771303 # DEPENDENCYPART_ARC
(11,1),-0.73522 # DEPENDENCYPART_ARC
(11,2),-0.628434 # DEPENDENCYPART_ARC
(11,3),-0.301469 # DEPENDENCYPART_ARC
(11,4),-1.37621 # DEPENDENCYPART_ARC
(11,5),-0.636563 # DEPENDENCYPART_ARC
(11,6),-0.685709 # DEPENDENCYPART_ARC
(11,7),-0.690676 # DEPENDENCYPART_ARC
(11,8),-0.14005 # DEPENDENCYPART_ARC
(11,9),-0.170036 # DEPENDENCYPART_ARC
(11,10),1.08408 # DEPENDENCYPART_ARC
(11,12),0.290789 # DEPENDENCYPART_ARC
(11,13),-0.228881 # DEPENDENCYPART_ARC
(11,14),-0.553347 # DEPENDENCYPART_ARC
(11,15),-0.29873 # DEPENDENCYPART_ARC
(11,16),-0.566853 # DEPENDENCYPART_ARC
(11,17),-0.556598 # DEPENDENCYPART_ARC
(12,1),-0.370427 # DEPENDENCYPART_ARC
(12,2),0.335853 # DEPENDENCYPART_ARC
(12,3),-1.61693 # DEPENDENCYPART_ARC
(12,4),-3.11741 # DEPENDENCYPART_ARC
(12,5),-2.51573 # DEPENDENCYPART_ARC
(12,6),1.03468 # DEPENDENCYPART_ARC
(12,7),0.986344 # DEPENDENCYPART_ARC
(12,8),0.118174 # DEPENDENCYPART_ARC
(12,9),0.883452 # DEPENDENCYPART_ARC
(12,10),0.564266 # DEPENDENCYPART_ARC
(12,11),2.78777 # DEPENDENCYPART_ARC
(12,13),0.18911 # DEPENDENCYPART_ARC
(12,14),0.335267 # DEPENDENCYPART_ARC
(12,15),-0.681454 # DEPENDENCYPART_ARC
