# _root_ _ İnsanlık , _ Roma_İmparatorluğu döneminin öncesinde bu birleşime çok yaklaşmış , fakat çağdaş bilimin _ doğuşu için Bilimsel_Devrimi _ beklemek zorunda_kalmıştır .
#goldHeads=2,11,0,5,6,7,11,9,11,11,12,22,23,15,17,17,18,22,20,21,22,23,0,
#predictedHeads=2,11,0,5,6,7,11,9,11,11,12,22,23,15,17,17,18,22,20,21,22,23,0,
(0,1),-0.716238 # DEPENDENCYPART_ARC
(0,2),-0.990806 # DEPENDENCYPART_ARC
(0,3),1.83799 # DEPENDENCYPART_ARC
(0,4),-1.0949 # DEPENDENCYPART_ARC
(0,5),-1.2703 # DEPENDENCYPART_ARC
(0,6),-1.10285 # DEPENDENCYPART_ARC
(0,7),-1.29026 # DEPENDENCYPART_ARC
(0,8),-0.951504 # DEPENDENCYPART_ARC
(0,9),-0.910878 # DEPENDENCYPART_ARC
(0,10),-1.63967 # DEPENDENCYPART_ARC
(0,11),-1.75592 # DEPENDENCYPART_ARC
(0,12),0.930066 # DEPENDENCYPART_ARC
(0,13),-1.21598 # DEPENDENCYPART_ARC
(0,14),-1.9697 # DEPENDENCYPART_ARC
(0,15),-1.27983 # DEPENDENCYPART_ARC
(0,16),-2.22056 # DEPENDENCYPART_ARC
(0,17),-1.8631 # DEPENDENCYPART_ARC
(0,18),-2.21798 # DEPENDENCYPART_ARC
(0,19),-1.29176 # DEPENDENCYPART_ARC
(0,20),-2.38962 # DEPENDENCYPART_ARC
(0,21),-1.62567 # DEPENDENCYPART_ARC
(0,22),-2.22199 # DEPENDENCYPART_ARC
(0,23),3.07552 # DEPENDENCYPART_ARC
(1,2),0.486244 # DEPENDENCYPART_ARC
(1,3),0.424928 # DEPENDENCYPART_ARC
(1,4),-0.824592 # DEPENDENCYPART_ARC
(1,5),-0.949085 # DEPENDENCYPART_ARC
(1,6),-1.46045 # DEPENDENCYPART_ARC
(1,7),-2.37246 # DEPENDENCYPART_ARC
(1,8),-0.207809 # DEPENDENCYPART_ARC
(1,9),-1.41355 # DEPENDENCYPART_ARC
(1,10),-0.809128 # DEPENDENCYPART_ARC
(1,11),-1.62606 # DEPENDENCYPART_ARC
(1,12),-0.260376 # DEPENDENCYPART_ARC
(1,13),-1.21648 # DEPENDENCYPART_ARC
(1,14),-1.25076 # DEPENDENCYPART_ARC
(1,15),-2.60576 # DEPENDENCYPART_ARC
(1,16),-2.08679 # DEPENDENCYPART_ARC
(1,17),-2.16823 # DEPENDENCYPART_ARC
(1,18),-1.43385 # DEPENDENCYPART_ARC
(1,19),-3.05326 # DEPENDENCYPART_ARC
(1,20),-2.23969 # DEPENDENCYPART_ARC
(1,21),-2.47875 # DEPENDENCYPART_ARC
(1,22),-2.97867 # DEPENDENCYPART_ARC
(1,23),-1.76327 # DEPENDENCYPART_ARC
(2,1),2.91187 # DEPENDENCYPART_ARC
(2,3),-0.409764 # DEPENDENCYPART_ARC
(2,4),-0.587603 # DEPENDENCYPART_ARC
(2,5),-1.0983 # DEPENDENCYPART_ARC
(2,6),-0.706138 # DEPENDENCYPART_ARC
(2,7),-2.09645 # DEPENDENCYPART_ARC
(2,8),-0.952132 # DEPENDENCYPART_ARC
(2,9),-1.46157 # DEPENDENCYPART_ARC
(2,10),-1.62206 # DEPENDENCYPART_ARC
(2,11),-1.5942 # DEPENDENCYPART_ARC
(2,12),-1.19497 # DEPENDENCYPART_ARC
(2,13),-1.8028 # DEPENDENCYPART_ARC
(2,14),-1.90003 # DEPENDENCYPART_ARC
(2,15),-2.12059 # DEPENDENCYPART_ARC
(2,16),-2.24711 # DEPENDENCYPART_ARC
(2,17),-2.16599 # DEPENDENCYPART_ARC
(2,18),-1.65803 # DEPENDENCYPART_ARC
(2,19),-2.68374 # DEPENDENCYPART_ARC
(2,20),-2.3698 # DEPENDENCYPART_ARC
(2,21),-2.5762 # DEPENDENCYPART_ARC
(2,22),-2.43518 # DEPENDENCYPART_ARC
(2,23),-2.55799 # DEPENDENCYPART_ARC
(3,1),-0.813734 # DEPENDENCYPART_ARC
(3,2),0.959404 # DEPENDENCYPART_ARC
(3,4),0.0185058 # DEPENDENCYPART_ARC
(3,5),-0.356518 # DEPENDENCYPART_ARC
(3,6),-0.406499 # DEPENDENCYPART_ARC
(3,7),-0.494554 # DEPENDENCYPART_ARC
(3,8),-0.633641 # DEPENDENCYPART_ARC
(3,9),-0.928401 # DEPENDENCYPART_ARC
(3,10),-0.720103 # DEPENDENCYPART_ARC
(3,11),-0.702083 # DEPENDENCYPART_ARC
(3,12),-1.1299 # DEPENDENCYPART_ARC
(3,13),-0.877275 # DEPENDENCYPART_ARC
(3,14),-1.36462 # DEPENDENCYPART_ARC
(3,15),-1.37131 # DEPENDENCYPART_ARC
(3,16),-1.50789 # DEPENDENCYPART_ARC
(3,17),-1.51304 # DEPENDENCYPART_ARC
(3,18),-1.36898 # DEPENDENCYPART_ARC
(3,19),-1.62562 # DEPENDENCYPART_ARC
(3,20),-1.6286 # DEPENDENCYPART_ARC
(3,21),-1.75153 # DEPENDENCYPART_ARC
(3,22),-1.2033 # DEPENDENCYPART_ARC
(3,23),-2.98292 # DEPENDENCYPART_ARC
(4,1),-1.4279 # DEPENDENCYPART_ARC
(4,2),-0.109344 # DEPENDENCYPART_ARC
(4,3),0.673937 # DEPENDENCYPART_ARC
(4,5),0.357622 # DEPENDENCYPART_ARC
(4,6),-0.335045 # DEPENDENCYPART_ARC
(4,7),-1.51808 # DEPENDENCYPART_ARC
(4,8),0.0917878 # DEPENDENCYPART_ARC
(4,9),-0.676653 # DEPENDENCYPART_ARC
(4,10),-0.456545 # DEPENDENCYPART_ARC
(4,11),-1.27947 # DEPENDENCYPART_ARC
(4,12),-0.0887391 # DEPENDENCYPART_ARC
(4,13),-0.782607 # DEPENDENCYPART_ARC
(4,14),-0.794932 # DEPENDENCYPART_ARC
(4,15),-2.14456 # DEPENDENCYPART_ARC
(4,16),-1.92095 # DEPENDENCYPART_ARC
(4,17),-1.72719 # DEPENDENCYPART_ARC
(4,18),-1.08565 # DEPENDENCYPART_ARC
(4,19),-2.56512 # DEPENDENCYPART_ARC
(4,20),-2.16574 # DEPENDENCYPART_ARC
(4,21),-1.99068 # DEPENDENCYPART_ARC
(4,22),-2.85346 # DEPENDENCYPART_ARC
(4,23),-1.56397 # DEPENDENCYPART_ARC
(5,1),-1.22119 # DEPENDENCYPART_ARC
(5,2),-0.028549 # DEPENDENCYPART_ARC
(5,3),0.717213 # DEPENDENCYPART_ARC
(5,4),3.01432 # DEPENDENCYPART_ARC
(5,6),0.570815 # DEPENDENCYPART_ARC
(5,7),-0.763457 # DEPENDENCYPART_ARC
(5,8),-0.442116 # DEPENDENCYPART_ARC
(5,9),-0.307949 # DEPENDENCYPART_ARC
(5,10),-0.976096 # DEPENDENCYPART_ARC
(5,11),-0.693774 # DEPENDENCYPART_ARC
(5,12),-0.624068 # DEPENDENCYPART_ARC
(5,13),-1.45442 # DEPENDENCYPART_ARC
(5,14),-1.41122 # DEPENDENCYPART_ARC
(5,15),-0.993083 # DEPENDENCYPART_ARC
