# _root_ Ancak özellikle evrenbilim ve parçacık fiziğinde bugün bu ilke ne yazık ki _ çiğnenmiş , bu iki bilim dalı metafizik öğelerle , hayaletlerle dolmuştur .
#goldHeads=15,14,4,6,6,13,14,9,14,11,12,14,14,15,24,19,19,19,24,21,22,23,24,25,0,
#predictedHeads=25,3,4,5,6,14,14,9,10,11,14,11,14,15,0,19,18,19,20,21,24,0,24,25,0,
(0,1),-0.127922 # DEPENDENCYPART_ARC
(0,3),-1.15927 # DEPENDENCYPART_ARC
(0,4),-1.1044 # DEPENDENCYPART_ARC
(0,5),-1.32004 # DEPENDENCYPART_ARC
(0,6),-1.52183 # DEPENDENCYPART_ARC
(0,7),-0.998389 # DEPENDENCYPART_ARC
(0,9),-1.13969 # DEPENDENCYPART_ARC
(0,10),-1.28485 # DEPENDENCYPART_ARC
(0,12),-1.29995 # DEPENDENCYPART_ARC
(0,13),-1.20489 # DEPENDENCYPART_ARC
(0,14),-1.10641 # DEPENDENCYPART_ARC
(0,15),1.95724 # DEPENDENCYPART_ARC
(0,17),-0.452379 # DEPENDENCYPART_ARC
(0,18),-1.63695 # DEPENDENCYPART_ARC
(0,19),-1.88784 # DEPENDENCYPART_ARC
(0,20),-1.50813 # DEPENDENCYPART_ARC
(0,21),-1.82612 # DEPENDENCYPART_ARC
(0,22),1.60061 # DEPENDENCYPART_ARC
(0,23),-1.69803 # DEPENDENCYPART_ARC
(0,24),-2.01896 # DEPENDENCYPART_ARC
(0,25),2.62358 # DEPENDENCYPART_ARC
(1,2),0.0559178 # DEPENDENCYPART_ARC
(1,3),-0.653058 # DEPENDENCYPART_ARC
(1,4),-0.377703 # DEPENDENCYPART_ARC
(1,5),-1.22702 # DEPENDENCYPART_ARC
(1,6),-1.3142 # DEPENDENCYPART_ARC
(1,7),-1.24267 # DEPENDENCYPART_ARC
(1,8),-1.01471 # DEPENDENCYPART_ARC
(1,9),-1.37685 # DEPENDENCYPART_ARC
(1,10),-0.99163 # DEPENDENCYPART_ARC
(1,12),-1.0577 # DEPENDENCYPART_ARC
(1,13),-1.33835 # DEPENDENCYPART_ARC
(1,14),-1.37255 # DEPENDENCYPART_ARC
(1,15),-1.14867 # DEPENDENCYPART_ARC
(1,16),-1.19236 # DEPENDENCYPART_ARC
(1,17),-1.25361 # DEPENDENCYPART_ARC
(1,18),-1.65544 # DEPENDENCYPART_ARC
(1,19),-1.65737 # DEPENDENCYPART_ARC
(1,20),-1.58855 # DEPENDENCYPART_ARC
(1,21),-1.64178 # DEPENDENCYPART_ARC
(1,22),-1.70798 # DEPENDENCYPART_ARC
(1,23),-1.6841 # DEPENDENCYPART_ARC
(1,24),-1.69464 # DEPENDENCYPART_ARC
(1,25),-2.3365 # DEPENDENCYPART_ARC
(2,1),0.243242 # DEPENDENCYPART_ARC
(2,3),-0.47644 # DEPENDENCYPART_ARC
(2,4),-0.0591645 # DEPENDENCYPART_ARC
(2,5),-1.28509 # DEPENDENCYPART_ARC
(2,6),-1.37316 # DEPENDENCYPART_ARC
(2,7),-1.58362 # DEPENDENCYPART_ARC
