# _root_ Ilık et suyunun yanında _ _ haşlanmış geyik eti , _ kızarmış ekmek , bir de ılık çay vardı masada .
#goldHeads=3,3,4,19,6,7,9,9,10,13,12,13,14,18,18,15,18,19,21,19,0,
#predictedHeads=2,3,4,5,6,7,9,9,10,0,12,13,14,0,18,15,18,19,21,19,0,
(0,1),-0.43088 # DEPENDENCYPART_ARC
(0,2),-1.02455 # DEPENDENCYPART_ARC
(0,3),-1.33502 # DEPENDENCYPART_ARC
(0,4),-1.41211 # DEPENDENCYPART_ARC
(0,5),-1.2474 # DEPENDENCYPART_ARC
(0,6),-1.44151 # DEPENDENCYPART_ARC
(0,7),-1.32444 # DEPENDENCYPART_ARC
(0,8),-1.29375 # DEPENDENCYPART_ARC
(0,9),-1.37119 # DEPENDENCYPART_ARC
(0,10),2.0408 # DEPENDENCYPART_ARC
(0,11),-1.9385 # DEPENDENCYPART_ARC
(0,12),-1.85525 # DEPENDENCYPART_ARC
(0,13),-1.64535 # DEPENDENCYPART_ARC
(0,14),2.28016 # DEPENDENCYPART_ARC
(0,15),-1.4329 # DEPENDENCYPART_ARC
(0,16),-1.36065 # DEPENDENCYPART_ARC
(0,17),-2.25959 # DEPENDENCYPART_ARC
(0,18),-1.71275 # DEPENDENCYPART_ARC
(0,19),-1.81751 # DEPENDENCYPART_ARC
(0,20),-1.97469 # DEPENDENCYPART_ARC
(0,21),3.59083 # DEPENDENCYPART_ARC
(1,2),0.392414 # DEPENDENCYPART_ARC
(1,3),0.00292088 # DEPENDENCYPART_ARC
(1,4),-0.282244 # DEPENDENCYPART_ARC
(1,5),-0.495058 # DEPENDENCYPART_ARC
(1,6),-0.594192 # DEPENDENCYPART_ARC
(1,7),-0.773733 # DEPENDENCYPART_ARC
(1,8),-0.387851 # DEPENDENCYPART_ARC
(1,9),-0.44297 # DEPENDENCYPART_ARC
(1,10),-0.509753 # DEPENDENCYPART_ARC
(1,11),-0.827934 # DEPENDENCYPART_ARC
(1,12),-1.26348 # DEPENDENCYPART_ARC
(1,13),-1.00166 # DEPENDENCYPART_ARC
(1,14),-1.03257 # DEPENDENCYPART_ARC
(1,15),-0.729072 # DEPENDENCYPART_ARC
(1,16),-0.865813 # DEPENDENCYPART_ARC
(1,17),-1.57826 # DEPENDENCYPART_ARC
(1,18),-1.62625 # DEPENDENCYPART_ARC
(1,19),-1.41069 # DEPENDENCYPART_ARC
(1,20),-1.36051 # DEPENDENCYPART_ARC
(1,21),-1.14165 # DEPENDENCYPART_ARC
(2,1),2.60586 # DEPENDENCYPART_ARC
(2,3),0.0275389 # DEPENDENCYPART_ARC
(2,4),-1.14137 # DEPENDENCYPART_ARC
(2,5),-0.351262 # DEPENDENCYPART_ARC
(2,6),-0.822731 # DEPENDENCYPART_ARC
(2,7),-0.21003 # DEPENDENCYPART_ARC
(2,8),-0.559861 # DEPENDENCYPART_ARC
(2,9),-0.521816 # DEPENDENCYPART_ARC
(2,10),-0.417082 # DEPENDENCYPART_ARC
(2,11),-1.38598 # DEPENDENCYPART_ARC
(2,12),-0.611184 # DEPENDENCYPART_ARC
(2,13),-1.06769 # DEPENDENCYPART_ARC
(2,14),-0.778638 # DEPENDENCYPART_ARC
(2,15),-0.47205 # DEPENDENCYPART_ARC
(2,16),-1.02463 # DEPENDENCYPART_ARC
(2,17),-1.1734 # DEPENDENCYPART_ARC
(2,18),-2.14845 # DEPENDENCYPART_ARC
(2,19),-2.19159 # DEPENDENCYPART_ARC
(2,20),-2.60548 # DEPENDENCYPART_ARC
(2,21),-1.63477 # DEPENDENCYPART_ARC
(3,1),1.45975 # DEPENDENCYPART_ARC
(3,2),2.81447 # DEPENDENCYPART_ARC
(3,4),-0.461346 # DEPENDENCYPART_ARC
(3,5),-0.25845 # DEPENDENCYPART_ARC
(3,6),-0.622062 # DEPENDENCYPART_ARC
(3,7),-0.0993563 # DEPENDENCYPART_ARC
(3,8),-0.612751 # DEPENDENCYPART_ARC
(3,9),-0.68746 # DEPENDENCYPART_ARC
(3,10),-0.400197 # DEPENDENCYPART_ARC
(3,11),-1.38682 # DEPENDENCYPART_ARC
(3,12),-0.621622 # DEPENDENCYPART_ARC
(3,13),-1.05327 # DEPENDENCYPART_ARC
(3,14),-0.822978 # DEPENDENCYPART_ARC
(3,15),-0.462232 # DEPENDENCYPART_ARC
(3,16),-1.04136 # DEPENDENCYPART_ARC
(3,17),-1.16376 # DEPENDENCYPART_ARC
(3,18),-2.24284 # DEPENDENCYPART_ARC
(3,19),-1.83708 # DEPENDENCYPART_ARC
(3,20),-2.29216 # DEPENDENCYPART_ARC
(3,21),-1.72985 # DEPENDENCYPART_ARC
(4,1),0.873383 # DEPENDENCYPART_ARC
(4,2),1.67382 # DEPENDENCYPART_ARC
(4,3),3.61863 # DEPENDENCYPART_ARC
(4,5),0.30805 # DEPENDENCYPART_ARC
(4,6),-0.0159011 # DEPENDENCYPART_ARC
(4,7),0.164781 # DEPENDENCYPART_ARC
(4,8),-0.256244 # DEPENDENCYPART_ARC
(4,9),-0.177415 # DEPENDENCYPART_ARC
(4,10),-0.195348 # DEPENDENCYPART_ARC
(4,11),-0.958028 # DEPENDENCYPART_ARC
(4,12),-0.508968 # DEPENDENCYPART_ARC
(4,13),-0.899634 # DEPENDENCYPART_ARC
(4,14),-0.501125 # DEPENDENCYPART_ARC
(4,15),-0.302835 # DEPENDENCYPART_ARC
(4,16),-0.736842 # DEPENDENCYPART_ARC
(4,17),-1.0808 # DEPENDENCYPART_ARC
(4,18),-1.96618 # DEPENDENCYPART_ARC
(4,19),-1.28047 # DEPENDENCYPART_ARC
(4,20),-1.87342 # DEPENDENCYPART_ARC
(4,21),-1.45526 # DEPENDENCYPART_ARC
(5,1),-0.359694 # DEPENDENCYPART_ARC
(5,2),0.803507 # DEPENDENCYPART_ARC
(5,3),1.21716 # DEPENDENCYPART_ARC
(5,4),1.73098 # DEPENDENCYPART_ARC
(5,6),0.255685 # DEPENDENCYPART_ARC
(5,7),0.0361719 # DEPENDENCYPART_ARC
(5,8),0.162172 # DEPENDENCYPART_ARC
(5,9),0.386673 # DEPENDENCYPART_ARC
(5,10),-0.424413 # DEPENDENCYPART_ARC
(5,11),-0.714755 # DEPENDENCYPART_ARC
(5,12),-0.965856 # DEPENDENCYPART_ARC
(5,13),-0.961532 # DEPENDENCYPART_ARC
