# _root_ Bütün delilleri , dosyayı _ inceleme hakkına _ sahibiz hukuki _ olarak , fakat bu haktan _ mahrum_edildik .
#goldHeads=2,3,4,5,6,7,9,9,14,11,12,9,0,18,16,18,18,19,0,
#predictedHeads=2,3,0,5,6,7,9,9,10,11,12,18,0,19,16,18,18,19,0,
(0,1),-0.311415 # DEPENDENCYPART_ARC
(0,2),-1.11694 # DEPENDENCYPART_ARC
(0,3),1.79058 # DEPENDENCYPART_ARC
(0,4),-0.832743 # DEPENDENCYPART_ARC
(0,5),-1.5475 # DEPENDENCYPART_ARC
(0,6),-0.964189 # DEPENDENCYPART_ARC
(0,7),-1.04006 # DEPENDENCYPART_ARC
(0,8),-1.12764 # DEPENDENCYPART_ARC
(0,9),-1.15755 # DEPENDENCYPART_ARC
(0,10),-1.56691 # DEPENDENCYPART_ARC
(0,11),-1.76363 # DEPENDENCYPART_ARC
(0,12),-1.83614 # DEPENDENCYPART_ARC
(0,13),1.82555 # DEPENDENCYPART_ARC
(0,14),-0.945941 # DEPENDENCYPART_ARC
(0,15),-1.13582 # DEPENDENCYPART_ARC
(0,16),-1.46634 # DEPENDENCYPART_ARC
(0,17),-1.75431 # DEPENDENCYPART_ARC
(0,18),-1.82519 # DEPENDENCYPART_ARC
(0,19),3.19052 # DEPENDENCYPART_ARC
(1,2),0.484593 # DEPENDENCYPART_ARC
(1,3),-0.144365 # DEPENDENCYPART_ARC
(1,4),-0.465065 # DEPENDENCYPART_ARC
(1,5),-0.697821 # DEPENDENCYPART_ARC
(1,6),-0.622038 # DEPENDENCYPART_ARC
(1,7),-0.765867 # DEPENDENCYPART_ARC
(1,8),-0.910641 # DEPENDENCYPART_ARC
(1,9),-0.929559 # DEPENDENCYPART_ARC
(1,10),-1.05418 # DEPENDENCYPART_ARC
(1,11),-0.912973 # DEPENDENCYPART_ARC
(1,12),-0.74042 # DEPENDENCYPART_ARC
(1,13),-0.878993 # DEPENDENCYPART_ARC
(1,14),-1.07015 # DEPENDENCYPART_ARC
(1,15),-0.89941 # DEPENDENCYPART_ARC
(1,16),-1.5114 # DEPENDENCYPART_ARC
(1,17),-1.38174 # DEPENDENCYPART_ARC
(1,18),-1.38598 # DEPENDENCYPART_ARC
(1,19),-1.20176 # DEPENDENCYPART_ARC
(2,1),2.59309 # DEPENDENCYPART_ARC
(2,3),0.166469 # DEPENDENCYPART_ARC
(2,4),-0.309138 # DEPENDENCYPART_ARC
(2,5),-0.955851 # DEPENDENCYPART_ARC
(2,6),-0.17763 # DEPENDENCYPART_ARC
(2,7),-0.689814 # DEPENDENCYPART_ARC
(2,8),-1.04866 # DEPENDENCYPART_ARC
(2,9),-1.40475 # DEPENDENCYPART_ARC
(2,10),-0.865298 # DEPENDENCYPART_ARC
(2,11),-1.25207 # DEPENDENCYPART_ARC
(2,12),-0.890649 # DEPENDENCYPART_ARC
(2,13),-0.875917 # DEPENDENCYPART_ARC
(2,14),-1.26561 # DEPENDENCYPART_ARC
(2,15),-0.838584 # DEPENDENCYPART_ARC
(2,16),-2.16147 # DEPENDENCYPART_ARC
(2,17),-1.51041 # DEPENDENCYPART_ARC
(2,18),-1.99132 # DEPENDENCYPART_ARC
(2,19),-1.8701 # DEPENDENCYPART_ARC
(3,1),0.572299 # DEPENDENCYPART_ARC
(3,2),1.04424 # DEPENDENCYPART_ARC
(3,4),0.61589 # DEPENDENCYPART_ARC
(3,5),-0.163383 # DEPENDENCYPART_ARC
(3,6),-0.0443758 # DEPENDENCYPART_ARC
(3,7),-0.106336 # DEPENDENCYPART_ARC
(3,8),-0.391123 # DEPENDENCYPART_ARC
(3,9),-0.231832 # DEPENDENCYPART_ARC
(3,10),-0.595511 # DEPENDENCYPART_ARC
(3,11),-0.688569 # DEPENDENCYPART_ARC
(3,12),-0.49479 # DEPENDENCYPART_ARC
(3,13),-1.11629 # DEPENDENCYPART_ARC
(3,14),-0.890503 # DEPENDENCYPART_ARC
(3,15),-0.937882 # DEPENDENCYPART_ARC
(3,16),-1.18102 # DEPENDENCYPART_ARC
(3,17),-1.02186 # DEPENDENCYPART_ARC
(3,18),-0.90013 # DEPENDENCYPART_ARC
(3,19),-2.42381 # DEPENDENCYPART_ARC
(4,1),0.00376345 # DEPENDENCYPART_ARC
(4,2),-0.596731 # DEPENDENCYPART_ARC
(4,3),0.712995 # DEPENDENCYPART_ARC
(4,5),-0.160841 # DEPENDENCYPART_ARC
(4,6),0.103135 # DEPENDENCYPART_ARC
(4,7),-0.602258 # DEPENDENCYPART_ARC
(4,8),-0.751942 # DEPENDENCYPART_ARC
(4,9),-1.06942 # DEPENDENCYPART_ARC
(4,10),-0.35439 # DEPENDENCYPART_ARC
(4,11),-1.0053 # DEPENDENCYPART_ARC
(4,12),-0.756264 # DEPENDENCYPART_ARC
(4,13),-0.370319 # DEPENDENCYPART_ARC
(4,14),-1.06578 # DEPENDENCYPART_ARC
(4,15),-0.718487 # DEPENDENCYPART_ARC
(4,16),-2.51774 # DEPENDENCYPART_ARC
(4,17),-1.50879 # DEPENDENCYPART_ARC
(4,18),-1.9511 # DEPENDENCYPART_ARC
(4,19),-1.73422 # DEPENDENCYPART_ARC
(5,1),-0.729819 # DEPENDENCYPART_ARC
(5,2),0.531961 # DEPENDENCYPART_ARC
(5,3),0.0609719 # DEPENDENCYPART_ARC
(5,4),2.44851 # DEPENDENCYPART_ARC
(5,6),0.294355 # DEPENDENCYPART_ARC
(5,7),0.179925 # DEPENDENCYPART_ARC
(5,8),-0.894961 # DEPENDENCYPART_ARC
(5,9),-0.400095 # DEPENDENCYPART_ARC
(5,10),-0.832623 # DEPENDENCYPART_ARC
