# _root_ Birkaç tane rapor ve kamuoyunda da bu olayın kaza _ olmadığı , suikast _ olduğu gibi yaygın bir kanaat _ vardı , o kadar .
#goldHeads=2,3,4,5,20,5,8,10,10,11,12,14,14,15,16,19,19,19,20,21,22,24,24,25,0,
#predictedHeads=2,3,4,5,10,5,8,11,11,11,21,0,15,15,16,21,19,19,21,21,22,0,24,25,0,
(0,1),-0.380599 # DEPENDENCYPART_ARC
(0,2),-0.974271 # DEPENDENCYPART_ARC
(0,3),-0.954549 # DEPENDENCYPART_ARC
(0,4),-1.17425 # DEPENDENCYPART_ARC
(0,5),-2.09295 # DEPENDENCYPART_ARC
(0,6),-1.43419 # DEPENDENCYPART_ARC
(0,7),-0.830984 # DEPENDENCYPART_ARC
(0,8),-1.51311 # DEPENDENCYPART_ARC
(0,9),-1.0986 # DEPENDENCYPART_ARC
(0,10),-1.26994 # DEPENDENCYPART_ARC
(0,11),-1.96087 # DEPENDENCYPART_ARC
(0,12),1.94736 # DEPENDENCYPART_ARC
(0,13),-1.45057 # DEPENDENCYPART_ARC
(0,14),-1.87067 # DEPENDENCYPART_ARC
(0,15),-1.97397 # DEPENDENCYPART_ARC
(0,16),-2.55543 # DEPENDENCYPART_ARC
(0,17),-2.10161 # DEPENDENCYPART_ARC
(0,18),-1.62181 # DEPENDENCYPART_ARC
(0,19),-1.72738 # DEPENDENCYPART_ARC
(0,20),-2.98362 # DEPENDENCYPART_ARC
(0,21),-1.33302 # DEPENDENCYPART_ARC
(0,22),1.69786 # DEPENDENCYPART_ARC
(0,23),-1.43015 # DEPENDENCYPART_ARC
(0,24),-2.02137 # DEPENDENCYPART_ARC
(0,25),3.03164 # DEPENDENCYPART_ARC
(1,2),0.385172 # DEPENDENCYPART_ARC
(1,3),-0.00333462 # DEPENDENCYPART_ARC
(1,4),-0.0985195 # DEPENDENCYPART_ARC
(1,5),-0.583689 # DEPENDENCYPART_ARC
(1,6),-0.434117 # DEPENDENCYPART_ARC
(1,7),-0.530283 # DEPENDENCYPART_ARC
(1,8),-0.790489 # DEPENDENCYPART_ARC
(1,9),-0.942342 # DEPENDENCYPART_ARC
(1,10),-0.811246 # DEPENDENCYPART_ARC
(1,11),-0.682614 # DEPENDENCYPART_ARC
(1,12),-0.77002 # DEPENDENCYPART_ARC
(1,13),-1.40179 # DEPENDENCYPART_ARC
(1,14),-1.32644 # DEPENDENCYPART_ARC
(1,15),-1.33752 # DEPENDENCYPART_ARC
(1,16),-0.924697 # DEPENDENCYPART_ARC
(1,17),-1.46615 # DEPENDENCYPART_ARC
(1,18),-0.931919 # DEPENDENCYPART_ARC
(1,19),-1.59747 # DEPENDENCYPART_ARC
(1,20),-1.53059 # DEPENDENCYPART_ARC
(1,21),-1.32029 # DEPENDENCYPART_ARC
(1,22),-1.21615 # DEPENDENCYPART_ARC
(1,23),-1.01439 # DEPENDENCYPART_ARC
(1,24),-1.7767 # DEPENDENCYPART_ARC
(1,25),-1.1809 # DEPENDENCYPART_ARC
(2,1),2.26949 # DEPENDENCYPART_ARC
(2,3),0.270748 # DEPENDENCYPART_ARC
(2,4),0.0325794 # DEPENDENCYPART_ARC
(2,5),-1.58832 # DEPENDENCYPART_ARC
(2,6),-0.226025 # DEPENDENCYPART_ARC
(2,7),-0.440818 # DEPENDENCYPART_ARC
(2,8),-0.93238 # DEPENDENCYPART_ARC
(2,9),-1.05188 # DEPENDENCYPART_ARC
(2,10),-0.974729 # DEPENDENCYPART_ARC
(2,11),-0.49422 # DEPENDENCYPART_ARC
(2,12),-0.470646 # DEPENDENCYPART_ARC
(2,13),-1.43844 # DEPENDENCYPART_ARC
(2,14),-1.57792 # DEPENDENCYPART_ARC
(2,15),-1.38597 # DEPENDENCYPART_ARC
(2,16),-0.664075 # DEPENDENCYPART_ARC
(2,17),-1.14951 # DEPENDENCYPART_ARC
(2,18),-0.595124 # DEPENDENCYPART_ARC
(2,19),-1.74061 # DEPENDENCYPART_ARC
(2,20),-1.36951 # DEPENDENCYPART_ARC
(2,21),-1.47241 # DEPENDENCYPART_ARC
(2,22),-1.02527 # DEPENDENCYPART_ARC
(2,23),-0.159515 # DEPENDENCYPART_ARC
(2,24),-1.74287 # DEPENDENCYPART_ARC
(2,25),-1.89427 # DEPENDENCYPART_ARC
(3,1),1.6061 # DEPENDENCYPART_ARC
(3,2),2.32485 # DEPENDENCYPART_ARC
(3,4),0.380878 # DEPENDENCYPART_ARC
(3,5),-2.08473 # DEPENDENCYPART_ARC
(3,6),-0.43509 # DEPENDENCYPART_ARC
(3,7),-0.891757 # DEPENDENCYPART_ARC
(3,8),-1.52461 # DEPENDENCYPART_ARC
(3,9),-1.7198 # DEPENDENCYPART_ARC
(3,10),-1.59336 # DEPENDENCYPART_ARC
(3,11),-1.53766 # DEPENDENCYPART_ARC
(3,12),-1.16875 # DEPENDENCYPART_ARC
(3,13),-1.86087 # DEPENDENCYPART_ARC
(3,14),-2.25696 # DEPENDENCYPART_ARC
(3,15),-2.03917 # DEPENDENCYPART_ARC
(3,16),-1.38995 # DEPENDENCYPART_ARC
(3,17),-1.70367 # DEPENDENCYPART_ARC
(3,18),-1.1718 # DEPENDENCYPART_ARC
