# _root_ Bir gün düşünmüş , iki gün düşünmüş , işin içinden _ _ çıkamayacağını _ _ kestirince doğru kıza gitmiş .
#goldHeads=2,3,4,7,6,7,8,19,10,12,12,13,15,15,16,19,19,19,20,0,
#predictedHeads=2,3,4,7,6,7,8,19,10,12,12,13,16,15,16,19,19,19,20,0,
(0,1),0.0870112 # DEPENDENCYPART_ARC
(0,2),-0.839272 # DEPENDENCYPART_ARC
(0,3),-1.34734 # DEPENDENCYPART_ARC
(0,4),0.983205 # DEPENDENCYPART_ARC
(0,5),-0.591534 # DEPENDENCYPART_ARC
(0,6),-0.937306 # DEPENDENCYPART_ARC
(0,7),-1.65105 # DEPENDENCYPART_ARC
(0,8),0.575651 # DEPENDENCYPART_ARC
(0,9),-0.880002 # DEPENDENCYPART_ARC
(0,10),-1.11703 # DEPENDENCYPART_ARC
(0,11),-1.55788 # DEPENDENCYPART_ARC
(0,12),-1.95228 # DEPENDENCYPART_ARC
(0,13),-1.54522 # DEPENDENCYPART_ARC
(0,14),-1.69091 # DEPENDENCYPART_ARC
(0,15),-2.13076 # DEPENDENCYPART_ARC
(0,16),-1.89795 # DEPENDENCYPART_ARC
(0,17),-1.76995 # DEPENDENCYPART_ARC
(0,18),-1.16361 # DEPENDENCYPART_ARC
(0,19),-1.92032 # DEPENDENCYPART_ARC
(0,20),3.11066 # DEPENDENCYPART_ARC
(1,2),-0.0833571 # DEPENDENCYPART_ARC
(1,3),0.00795831 # DEPENDENCYPART_ARC
(1,4),-0.20868 # DEPENDENCYPART_ARC
(1,5),-0.540423 # DEPENDENCYPART_ARC
(1,6),-0.957825 # DEPENDENCYPART_ARC
(1,7),-0.551967 # DEPENDENCYPART_ARC
(1,8),-0.599459 # DEPENDENCYPART_ARC
(1,9),-0.990739 # DEPENDENCYPART_ARC
(1,10),-0.897385 # DEPENDENCYPART_ARC
(1,11),-0.580075 # DEPENDENCYPART_ARC
(1,12),-0.819461 # DEPENDENCYPART_ARC
(1,13),-1.19141 # DEPENDENCYPART_ARC
(1,14),-0.863499 # DEPENDENCYPART_ARC
(1,15),-0.890149 # DEPENDENCYPART_ARC
(1,16),-0.948193 # DEPENDENCYPART_ARC
(1,17),-0.709945 # DEPENDENCYPART_ARC
(1,18),-1.35648 # DEPENDENCYPART_ARC
(1,19),-0.891301 # DEPENDENCYPART_ARC
(1,20),-1.1251 # DEPENDENCYPART_ARC
(2,1),2.48092 # DEPENDENCYPART_ARC
(2,3),0.221379 # DEPENDENCYPART_ARC
(2,4),0.655483 # DEPENDENCYPART_ARC
(2,5),0.28456 # DEPENDENCYPART_ARC
(2,6),-0.121018 # DEPENDENCYPART_ARC
(2,7),-0.760928 # DEPENDENCYPART_ARC
(2,8),-0.0293139 # DEPENDENCYPART_ARC
(2,9),-0.537991 # DEPENDENCYPART_ARC
(2,10),-1.71562 # DEPENDENCYPART_ARC
(2,11),-0.220155 # DEPENDENCYPART_ARC
(2,12),-0.730955 # DEPENDENCYPART_ARC
(2,13),-1.30424 # DEPENDENCYPART_ARC
(2,14),-0.472642 # DEPENDENCYPART_ARC
(2,15),-1.10121 # DEPENDENCYPART_ARC
(2,16),-0.639525 # DEPENDENCYPART_ARC
(2,17),-0.417931 # DEPENDENCYPART_ARC
(2,18),-1.13392 # DEPENDENCYPART_ARC
(2,19),-1.15803 # DEPENDENCYPART_ARC
(2,20),-1.05389 # DEPENDENCYPART_ARC
