# _root_ Bu yazarın dramlarında kişiler , durumlarına karşı_koymaz , onu _ _ değiştirmek için savaşmazlar .
#goldHeads=2,3,7,7,0,7,8,14,11,11,12,13,14,15,0,
#predictedHeads=2,3,7,7,0,7,8,14,11,11,12,13,14,15,0,
(0,2),-0.752341 # DEPENDENCYPART_ARC
(0,3),-1.45863 # DEPENDENCYPART_ARC
(0,4),-1.05113 # DEPENDENCYPART_ARC
(0,5),1.72367 # DEPENDENCYPART_ARC
(0,6),-0.696653 # DEPENDENCYPART_ARC
(0,7),-1.39426 # DEPENDENCYPART_ARC
(0,8),0.571285 # DEPENDENCYPART_ARC
(0,10),-1.24675 # DEPENDENCYPART_ARC
(0,11),-1.67004 # DEPENDENCYPART_ARC
(0,14),-1.43132 # DEPENDENCYPART_ARC
(0,15),2.62265 # DEPENDENCYPART_ARC
(1,2),-0.117441 # DEPENDENCYPART_ARC
(1,3),-0.463657 # DEPENDENCYPART_ARC
(1,4),-0.693212 # DEPENDENCYPART_ARC
(1,5),-0.488951 # DEPENDENCYPART_ARC
(1,6),-1.0765 # DEPENDENCYPART_ARC
(1,8),-0.794532 # DEPENDENCYPART_ARC
(1,15),-0.917574 # DEPENDENCYPART_ARC
(2,1),2.32676 # DEPENDENCYPART_ARC
(2,3),-1.36391 # DEPENDENCYPART_ARC
(2,4),-0.75651 # DEPENDENCYPART_ARC
(2,5),-0.516285 # DEPENDENCYPART_ARC
(2,6),-1.046 # DEPENDENCYPART_ARC
(2,7),-1.02328 # DEPENDENCYPART_ARC
(2,8),-0.879093 # DEPENDENCYPART_ARC
(2,9),-2.3892 # DEPENDENCYPART_ARC
(2,10),-1.45247 # DEPENDENCYPART_ARC
(2,11),-1.51839 # DEPENDENCYPART_ARC
(2,12),-1.45661 # DEPENDENCYPART_ARC
(2,13),-1.25317 # DEPENDENCYPART_ARC
(2,14),-1.72648 # DEPENDENCYPART_ARC
(2,15),-1.60469 # DEPENDENCYPART_ARC
(3,1),1.39405 # DEPENDENCYPART_ARC
(3,2),3.5107 # DEPENDENCYPART_ARC
