# _root_ Kopenhag'da otellerin önünde _ bekleyen kızlar , Hamburg'un , Berlin'in ... _ buluşma yerleri ...
#goldHeads=4,3,4,5,6,7,0,9,0,12,0,13,14,15,0,
#predictedHeads=5,3,4,5,6,7,0,9,0,11,0,13,14,15,0,
(0,1),-0.463409 # DEPENDENCYPART_ARC
(0,2),-0.404589 # DEPENDENCYPART_ARC
(0,3),-0.71675 # DEPENDENCYPART_ARC
(0,4),-0.890091 # DEPENDENCYPART_ARC
(0,6),-0.712552 # DEPENDENCYPART_ARC
(0,7),2.18147 # DEPENDENCYPART_ARC
(0,8),-0.546656 # DEPENDENCYPART_ARC
(0,9),1.94293 # DEPENDENCYPART_ARC
(0,10),-0.35336 # DEPENDENCYPART_ARC
(0,11),4.19702 # DEPENDENCYPART_ARC
(0,12),-1.82445 # DEPENDENCYPART_ARC
(0,14),-0.530522 # DEPENDENCYPART_ARC
(0,15),5.18538 # DEPENDENCYPART_ARC
(1,2),-0.288488 # DEPENDENCYPART_ARC
(1,3),-0.854957 # DEPENDENCYPART_ARC
(1,4),-0.659121 # DEPENDENCYPART_ARC
(1,5),-0.336254 # DEPENDENCYPART_ARC
(1,6),-1.0433 # DEPENDENCYPART_ARC
(1,7),-0.175183 # DEPENDENCYPART_ARC
(1,8),-1.18785 # DEPENDENCYPART_ARC
(1,9),-0.555943 # DEPENDENCYPART_ARC
(1,10),-1.24784 # DEPENDENCYPART_ARC
(1,11),-0.797908 # DEPENDENCYPART_ARC
(1,12),-1.52491 # DEPENDENCYPART_ARC
(1,14),-2.05976 # DEPENDENCYPART_ARC
(1,15),-0.977754 # DEPENDENCYPART_ARC
(2,1),0.692563 # DEPENDENCYPART_ARC
(2,3),-0.991785 # DEPENDENCYPART_ARC
(2,4),-0.632965 # DEPENDENCYPART_ARC
(2,5),-0.311177 # DEPENDENCYPART_ARC
(2,6),-0.905316 # DEPENDENCYPART_ARC
(2,7),-0.301504 # DEPENDENCYPART_ARC
(2,8),-0.640197 # DEPENDENCYPART_ARC
(2,9),-0.638379 # DEPENDENCYPART_ARC
(2,10),-0.869554 # DEPENDENCYPART_ARC
(2,11),-0.848556 # DEPENDENCYPART_ARC
(2,12),-1.59393 # DEPENDENCYPART_ARC
(2,13),-1.17144 # DEPENDENCYPART_ARC
(2,14),-2.37265 # DEPENDENCYPART_ARC
(2,15),-1.25067 # DEPENDENCYPART_ARC
(3,1),0.109613 # DEPENDENCYPART_ARC
(3,2),3.36751 # DEPENDENCYPART_ARC
(3,4),-0.0428746 # DEPENDENCYPART_ARC
(3,5),0.13662 # DEPENDENCYPART_ARC
(3,6),-1.01436 # DEPENDENCYPART_ARC
(3,7),-0.220178 # DEPENDENCYPART_ARC
(3,8),0.0372682 # DEPENDENCYPART_ARC
(3,9),-0.698463 # DEPENDENCYPART_ARC
(3,10),-0.106439 # DEPENDENCYPART_ARC
(3,11),-1.04981 # DEPENDENCYPART_ARC
(3,12),-1.29563 # DEPENDENCYPART_ARC
(3,13),-0.843873 # DEPENDENCYPART_ARC
(3,14),-1.69436 # DEPENDENCYPART_ARC
(3,15),-1.1999 # DEPENDENCYPART_ARC
(4,1),1.01871 # DEPENDENCYPART_ARC
(4,2),2.1016 # DEPENDENCYPART_ARC
(4,3),2.68893 # DEPENDENCYPART_ARC
(4,5),-0.0834961 # DEPENDENCYPART_ARC
(4,6),0.38896 # DEPENDENCYPART_ARC
(4,7),-0.40528 # DEPENDENCYPART_ARC
(4,8),-1.56466 # DEPENDENCYPART_ARC
(4,9),-0.7498 # DEPENDENCYPART_ARC
(4,10),-1.97582 # DEPENDENCYPART_ARC
(4,11),-0.821013 # DEPENDENCYPART_ARC
(4,12),-1.87864 # DEPENDENCYPART_ARC
(4,13),-1.97307 # DEPENDENCYPART_ARC
