# _root_ Bu , dedikodu _ _ denen haz dünyasından ırak _ yaşayan bir püriten olsun , _ gidip zaman_zaman ona içimizi_dökelim .
#goldHeads=14,0,4,5,6,8,8,9,10,11,13,13,14,15,20,17,20,20,20,21,0,
#predictedHeads=14,0,5,5,6,7,8,14,10,11,13,13,14,15,20,17,20,20,20,21,0,
(0,1),-0.209044 # DEPENDENCYPART_ARC
(0,2),2.63462 # DEPENDENCYPART_ARC
(0,3),-0.298719 # DEPENDENCYPART_ARC
(0,4),-0.551774 # DEPENDENCYPART_ARC
(0,5),-0.902276 # DEPENDENCYPART_ARC
(0,6),-0.68459 # DEPENDENCYPART_ARC
(0,7),-0.528179 # DEPENDENCYPART_ARC
(0,8),-0.814621 # DEPENDENCYPART_ARC
(0,9),-0.846056 # DEPENDENCYPART_ARC
(0,10),-0.963928 # DEPENDENCYPART_ARC
(0,11),-1.0588 # DEPENDENCYPART_ARC
(0,12),-0.614334 # DEPENDENCYPART_ARC
(0,13),-0.879365 # DEPENDENCYPART_ARC
(0,14),-0.985752 # DEPENDENCYPART_ARC
(0,15),1.86614 # DEPENDENCYPART_ARC
(0,16),-1.15515 # DEPENDENCYPART_ARC
(0,17),-1.34916 # DEPENDENCYPART_ARC
(0,18),-0.877464 # DEPENDENCYPART_ARC
(0,19),-1.02766 # DEPENDENCYPART_ARC
(0,20),-1.12801 # DEPENDENCYPART_ARC
(0,21),3.15317 # DEPENDENCYPART_ARC
(1,2),-0.307072 # DEPENDENCYPART_ARC
(1,3),-0.5019 # DEPENDENCYPART_ARC
(1,4),-1.09081 # DEPENDENCYPART_ARC
(1,5),-1.32851 # DEPENDENCYPART_ARC
(1,6),-1.10223 # DEPENDENCYPART_ARC
(1,7),-0.689749 # DEPENDENCYPART_ARC
(1,8),-1.69669 # DEPENDENCYPART_ARC
(1,9),-1.01171 # DEPENDENCYPART_ARC
(1,10),-1.44919 # DEPENDENCYPART_ARC
(1,11),-0.966508 # DEPENDENCYPART_ARC
(1,12),-1.38328 # DEPENDENCYPART_ARC
(1,13),-1.25285 # DEPENDENCYPART_ARC
(1,14),-2.08642 # DEPENDENCYPART_ARC
(1,15),-1.11498 # DEPENDENCYPART_ARC
(1,16),-1.75584 # DEPENDENCYPART_ARC
