# _root_ Cadı onu _ ziyarete_geldiğinde , aşağıdan " Rapunzel , Rapunzel ! _ Uzat altın _ sarısı saçlarını ! " diye seslenirmiş .
#goldHeads=3,3,4,21,0,21,0,9,10,13,0,13,18,16,16,17,13,20,0,21,22,0,
#predictedHeads=3,3,4,5,6,7,0,9,10,11,0,13,18,16,16,17,21,0,0,21,22,0,
(0,1),-0.811374 # DEPENDENCYPART_ARC
(0,2),-1.02949 # DEPENDENCYPART_ARC
(0,3),-1.2358 # DEPENDENCYPART_ARC
(0,4),-1.73877 # DEPENDENCYPART_ARC
(0,5),1.41176 # DEPENDENCYPART_ARC
(0,6),-1.06525 # DEPENDENCYPART_ARC
(0,7),3.15441 # DEPENDENCYPART_ARC
(0,8),-1.00188 # DEPENDENCYPART_ARC
(0,9),1.14403 # DEPENDENCYPART_ARC
(0,10),-0.786627 # DEPENDENCYPART_ARC
(0,11),1.9598 # DEPENDENCYPART_ARC
(0,12),-1.92106 # DEPENDENCYPART_ARC
(0,13),-2.01805 # DEPENDENCYPART_ARC
(0,14),-1.11349 # DEPENDENCYPART_ARC
(0,15),-2.56647 # DEPENDENCYPART_ARC
(0,16),-1.59455 # DEPENDENCYPART_ARC
(0,17),-1.54191 # DEPENDENCYPART_ARC
(0,18),3.53944 # DEPENDENCYPART_ARC
(0,19),4.88951 # DEPENDENCYPART_ARC
(0,20),-2.17745 # DEPENDENCYPART_ARC
(0,21),-2.47169 # DEPENDENCYPART_ARC
(0,22),3.10073 # DEPENDENCYPART_ARC
(1,2),-0.275316 # DEPENDENCYPART_ARC
(1,3),-0.264248 # DEPENDENCYPART_ARC
(1,4),-1.1139 # DEPENDENCYPART_ARC
(1,5),0.122525 # DEPENDENCYPART_ARC
(1,6),-1.76339 # DEPENDENCYPART_ARC
(1,7),-0.458896 # DEPENDENCYPART_ARC
(1,8),-0.92394 # DEPENDENCYPART_ARC
(1,9),-0.419446 # DEPENDENCYPART_ARC
(1,10),-0.974212 # DEPENDENCYPART_ARC
(1,11),-0.674743 # DEPENDENCYPART_ARC
(1,12),-1.01248 # DEPENDENCYPART_ARC
(1,13),-1.43498 # DEPENDENCYPART_ARC
(1,14),-1.48662 # DEPENDENCYPART_ARC
(1,15),-0.946039 # DEPENDENCYPART_ARC
(1,16),-1.81109 # DEPENDENCYPART_ARC
(1,17),-2.4589 # DEPENDENCYPART_ARC
(1,18),-1.11773 # DEPENDENCYPART_ARC
(1,19),-1.08968 # DEPENDENCYPART_ARC
(1,20),-0.444971 # DEPENDENCYPART_ARC
(1,21),-1.9995 # DEPENDENCYPART_ARC
(1,22),-1.41351 # DEPENDENCYPART_ARC
(2,1),-0.350264 # DEPENDENCYPART_ARC
(2,3),-0.279304 # DEPENDENCYPART_ARC
(2,4),-0.138166 # DEPENDENCYPART_ARC
(2,5),-0.230961 # DEPENDENCYPART_ARC
(2,6),-0.522948 # DEPENDENCYPART_ARC
(2,7),-0.635894 # DEPENDENCYPART_ARC
(2,8),-0.123161 # DEPENDENCYPART_ARC
(2,9),-0.444162 # DEPENDENCYPART_ARC
(2,10),-0.357043 # DEPENDENCYPART_ARC
(2,11),-0.521545 # DEPENDENCYPART_ARC
(2,12),-0.707867 # DEPENDENCYPART_ARC
(2,13),-1.20488 # DEPENDENCYPART_ARC
(2,14),-0.793955 # DEPENDENCYPART_ARC
(2,15),-0.715695 # DEPENDENCYPART_ARC
(2,16),-0.794099 # DEPENDENCYPART_ARC
(2,17),-1.29859 # DEPENDENCYPART_ARC
(2,18),-0.845433 # DEPENDENCYPART_ARC
(2,19),-0.860342 # DEPENDENCYPART_ARC
(2,20),-0.787941 # DEPENDENCYPART_ARC
(2,21),-1.45978 # DEPENDENCYPART_ARC
(2,22),-0.987013 # DEPENDENCYPART_ARC
(3,1),1.93615 # DEPENDENCYPART_ARC
(3,2),3.17147 # DEPENDENCYPART_ARC
(3,4),1.08347 # DEPENDENCYPART_ARC
(3,5),0.125765 # DEPENDENCYPART_ARC
(3,6),-0.491061 # DEPENDENCYPART_ARC
(3,7),-0.349168 # DEPENDENCYPART_ARC
(3,8),-0.930284 # DEPENDENCYPART_ARC
(3,9),-0.38769 # DEPENDENCYPART_ARC
(3,10),-1.2093 # DEPENDENCYPART_ARC
(3,11),-0.731951 # DEPENDENCYPART_ARC
(3,12),-1.2044 # DEPENDENCYPART_ARC
(3,13),-1.32063 # DEPENDENCYPART_ARC
(3,14),-1.97589 # DEPENDENCYPART_ARC
(3,15),-2.503 # DEPENDENCYPART_ARC
(3,16),-2.59133 # DEPENDENCYPART_ARC
(3,17),-1.79744 # DEPENDENCYPART_ARC
(3,18),-0.786394 # DEPENDENCYPART_ARC
(3,19),-0.768914 # DEPENDENCYPART_ARC
(3,20),-0.221899 # DEPENDENCYPART_ARC
(3,21),-1.08798 # DEPENDENCYPART_ARC
(3,22),-1.45471 # DEPENDENCYPART_ARC
(4,1),1.84362 # DEPENDENCYPART_ARC
(4,2),1.65389 # DEPENDENCYPART_ARC
(4,3),3.27513 # DEPENDENCYPART_ARC
(4,5),0.0795067 # DEPENDENCYPART_ARC
(4,6),-0.500813 # DEPENDENCYPART_ARC
(4,7),-0.908395 # DEPENDENCYPART_ARC
(4,8),-0.692122 # DEPENDENCYPART_ARC
(4,9),-0.998073 # DEPENDENCYPART_ARC
(4,10),-0.996335 # DEPENDENCYPART_ARC
(4,11),-1.42055 # DEPENDENCYPART_ARC
(4,12),-1.48156 # DEPENDENCYPART_ARC
(4,13),-1.20593 # DEPENDENCYPART_ARC
(4,14),-1.05391 # DEPENDENCYPART_ARC
(4,15),-1.26636 # DEPENDENCYPART_ARC
(4,16),-1.38158 # DEPENDENCYPART_ARC
(4,17),-1.75167 # DEPENDENCYPART_ARC
