# _root_ Kemal , Mecazi anlamda evet , diye cevap verdi .
#goldHeads=9,0,4,5,6,7,8,9,10,0,
#predictedHeads=9,0,4,9,9,0,9,9,10,0,
(0,1),-0.482996 # DEPENDENCYPART_ARC
(0,2),2.31071 # DEPENDENCYPART_ARC
(0,4),-0.670244 # DEPENDENCYPART_ARC
(0,6),2.2702 # DEPENDENCYPART_ARC
(0,8),-0.503554 # DEPENDENCYPART_ARC
(0,9),-1.21545 # DEPENDENCYPART_ARC
(0,10),2.58044 # DEPENDENCYPART_ARC
(1,2),0.0201623 # DEPENDENCYPART_ARC
(1,3),-0.478483 # DEPENDENCYPART_ARC
(1,4),-1.90287 # DEPENDENCYPART_ARC
(1,5),-0.905032 # DEPENDENCYPART_ARC
(1,6),-1.07041 # DEPENDENCYPART_ARC
(1,7),-0.875891 # DEPENDENCYPART_ARC
(1,8),-1.4305 # DEPENDENCYPART_ARC
(1,9),-2.20626 # DEPENDENCYPART_ARC
(1,10),-1.10066 # DEPENDENCYPART_ARC
(2,1),0.197041 # DEPENDENCYPART_ARC
(2,3),-0.639034 # DEPENDENCYPART_ARC
(2,4),-0.649934 # DEPENDENCYPART_ARC
(2,5),-0.589287 # DEPENDENCYPART_ARC
(2,6),-0.473694 # DEPENDENCYPART_ARC
(2,7),-0.630546 # DEPENDENCYPART_ARC
(2,8),-0.574589 # DEPENDENCYPART_ARC
(2,9),-0.612546 # DEPENDENCYPART_ARC
(2,10),-1.13861 # DEPENDENCYPART_ARC
(3,1),-0.346053 # DEPENDENCYPART_ARC
(3,2),0.546532 # DEPENDENCYPART_ARC
(3,4),0.219028 # DEPENDENCYPART_ARC
(3,5),0.14168 # DEPENDENCYPART_ARC
(3,6),-0.424558 # DEPENDENCYPART_ARC
(3,7),-0.508931 # DEPENDENCYPART_ARC
(3,8),-0.750847 # DEPENDENCYPART_ARC
(3,9),-0.853637 # DEPENDENCYPART_ARC
(3,10),-0.963404 # DEPENDENCYPART_ARC
(4,1),-0.791847 # DEPENDENCYPART_ARC
(4,2),0.626784 # DEPENDENCYPART_ARC
(4,3),2.25199 # DEPENDENCYPART_ARC
(4,5),0.350544 # DEPENDENCYPART_ARC
(4,6),-0.193772 # DEPENDENCYPART_ARC
(4,7),-0.649134 # DEPENDENCYPART_ARC
(4,8),-0.856257 # DEPENDENCYPART_ARC
(4,9),-1.30148 # DEPENDENCYPART_ARC
(4,10),-0.988416 # DEPENDENCYPART_ARC
(5,1),-0.968785 # DEPENDENCYPART_ARC
(5,2),0.238333 # DEPENDENCYPART_ARC
(5,3),0.0596056 # DEPENDENCYPART_ARC
(5,4),1.02174 # DEPENDENCYPART_ARC
(5,6),-0.0939082 # DEPENDENCYPART_ARC
(5,7),-0.571399 # DEPENDENCYPART_ARC
(5,8),-1.17845 # DEPENDENCYPART_ARC
(5,9),-0.954872 # DEPENDENCYPART_ARC
(5,10),-1.14559 # DEPENDENCYPART_ARC
(6,1),-0.354262 # DEPENDENCYPART_ARC
(6,2),-0.261038 # DEPENDENCYPART_ARC
(6,3),0.0828402 # DEPENDENCYPART_ARC
(6,4),0.230832 # DEPENDENCYPART_ARC
(6,5),0.276273 # DEPENDENCYPART_ARC
(6,7),-0.201518 # DEPENDENCYPART_ARC
(6,8),-0.593201 # DEPENDENCYPART_ARC
(6,9),-0.395375 # DEPENDENCYPART_ARC
(6,10),-0.922903 # DEPENDENCYPART_ARC
(7,1),0.115405 # DEPENDENCYPART_ARC
(7,2),0.369076 # DEPENDENCYPART_ARC
(7,3),-0.033031 # DEPENDENCYPART_ARC
(7,4),-0.137855 # DEPENDENCYPART_ARC
(7,5),0.383033 # DEPENDENCYPART_ARC
(7,6),1.98542 # DEPENDENCYPART_ARC
(7,8),0.289759 # DEPENDENCYPART_ARC
(7,9),-0.388287 # DEPENDENCYPART_ARC
(7,10),-0.20916 # DEPENDENCYPART_ARC
(8,1),-0.752454 # DEPENDENCYPART_ARC
(8,2),-0.0909298 # DEPENDENCYPART_ARC
(8,3),-0.42289 # DEPENDENCYPART_ARC
(8,4),-1.16179 # DEPENDENCYPART_ARC
(8,5),-0.373039 # DEPENDENCYPART_ARC
(8,6),-0.107236 # DEPENDENCYPART_ARC
(8,7),1.1008 # DEPENDENCYPART_ARC
(8,9),-0.212802 # DEPENDENCYPART_ARC
(8,10),0.418548 # DEPENDENCYPART_ARC
(9,1),2.06706 # DEPENDENCYPART_ARC
(9,2),-0.487272 # DEPENDENCYPART_ARC
(9,3),0.0394676 # DEPENDENCYPART_ARC
(9,4),1.57689 # DEPENDENCYPART_ARC
(9,5),0.717312 # DEPENDENCYPART_ARC
(9,6),0.493184 # DEPENDENCYPART_ARC
(9,7),2.11722 # DEPENDENCYPART_ARC
(9,8),3.42872 # DEPENDENCYPART_ARC
(9,10),-0.270819 # DEPENDENCYPART_ARC
(10,1),0.319755 # DEPENDENCYPART_ARC
(10,2),-0.43474 # DEPENDENCYPART_ARC
(10,3),-0.236026 # DEPENDENCYPART_ARC
(10,4),0.505576 # DEPENDENCYPART_ARC
(10,5),-0.42283 # DEPENDENCYPART_ARC
(10,6),0.0789027 # DEPENDENCYPART_ARC
(10,7),0.220415 # DEPENDENCYPART_ARC
(10,8),0.393314 # DEPENDENCYPART_ARC
(10,9),1.7688 # DEPENDENCYPART_ARC
