# _root_ Beyefendi , sayın , saygıdeğer _ demek _ yoktu .
#goldHeads=2,3,4,5,6,7,9,9,10,0,
#predictedHeads=6,0,4,5,6,7,9,9,10,0,
(0,1),-0.632052 # DEPENDENCYPART_ARC
(0,2),2.16165 # DEPENDENCYPART_ARC
(0,4),0.915946 # DEPENDENCYPART_ARC
(0,6),-1.10933 # DEPENDENCYPART_ARC
(0,10),2.78594 # DEPENDENCYPART_ARC
(1,2),0.122549 # DEPENDENCYPART_ARC
(1,3),-0.360749 # DEPENDENCYPART_ARC
(1,4),-0.732457 # DEPENDENCYPART_ARC
(1,5),-0.755734 # DEPENDENCYPART_ARC
(1,6),-1.40805 # DEPENDENCYPART_ARC
(1,7),-0.913786 # DEPENDENCYPART_ARC
(1,8),-1.10424 # DEPENDENCYPART_ARC
(1,9),-1.39342 # DEPENDENCYPART_ARC
(1,10),-1.00083 # DEPENDENCYPART_ARC
(2,1),0.588922 # DEPENDENCYPART_ARC
(2,3),-0.656829 # DEPENDENCYPART_ARC
(2,4),-0.266035 # DEPENDENCYPART_ARC
(2,5),-1.12033 # DEPENDENCYPART_ARC
(2,6),-0.410684 # DEPENDENCYPART_ARC
(2,7),-0.540773 # DEPENDENCYPART_ARC
(2,8),-1.34169 # DEPENDENCYPART_ARC
(2,9),-0.410162 # DEPENDENCYPART_ARC
(2,10),-1.00841 # DEPENDENCYPART_ARC
(3,1),0.111029 # DEPENDENCYPART_ARC
(3,2),0.959846 # DEPENDENCYPART_ARC
(3,4),0.0715451 # DEPENDENCYPART_ARC
(3,5),-0.699623 # DEPENDENCYPART_ARC
(3,6),-0.752647 # DEPENDENCYPART_ARC
(3,7),-0.414807 # DEPENDENCYPART_ARC
(3,8),-1.20405 # DEPENDENCYPART_ARC
(3,9),-0.895805 # DEPENDENCYPART_ARC
(3,10),-1.08499 # DEPENDENCYPART_ARC
(4,1),-0.051538 # DEPENDENCYPART_ARC
(4,2),-0.137793 # DEPENDENCYPART_ARC
(4,3),1.22122 # DEPENDENCYPART_ARC
(4,5),-0.496694 # DEPENDENCYPART_ARC
(4,6),-0.360716 # DEPENDENCYPART_ARC
(4,7),-0.0753491 # DEPENDENCYPART_ARC
(4,8),-0.915955 # DEPENDENCYPART_ARC
(4,9),-0.379562 # DEPENDENCYPART_ARC
(4,10),-0.648776 # DEPENDENCYPART_ARC
(5,1),-0.27842 # DEPENDENCYPART_ARC
(5,2),-0.296553 # DEPENDENCYPART_ARC
(5,3),-0.213252 # DEPENDENCYPART_ARC
(5,4),1.26527 # DEPENDENCYPART_ARC
(5,6),0.333761 # DEPENDENCYPART_ARC
(5,7),0.505514 # DEPENDENCYPART_ARC
(5,8),-0.369045 # DEPENDENCYPART_ARC
(5,9),-0.155274 # DEPENDENCYPART_ARC
(5,10),-0.458791 # DEPENDENCYPART_ARC
(6,1),0.68616 # DEPENDENCYPART_ARC
(6,2),0.00411042 # DEPENDENCYPART_ARC
(6,3),0.628137 # DEPENDENCYPART_ARC
(6,4),1.06647 # DEPENDENCYPART_ARC
(6,5),2.56586 # DEPENDENCYPART_ARC
(6,7),0.548856 # DEPENDENCYPART_ARC
(6,8),-0.457319 # DEPENDENCYPART_ARC
(6,9),0.0188372 # DEPENDENCYPART_ARC
(6,10),-0.758385 # DEPENDENCYPART_ARC
(7,1),-0.0169816 # DEPENDENCYPART_ARC
(7,2),0.163234 # DEPENDENCYPART_ARC
(7,3),0.0690546 # DEPENDENCYPART_ARC
(7,4),0.546052 # DEPENDENCYPART_ARC
(7,5),1.35029 # DEPENDENCYPART_ARC
(7,6),3.11917 # DEPENDENCYPART_ARC
(7,8),0.576802 # DEPENDENCYPART_ARC
(7,9),-0.214704 # DEPENDENCYPART_ARC
(7,10),-0.320195 # DEPENDENCYPART_ARC
(8,1),0.432289 # DEPENDENCYPART_ARC
(8,2),0.416883 # DEPENDENCYPART_ARC
(8,3),0.181488 # DEPENDENCYPART_ARC
(8,4),1.08564 # DEPENDENCYPART_ARC
(8,5),0.915582 # DEPENDENCYPART_ARC
(8,6),1.13774 # DEPENDENCYPART_ARC
(8,7),1.99382 # DEPENDENCYPART_ARC
(8,9),0.587106 # DEPENDENCYPART_ARC
(8,10),0.201956 # DEPENDENCYPART_ARC
(9,1),0.685099 # DEPENDENCYPART_ARC
(9,2),0.207816 # DEPENDENCYPART_ARC
(9,3),-0.178367 # DEPENDENCYPART_ARC
(9,4),0.855242 # DEPENDENCYPART_ARC
(9,5),0.68546 # DEPENDENCYPART_ARC
(9,6),-0.52035 # DEPENDENCYPART_ARC
(9,7),2.44152 # DEPENDENCYPART_ARC
(9,8),2.15791 # DEPENDENCYPART_ARC
(9,10),-0.826782 # DEPENDENCYPART_ARC
(10,1),0.418968 # DEPENDENCYPART_ARC
(10,2),-0.319607 # DEPENDENCYPART_ARC
(10,3),-0.517859 # DEPENDENCYPART_ARC
(10,4),0.0963228 # DEPENDENCYPART_ARC
(10,5),-0.158459 # DEPENDENCYPART_ARC
(10,6),-1.11968 # DEPENDENCYPART_ARC
(10,7),0.530694 # DEPENDENCYPART_ARC
(10,8),-0.282641 # DEPENDENCYPART_ARC
(10,9),1.88253 # DEPENDENCYPART_ARC
