# _root_ Bir konuda bilgi _ verirken veya bir gerçeği _ savunurken , _ türlü kanıtlardan _ _ faydalanan , bunları bilimsel biçimde _ inceleyen gazete ve dergi yazılarına makale _ denir .
#goldHeads=2,4,4,5,6,10,8,9,10,16,0,13,14,16,16,17,18,23,22,21,22,23,24,25,26,27,30,30,30,31,0,
#predictedHeads=2,4,4,5,6,7,8,9,10,30,0,13,14,16,16,17,18,30,22,21,22,23,24,25,26,27,30,30,30,31,0,
(0,1),-0.249557 # DEPENDENCYPART_ARC
(0,2),-1.31908 # DEPENDENCYPART_ARC
(0,3),-1.0263 # DEPENDENCYPART_ARC
(0,4),-1.49588 # DEPENDENCYPART_ARC
(0,5),-1.53306 # DEPENDENCYPART_ARC
(0,6),-1.21757 # DEPENDENCYPART_ARC
(0,7),-1.17408 # DEPENDENCYPART_ARC
(0,8),-1.54109 # DEPENDENCYPART_ARC
(0,9),-1.63179 # DEPENDENCYPART_ARC
(0,10),-1.76883 # DEPENDENCYPART_ARC
(0,11),1.74284 # DEPENDENCYPART_ARC
(0,12),-1.97868 # DEPENDENCYPART_ARC
(0,13),-2.19975 # DEPENDENCYPART_ARC
(0,14),-2.05948 # DEPENDENCYPART_ARC
(0,15),-2.02876 # DEPENDENCYPART_ARC
(0,16),-2.13705 # DEPENDENCYPART_ARC
(0,17),-2.43727 # DEPENDENCYPART_ARC
(0,18),0.842949 # DEPENDENCYPART_ARC
(0,19),-2.03715 # DEPENDENCYPART_ARC
(0,20),-2.47234 # DEPENDENCYPART_ARC
(0,21),-2.14024 # DEPENDENCYPART_ARC
(0,22),-2.44996 # DEPENDENCYPART_ARC
(0,23),-2.76144 # DEPENDENCYPART_ARC
(0,24),-2.14307 # DEPENDENCYPART_ARC
(0,25),-1.95891 # DEPENDENCYPART_ARC
(0,26),-2.02118 # DEPENDENCYPART_ARC
(0,27),-2.3157 # DEPENDENCYPART_ARC
(0,28),-1.8386 # DEPENDENCYPART_ARC
(0,29),-2.30369 # DEPENDENCYPART_ARC
(0,30),-2.00959 # DEPENDENCYPART_ARC
(0,31),2.42705 # DEPENDENCYPART_ARC
(1,2),-0.0455935 # DEPENDENCYPART_ARC
(1,3),-0.379649 # DEPENDENCYPART_ARC
(1,4),-0.386159 # DEPENDENCYPART_ARC
(1,5),-0.298643 # DEPENDENCYPART_ARC
(1,6),-0.253699 # DEPENDENCYPART_ARC
(1,7),-0.649299 # DEPENDENCYPART_ARC
(1,8),-0.934956 # DEPENDENCYPART_ARC
(1,9),-0.876959 # DEPENDENCYPART_ARC
(1,10),-0.607548 # DEPENDENCYPART_ARC
(1,11),-0.727407 # DEPENDENCYPART_ARC
(1,12),-1.27696 # DEPENDENCYPART_ARC
(1,13),-1.21149 # DEPENDENCYPART_ARC
(1,14),-1.41947 # DEPENDENCYPART_ARC
(1,15),-1.33489 # DEPENDENCYPART_ARC
(1,16),-1.25887 # DEPENDENCYPART_ARC
(1,17),-1.38073 # DEPENDENCYPART_ARC
(1,18),-1.25595 # DEPENDENCYPART_ARC
(1,19),-1.19394 # DEPENDENCYPART_ARC
(1,20),-1.32493 # DEPENDENCYPART_ARC
(1,21),-1.49851 # DEPENDENCYPART_ARC
(1,22),-1.46702 # DEPENDENCYPART_ARC
(1,23),-1.42765 # DEPENDENCYPART_ARC
(1,24),-1.60619 # DEPENDENCYPART_ARC
(1,25),-1.08119 # DEPENDENCYPART_ARC
(1,26),-1.4462 # DEPENDENCYPART_ARC
(1,27),-1.48112 # DEPENDENCYPART_ARC
(1,28),-1.53711 # DEPENDENCYPART_ARC
(1,29),-1.51689 # DEPENDENCYPART_ARC
(1,30),-1.58777 # DEPENDENCYPART_ARC
(1,31),-1.67706 # DEPENDENCYPART_ARC
(2,1),2.88823 # DEPENDENCYPART_ARC
(2,3),0.0560838 # DEPENDENCYPART_ARC
(2,4),-0.276282 # DEPENDENCYPART_ARC
(2,5),-0.29384 # DEPENDENCYPART_ARC
