# _root_ _ DYP_Genel_Başkanlığı için Türkiye turuna _ çıkan Elazığ_Milletvekili_Mehmet Ağar , hakkında _ _ _ çıkarılan şaibe söylentilerinin arkasında başka hesaplar _ olduğunu _ savunarak , " _ Benim için şu anda hukuki problem _ yok .
#goldHeads=2,3,7,5,7,7,8,9,24,0,15,13,14,15,17,17,18,22,20,22,22,24,24,35,0,0,28,35,35,31,35,33,35,35,36,0,
#predictedHeads=2,3,6,5,6,7,8,9,35,0,14,13,14,15,16,17,18,21,20,21,22,23,24,25,0,0,28,29,31,31,35,33,35,35,36,0,
(0,1),-0.692239 # DEPENDENCYPART_ARC
(0,2),-0.879999 # DEPENDENCYPART_ARC
(0,3),-1.08585 # DEPENDENCYPART_ARC
(0,4),-1.04723 # DEPENDENCYPART_ARC
(0,5),-0.962281 # DEPENDENCYPART_ARC
(0,6),-1.33632 # DEPENDENCYPART_ARC
(0,7),-1.20671 # DEPENDENCYPART_ARC
(0,8),-1.12303 # DEPENDENCYPART_ARC
(0,9),-0.773346 # DEPENDENCYPART_ARC
(0,10),1.97998 # DEPENDENCYPART_ARC
(0,11),-1.40211 # DEPENDENCYPART_ARC
(0,12),-1.61777 # DEPENDENCYPART_ARC
(0,13),-1.85331 # DEPENDENCYPART_ARC
(0,14),-1.91636 # DEPENDENCYPART_ARC
(0,15),-1.837 # DEPENDENCYPART_ARC
(0,16),-1.35367 # DEPENDENCYPART_ARC
(0,17),-1.62103 # DEPENDENCYPART_ARC
(0,18),-1.63125 # DEPENDENCYPART_ARC
(0,19),-2.07805 # DEPENDENCYPART_ARC
(0,20),-1.42734 # DEPENDENCYPART_ARC
(0,21),-2.43707 # DEPENDENCYPART_ARC
(0,22),-1.87469 # DEPENDENCYPART_ARC
(0,23),-2.734 # DEPENDENCYPART_ARC
(0,24),-2.53153 # DEPENDENCYPART_ARC
(0,25),2.89066 # DEPENDENCYPART_ARC
(0,26),4.20483 # DEPENDENCYPART_ARC
(0,27),-2.79153 # DEPENDENCYPART_ARC
(0,28),-1.8062 # DEPENDENCYPART_ARC
(0,29),-2.80056 # DEPENDENCYPART_ARC
(0,30),-1.32929 # DEPENDENCYPART_ARC
(0,31),-1.67536 # DEPENDENCYPART_ARC
(0,32),-2.86489 # DEPENDENCYPART_ARC
(0,33),-1.64377 # DEPENDENCYPART_ARC
(0,34),-4.03973 # DEPENDENCYPART_ARC
(0,35),-1.81334 # DEPENDENCYPART_ARC
(0,36),4.04176 # DEPENDENCYPART_ARC
(1,2),0.316053 # DEPENDENCYPART_ARC
(1,3),0.203991 # DEPENDENCYPART_ARC
(1,4),-0.413411 # DEPENDENCYPART_ARC
(1,5),-0.722121 # DEPENDENCYPART_ARC
(1,6),-0.864945 # DEPENDENCYPART_ARC
(1,7),-0.258605 # DEPENDENCYPART_ARC
(1,8),-0.997147 # DEPENDENCYPART_ARC
(1,9),-1.10154 # DEPENDENCYPART_ARC
(1,10),0.0922076 # DEPENDENCYPART_ARC
(1,11),-2.49813 # DEPENDENCYPART_ARC
(1,12),-1.38605 # DEPENDENCYPART_ARC
(1,13),-1.55369 # DEPENDENCYPART_ARC
(1,14),-1.88508 # DEPENDENCYPART_ARC
(1,15),-0.527411 # DEPENDENCYPART_ARC
(1,16),-1.67084 # DEPENDENCYPART_ARC
(1,17),-2.18014 # DEPENDENCYPART_ARC
(1,18),-3.04311 # DEPENDENCYPART_ARC
(1,19),-0.835079 # DEPENDENCYPART_ARC
(1,20),-2.32589 # DEPENDENCYPART_ARC
(1,21),-2.24104 # DEPENDENCYPART_ARC
(1,22),-3.11879 # DEPENDENCYPART_ARC
(1,23),-2.58249 # DEPENDENCYPART_ARC
(1,24),-1.30762 # DEPENDENCYPART_ARC
(1,25),-1.12723 # DEPENDENCYPART_ARC
(1,26),-1.303 # DEPENDENCYPART_ARC
(1,27),-1.64901 # DEPENDENCYPART_ARC
(1,28),-2.42808 # DEPENDENCYPART_ARC
(1,29),-1.66947 # DEPENDENCYPART_ARC
(1,30),-0.0561275 # DEPENDENCYPART_ARC
(1,31),-3.52288 # DEPENDENCYPART_ARC
(1,32),-0.95973 # DEPENDENCYPART_ARC
(1,33),-3.07841 # DEPENDENCYPART_ARC
(1,34),-1.58129 # DEPENDENCYPART_ARC
(1,35),-2.69404 # DEPENDENCYPART_ARC
(1,36),-2.23355 # DEPENDENCYPART_ARC
(2,1),2.94035 # DEPENDENCYPART_ARC
(2,3),-0.633333 # DEPENDENCYPART_ARC
(2,4),-0.479561 # DEPENDENCYPART_ARC
(2,5),-1.00537 # DEPENDENCYPART_ARC
(2,6),-1.39638 # DEPENDENCYPART_ARC
(2,7),-1.27948 # DEPENDENCYPART_ARC
(2,8),-1.27575 # DEPENDENCYPART_ARC
(2,9),-1.34329 # DEPENDENCYPART_ARC
(2,10),-1.33161 # DEPENDENCYPART_ARC
(2,11),-2.12397 # DEPENDENCYPART_ARC
(2,12),-1.89849 # DEPENDENCYPART_ARC
(2,13),-1.80025 # DEPENDENCYPART_ARC
(2,14),-1.68918 # DEPENDENCYPART_ARC
(2,15),-1.7381 # DEPENDENCYPART_ARC
(2,16),-2.03759 # DEPENDENCYPART_ARC
(2,17),-2.38122 # DEPENDENCYPART_ARC
(2,18),-2.98982 # DEPENDENCYPART_ARC
(2,19),-1.86138 # DEPENDENCYPART_ARC
(2,20),-3.12873 # DEPENDENCYPART_ARC
(2,21),-2.14019 # DEPENDENCYPART_ARC
(2,22),-2.76897 # DEPENDENCYPART_ARC
(2,23),-2.41395 # DEPENDENCYPART_ARC
(2,24),-2.27788 # DEPENDENCYPART_ARC
(2,25),-1.92551 # DEPENDENCYPART_ARC
(2,26),-2.25745 # DEPENDENCYPART_ARC
(2,27),-2.7313 # DEPENDENCYPART_ARC
(2,28),-2.15162 # DEPENDENCYPART_ARC
