# _root_ Uykusunu bir _ türlü _ _ alamayan eşeğin gönlünü _ almak için _ çeşitli _ komiklikler yapar , ona şeker verir , sağrısını sıvazlarmış .
#goldHeads=6,4,4,6,6,7,8,9,10,11,12,17,14,16,16,17,18,21,21,21,22,24,24,25,0,
#predictedHeads=17,4,4,8,6,7,8,9,10,11,12,17,14,15,16,17,18,21,21,21,22,24,24,25,0,
(0,1),-1.14191 # DEPENDENCYPART_ARC
(0,3),-1.21417 # DEPENDENCYPART_ARC
(0,5),-1.02345 # DEPENDENCYPART_ARC
(0,6),-1.25655 # DEPENDENCYPART_ARC
(0,8),-1.10339 # DEPENDENCYPART_ARC
(0,9),-0.989968 # DEPENDENCYPART_ARC
(0,10),-1.48449 # DEPENDENCYPART_ARC
(0,13),-2.12245 # DEPENDENCYPART_ARC
(0,15),-2.1526 # DEPENDENCYPART_ARC
(0,16),-1.38401 # DEPENDENCYPART_ARC
(0,17),-1.75193 # DEPENDENCYPART_ARC
(0,18),1.45796 # DEPENDENCYPART_ARC
(0,20),-1.28901 # DEPENDENCYPART_ARC
(0,21),-2.16526 # DEPENDENCYPART_ARC
(0,22),0.649191 # DEPENDENCYPART_ARC
(0,23),-1.86435 # DEPENDENCYPART_ARC
(0,24),-2.55594 # DEPENDENCYPART_ARC
(0,25),3.19314 # DEPENDENCYPART_ARC
(1,2),-0.24535 # DEPENDENCYPART_ARC
(1,3),-0.526679 # DEPENDENCYPART_ARC
(1,4),-0.881595 # DEPENDENCYPART_ARC
(1,5),-0.842304 # DEPENDENCYPART_ARC
(1,6),-1.29665 # DEPENDENCYPART_ARC
(1,7),-0.794426 # DEPENDENCYPART_ARC
(1,8),-0.397578 # DEPENDENCYPART_ARC
(1,9),-1.23503 # DEPENDENCYPART_ARC
(1,10),-1.39504 # DEPENDENCYPART_ARC
(1,11),-1.24556 # DEPENDENCYPART_ARC
(1,12),-1.14008 # DEPENDENCYPART_ARC
(1,13),-2.00146 # DEPENDENCYPART_ARC
(1,14),-1.53487 # DEPENDENCYPART_ARC
(1,15),-2.14795 # DEPENDENCYPART_ARC
(1,16),-1.86561 # DEPENDENCYPART_ARC
(1,17),-1.8078 # DEPENDENCYPART_ARC
(1,18),-0.813886 # DEPENDENCYPART_ARC
(1,19),-2.84165 # DEPENDENCYPART_ARC
(1,20),-2.26254 # DEPENDENCYPART_ARC
(1,21),-2.08844 # DEPENDENCYPART_ARC
(1,22),-1.19342 # DEPENDENCYPART_ARC
(1,23),-2.60873 # DEPENDENCYPART_ARC
(1,24),-2.68989 # DEPENDENCYPART_ARC
(1,25),-1.94411 # DEPENDENCYPART_ARC
(2,1),0.672573 # DEPENDENCYPART_ARC
(2,3),-0.37315 # DEPENDENCYPART_ARC
(2,4),-0.500523 # DEPENDENCYPART_ARC
(2,5),-0.617233 # DEPENDENCYPART_ARC
(2,6),-0.603717 # DEPENDENCYPART_ARC
(2,7),-0.916692 # DEPENDENCYPART_ARC
(2,8),-1.07938 # DEPENDENCYPART_ARC
(2,9),-1.17917 # DEPENDENCYPART_ARC
(2,10),-0.835017 # DEPENDENCYPART_ARC
(2,11),-1.24166 # DEPENDENCYPART_ARC
(2,12),-0.554914 # DEPENDENCYPART_ARC
(2,13),-1.57503 # DEPENDENCYPART_ARC
(2,14),-1.30247 # DEPENDENCYPART_ARC
(2,15),-1.79707 # DEPENDENCYPART_ARC
(2,16),-1.71594 # DEPENDENCYPART_ARC
(2,17),-1.07075 # DEPENDENCYPART_ARC
(2,18),-1.35476 # DEPENDENCYPART_ARC
(2,19),-0.749201 # DEPENDENCYPART_ARC
(2,20),-2.04403 # DEPENDENCYPART_ARC
(2,21),-1.21079 # DEPENDENCYPART_ARC
(2,22),-1.74679 # DEPENDENCYPART_ARC
(2,23),-2.28901 # DEPENDENCYPART_ARC
(2,24),-1.45912 # DEPENDENCYPART_ARC
(2,25),-2.59702 # DEPENDENCYPART_ARC
(3,1),0.561077 # DEPENDENCYPART_ARC
(3,2),0.892946 # DEPENDENCYPART_ARC
(3,4),0.748969 # DEPENDENCYPART_ARC
(3,5),0.119858 # DEPENDENCYPART_ARC
(3,6),-0.474274 # DEPENDENCYPART_ARC
(3,7),0.288256 # DEPENDENCYPART_ARC
(3,8),-0.520505 # DEPENDENCYPART_ARC
(3,9),-1.17524 # DEPENDENCYPART_ARC
(3,10),-1.13324 # DEPENDENCYPART_ARC
(3,11),-0.526286 # DEPENDENCYPART_ARC
(3,12),-0.228966 # DEPENDENCYPART_ARC
(3,13),-1.00906 # DEPENDENCYPART_ARC
(3,14),-0.608627 # DEPENDENCYPART_ARC
(3,15),-1.66598 # DEPENDENCYPART_ARC
(3,16),-1.73899 # DEPENDENCYPART_ARC
(3,17),-1.78936 # DEPENDENCYPART_ARC
(3,18),-0.536457 # DEPENDENCYPART_ARC
(3,19),-2.19522 # DEPENDENCYPART_ARC
(3,20),-1.70006 # DEPENDENCYPART_ARC
(3,21),-2.26627 # DEPENDENCYPART_ARC
(3,22),-0.933012 # DEPENDENCYPART_ARC
(3,23),-2.48963 # DEPENDENCYPART_ARC
(3,24),-2.85914 # DEPENDENCYPART_ARC
(3,25),-1.66166 # DEPENDENCYPART_ARC
(4,1),0.674086 # DEPENDENCYPART_ARC
(4,2),1.53386 # DEPENDENCYPART_ARC
(4,3),3.53021 # DEPENDENCYPART_ARC
(4,5),-0.404322 # DEPENDENCYPART_ARC
(4,6),-0.627868 # DEPENDENCYPART_ARC
(4,7),-1.00001 # DEPENDENCYPART_ARC
(4,8),-0.509608 # DEPENDENCYPART_ARC
(4,9),-0.792215 # DEPENDENCYPART_ARC
(4,10),-1.05466 # DEPENDENCYPART_ARC
(4,11),-0.897716 # DEPENDENCYPART_ARC
(4,12),-1.09489 # DEPENDENCYPART_ARC
(4,13),-1.00266 # DEPENDENCYPART_ARC
(4,14),-1.58521 # DEPENDENCYPART_ARC
(4,15),-1.40703 # DEPENDENCYPART_ARC
(4,16),-1.49647 # DEPENDENCYPART_ARC
(4,17),-1.50224 # DEPENDENCYPART_ARC
(4,18),-1.25592 # DEPENDENCYPART_ARC
(4,19),-1.01819 # DEPENDENCYPART_ARC
(4,20),-1.83661 # DEPENDENCYPART_ARC
(4,21),-1.63022 # DEPENDENCYPART_ARC
(4,22),-1.68443 # DEPENDENCYPART_ARC
(4,23),-1.93676 # DEPENDENCYPART_ARC
(4,24),-1.75809 # DEPENDENCYPART_ARC
(4,25),-2.27719 # DEPENDENCYPART_ARC
(5,1),0.631204 # DEPENDENCYPART_ARC
(5,2),-0.339126 # DEPENDENCYPART_ARC
(5,3),0.967512 # DEPENDENCYPART_ARC
(5,4),0.916042 # DEPENDENCYPART_ARC
(5,6),0.297294 # DEPENDENCYPART_ARC
(5,7),0.0997516 # DEPENDENCYPART_ARC
(5,8),0.217875 # DEPENDENCYPART_ARC
(5,9),-0.140828 # DEPENDENCYPART_ARC
(5,10),-0.628188 # DEPENDENCYPART_ARC
(5,11),-0.361513 # DEPENDENCYPART_ARC
(5,12),-0.0937521 # DEPENDENCYPART_ARC
(5,13),-1.23538 # DEPENDENCYPART_ARC
(5,14),-0.902549 # DEPENDENCYPART_ARC
(5,15),-1.54249 # DEPENDENCYPART_ARC
(5,16),-1.41957 # DEPENDENCYPART_ARC
(5,17),-0.369474 # DEPENDENCYPART_ARC
(5,18),-0.895054 # DEPENDENCYPART_ARC
(5,19),-1.22111 # DEPENDENCYPART_ARC
(5,20),-2.42076 # DEPENDENCYPART_ARC
(5,21),-0.752273 # DEPENDENCYPART_ARC
(5,22),-1.06731 # DEPENDENCYPART_ARC
(5,23),-2.63438 # DEPENDENCYPART_ARC
(5,24),-0.797168 # DEPENDENCYPART_ARC
(5,25),-1.60975 # DEPENDENCYPART_ARC
(6,1),1.38749 # DEPENDENCYPART_ARC
(6,2),0.46768 # DEPENDENCYPART_ARC
(6,3),0.365694 # DEPENDENCYPART_ARC
(6,4),1.52148 # DEPENDENCYPART_ARC
(6,5),2.7512 # DEPENDENCYPART_ARC
(6,7),-0.0456053 # DEPENDENCYPART_ARC
(6,8),-1.36063 # DEPENDENCYPART_ARC
(6,9),-0.701377 # DEPENDENCYPART_ARC
(6,10),-1.0912 # DEPENDENCYPART_ARC
(6,11),-0.901387 # DEPENDENCYPART_ARC
(6,12),-0.543341 # DEPENDENCYPART_ARC
(6,13),-1.69887 # DEPENDENCYPART_ARC
(6,14),-1.53326 # DEPENDENCYPART_ARC
(6,15),-2.04258 # DEPENDENCYPART_ARC
(6,16),-2.01363 # DEPENDENCYPART_ARC
(6,17),-1.34416 # DEPENDENCYPART_ARC
(6,18),-0.973241 # DEPENDENCYPART_ARC
(6,19),-1.73651 # DEPENDENCYPART_ARC
(6,20),-2.99792 # DEPENDENCYPART_ARC
(6,21),-1.6153 # DEPENDENCYPART_ARC
(6,22),-1.44021 # DEPENDENCYPART_ARC
(6,23),-3.04275 # DEPENDENCYPART_ARC
(6,24),-1.57984 # DEPENDENCYPART_ARC
(6,25),-1.80058 # DEPENDENCYPART_ARC
(7,1),1.09915 # DEPENDENCYPART_ARC
(7,2),0.771361 # DEPENDENCYPART_ARC
(7,3),1.09671 # DEPENDENCYPART_ARC
(7,4),1.03201 # DEPENDENCYPART_ARC
(7,5),0.935801 # DEPENDENCYPART_ARC
(7,6),2.76839 # DEPENDENCYPART_ARC
(7,8),-0.377542 # DEPENDENCYPART_ARC
(7,9),-0.696386 # DEPENDENCYPART_ARC
(7,10),-1.06735 # DEPENDENCYPART_ARC
(7,11),-0.770557 # DEPENDENCYPART_ARC
(7,12),-1.05366 # DEPENDENCYPART_ARC
(7,13),-1.07073 # DEPENDENCYPART_ARC
(7,14),-1.69883 # DEPENDENCYPART_ARC
(7,15),-1.3827 # DEPENDENCYPART_ARC
(7,16),-1.23408 # DEPENDENCYPART_ARC
(7,17),-1.30921 # DEPENDENCYPART_ARC
(7,18),-1.50086 # DEPENDENCYPART_ARC
(7,20),-1.93848 # DEPENDENCYPART_ARC
(7,21),-1.65894 # DEPENDENCYPART_ARC
(7,22),-1.90569 # DEPENDENCYPART_ARC
(7,23),-2.09422 # DEPENDENCYPART_ARC
(7,24),-1.81661 # DEPENDENCYPART_ARC
(7,25),-2.29805 # DEPENDENCYPART_ARC
(8,1),-0.695117 # DEPENDENCYPART_ARC
(8,2),0.248984 # DEPENDENCYPART_ARC
(8,3),-1.46287 # DEPENDENCYPART_ARC
(8,4),1.67127 # DEPENDENCYPART_ARC
(8,5),-0.421892 # DEPENDENCYPART_ARC
(8,6),0.516555 # DEPENDENCYPART_ARC
