# _root_ Her _ iki olgu da , bilim için yeni bir başlangıçtan çok , bir dönemin _ _ kapanışına işaret_etmektedir .
#goldHeads=3,3,4,19,4,0,8,19,10,11,12,19,0,15,18,17,18,19,20,0,
#predictedHeads=3,3,4,18,4,0,8,19,11,11,12,19,0,15,18,17,18,19,20,0,
(0,1),-0.0197404 # DEPENDENCYPART_ARC
(0,2),-0.240943 # DEPENDENCYPART_ARC
(0,3),-1.17164 # DEPENDENCYPART_ARC
(0,4),-1.03604 # DEPENDENCYPART_ARC
(0,5),-1.35636 # DEPENDENCYPART_ARC
(0,6),2.19996 # DEPENDENCYPART_ARC
(0,7),-1.36404 # DEPENDENCYPART_ARC
(0,8),-1.7071 # DEPENDENCYPART_ARC
(0,9),-1.6096 # DEPENDENCYPART_ARC
(0,10),-1.30639 # DEPENDENCYPART_ARC
(0,11),-1.81457 # DEPENDENCYPART_ARC
(0,12),-1.78173 # DEPENDENCYPART_ARC
(0,13),1.91455 # DEPENDENCYPART_ARC
(0,14),-1.40385 # DEPENDENCYPART_ARC
(0,15),-1.68559 # DEPENDENCYPART_ARC
(0,16),-1.6268 # DEPENDENCYPART_ARC
(0,17),-1.84133 # DEPENDENCYPART_ARC
(0,18),-1.92454 # DEPENDENCYPART_ARC
(0,19),-1.71858 # DEPENDENCYPART_ARC
(0,20),2.43929 # DEPENDENCYPART_ARC
(1,2),0.135428 # DEPENDENCYPART_ARC
(1,3),-0.366397 # DEPENDENCYPART_ARC
(1,4),-0.552604 # DEPENDENCYPART_ARC
(1,5),-0.125198 # DEPENDENCYPART_ARC
(1,6),-0.821521 # DEPENDENCYPART_ARC
(1,7),-1.09881 # DEPENDENCYPART_ARC
(1,8),-0.795277 # DEPENDENCYPART_ARC
(1,9),-1.19924 # DEPENDENCYPART_ARC
(1,10),-0.90726 # DEPENDENCYPART_ARC
(1,11),-1.14275 # DEPENDENCYPART_ARC
(1,12),-0.927383 # DEPENDENCYPART_ARC
(1,13),-1.1771 # DEPENDENCYPART_ARC
(1,14),-1.15662 # DEPENDENCYPART_ARC
(1,15),-1.36282 # DEPENDENCYPART_ARC
(1,16),-1.29194 # DEPENDENCYPART_ARC
