# _root_ Kendi yaşam alanını güvence altında _ gören _ Papalık , bunun _ verdiği _ rahatlıkla , yakın geçmişte Darwin'le bile _ barışmakta bir beis görmemiştir .
#goldHeads=3,3,6,5,6,7,8,9,25,0,12,13,14,15,25,0,18,21,21,19,22,25,24,25,26,0,
#predictedHeads=2,3,6,5,6,7,9,9,10,0,12,13,15,15,16,0,18,21,21,21,22,25,24,25,26,0,
(0,2),-0.805622 # DEPENDENCYPART_ARC
(0,3),-1.18712 # DEPENDENCYPART_ARC
(0,4),-0.84353 # DEPENDENCYPART_ARC
(0,5),-1.39259 # DEPENDENCYPART_ARC
(0,6),-1.35373 # DEPENDENCYPART_ARC
(0,8),-1.44636 # DEPENDENCYPART_ARC
(0,9),-1.06461 # DEPENDENCYPART_ARC
(0,10),1.43051 # DEPENDENCYPART_ARC
(0,12),-1.9191 # DEPENDENCYPART_ARC
(0,15),-1.54134 # DEPENDENCYPART_ARC
(0,16),1.66517 # DEPENDENCYPART_ARC
(0,18),-1.20148 # DEPENDENCYPART_ARC
(0,19),-0.90142 # DEPENDENCYPART_ARC
(0,21),-2.51212 # DEPENDENCYPART_ARC
(0,24),-1.34717 # DEPENDENCYPART_ARC
(0,25),-2.01221 # DEPENDENCYPART_ARC
(0,26),3.24587 # DEPENDENCYPART_ARC
(1,2),0.399827 # DEPENDENCYPART_ARC
(1,3),-0.388138 # DEPENDENCYPART_ARC
(1,4),-0.168956 # DEPENDENCYPART_ARC
(1,5),-0.71078 # DEPENDENCYPART_ARC
(1,7),-0.605054 # DEPENDENCYPART_ARC
(1,8),-0.394341 # DEPENDENCYPART_ARC
(1,9),-1.07968 # DEPENDENCYPART_ARC
(1,10),-0.0608764 # DEPENDENCYPART_ARC
(1,15),-1.4977 # DEPENDENCYPART_ARC
(1,16),-0.520206 # DEPENDENCYPART_ARC
(1,18),-1.57833 # DEPENDENCYPART_ARC
(1,20),-0.861804 # DEPENDENCYPART_ARC
(1,24),-1.60874 # DEPENDENCYPART_ARC
(1,26),-1.38328 # DEPENDENCYPART_ARC
(2,1),1.5442 # DEPENDENCYPART_ARC
(2,3),-0.439068 # DEPENDENCYPART_ARC
(2,4),-0.194688 # DEPENDENCYPART_ARC
(2,5),-1.57609 # DEPENDENCYPART_ARC
(2,6),-0.951908 # DEPENDENCYPART_ARC
(2,7),-0.449034 # DEPENDENCYPART_ARC
(2,8),-1.00427 # DEPENDENCYPART_ARC
(2,9),-0.674118 # DEPENDENCYPART_ARC
(2,10),-0.32671 # DEPENDENCYPART_ARC
(2,11),-1.74363 # DEPENDENCYPART_ARC
(2,12),-1.56861 # DEPENDENCYPART_ARC
(2,13),-0.954155 # DEPENDENCYPART_ARC
(2,14),-1.25008 # DEPENDENCYPART_ARC
(2,15),-1.5132 # DEPENDENCYPART_ARC
(2,16),-0.629191 # DEPENDENCYPART_ARC
(2,17),-1.1065 # DEPENDENCYPART_ARC
(2,18),-2.73141 # DEPENDENCYPART_ARC
(2,19),-2.63587 # DEPENDENCYPART_ARC
(2,20),-0.846457 # DEPENDENCYPART_ARC
(2,21),-1.88306 # DEPENDENCYPART_ARC
(2,22),-2.98476 # DEPENDENCYPART_ARC
(2,23),-0.542651 # DEPENDENCYPART_ARC
(2,24),-2.33799 # DEPENDENCYPART_ARC
(2,25),-2.24778 # DEPENDENCYPART_ARC
(2,26),-1.43918 # DEPENDENCYPART_ARC
(3,1),1.18994 # DEPENDENCYPART_ARC
(3,2),2.94609 # DEPENDENCYPART_ARC
(3,4),0.0852428 # DEPENDENCYPART_ARC
(3,5),-0.697923 # DEPENDENCYPART_ARC
(3,6),-0.959943 # DEPENDENCYPART_ARC
(3,7),-0.365849 # DEPENDENCYPART_ARC
(3,8),-0.878537 # DEPENDENCYPART_ARC
(3,9),-0.553786 # DEPENDENCYPART_ARC
(3,10),-0.431465 # DEPENDENCYPART_ARC
(3,11),-1.49733 # DEPENDENCYPART_ARC
(3,12),-1.52201 # DEPENDENCYPART_ARC
(3,13),-0.862789 # DEPENDENCYPART_ARC
(3,14),-1.27341 # DEPENDENCYPART_ARC
(3,15),-1.15609 # DEPENDENCYPART_ARC
(3,16),-0.953595 # DEPENDENCYPART_ARC
(3,17),-1.11275 # DEPENDENCYPART_ARC
(3,18),-2.12678 # DEPENDENCYPART_ARC
(3,19),-1.95394 # DEPENDENCYPART_ARC
(3,20),-0.912782 # DEPENDENCYPART_ARC
(3,21),-1.96009 # DEPENDENCYPART_ARC
(3,22),-2.32945 # DEPENDENCYPART_ARC
(3,23),-0.467352 # DEPENDENCYPART_ARC
(3,24),-2.2058 # DEPENDENCYPART_ARC
(3,25),-2.20088 # DEPENDENCYPART_ARC
(3,26),-1.61759 # DEPENDENCYPART_ARC
(4,1),-0.504115 # DEPENDENCYPART_ARC
(4,2),0.714143 # DEPENDENCYPART_ARC
(4,3),1.34345 # DEPENDENCYPART_ARC
(4,5),-1.13708 # DEPENDENCYPART_ARC
(4,6),-0.774145 # DEPENDENCYPART_ARC
(4,7),-0.30964 # DEPENDENCYPART_ARC
(4,8),-0.832415 # DEPENDENCYPART_ARC
(4,9),-0.781531 # DEPENDENCYPART_ARC
(4,10),-0.430182 # DEPENDENCYPART_ARC
(4,11),-1.81698 # DEPENDENCYPART_ARC
(4,12),-1.73748 # DEPENDENCYPART_ARC
(4,13),-0.820232 # DEPENDENCYPART_ARC
(4,14),-1.09603 # DEPENDENCYPART_ARC
(4,15),-1.41708 # DEPENDENCYPART_ARC
(4,16),-0.863886 # DEPENDENCYPART_ARC
(4,17),-1.24042 # DEPENDENCYPART_ARC
(4,18),-2.68588 # DEPENDENCYPART_ARC
(4,19),-2.72745 # DEPENDENCYPART_ARC
(4,20),-0.907584 # DEPENDENCYPART_ARC
(4,21),-1.99902 # DEPENDENCYPART_ARC
(4,22),-3.02188 # DEPENDENCYPART_ARC
(4,23),-0.474748 # DEPENDENCYPART_ARC
(4,24),-2.27058 # DEPENDENCYPART_ARC
(4,25),-2.32104 # DEPENDENCYPART_ARC
(4,26),-1.55549 # DEPENDENCYPART_ARC
(5,1),0.31131 # DEPENDENCYPART_ARC
(5,2),1.31724 # DEPENDENCYPART_ARC
(5,3),0.39738 # DEPENDENCYPART_ARC
(5,4),3.2809 # DEPENDENCYPART_ARC
(5,6),-0.048012 # DEPENDENCYPART_ARC
(5,7),0.127555 # DEPENDENCYPART_ARC
(5,8),-0.657895 # DEPENDENCYPART_ARC
(5,9),-0.107431 # DEPENDENCYPART_ARC
(5,10),-0.417976 # DEPENDENCYPART_ARC
(5,11),-1.02233 # DEPENDENCYPART_ARC
(5,12),-1.27001 # DEPENDENCYPART_ARC
(5,13),-0.797098 # DEPENDENCYPART_ARC
(5,14),-0.921886 # DEPENDENCYPART_ARC
(5,15),-0.70589 # DEPENDENCYPART_ARC
(5,16),-0.923652 # DEPENDENCYPART_ARC
(5,17),-1.04253 # DEPENDENCYPART_ARC
(5,18),-2.04979 # DEPENDENCYPART_ARC
(5,19),-1.77253 # DEPENDENCYPART_ARC
(5,20),-0.866768 # DEPENDENCYPART_ARC
(5,21),-1.63548 # DEPENDENCYPART_ARC
(5,22),-2.11836 # DEPENDENCYPART_ARC
(5,23),-0.552507 # DEPENDENCYPART_ARC
(5,24),-2.06718 # DEPENDENCYPART_ARC
(5,25),-1.56663 # DEPENDENCYPART_ARC
(5,26),-1.60458 # DEPENDENCYPART_ARC
(6,1),-1.13835 # DEPENDENCYPART_ARC
(6,2),0.647598 # DEPENDENCYPART_ARC
(6,3),1.57538 # DEPENDENCYPART_ARC
(6,4),1.58945 # DEPENDENCYPART_ARC
(6,5),2.79598 # DEPENDENCYPART_ARC
(6,7),-0.100063 # DEPENDENCYPART_ARC
(6,8),-0.581084 # DEPENDENCYPART_ARC
(6,9),0.0835975 # DEPENDENCYPART_ARC
(6,10),-0.404885 # DEPENDENCYPART_ARC
(6,11),-1.32816 # DEPENDENCYPART_ARC
(6,12),-1.52407 # DEPENDENCYPART_ARC
(6,13),-1.44674 # DEPENDENCYPART_ARC
(6,14),-2.03635 # DEPENDENCYPART_ARC
(6,15),-1.03524 # DEPENDENCYPART_ARC
(6,16),-0.911176 # DEPENDENCYPART_ARC
(6,17),-1.84644 # DEPENDENCYPART_ARC
(6,18),-2.79626 # DEPENDENCYPART_ARC
(6,19),-3.07846 # DEPENDENCYPART_ARC
(6,20),-0.666469 # DEPENDENCYPART_ARC
(6,21),-2.6252 # DEPENDENCYPART_ARC
(6,22),-3.42002 # DEPENDENCYPART_ARC
(6,23),-1.2297 # DEPENDENCYPART_ARC
(6,24),-3.69969 # DEPENDENCYPART_ARC
(6,25),-1.83111 # DEPENDENCYPART_ARC
(6,26),-1.83375 # DEPENDENCYPART_ARC
(7,1),0.351872 # DEPENDENCYPART_ARC
(7,2),0.914224 # DEPENDENCYPART_ARC
(7,3),1.26834 # DEPENDENCYPART_ARC
(7,4),1.52365 # DEPENDENCYPART_ARC
(7,5),2.05989 # DEPENDENCYPART_ARC
(7,6),2.76987 # DEPENDENCYPART_ARC
(7,8),-0.327041 # DEPENDENCYPART_ARC
(7,9),-0.558145 # DEPENDENCYPART_ARC
(7,10),-0.980647 # DEPENDENCYPART_ARC
(7,12),-1.3866 # DEPENDENCYPART_ARC
(7,14),-1.73731 # DEPENDENCYPART_ARC
(7,15),-1.36711 # DEPENDENCYPART_ARC
(7,16),-1.36625 # DEPENDENCYPART_ARC
(7,17),-1.83565 # DEPENDENCYPART_ARC
(7,18),-1.72929 # DEPENDENCYPART_ARC
(7,19),-1.76887 # DEPENDENCYPART_ARC
(7,20),-1.49881 # DEPENDENCYPART_ARC
(7,21),-1.57167 # DEPENDENCYPART_ARC
(7,22),-1.68759 # DEPENDENCYPART_ARC
(7,24),-1.85176 # DEPENDENCYPART_ARC
(7,25),-1.70014 # DEPENDENCYPART_ARC
(7,26),-2.17865 # DEPENDENCYPART_ARC
(8,1),-0.635688 # DEPENDENCYPART_ARC
(8,2),0.126377 # DEPENDENCYPART_ARC
(8,3),-0.152521 # DEPENDENCYPART_ARC
(8,4),0.621295 # DEPENDENCYPART_ARC
(8,5),-0.0741875 # DEPENDENCYPART_ARC
(8,6),0.270828 # DEPENDENCYPART_ARC
(8,7),1.69994 # DEPENDENCYPART_ARC
(8,9),0.687904 # DEPENDENCYPART_ARC
(8,10),0.151392 # DEPENDENCYPART_ARC
(8,11),-1.33291 # DEPENDENCYPART_ARC
(8,12),-1.17259 # DEPENDENCYPART_ARC
(8,13),-0.596155 # DEPENDENCYPART_ARC
(8,14),-0.835614 # DEPENDENCYPART_ARC
(8,15),-0.88351 # DEPENDENCYPART_ARC
(8,16),-0.743744 # DEPENDENCYPART_ARC
(8,17),-0.808314 # DEPENDENCYPART_ARC
(8,18),-2.45085 # DEPENDENCYPART_ARC
(8,19),-2.66108 # DEPENDENCYPART_ARC
(8,20),-0.604234 # DEPENDENCYPART_ARC
(8,21),-2.24264 # DEPENDENCYPART_ARC
(8,22),-2.57681 # DEPENDENCYPART_ARC
(8,23),-0.353047 # DEPENDENCYPART_ARC
(8,24),-2.05089 # DEPENDENCYPART_ARC
(8,25),-2.41939 # DEPENDENCYPART_ARC
(8,26),-1.43846 # DEPENDENCYPART_ARC
(9,1),0.690959 # DEPENDENCYPART_ARC
(9,2),0.694929 # DEPENDENCYPART_ARC
(9,3),-0.869893 # DEPENDENCYPART_ARC
(9,4),1.03081 # DEPENDENCYPART_ARC
(9,5),-0.516159 # DEPENDENCYPART_ARC
(9,6),-0.457738 # DEPENDENCYPART_ARC
(9,7),2.03189 # DEPENDENCYPART_ARC
(9,8),2.77924 # DEPENDENCYPART_ARC
(9,10),-0.549336 # DEPENDENCYPART_ARC
(9,11),-1.45188 # DEPENDENCYPART_ARC
(9,12),-1.72357 # DEPENDENCYPART_ARC
(9,13),-1.20007 # DEPENDENCYPART_ARC
(9,14),-1.51823 # DEPENDENCYPART_ARC
(9,15),-1.26608 # DEPENDENCYPART_ARC
(9,16),-1.53863 # DEPENDENCYPART_ARC
(9,17),-1.61877 # DEPENDENCYPART_ARC
(9,18),-2.13104 # DEPENDENCYPART_ARC
(9,19),-2.13468 # DEPENDENCYPART_ARC
(9,20),-1.3946 # DEPENDENCYPART_ARC
(9,21),-2.32288 # DEPENDENCYPART_ARC
(9,22),-2.46534 # DEPENDENCYPART_ARC
(9,23),-1.10875 # DEPENDENCYPART_ARC
(9,24),-2.04566 # DEPENDENCYPART_ARC
(9,25),-1.56071 # DEPENDENCYPART_ARC
(9,26),-2.13252 # DEPENDENCYPART_ARC
(10,1),0.0541883 # DEPENDENCYPART_ARC
(10,2),0.0536575 # DEPENDENCYPART_ARC
(10,3),0.0755391 # DEPENDENCYPART_ARC
(10,4),0.187938 # DEPENDENCYPART_ARC
(10,5),0.180476 # DEPENDENCYPART_ARC
(10,6),-0.845239 # DEPENDENCYPART_ARC
(10,7),0.233825 # DEPENDENCYPART_ARC
(10,8),-0.729816 # DEPENDENCYPART_ARC
(10,9),1.06055 # DEPENDENCYPART_ARC
(10,11),0.0380512 # DEPENDENCYPART_ARC
(10,12),0.0914232 # DEPENDENCYPART_ARC
(10,13),-0.519694 # DEPENDENCYPART_ARC
(10,14),-0.661373 # DEPENDENCYPART_ARC
(10,15),-0.333394 # DEPENDENCYPART_ARC
(10,16),-0.309916 # DEPENDENCYPART_ARC
