# _root_ Hem _ eminim ki , benim de benden daha büyük bir kardeşim olsaydı , o da _ aynılarını yapardı .
#goldHeads=20,3,13,2,19,13,6,10,10,12,12,13,19,0,19,15,18,19,20,0,
#predictedHeads=3,3,5,3,0,12,6,13,10,12,12,13,19,19,19,15,18,19,20,0,
(0,1),-0.984345 # DEPENDENCYPART_ARC
(0,2),-1.48389 # DEPENDENCYPART_ARC
(0,3),-1.56853 # DEPENDENCYPART_ARC
(0,4),-1.87848 # DEPENDENCYPART_ARC
(0,5),1.41227 # DEPENDENCYPART_ARC
(0,6),-2.06635 # DEPENDENCYPART_ARC
(0,7),-1.87847 # DEPENDENCYPART_ARC
(0,8),-2.21024 # DEPENDENCYPART_ARC
(0,9),-2.06038 # DEPENDENCYPART_ARC
(0,10),-2.02046 # DEPENDENCYPART_ARC
(0,11),-1.61061 # DEPENDENCYPART_ARC
(0,12),-2.22223 # DEPENDENCYPART_ARC
(0,13),-1.97163 # DEPENDENCYPART_ARC
(0,14),0.753017 # DEPENDENCYPART_ARC
(0,15),-2.22647 # DEPENDENCYPART_ARC
(0,16),-1.80264 # DEPENDENCYPART_ARC
(0,17),-2.53089 # DEPENDENCYPART_ARC
(0,18),-2.61535 # DEPENDENCYPART_ARC
(0,19),-1.77613 # DEPENDENCYPART_ARC
(0,20),1.53744 # DEPENDENCYPART_ARC
(1,2),-0.11582 # DEPENDENCYPART_ARC
(1,3),-0.488344 # DEPENDENCYPART_ARC
(1,4),-0.207558 # DEPENDENCYPART_ARC
(1,5),-0.793773 # DEPENDENCYPART_ARC
(1,6),-1.30095 # DEPENDENCYPART_ARC
(1,7),-0.64799 # DEPENDENCYPART_ARC
(1,8),-1.22283 # DEPENDENCYPART_ARC
(1,9),-1.13976 # DEPENDENCYPART_ARC
(1,10),-1.15148 # DEPENDENCYPART_ARC
(1,11),-0.997162 # DEPENDENCYPART_ARC
(1,12),-1.67329 # DEPENDENCYPART_ARC
(1,13),-1.33121 # DEPENDENCYPART_ARC
(1,14),-1.28586 # DEPENDENCYPART_ARC
(1,15),-1.22311 # DEPENDENCYPART_ARC
(1,16),-1.09003 # DEPENDENCYPART_ARC
(1,17),-1.41544 # DEPENDENCYPART_ARC
(1,18),-1.80034 # DEPENDENCYPART_ARC
(1,19),-1.36787 # DEPENDENCYPART_ARC
(1,20),-1.44025 # DEPENDENCYPART_ARC
(2,1),0.814983 # DEPENDENCYPART_ARC
(2,3),0.320223 # DEPENDENCYPART_ARC
(2,4),1.02814 # DEPENDENCYPART_ARC
(2,5),-0.434995 # DEPENDENCYPART_ARC
(2,6),-0.242953 # DEPENDENCYPART_ARC
(2,7),-0.425629 # DEPENDENCYPART_ARC
(2,8),-0.326262 # DEPENDENCYPART_ARC
(2,9),-0.309161 # DEPENDENCYPART_ARC
(2,10),-0.998826 # DEPENDENCYPART_ARC
(2,11),-0.554855 # DEPENDENCYPART_ARC
(2,12),-0.805842 # DEPENDENCYPART_ARC
(2,13),-0.987848 # DEPENDENCYPART_ARC
(2,14),-0.975935 # DEPENDENCYPART_ARC
(2,15),-0.437824 # DEPENDENCYPART_ARC
(2,16),-0.722677 # DEPENDENCYPART_ARC
(2,17),-1.24799 # DEPENDENCYPART_ARC
(2,18),-1.3045 # DEPENDENCYPART_ARC
(2,19),-1.15373 # DEPENDENCYPART_ARC
(2,20),-1.09326 # DEPENDENCYPART_ARC
(3,1),0.851163 # DEPENDENCYPART_ARC
(3,2),2.3685 # DEPENDENCYPART_ARC
(3,4),1.34192 # DEPENDENCYPART_ARC
(3,5),-0.539266 # DEPENDENCYPART_ARC
(3,6),-1.05673 # DEPENDENCYPART_ARC
(3,7),-0.564817 # DEPENDENCYPART_ARC
(3,8),-0.728903 # DEPENDENCYPART_ARC
(3,9),-0.863704 # DEPENDENCYPART_ARC
(3,10),-0.767089 # DEPENDENCYPART_ARC
(3,11),-1.04046 # DEPENDENCYPART_ARC
(3,12),-0.754937 # DEPENDENCYPART_ARC
(3,13),-0.881923 # DEPENDENCYPART_ARC
(3,14),-1.07689 # DEPENDENCYPART_ARC
(3,15),-1.00344 # DEPENDENCYPART_ARC
(3,16),-0.86329 # DEPENDENCYPART_ARC
(3,17),-1.50206 # DEPENDENCYPART_ARC
(3,18),-2.24766 # DEPENDENCYPART_ARC
(3,19),-1.45667 # DEPENDENCYPART_ARC
(3,20),-1.44728 # DEPENDENCYPART_ARC
(4,1),-0.601747 # DEPENDENCYPART_ARC
(4,2),-0.225041 # DEPENDENCYPART_ARC
(4,3),0.578433 # DEPENDENCYPART_ARC
(4,5),-0.203481 # DEPENDENCYPART_ARC
(4,6),-0.854737 # DEPENDENCYPART_ARC
(4,7),-0.467498 # DEPENDENCYPART_ARC
