# _root_ Hem birileri iş yapacak , hem zarar_edeceksiniz , hem de faiz ödeyeceksiniz " dedi .
#goldHeads=4,4,4,5,7,7,8,12,12,9,12,14,14,15,0,
#predictedHeads=5,4,4,5,7,7,9,12,12,9,12,13,14,15,0,
(0,1),-0.907072 # DEPENDENCYPART_ARC
(0,3),-1.79058 # DEPENDENCYPART_ARC
(0,4),-1.98661 # DEPENDENCYPART_ARC
(0,5),0.549826 # DEPENDENCYPART_ARC
(0,6),-1.73357 # DEPENDENCYPART_ARC
(0,7),-1.98553 # DEPENDENCYPART_ARC
(0,8),0.291334 # DEPENDENCYPART_ARC
(0,9),-1.49809 # DEPENDENCYPART_ARC
(0,10),-1.70609 # DEPENDENCYPART_ARC
(0,11),-1.98215 # DEPENDENCYPART_ARC
(0,12),-2.04094 # DEPENDENCYPART_ARC
(0,13),1.34725 # DEPENDENCYPART_ARC
(0,14),-2.34535 # DEPENDENCYPART_ARC
(0,15),1.9577 # DEPENDENCYPART_ARC
(1,3),-0.588289 # DEPENDENCYPART_ARC
(1,4),-0.748772 # DEPENDENCYPART_ARC
(1,5),-0.554012 # DEPENDENCYPART_ARC
(1,6),-0.678878 # DEPENDENCYPART_ARC
(1,7),-1.23475 # DEPENDENCYPART_ARC
(1,8),-1.13848 # DEPENDENCYPART_ARC
(1,9),-1.08409 # DEPENDENCYPART_ARC
(1,10),-0.45279 # DEPENDENCYPART_ARC
(1,11),-1.39429 # DEPENDENCYPART_ARC
(1,12),-1.22854 # DEPENDENCYPART_ARC
(1,13),-1.23768 # DEPENDENCYPART_ARC
(1,14),-1.45753 # DEPENDENCYPART_ARC
(1,15),-1.37666 # DEPENDENCYPART_ARC
(2,1),0.999293 # DEPENDENCYPART_ARC
(2,3),-0.664805 # DEPENDENCYPART_ARC
(2,4),-0.633309 # DEPENDENCYPART_ARC
(2,5),-0.296291 # DEPENDENCYPART_ARC
(2,6),-0.388553 # DEPENDENCYPART_ARC
(2,7),-1.29845 # DEPENDENCYPART_ARC
(2,8),-0.864446 # DEPENDENCYPART_ARC
(2,9),-0.661253 # DEPENDENCYPART_ARC
(2,10),-0.12081 # DEPENDENCYPART_ARC
(2,11),-1.6328 # DEPENDENCYPART_ARC
(2,12),-1.07824 # DEPENDENCYPART_ARC
(2,13),-1.03152 # DEPENDENCYPART_ARC
(2,14),-1.37558 # DEPENDENCYPART_ARC
(2,15),-1.37752 # DEPENDENCYPART_ARC
(3,1),-0.10228 # DEPENDENCYPART_ARC
(3,2),1.83273 # DEPENDENCYPART_ARC
(3,4),0.246636 # DEPENDENCYPART_ARC
(3,5),0.50524 # DEPENDENCYPART_ARC
(3,6),-0.301383 # DEPENDENCYPART_ARC
(3,7),-1.26953 # DEPENDENCYPART_ARC
(3,8),-0.524076 # DEPENDENCYPART_ARC
(3,9),-0.888647 # DEPENDENCYPART_ARC
(3,10),-0.146715 # DEPENDENCYPART_ARC
(3,11),-0.784539 # DEPENDENCYPART_ARC
(3,12),-1.26512 # DEPENDENCYPART_ARC
(3,13),-0.759692 # DEPENDENCYPART_ARC
(3,14),-2.09937 # DEPENDENCYPART_ARC
(3,15),-1.08232 # DEPENDENCYPART_ARC
(4,1),1.1299 # DEPENDENCYPART_ARC
(4,2),3.50261 # DEPENDENCYPART_ARC
(4,3),3.55992 # DEPENDENCYPART_ARC
(4,5),-0.243437 # DEPENDENCYPART_ARC
(4,6),-0.378141 # DEPENDENCYPART_ARC
(4,7),-1.36328 # DEPENDENCYPART_ARC
(4,8),-1.22116 # DEPENDENCYPART_ARC
(4,9),-1.52063 # DEPENDENCYPART_ARC
(4,10),-1.04695 # DEPENDENCYPART_ARC
(4,11),-1.08761 # DEPENDENCYPART_ARC
(4,12),-1.58048 # DEPENDENCYPART_ARC
(4,13),-1.09694 # DEPENDENCYPART_ARC
(4,14),-2.21655 # DEPENDENCYPART_ARC
(4,15),-1.86144 # DEPENDENCYPART_ARC
(5,1),1.28301 # DEPENDENCYPART_ARC
(5,2),0.394927 # DEPENDENCYPART_ARC
(5,3),0.888433 # DEPENDENCYPART_ARC
(5,4),1.88209 # DEPENDENCYPART_ARC
(5,6),-0.692715 # DEPENDENCYPART_ARC
(5,7),-0.516998 # DEPENDENCYPART_ARC
(5,8),-0.919079 # DEPENDENCYPART_ARC
