# _root_ Prens , " Rapunzel , Rapunzel ! _ Uzat altın _ sarısı saçlarını ! " diye _ seslenince , cadı Rapunzel'den _ kestiği saç örgüsünü _ uzatmış aşağıya .
#goldHeads=17,0,0,5,6,9,0,9,14,12,12,13,0,16,0,17,18,27,0,27,22,23,25,25,27,27,29,27,0,
#predictedHeads=2,0,0,5,6,7,0,9,14,12,12,13,14,0,0,17,18,27,0,21,22,23,24,25,27,27,29,26,0,
(0,1),-0.604005 # DEPENDENCYPART_ARC
(0,2),2.87421 # DEPENDENCYPART_ARC
(0,3),3.74631 # DEPENDENCYPART_ARC
(0,4),-0.636305 # DEPENDENCYPART_ARC
(0,5),1.37148 # DEPENDENCYPART_ARC
(0,6),-0.491374 # DEPENDENCYPART_ARC
(0,7),1.93021 # DEPENDENCYPART_ARC
(0,8),-1.49459 # DEPENDENCYPART_ARC
(0,9),-1.44298 # DEPENDENCYPART_ARC
(0,10),-0.49119 # DEPENDENCYPART_ARC
(0,11),-1.76503 # DEPENDENCYPART_ARC
(0,12),-1.09894 # DEPENDENCYPART_ARC
(0,13),-1.13809 # DEPENDENCYPART_ARC
(0,14),3.48945 # DEPENDENCYPART_ARC
(0,15),4.93724 # DEPENDENCYPART_ARC
(0,16),-1.54871 # DEPENDENCYPART_ARC
(0,17),-2.04103 # DEPENDENCYPART_ARC
(0,18),-1.77089 # DEPENDENCYPART_ARC
(0,19),1.44593 # DEPENDENCYPART_ARC
(0,20),-0.393734 # DEPENDENCYPART_ARC
(0,21),-0.21879 # DEPENDENCYPART_ARC
(0,22),-2.47911 # DEPENDENCYPART_ARC
(0,23),-2.13687 # DEPENDENCYPART_ARC
(0,24),-0.698304 # DEPENDENCYPART_ARC
(0,25),-0.488152 # DEPENDENCYPART_ARC
(0,26),-2.33634 # DEPENDENCYPART_ARC
(0,27),-2.09641 # DEPENDENCYPART_ARC
(0,28),-0.791183 # DEPENDENCYPART_ARC
(0,29),4.65807 # DEPENDENCYPART_ARC
(1,2),0.0201408 # DEPENDENCYPART_ARC
(1,3),-0.376203 # DEPENDENCYPART_ARC
(1,4),-0.671733 # DEPENDENCYPART_ARC
(1,5),-0.611701 # DEPENDENCYPART_ARC
(1,6),-0.952965 # DEPENDENCYPART_ARC
(1,7),-1.12988 # DEPENDENCYPART_ARC
(1,8),-1.14605 # DEPENDENCYPART_ARC
(1,9),-1.66216 # DEPENDENCYPART_ARC
(1,10),-0.921217 # DEPENDENCYPART_ARC
(1,11),-0.986071 # DEPENDENCYPART_ARC
(1,12),-1.57593 # DEPENDENCYPART_ARC
(1,13),-2.25042 # DEPENDENCYPART_ARC
(1,14),-1.39227 # DEPENDENCYPART_ARC
(1,15),-1.21358 # DEPENDENCYPART_ARC
(1,16),-0.70808 # DEPENDENCYPART_ARC
(1,17),-1.65679 # DEPENDENCYPART_ARC
(1,18),-1.45855 # DEPENDENCYPART_ARC
(1,19),-1.08427 # DEPENDENCYPART_ARC
(1,20),-1.88397 # DEPENDENCYPART_ARC
(1,21),-3.28109 # DEPENDENCYPART_ARC
(1,22),-1.79566 # DEPENDENCYPART_ARC
(1,23),-1.12634 # DEPENDENCYPART_ARC
(1,24),-2.3848 # DEPENDENCYPART_ARC
(1,25),-3.17173 # DEPENDENCYPART_ARC
(1,26),-1.52367 # DEPENDENCYPART_ARC
(1,27),-2.11452 # DEPENDENCYPART_ARC
(1,28),-2.28374 # DEPENDENCYPART_ARC
(1,29),-2.1825 # DEPENDENCYPART_ARC
(2,1),0.697058 # DEPENDENCYPART_ARC
(2,3),0.18466 # DEPENDENCYPART_ARC
(2,4),-0.183835 # DEPENDENCYPART_ARC
(2,5),-0.291696 # DEPENDENCYPART_ARC
(2,6),-0.212261 # DEPENDENCYPART_ARC
(2,7),-0.49685 # DEPENDENCYPART_ARC
(2,8),-0.232435 # DEPENDENCYPART_ARC
(2,9),0.0168853 # DEPENDENCYPART_ARC
(2,10),-0.21763 # DEPENDENCYPART_ARC
(2,11),-0.888495 # DEPENDENCYPART_ARC
(2,12),-0.435757 # DEPENDENCYPART_ARC
(2,13),-0.829724 # DEPENDENCYPART_ARC
(2,14),-1.21429 # DEPENDENCYPART_ARC
(2,15),-1.40746 # DEPENDENCYPART_ARC
(2,16),-0.29801 # DEPENDENCYPART_ARC
(2,17),-0.788419 # DEPENDENCYPART_ARC
(2,18),-1.00495 # DEPENDENCYPART_ARC
(2,19),-1.6911 # DEPENDENCYPART_ARC
(2,20),-0.808615 # DEPENDENCYPART_ARC
(2,21),-0.70157 # DEPENDENCYPART_ARC
(2,22),-1.066 # DEPENDENCYPART_ARC
(2,23),-0.998867 # DEPENDENCYPART_ARC
(2,24),-1.22411 # DEPENDENCYPART_ARC
(2,25),-1.16727 # DEPENDENCYPART_ARC
(2,26),-1.48072 # DEPENDENCYPART_ARC
(2,27),-0.857826 # DEPENDENCYPART_ARC
(2,28),-1.4698 # DEPENDENCYPART_ARC
(2,29),-3.37684 # DEPENDENCYPART_ARC
(3,1),-0.594523 # DEPENDENCYPART_ARC
(3,2),0.185483 # DEPENDENCYPART_ARC
(3,4),0.0546589 # DEPENDENCYPART_ARC
(3,5),-0.128186 # DEPENDENCYPART_ARC
(3,6),-0.251054 # DEPENDENCYPART_ARC
(3,7),-0.232989 # DEPENDENCYPART_ARC
(3,8),-0.401163 # DEPENDENCYPART_ARC
(3,9),-0.267343 # DEPENDENCYPART_ARC
(3,10),-0.0753005 # DEPENDENCYPART_ARC
(3,11),-0.738626 # DEPENDENCYPART_ARC
(3,12),-0.257063 # DEPENDENCYPART_ARC
(3,13),-0.247049 # DEPENDENCYPART_ARC
(3,14),-0.978037 # DEPENDENCYPART_ARC
(3,15),-1.05922 # DEPENDENCYPART_ARC
(3,16),-0.0997337 # DEPENDENCYPART_ARC
(3,17),-0.750174 # DEPENDENCYPART_ARC
(3,18),-0.786361 # DEPENDENCYPART_ARC
(3,19),-1.42048 # DEPENDENCYPART_ARC
(3,20),-0.597701 # DEPENDENCYPART_ARC
(3,21),-0.451199 # DEPENDENCYPART_ARC
(3,22),-1.05155 # DEPENDENCYPART_ARC
(3,23),-0.885585 # DEPENDENCYPART_ARC
(3,24),-0.790278 # DEPENDENCYPART_ARC
(3,25),-0.605757 # DEPENDENCYPART_ARC
(3,26),-1.40519 # DEPENDENCYPART_ARC
(3,27),-1.18505 # DEPENDENCYPART_ARC
(3,28),-0.830876 # DEPENDENCYPART_ARC
(3,29),-2.90143 # DEPENDENCYPART_ARC
(4,1),0.0648267 # DEPENDENCYPART_ARC
(4,2),0.662103 # DEPENDENCYPART_ARC
(4,3),0.94339 # DEPENDENCYPART_ARC
(4,5),0.334284 # DEPENDENCYPART_ARC
(4,6),-0.286717 # DEPENDENCYPART_ARC
(4,7),-0.887191 # DEPENDENCYPART_ARC
(4,8),-0.960008 # DEPENDENCYPART_ARC
(4,9),-1.58806 # DEPENDENCYPART_ARC
(4,10),-0.820921 # DEPENDENCYPART_ARC
(4,11),-0.918988 # DEPENDENCYPART_ARC
(4,12),-1.28421 # DEPENDENCYPART_ARC
(4,13),-1.81303 # DEPENDENCYPART_ARC
(4,14),-1.103 # DEPENDENCYPART_ARC
(4,15),-1.2451 # DEPENDENCYPART_ARC
(4,16),-0.812227 # DEPENDENCYPART_ARC
(4,17),-1.81537 # DEPENDENCYPART_ARC
(4,18),-1.50645 # DEPENDENCYPART_ARC
(4,19),-1.14986 # DEPENDENCYPART_ARC
(4,20),-1.87181 # DEPENDENCYPART_ARC
(4,21),-3.27499 # DEPENDENCYPART_ARC
(4,22),-1.95268 # DEPENDENCYPART_ARC
(4,23),-1.07449 # DEPENDENCYPART_ARC
(4,24),-2.18506 # DEPENDENCYPART_ARC
(4,25),-3.12443 # DEPENDENCYPART_ARC
(4,26),-1.76123 # DEPENDENCYPART_ARC
(4,27),-2.38957 # DEPENDENCYPART_ARC
(4,28),-2.18898 # DEPENDENCYPART_ARC
(4,29),-2.11877 # DEPENDENCYPART_ARC
(5,1),-0.468159 # DEPENDENCYPART_ARC
(5,2),-0.319983 # DEPENDENCYPART_ARC
(5,3),-0.110048 # DEPENDENCYPART_ARC
(5,4),1.66529 # DEPENDENCYPART_ARC
(5,6),0.528724 # DEPENDENCYPART_ARC
(5,7),-0.0264557 # DEPENDENCYPART_ARC
(5,8),0.0169934 # DEPENDENCYPART_ARC
(5,9),0.135543 # DEPENDENCYPART_ARC
(5,10),-0.00693411 # DEPENDENCYPART_ARC
(5,11),-0.718615 # DEPENDENCYPART_ARC
(5,12),-0.277609 # DEPENDENCYPART_ARC
(5,13),-0.332496 # DEPENDENCYPART_ARC
(5,14),-0.736288 # DEPENDENCYPART_ARC
(5,15),-0.850279 # DEPENDENCYPART_ARC
(5,16),-0.141948 # DEPENDENCYPART_ARC
(5,17),-0.673207 # DEPENDENCYPART_ARC
(5,18),-0.849142 # DEPENDENCYPART_ARC
(5,19),-1.37429 # DEPENDENCYPART_ARC
(5,20),-0.629449 # DEPENDENCYPART_ARC
(5,21),-0.513355 # DEPENDENCYPART_ARC
(5,22),-1.04512 # DEPENDENCYPART_ARC
(5,23),-0.878032 # DEPENDENCYPART_ARC
(5,24),-0.955609 # DEPENDENCYPART_ARC
(5,25),-0.774948 # DEPENDENCYPART_ARC
(5,26),-1.41864 # DEPENDENCYPART_ARC
(5,27),-1.00953 # DEPENDENCYPART_ARC
(5,28),-1.39189 # DEPENDENCYPART_ARC
(5,29),-3.15978 # DEPENDENCYPART_ARC
(6,1),-0.779636 # DEPENDENCYPART_ARC
(6,2),-0.21516 # DEPENDENCYPART_ARC
(6,3),-0.548491 # DEPENDENCYPART_ARC
(6,4),-0.162478 # DEPENDENCYPART_ARC
(6,5),1.81633 # DEPENDENCYPART_ARC
(6,7),0.336709 # DEPENDENCYPART_ARC
(6,8),-0.339853 # DEPENDENCYPART_ARC
(6,9),-1.05298 # DEPENDENCYPART_ARC
(6,10),-0.140143 # DEPENDENCYPART_ARC
(6,11),-0.463572 # DEPENDENCYPART_ARC
(6,12),-0.693147 # DEPENDENCYPART_ARC
(6,13),-1.37585 # DEPENDENCYPART_ARC
(6,14),-0.837839 # DEPENDENCYPART_ARC
