# _root_ Ertesi gün hava _ kararırken , alçak bir sesle " Rapunzel , Rapunzel ! _ Uzat altın _ sarısı saçlarını ! " diye seslenirmiş .
#goldHeads=2,4,4,5,24,0,9,9,24,0,12,13,16,0,16,23,19,19,20,16,0,0,24,25,0,
#predictedHeads=2,4,4,5,16,0,9,9,16,0,12,13,14,0,16,21,19,19,20,24,0,0,24,25,0,
(0,1),-0.43088 # DEPENDENCYPART_ARC
(0,2),-1.02455 # DEPENDENCYPART_ARC
(0,3),-0.871389 # DEPENDENCYPART_ARC
(0,4),-1.37044 # DEPENDENCYPART_ARC
(0,5),-1.47331 # DEPENDENCYPART_ARC
(0,6),1.52589 # DEPENDENCYPART_ARC
(0,7),-1.45116 # DEPENDENCYPART_ARC
(0,8),-1.11897 # DEPENDENCYPART_ARC
(0,9),-1.17407 # DEPENDENCYPART_ARC
(0,10),2.74392 # DEPENDENCYPART_ARC
(0,11),-1.20857 # DEPENDENCYPART_ARC
(0,12),1.30286 # DEPENDENCYPART_ARC
(0,13),-1.20339 # DEPENDENCYPART_ARC
(0,14),2.34162 # DEPENDENCYPART_ARC
(0,15),-1.7911 # DEPENDENCYPART_ARC
(0,16),-1.78406 # DEPENDENCYPART_ARC
(0,17),-1.24479 # DEPENDENCYPART_ARC
(0,18),-2.68361 # DEPENDENCYPART_ARC
(0,19),-1.60823 # DEPENDENCYPART_ARC
(0,20),-1.69419 # DEPENDENCYPART_ARC
(0,21),3.27937 # DEPENDENCYPART_ARC
(0,22),4.27534 # DEPENDENCYPART_ARC
(0,23),-2.4696 # DEPENDENCYPART_ARC
(0,24),-2.33004 # DEPENDENCYPART_ARC
(0,25),3.25576 # DEPENDENCYPART_ARC
(1,2),0.36276 # DEPENDENCYPART_ARC
(1,3),-0.0329158 # DEPENDENCYPART_ARC
(1,4),-0.473779 # DEPENDENCYPART_ARC
(1,5),-0.0851121 # DEPENDENCYPART_ARC
(1,6),-0.538313 # DEPENDENCYPART_ARC
(1,7),-1.00361 # DEPENDENCYPART_ARC
(1,8),-0.599197 # DEPENDENCYPART_ARC
(1,9),-0.690845 # DEPENDENCYPART_ARC
(1,10),-0.643875 # DEPENDENCYPART_ARC
(1,11),-0.653792 # DEPENDENCYPART_ARC
(1,12),-0.81309 # DEPENDENCYPART_ARC
(1,13),-1.06314 # DEPENDENCYPART_ARC
(1,14),-0.954754 # DEPENDENCYPART_ARC
(1,15),-1.10537 # DEPENDENCYPART_ARC
(1,16),-1.10576 # DEPENDENCYPART_ARC
(1,17),-1.29201 # DEPENDENCYPART_ARC
(1,18),-1.51974 # DEPENDENCYPART_ARC
(1,19),-1.4763 # DEPENDENCYPART_ARC
(1,20),-1.38086 # DEPENDENCYPART_ARC
(1,21),-1.07914 # DEPENDENCYPART_ARC
(1,22),-1.1069 # DEPENDENCYPART_ARC
(1,23),-0.938475 # DEPENDENCYPART_ARC
(1,24),-1.4338 # DEPENDENCYPART_ARC
(1,25),-1.1385 # DEPENDENCYPART_ARC
(2,1),2.38332 # DEPENDENCYPART_ARC
(2,3),0.170611 # DEPENDENCYPART_ARC
(2,4),-0.736418 # DEPENDENCYPART_ARC
(2,5),-0.239505 # DEPENDENCYPART_ARC
(2,6),-0.0570386 # DEPENDENCYPART_ARC
(2,7),-0.637376 # DEPENDENCYPART_ARC
(2,8),-0.38806 # DEPENDENCYPART_ARC
(2,9),-1.33215 # DEPENDENCYPART_ARC
(2,10),-0.739262 # DEPENDENCYPART_ARC
(2,11),-0.670585 # DEPENDENCYPART_ARC
(2,12),-0.517884 # DEPENDENCYPART_ARC
(2,13),-1.05355 # DEPENDENCYPART_ARC
(2,14),-0.949133 # DEPENDENCYPART_ARC
(2,15),-1.26539 # DEPENDENCYPART_ARC
(2,16),-1.5693 # DEPENDENCYPART_ARC
(2,17),-1.47746 # DEPENDENCYPART_ARC
(2,18),-1.14444 # DEPENDENCYPART_ARC
(2,19),-1.88152 # DEPENDENCYPART_ARC
(2,20),-2.40166 # DEPENDENCYPART_ARC
(2,21),-1.22831 # DEPENDENCYPART_ARC
(2,22),-1.23801 # DEPENDENCYPART_ARC
(2,23),-0.675157 # DEPENDENCYPART_ARC
(2,24),-2.21792 # DEPENDENCYPART_ARC
(2,25),-1.6842 # DEPENDENCYPART_ARC
(3,1),0.578069 # DEPENDENCYPART_ARC
(3,2),1.6495 # DEPENDENCYPART_ARC
(3,4),-0.543083 # DEPENDENCYPART_ARC
(3,5),-0.120341 # DEPENDENCYPART_ARC
(3,6),-0.223723 # DEPENDENCYPART_ARC
(3,7),-0.540391 # DEPENDENCYPART_ARC
(3,8),-0.426263 # DEPENDENCYPART_ARC
(3,9),-1.60498 # DEPENDENCYPART_ARC
(3,10),-0.83684 # DEPENDENCYPART_ARC
(3,11),-1.10172 # DEPENDENCYPART_ARC
(3,12),-0.673905 # DEPENDENCYPART_ARC
(3,13),-1.11036 # DEPENDENCYPART_ARC
(3,14),-1.07013 # DEPENDENCYPART_ARC
(3,15),-1.24199 # DEPENDENCYPART_ARC
(3,16),-1.79455 # DEPENDENCYPART_ARC
(3,17),-1.58651 # DEPENDENCYPART_ARC
(3,18),-1.17964 # DEPENDENCYPART_ARC
(3,19),-2.08937 # DEPENDENCYPART_ARC
(3,20),-2.71213 # DEPENDENCYPART_ARC
(3,21),-1.44513 # DEPENDENCYPART_ARC
(3,22),-1.29698 # DEPENDENCYPART_ARC
(3,23),-0.674834 # DEPENDENCYPART_ARC
(3,24),-2.32321 # DEPENDENCYPART_ARC
(3,25),-1.7528 # DEPENDENCYPART_ARC
(4,1),0.435877 # DEPENDENCYPART_ARC
(4,2),2.46977 # DEPENDENCYPART_ARC
(4,3),3.08809 # DEPENDENCYPART_ARC
(4,5),1.03302 # DEPENDENCYPART_ARC
(4,6),-0.341285 # DEPENDENCYPART_ARC
(4,7),-0.652002 # DEPENDENCYPART_ARC
(4,8),-0.89984 # DEPENDENCYPART_ARC
(4,9),-0.313812 # DEPENDENCYPART_ARC
(4,10),-0.950428 # DEPENDENCYPART_ARC
(4,11),-1.12721 # DEPENDENCYPART_ARC
(4,12),-0.95724 # DEPENDENCYPART_ARC
(4,13),-1.24982 # DEPENDENCYPART_ARC
(4,14),-0.890003 # DEPENDENCYPART_ARC
(4,15),-1.70112 # DEPENDENCYPART_ARC
(4,16),-1.78947 # DEPENDENCYPART_ARC
