# _root_ Çam fidanı , _ süslü eşyalarla dolu _ olan bu salonda doğadan , topraktan _ iyice _ uzaklaşmıştı .
#goldHeads=2,18,0,5,6,7,8,9,11,11,18,13,14,18,16,18,18,19,0,
#predictedHeads=2,18,0,5,6,8,8,9,11,11,12,13,0,18,16,18,18,19,0,
(0,1),-0.624201 # DEPENDENCYPART_ARC
(0,2),-0.93546 # DEPENDENCYPART_ARC
(0,3),1.87586 # DEPENDENCYPART_ARC
(0,4),-1.03755 # DEPENDENCYPART_ARC
(0,5),-1.41695 # DEPENDENCYPART_ARC
(0,6),-1.16897 # DEPENDENCYPART_ARC
(0,7),-1.44311 # DEPENDENCYPART_ARC
(0,8),-1.68312 # DEPENDENCYPART_ARC
(0,9),-1.35804 # DEPENDENCYPART_ARC
(0,10),-0.784044 # DEPENDENCYPART_ARC
(0,11),-1.39319 # DEPENDENCYPART_ARC
(0,12),-1.10547 # DEPENDENCYPART_ARC
(0,13),1.90069 # DEPENDENCYPART_ARC
(0,14),-1.0672 # DEPENDENCYPART_ARC
(0,15),-2.39995 # DEPENDENCYPART_ARC
(0,16),-1.73431 # DEPENDENCYPART_ARC
(0,17),-2.50131 # DEPENDENCYPART_ARC
(0,18),-1.5559 # DEPENDENCYPART_ARC
(0,19),2.94681 # DEPENDENCYPART_ARC
(1,2),0.191116 # DEPENDENCYPART_ARC
(1,3),0.151908 # DEPENDENCYPART_ARC
(1,4),-0.93072 # DEPENDENCYPART_ARC
(1,5),-0.773892 # DEPENDENCYPART_ARC
(1,6),-1.95625 # DEPENDENCYPART_ARC
(1,7),-0.915412 # DEPENDENCYPART_ARC
(1,8),-1.19575 # DEPENDENCYPART_ARC
(1,9),-0.936179 # DEPENDENCYPART_ARC
(1,10),-0.319668 # DEPENDENCYPART_ARC
(1,11),-2.34803 # DEPENDENCYPART_ARC
(1,12),-2.75444 # DEPENDENCYPART_ARC
(1,13),-0.591227 # DEPENDENCYPART_ARC
(1,14),-3.1408 # DEPENDENCYPART_ARC
(1,15),-1.2333 # DEPENDENCYPART_ARC
(1,16),-1.15317 # DEPENDENCYPART_ARC
(1,17),-1.30929 # DEPENDENCYPART_ARC
(1,18),-1.85056 # DEPENDENCYPART_ARC
(1,19),-1.2377 # DEPENDENCYPART_ARC
(2,1),3.1726 # DEPENDENCYPART_ARC
(2,3),0.138342 # DEPENDENCYPART_ARC
(2,4),-0.206383 # DEPENDENCYPART_ARC
(2,5),-0.747865 # DEPENDENCYPART_ARC
(2,6),-1.47802 # DEPENDENCYPART_ARC
(2,7),-0.904517 # DEPENDENCYPART_ARC
(2,8),-1.28242 # DEPENDENCYPART_ARC
(2,9),-0.892092 # DEPENDENCYPART_ARC
(2,10),-0.547638 # DEPENDENCYPART_ARC
(2,11),-1.52248 # DEPENDENCYPART_ARC
(2,12),-1.82487 # DEPENDENCYPART_ARC
(2,13),-0.894733 # DEPENDENCYPART_ARC
(2,14),-2.14782 # DEPENDENCYPART_ARC
(2,15),-1.38801 # DEPENDENCYPART_ARC
