# _root_ Nineden kuyruğunu almış , yorgun ama mutlu bir şekilde çıkmış , gitmiş .
#goldHeads=3,3,4,10,6,7,9,9,10,11,12,13,0,
#predictedHeads=3,3,4,10,6,7,9,9,10,11,12,13,0,
(0,1),-0.61234 # DEPENDENCYPART_ARC
(0,2),-0.67561 # DEPENDENCYPART_ARC
(0,3),-1.15587 # DEPENDENCYPART_ARC
(0,4),0.903844 # DEPENDENCYPART_ARC
(0,6),-0.642277 # DEPENDENCYPART_ARC
(0,9),-0.993807 # DEPENDENCYPART_ARC
(0,10),-1.51589 # DEPENDENCYPART_ARC
(0,11),0.821598 # DEPENDENCYPART_ARC
(0,12),-1.64406 # DEPENDENCYPART_ARC
(0,13),2.69866 # DEPENDENCYPART_ARC
(1,2),-0.805664 # DEPENDENCYPART_ARC
(1,3),-0.904235 # DEPENDENCYPART_ARC
(1,4),0.0189814 # DEPENDENCYPART_ARC
(1,5),-0.651443 # DEPENDENCYPART_ARC
(1,6),-0.954789 # DEPENDENCYPART_ARC
(1,7),-1.19475 # DEPENDENCYPART_ARC
(1,8),-0.752873 # DEPENDENCYPART_ARC
(1,9),-2.82732 # DEPENDENCYPART_ARC
(1,10),-1.9119 # DEPENDENCYPART_ARC
(1,11),-0.958042 # DEPENDENCYPART_ARC
(1,12),-2.11266 # DEPENDENCYPART_ARC
(1,13),-1.40744 # DEPENDENCYPART_ARC
(2,1),2.25372 # DEPENDENCYPART_ARC
(2,3),-0.324177 # DEPENDENCYPART_ARC
(2,4),0.271514 # DEPENDENCYPART_ARC
(2,5),-0.333479 # DEPENDENCYPART_ARC
(2,6),-0.616387 # DEPENDENCYPART_ARC
(2,7),-0.884284 # DEPENDENCYPART_ARC
(2,8),-0.52064 # DEPENDENCYPART_ARC
(2,9),-1.54955 # DEPENDENCYPART_ARC
(2,10),-1.8074 # DEPENDENCYPART_ARC
(2,11),-0.880808 # DEPENDENCYPART_ARC
(2,12),-1.71105 # DEPENDENCYPART_ARC
(2,13),-1.35262 # DEPENDENCYPART_ARC
(3,1),2.53665 # DEPENDENCYPART_ARC
(3,2),3.37177 # DEPENDENCYPART_ARC
(3,4),-0.0995787 # DEPENDENCYPART_ARC
(3,5),-0.0884918 # DEPENDENCYPART_ARC
(3,6),-0.461825 # DEPENDENCYPART_ARC
(3,7),-0.78906 # DEPENDENCYPART_ARC
(3,8),-1.05767 # DEPENDENCYPART_ARC
(3,9),-1.18683 # DEPENDENCYPART_ARC
(3,10),-1.40271 # DEPENDENCYPART_ARC
(3,11),-1.15248 # DEPENDENCYPART_ARC
(3,12),-1.42958 # DEPENDENCYPART_ARC
(3,13),-1.54014 # DEPENDENCYPART_ARC
(4,1),0.750052 # DEPENDENCYPART_ARC
(4,2),0.719531 # DEPENDENCYPART_ARC
(4,3),1.76588 # DEPENDENCYPART_ARC
(4,5),-0.277075 # DEPENDENCYPART_ARC
(4,6),-0.192457 # DEPENDENCYPART_ARC
(4,7),-0.815376 # DEPENDENCYPART_ARC
(4,8),-0.517332 # DEPENDENCYPART_ARC
(4,9),-0.691846 # DEPENDENCYPART_ARC
(4,10),-0.32734 # DEPENDENCYPART_ARC
(4,11),-0.430794 # DEPENDENCYPART_ARC
(4,12),-0.404982 # DEPENDENCYPART_ARC
(4,13),-0.609122 # DEPENDENCYPART_ARC
(5,1),-0.109125 # DEPENDENCYPART_ARC
(5,2),-0.0394052 # DEPENDENCYPART_ARC
(5,3),-0.0743507 # DEPENDENCYPART_ARC
(5,4),0.857391 # DEPENDENCYPART_ARC
(5,6),0.531097 # DEPENDENCYPART_ARC
(5,7),-0.710823 # DEPENDENCYPART_ARC
(5,8),-0.63581 # DEPENDENCYPART_ARC
(5,9),-0.552227 # DEPENDENCYPART_ARC
(5,10),-0.974468 # DEPENDENCYPART_ARC
(5,11),-0.968479 # DEPENDENCYPART_ARC
(5,12),-1.13981 # DEPENDENCYPART_ARC
(5,13),-1.3536 # DEPENDENCYPART_ARC
(6,1),-0.863303 # DEPENDENCYPART_ARC
(6,2),-0.528381 # DEPENDENCYPART_ARC
