# _root_ Fabrikayı yapacak _ olan , ekonomik faaliyetleri _ _ gerçekleştirecek _ olan , üretim _ yapacak _ olan _ firmalardır .
#goldHeads=2,3,4,5,12,7,9,9,10,11,12,13,18,15,16,17,18,19,20,21,0,
#predictedHeads=2,3,4,5,12,7,9,9,10,11,12,13,0,15,16,17,18,19,20,21,0,
(0,1),-0.612753 # DEPENDENCYPART_ARC
(0,2),-1.20294 # DEPENDENCYPART_ARC
(0,3),-1.02655 # DEPENDENCYPART_ARC
(0,5),0.743918 # DEPENDENCYPART_ARC
(0,7),-0.996366 # DEPENDENCYPART_ARC
(0,8),-1.44123 # DEPENDENCYPART_ARC
(0,9),-1.56572 # DEPENDENCYPART_ARC
(0,11),-1.65147 # DEPENDENCYPART_ARC
(0,13),1.08738 # DEPENDENCYPART_ARC
(0,14),-1.17696 # DEPENDENCYPART_ARC
(0,15),-2.0062 # DEPENDENCYPART_ARC
(0,17),-2.02587 # DEPENDENCYPART_ARC
(0,19),-2.02392 # DEPENDENCYPART_ARC
(0,21),3.53012 # DEPENDENCYPART_ARC
(1,2),0.276019 # DEPENDENCYPART_ARC
(1,3),-0.452971 # DEPENDENCYPART_ARC
(1,4),0.161139 # DEPENDENCYPART_ARC
(1,5),-0.0220583 # DEPENDENCYPART_ARC
(1,6),-0.444487 # DEPENDENCYPART_ARC
(1,7),-1.61243 # DEPENDENCYPART_ARC
(1,8),-0.9014 # DEPENDENCYPART_ARC
(1,9),-1.40814 # DEPENDENCYPART_ARC
(1,10),-0.318318 # DEPENDENCYPART_ARC
(1,11),-1.38699 # DEPENDENCYPART_ARC
(1,12),-0.617582 # DEPENDENCYPART_ARC
(1,13),-0.631887 # DEPENDENCYPART_ARC
(1,14),-2.01527 # DEPENDENCYPART_ARC
(1,15),-1.61047 # DEPENDENCYPART_ARC
(1,16),-0.795541 # DEPENDENCYPART_ARC
(1,17),-1.78349 # DEPENDENCYPART_ARC
(1,18),-0.700294 # DEPENDENCYPART_ARC
(1,19),-2.72835 # DEPENDENCYPART_ARC
(1,20),-1.45514 # DEPENDENCYPART_ARC
(1,21),-1.2262 # DEPENDENCYPART_ARC
(2,1),2.37134 # DEPENDENCYPART_ARC
(2,3),-0.268057 # DEPENDENCYPART_ARC
(2,4),0.196959 # DEPENDENCYPART_ARC
(2,5),-0.265332 # DEPENDENCYPART_ARC
(2,6),-0.500301 # DEPENDENCYPART_ARC
(2,7),0.103174 # DEPENDENCYPART_ARC
(2,8),-0.835923 # DEPENDENCYPART_ARC
(2,9),-1.53515 # DEPENDENCYPART_ARC
(2,10),-1.15447 # DEPENDENCYPART_ARC
(2,11),-1.33534 # DEPENDENCYPART_ARC
(2,12),-0.844917 # DEPENDENCYPART_ARC
(2,13),-0.734001 # DEPENDENCYPART_ARC
(2,14),-1.63532 # DEPENDENCYPART_ARC
(2,15),-2.02973 # DEPENDENCYPART_ARC
(2,16),-1.50218 # DEPENDENCYPART_ARC
(2,17),-2.13225 # DEPENDENCYPART_ARC
(2,18),-1.5701 # DEPENDENCYPART_ARC
(2,19),-2.4947 # DEPENDENCYPART_ARC
(2,20),-1.63284 # DEPENDENCYPART_ARC
(2,21),-1.50174 # DEPENDENCYPART_ARC
(3,1),1.55114 # DEPENDENCYPART_ARC
(3,2),2.04741 # DEPENDENCYPART_ARC
(3,4),0.573942 # DEPENDENCYPART_ARC
(3,5),-0.0964849 # DEPENDENCYPART_ARC
(3,6),-0.662652 # DEPENDENCYPART_ARC
(3,7),-1.03506 # DEPENDENCYPART_ARC
(3,8),-1.12218 # DEPENDENCYPART_ARC
(3,9),-1.41804 # DEPENDENCYPART_ARC
(3,10),-1.06915 # DEPENDENCYPART_ARC
(3,11),-1.45783 # DEPENDENCYPART_ARC
(3,12),-0.884966 # DEPENDENCYPART_ARC
(3,13),-1.03411 # DEPENDENCYPART_ARC
(3,14),-2.4652 # DEPENDENCYPART_ARC
(3,15),-2.13274 # DEPENDENCYPART_ARC
(3,16),-1.67387 # DEPENDENCYPART_ARC
(3,17),-2.19954 # DEPENDENCYPART_ARC
(3,18),-1.77625 # DEPENDENCYPART_ARC
(3,19),-3.80454 # DEPENDENCYPART_ARC
(3,20),-1.80626 # DEPENDENCYPART_ARC
(3,21),-2.07974 # DEPENDENCYPART_ARC
(4,1),1.53601 # DEPENDENCYPART_ARC
(4,2),0.67599 # DEPENDENCYPART_ARC
(4,3),2.50429 # DEPENDENCYPART_ARC
(4,5),-0.425042 # DEPENDENCYPART_ARC
(4,6),-1.20528 # DEPENDENCYPART_ARC
(4,7),-1.00513 # DEPENDENCYPART_ARC
(4,8),-1.2822 # DEPENDENCYPART_ARC
(4,9),-1.39486 # DEPENDENCYPART_ARC
(4,10),-1.6649 # DEPENDENCYPART_ARC
(4,11),-1.41545 # DEPENDENCYPART_ARC
(4,13),-1.47782 # DEPENDENCYPART_ARC
(4,14),-1.21982 # DEPENDENCYPART_ARC
(4,15),-1.64463 # DEPENDENCYPART_ARC
(4,16),-1.99577 # DEPENDENCYPART_ARC
(4,17),-1.78991 # DEPENDENCYPART_ARC
(4,19),-1.6681 # DEPENDENCYPART_ARC
(4,20),-1.82839 # DEPENDENCYPART_ARC
(4,21),-2.22613 # DEPENDENCYPART_ARC
(5,1),0.2284 # DEPENDENCYPART_ARC
(5,2),0.730245 # DEPENDENCYPART_ARC
(5,3),-0.144116 # DEPENDENCYPART_ARC
(5,4),0.891302 # DEPENDENCYPART_ARC
(5,6),-0.665764 # DEPENDENCYPART_ARC
(5,7),-0.64692 # DEPENDENCYPART_ARC
(5,8),-0.541686 # DEPENDENCYPART_ARC
