# _root_ _ İkimiz de kendimizi yenik hissediyorduk , bu , ilişkimiz _ süreceği anlamına geliyordu .
#goldHeads=2,6,2,6,6,7,14,14,0,11,12,13,14,15,0,
#predictedHeads=2,6,2,6,6,7,0,13,0,11,12,13,14,15,0,
(0,1),0.100776 # DEPENDENCYPART_ARC
(0,2),-1.07264 # DEPENDENCYPART_ARC
(0,3),-1.06726 # DEPENDENCYPART_ARC
(0,4),-1.36214 # DEPENDENCYPART_ARC
(0,5),-1.44514 # DEPENDENCYPART_ARC
(0,6),-1.60386 # DEPENDENCYPART_ARC
(0,7),1.38908 # DEPENDENCYPART_ARC
(0,8),-1.14022 # DEPENDENCYPART_ARC
(0,9),1.45864 # DEPENDENCYPART_ARC
(0,10),-1.1724 # DEPENDENCYPART_ARC
(0,11),-1.74528 # DEPENDENCYPART_ARC
(0,12),-1.75125 # DEPENDENCYPART_ARC
(0,13),-1.73808 # DEPENDENCYPART_ARC
(0,14),-1.83112 # DEPENDENCYPART_ARC
(0,15),2.48438 # DEPENDENCYPART_ARC
(1,2),0.115116 # DEPENDENCYPART_ARC
(1,3),0.945751 # DEPENDENCYPART_ARC
(1,4),-0.254734 # DEPENDENCYPART_ARC
(1,5),-0.817543 # DEPENDENCYPART_ARC
(1,6),-0.536678 # DEPENDENCYPART_ARC
(1,7),-0.42855 # DEPENDENCYPART_ARC
(1,8),-0.757368 # DEPENDENCYPART_ARC
(1,9),-0.73664 # DEPENDENCYPART_ARC
(1,10),-1.04141 # DEPENDENCYPART_ARC
(1,11),-0.882177 # DEPENDENCYPART_ARC
(1,12),-1.04045 # DEPENDENCYPART_ARC
(1,13),-1.37271 # DEPENDENCYPART_ARC
(1,14),-1.1258 # DEPENDENCYPART_ARC
(1,15),-1.02011 # DEPENDENCYPART_ARC
(2,1),2.26664 # DEPENDENCYPART_ARC
(2,3),1.92876 # DEPENDENCYPART_ARC
(2,4),-0.0938118 # DEPENDENCYPART_ARC
(2,5),0.0726885 # DEPENDENCYPART_ARC
